"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","RTCOST","Rarity"
"swsh6-1","Weedle","Pokemon","Basic, Single Strike","40","Grass","Colorless","1","Common"
"swsh6-2","Kakuna","Pokemon","Stage 1, Single Strike","80","Grass","Colorless, Colorless, Colorless","3","Uncommon"
"swsh6-3","Beedrill","Pokemon","Stage 2, Single Strike","130","Grass","Colorless","1","Rare Holo"
"swsh6-4","Ledyba","Pokemon","Basic","60","Grass","Colorless","1","Common"
"swsh6-5","Ledian","Pokemon","Stage 1","90","Grass","Colorless","1","Uncommon"
"swsh6-6","Heracross","Pokemon","Basic, Single Strike","120","Grass","Colorless, Colorless","2","Common"
"swsh6-9","Snover","Pokemon","Basic, Single Strike","80","Grass","Colorless, Colorless","2","Common"
"swsh6-10","Abomasnow","Pokemon","Stage 1, Single Strike","140","Grass","Colorless, Colorless, Colorless","3","Rare"
"swsh6-11","Deerling","Pokemon","Basic","60","Grass","Colorless","1","Common"
"swsh6-12","Sawsbuck","Pokemon","Stage 1","110","Grass","Colorless","1","Rare"
"swsh6-13","Bounsweet","Pokemon","Basic","60","Grass","Colorless","1","Common"
"swsh6-14","Steenee","Pokemon","Stage 1","80","Grass","Colorless","1","Uncommon"
"swsh6-15","Tsareena","Pokemon","Stage 2","140","Grass","Colorless, Colorless","2","Rare"
"swsh6-16","Grookey","Pokemon","Basic, Rapid Strike","60","Grass","Colorless","1","Common"
"swsh6-17","Thwackey","Pokemon","Stage 1, Rapid Strike","100","Grass","Colorless, Colorless","2","Uncommon"
"swsh6-18","Rillaboom","Pokemon","Stage 2, Rapid Strike","180","Grass","Colorless, Colorless, Colorless","3","Rare Holo"
"swsh6-19","Zarude","Pokemon","Basic","130","Grass","Colorless, Colorless","2","Rare Holo"
"swsh6-22","Castform Sunny Form","Pokemon","Basic","70","Fire","","0","Common"
"swsh6-23","Larvesta","Pokemon","Basic","80","Fire","Colorless, Colorless, Colorless","3","Common"
"swsh6-24","Volcarona","Pokemon","Stage 1","130","Fire","Colorless, Colorless","2","Rare"
"swsh6-26","Scorbunny","Pokemon","Basic, Single Strike","60","Fire","Colorless","1","Common"
"swsh6-27","Raboot","Pokemon","Stage 1, Single Strike","90","Fire","Colorless","1","Uncommon"
"swsh6-28","Cinderace","Pokemon","Stage 2, Single Strike","170","Fire","Colorless","1","Rare Holo"
"swsh6-29","Lapras","Pokemon","Basic","110","Water","Colorless","1","Common"
"swsh6-30","Sneasel","Pokemon","Basic, Rapid Strike","70","Water","Colorless","1","Common"
"swsh6-31","Weavile","Pokemon","Stage 1, Rapid Strike","110","Water","Colorless","1","Rare Holo"
"swsh6-32","Delibird","Pokemon","Basic","90","Water","Colorless","1","Common"
"swsh6-33","Castform Rainy Form","Pokemon","Basic","70","Water","","0","Common"
"swsh6-34","Castform Snowy Form","Pokemon","Basic","70","Water","","0","Common"
"swsh6-35","Snorunt","Pokemon","Basic","60","Water","Colorless","1","Common"
"swsh6-36","Froslass","Pokemon","Stage 1","90","Water","Colorless","1","Rare Holo"
"swsh6-37","Spheal","Pokemon","Basic","70","Water","Colorless, Colorless","2","Common"
"swsh6-38","Sealeo","Pokemon","Stage 1","110","Water","Colorless, Colorless, Colorless, Colorless","4","Uncommon"
"swsh6-39","Walrein","Pokemon","Stage 2","170","Water","Colorless, Colorless, Colorless, Colorless","4","Rare"
"swsh6-40","Tapu Fini","Pokemon","Basic, Rapid Strike","120","Water","Colorless","1","Rare Holo"
"swsh6-41","Sobble","Pokemon","Basic, Rapid Strike","60","Water","Colorless","1","Common"
"swsh6-42","Drizzile","Pokemon","Stage 1, Rapid Strike","90","Water","Colorless","1","Uncommon"
"swsh6-43","Inteleon","Pokemon","Stage 2, Rapid Strike","150","Water","Colorless","1","Rare Holo"
