"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"swshp-SWSH001","Grookey","Pokemon","Basic","60","Grass","1","Promo","","Branch Poke: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30, Text="
"swshp-SWSH002","Scorbunny","Pokemon","Basic","60","Fire","1","Promo","","Super Singe: Cost=[Fire], EnergyCost=[1], Damage=10, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Burned."
"swshp-SWSH003","Sobble","Pokemon","Basic","60","Water","1","Promo","","Bind: Cost=[Water, Colorless], EnergyCost=[2], Damage=20, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"swshp-SWSH006","Rillaboom","Pokemon","Stage 2","170","Grass","3","Promo","Voltage Beat: Effect=[Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.]","Hammer In: Cost=[Grass, Grass, Grass, Colorless], EnergyCost=[4], Damage=140, Text="
"swshp-SWSH007","Frosmoth","Pokemon","Stage 1","90","Water","2","Promo","Ice Dance: Effect=[As often as you like during your turn, you may attach a Water Energy card from your hand to 1 of your Benched Water Pokemon.]","Aurora Beam: Cost=[Water, Colorless], EnergyCost=[2], Damage=30, Text="
"swshp-SWSH008","Galarian Perrserker","Pokemon","Stage 1","120","Metal","2","Promo","Steely Spirit: Effect=[Your Metal Pokemon's attacks do 20 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).]","Metal Claw: Cost=[Metal, Metal, Colorless], EnergyCost=[3], Damage=70, Text="
"swshp-SWSH009","Cinccino","Pokemon","Stage 1","90","Colorless","1","Promo","Make Do: Effect=[You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards.]","Energy Assist: Cost=[Colorless], EnergyCost=[1], Damage=40, Text=Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon."
"swshp-SWSH010","Gossifleur","Pokemon","Basic","50","Grass","1","Promo","","Sing: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Your opponent's Active Pokemon is now Asleep."
"swshp-SWSH011","Wooloo","Pokemon","Basic","60","Colorless","1","Promo","","Defense Curl: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn. | Headbutt: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"swshp-SWSH012","Morpeko","Pokemon","Basic","80","Lightning","1","Promo","","Thunder Shock: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=60, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"swshp-SWSH013","Galarian Ponyta","Pokemon","Basic","70","Psychic","1","Promo","","Heal Pulse: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Heal 30 damage from 1 of your Pokemon. | Flop: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=20, Text="
"swshp-SWSH020","Pikachu","Pokemon","Basic","70","Lightning","1","Promo","","Iron Tail: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30×, Text=Flip a coin until you get tails. This attack does 30 damage for each heads. | Electro Ball: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=60, Text="
"swshp-SWSH022","Flapple","Pokemon","Stage 1","80","Grass","1","Promo","Apple Drop: Effect=[Once during your turn, you may put 2 damage counters on 1 of your opponent's Pokemon. If you placed any damage counters in this way, shuffle this Pokemon and all attached cards into your deck.]","Acid Spray: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=60, Text=Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."
"swshp-SWSH023","Luxray","Pokemon","Stage 2","160","Lightning","1","Promo","","Raid: Cost=[Lightning], EnergyCost=[1], Damage=60+, Text=If this Pokemon evolved from Luxio during this turn, this attack does 100 more damage. | Head Bolt: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=120, Text="
"swshp-SWSH024","Coalossal","Pokemon","Stage 2","160","Fighting","4","Promo","Tar Generator: Effect=[Once during your turn, you may attach a Fire Energy card, a Fighting Energy card, or 1 of each from your discard pile to your Pokemon in any way you like.]","Flaming Avalanche: Cost=[Fighting, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=130, Text="
"swshp-SWSH025","Garbodor","Pokemon","Stage 1","120","Darkness","2","Promo","Poisonous Puddle: Effect=[Once during your turn, if a Stadium is in play, you may make your opponent's Active Pokemon Poisoned.]","Sludge Bomb: Cost=[Darkness, Colorless, Colorless], EnergyCost=[3], Damage=80, Text="
"swshp-SWSH026","Mantine","Pokemon","Basic","110","Water","1","Promo","","Water Reserve: Cost=[Water], EnergyCost=[1], Damage=, Text=Search your deck for up to 3 Water Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | Wave Splash: Cost=[Water, Water], EnergyCost=[2], Damage=60, Text="
"swshp-SWSH027","Noctowl","Pokemon","Stage 1","110","Colorless","1","Promo","","Wing Attack: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40, Text= | Carry Off: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=, Text=Choose 1 of your opponent's Benched Pokemon. They shuffle that Pokemon and all attached cards into their deck. Then, shuffle this Pokemon and all attached cards into your deck."
"swshp-SWSH028","Duraludon","Pokemon","Basic","130","Metal","2","Promo","","Metal Claw: Cost=[Metal, Colorless, Colorless], EnergyCost=[3], Damage=70, Text= | Steel Beam: Cost=[Metal, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=150, Text=This Pokemon also does 40 damage to itself."
"swshp-SWSH029","Rayquaza","Pokemon","Basic","130","Colorless","2","Promo","","Jaw Lock: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=During your opponent's next turn, the Defending Pokemon can't retreat. | Power Blast: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=120, Text=Discard an Energy from this Pokemon."
"swshp-SWSH031","Morpeko","Pokemon","Basic","80","Lightning","1","Promo","","Famished: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Draw a card. | Thunder Shock: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=40, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"swshp-SWSH032","Snorlax","Pokemon","Basic","150","Colorless","4","Promo","","Rolling Tackle: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=80, Text= | Heavy Impact: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=130, Text="
"swshp-SWSH033","Zacian","Pokemon","Basic","130","Metal","2","Promo","","Crunch: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=60, Text=Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon. | Metal Blade: Cost=[Metal, Metal, Metal, Colorless], EnergyCost=[4], Damage=190, Text=Discard 3 Energy from this Pokemon."
"swshp-SWSH034","Zamazenta","Pokemon","Basic","130","Metal","2","Promo","Sturdy Shield: Effect=[This Pokemon takes 20 less damage from attacks (after applying Weakness and Resistance).]","Headbang: Cost=[Metal, Metal, Metal, Colorless], EnergyCost=[4], Damage=130, Text="
"swshp-SWSH035","Decidueye","Pokemon","Stage 2","140","Grass","2","Promo","Deep Forest Camo: Effect=[Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon V and Pokemon-GX.]","Splitting Arrow: Cost=[Grass, Colorless], EnergyCost=[2], Damage=90, Text=This attack also does 20 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"swshp-SWSH036","Arctozolt","Pokemon","Stage 1","130","Lightning","2","Promo","Biting Whirlpool: Effect=[Whenever your opponent attaches an Energy card from their hand to 1 of their Pokemon, put 2 damage counters on that Pokemon.]","Electro Ball: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=70, Text="
"swshp-SWSH037","Hydreigon","Pokemon","Stage 2","160","Darkness","3","Promo","Dark Squall: Effect=[As often as you like during your turn, you may attach a Darkness Energy card from your hand to 1 of your Pokemon.]","Pitch-Black Fangs: Cost=[Darkness, Darkness, Colorless], EnergyCost=[3], Damage=130, Text="
"swshp-SWSH038","Kangaskhan","Pokemon","Basic","130","Colorless","2","Promo","","Rally Back: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30+, Text=If any of your Pokemon were Knocked Out by damage from an attack from your opponent's Pokemon during their last turn, this attack does 90 more damage. | Hammer In: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=100, Text="
"swshp-SWSH039","Pikachu","Pokemon","Basic","60","Lightning","1","Promo","","Tail Whip: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, during your opponent's next turn, the Defending Pokemon can't attack. | Pika Bolt: Cost=[Lightning, Colorless, Colorless], EnergyCost=[3], Damage=50, Text="
"swshp-SWSH040","Hatenna","Pokemon","Basic","60","Psychic","1","Promo","","Find a Friend: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a Pokemon, reveal it, and put it into your hand. Then, shuffle your deck. | Psyshot: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"swshp-SWSH041","Flareon","Pokemon","Stage 1","110","Fire","2","Promo","","Singe: Cost=[Fire], EnergyCost=[1], Damage=, Text=Your opponent's Active Pokemon is now Burned. | Kindle: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=120, Text=Discard an Energy from this Pokemon. If you do, discard an Energy from your opponent's Active Pokemon."
"swshp-SWSH042","Eevee","Pokemon","Basic","60","Colorless","1","Promo","","Signs of Evolution: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for a card that evolves from Eevee, reveal it, and put it into your hand. Then, shuffle your deck. | Wild Kick: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If tails, this attack does nothing."
"swshp-SWSH046","Eldegoss","Pokemon","Stage 1","80","Grass","1","Promo","","Blessing of Fluff: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Search your deck for up to 3 Grass Energy cards and attach them to your Benched Pokemon in any way you like. Then, shuffle your deck. | Leafage: Cost=[Grass], EnergyCost=[1], Damage=30, Text="
"swshp-SWSH047","Drednaw","Pokemon","Stage 1","130","Water","3","Promo","","Vise Bite: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=60+, Text=This attack does 30 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost. | Jaw Lock: Cost=[Water, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=130, Text=During your opponent's next turn, the Defending Pokemon can't retreat."
"swshp-SWSH048","Centiskorch","Pokemon","Stage 1","130","Fire","3","Promo","","Hundred Foot Flames: Cost=[Fire], EnergyCost=[1], Damage=, Text=For each Fire Energy attached to this Pokemon, discard the top card of your opponent's deck. | Searing Flame: Cost=[Fire, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=110, Text=Your opponent's Active Pokemon is now Burned."
"swshp-SWSH051","Lapras","Pokemon","Basic","130","Water","3","Promo","","Aqua Wash: Cost=[Water, Water, Water, Water], EnergyCost=[4], Damage=70, Text=You may put 2 Energy attached to your opponent's Active Pokemon into their hand."
"swshp-SWSH052","Gengar","Pokemon","Stage 2","110","Psychic","2","Promo","Life Shaker: Effect=[As often as you like during your turn, you may move 1 damage counter from 1 of your Psychic Pokemon to another of your Psychic Pokemon.]","Hypnoblast: Cost=[Psychic, Psychic, Colorless], EnergyCost=[3], Damage=90, Text=Your opponent's Active Pokemon is now Asleep."
"swshp-SWSH053","Machamp","Pokemon","Stage 2","170","Fighting","3","Promo","","Macho Revenge: Cost=[Fighting, Colorless], EnergyCost=[2], Damage=20×, Text=This attack does 20 damage for each Fighting Pokemon in your discard pile. | Dynamite Punch: Cost=[Fighting, Fighting, Colorless], EnergyCost=[3], Damage=200, Text=This Pokemon also does 50 damage to itself."
"swshp-SWSH054","Coalossal","Pokemon","Stage 2","160","Fighting","4","Promo","Tar Generator: Effect=[Once during your turn, you may attach a Fire Energy card, a Fighting Energy card, or 1 of each from your discard pile to your Pokemon in any way you like.]","Flaming Avalanche: Cost=[Fighting, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=130, Text="
"swshp-SWSH058","Alcremie","Pokemon","Stage 1","110","Psychic","1","Promo","","Decorate: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Attach any number of basic Energy cards from your hand to your Pokemon in any way you like. | Draining Kiss: Cost=[Psychic, Colorless], EnergyCost=[2], Damage=50, Text=Heal 30 damage from this Pokemon."
"swshp-SWSH059","Galarian Obstagoon","Pokemon","Stage 2","160","Darkness","2","Promo","Untamed Shout: Effect=[When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may put 3 damage counters on 1 of your opponent's Pokemon.]","Obstruct: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=90, Text=During your opponent's next turn, prevent all damage done to this Pokemon by attacks from Basic Pokemon."
"swshp-SWSH060","Duraludon","Pokemon","Basic","130","Metal","2","Promo","","Metal Sharpener: Cost=[Colorless], EnergyCost=[1], Damage=30, Text=Attach a Metal Energy card from your discard pile to 1 of your Pokemon. | Power Beam: Cost=[Metal, Metal, Colorless], EnergyCost=[3], Damage=110, Text="
"swshp-SWSH066","Charizard","Pokemon","Stage 2","170","Fire","3","Promo","Battle Sense: Effect=[Once during your turn, you may look at the top 3 cards of your deck and put 1 of them into your hand. Discard the other cards.]","Royal Blaze: Cost=[Fire, Fire], EnergyCost=[2], Damage=100+, Text=This attack does 50 more damage for each Leon card in your discard pile."
"swshp-SWSH067","Donphan","Pokemon","Stage 1","150","Fighting","4","Promo","","Earthquake: Cost=[Fighting], EnergyCost=[1], Damage=120, Text=This attack also does 20 damage to each of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Heavy Impact: Cost=[Fighting, Colorless, Colorless], EnergyCost=[3], Damage=90, Text="
"swshp-SWSH068","Snorlax","Pokemon","Basic","130","Colorless","3","Promo","Gormandize: Effect=[Once during your turn, if this Pokemon is in the Active Spot, you may draw cards until you have 7 cards in your hand. If you use this Ability, your turn ends.]","Body Slam: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=100, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"swshp-SWSH069","Lugia","Pokemon","Basic","130","Colorless","2","Promo","","Gust: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=40, Text= | Wind Pressure: Cost=[Colorless, Colorless, Colorless, Colorless], EnergyCost=[4], Damage=250, Text=If your opponent has 5 or fewer cards in their hand, this attack does nothing."
"swshp-SWSH070","Grookey","Pokemon","Basic","60","Grass","1","Promo","","Full On: Cost=[Grass], EnergyCost=[1], Damage=30, Text=Flip a coin. If tails, this attack does nothing."
"swshp-SWSH071","Scorbunny","Pokemon","Basic","60","Fire","1","Promo","","Me First: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Draw a card. | Live Coal: Cost=[Fire, Fire], EnergyCost=[2], Damage=20, Text="
