"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text"
"tk1a-1","Bagon","Pokémon","40","Colorless","Shelgon",,"1","Ken Sugimori",,,"371",,"https://images.pokemontcg.io/tk1a/1.png","https://images.pokemontcg.io/tk1a/1_hires.png","Legal",,,"Colorless","1","","","","","","","Headbutt","Colorless","1","10","","Flare","Fire, Colorless","2","20",""
"tk1a-2","Combusken","Pokémon","70","Fire","Blaziken","Torchic","2","Kouki Saitou",,,"256",,"https://images.pokemontcg.io/tk1a/2.png","https://images.pokemontcg.io/tk1a/2_hires.png","Legal",,,"Colorless","1","","","","","","","Flare","Fire","1","20","","Double Kick","Colorless, Colorless, Colorless","3","40×","Flip 2 coins. This attack does 40 damage times the number of heads."
"tk1a-3","Delcatty","Pokémon","80","Colorless","","Skitty","3","Midori Harada",,,"301",,"https://images.pokemontcg.io/tk1a/3.png","https://images.pokemontcg.io/tk1a/3_hires.png","Legal",,,"Colorless","1","","","","","","","Scratch","Colorless, Colorless","2","30","","Ultra Energy Source","Colorless, Colorless, Colorless","3","10×","Does 10 damage times the number of basic Energy cards attached to all of the Active Pokémon (both yours and your opponent's)."
"tk1a-4","Latias","Pokémon","70","Colorless","",,"4","Nakaoka",,,"380",,"https://images.pokemontcg.io/tk1a/4.png","https://images.pokemontcg.io/tk1a/4_hires.png","Legal",,,"Colorless","1","","","","","","","Dragon Dew","Fire","1","10","Remove 1 damage counter from 1 of your Pokémon","Heat Blast","Fire, Fire, Colorless","3","40",""
"tk1a-5","Numel","Pokémon","40","Fire","Camerupt",,"5","Yuka Morii",,,"322",,"https://images.pokemontcg.io/tk1a/5.png","https://images.pokemontcg.io/tk1a/5_hires.png","Legal",,,"Colorless","1","","","","","","","Firebreathing","Fire","1","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage.","Tackle","Colorless, Colorless","2","20",""
"tk1a-6","Skitty","Pokémon","50","Colorless","Delcatty",,"6","Atsuko Nishida",,,"300",,"https://images.pokemontcg.io/tk1a/6.png","https://images.pokemontcg.io/tk1a/6_hires.png","Legal",,,"Colorless","1","","","","","","","Tackle","Colorless","1","10","","Lunge","Colorless, Colorless","2","30","Flip a coin. If tails, this attack does nothing."
"tk1a-7","Torchic","Pokémon","50","Fire","Combusken",,"7","Hironobu Yoshida",,,"255",,"https://images.pokemontcg.io/tk1a/7.png","https://images.pokemontcg.io/tk1a/7_hires.png","Legal",,,"Colorless","1","","","","","","","Firebreathing","Fire, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 20 more damage.","","","","",""
"tk1a-8","Potion","Trainer",,"","",,"8","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/tk1a/8.png","https://images.pokemontcg.io/tk1a/8_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
"tk1a-9","Energy Search","Trainer",,"","",,"9","Kai Ishikawa",,,"",,"https://images.pokemontcg.io/tk1a/9.png","https://images.pokemontcg.io/tk1a/9_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
"tk1a-10","Fire Energy","Energy",,"","",,"10",,,,"",,"https://images.pokemontcg.io/tk1a/10.png","https://images.pokemontcg.io/tk1a/10_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
