"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"tk2b-1","Arcanine","Pokémon","90","Fire","","Growlithe","1","Ken Sugimori",,,"59",,"https://images.pokemontcg.io/tk2b/1.png","https://images.pokemontcg.io/tk2b/1_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Flare","Fire","1","20","","Heat Tackle","Fire, Colorless, Colorless, Colorless","4","70","Arcanine does 10 damage to itself.","Water","×2"
"tk2b-2","Charmander","Pokémon","50","Fire","Charmeleon",,"2","Midori Harada",,,"4",,"https://images.pokemontcg.io/tk2b/2.png","https://images.pokemontcg.io/tk2b/2_hires.png","Legal",,,"Colorless","1","","","","","","","Headbutt","Colorless","1","10","","Slash","Colorless, Colorless","2","20","","Water","×2"
"tk2b-3","Charmeleon","Pokémon","70","Fire","Charizard","Charmander","3","Kouki Saitou","Uncommon",,"5",,"https://images.pokemontcg.io/tk2b/3.png","https://images.pokemontcg.io/tk2b/3_hires.png","Legal",,,"Colorless","1","","","","","","","Flare","Fire, Colorless","2","30","","Damage Burn","Fire, Colorless, Colorless","3","40+","If the Defending Pokémon already has any damage counters on it, this attack does 40 damage plus 20 more damage.","Water","×2"
"tk2b-4","Growlithe","Pokémon","60","Fire","Arcanine",,"4","Ken Sugimori",,,"58",,"https://images.pokemontcg.io/tk2b/4.png","https://images.pokemontcg.io/tk2b/4_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Bite","Colorless","1","10","","Flame Tail","Fire, Colorless, Colorless","3","40","","Water","×2"
"tk2b-5","Mareep","Pokémon","50","Lightning","Flaaffy",,"5","Naoyo Kimura",,,"179",,"https://images.pokemontcg.io/tk2b/5.png","https://images.pokemontcg.io/tk2b/5_hires.png","Legal",,,"Colorless","1","","","","","","","Minor Errand-Running","Colorless","1","","Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Quick Attack","Lightning, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage.","Fighting","×2"
"tk2b-6","Minun","Pokémon","60","Lightning","",,"6","Katsura Tabata",,,"312",,"https://images.pokemontcg.io/tk2b/6.png","https://images.pokemontcg.io/tk2b/6_hires.png","Legal",,,"Colorless","1","","","","","","","Drawup Power","Colorless","1","","Search your deck for an Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Front Spark","Lightning, Colorless","2","20","Does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Fighting","×2"
"tk2b-7","Vulpix","Pokémon","50","Fire","Ninetales",,"7","Midori Harada",,,"37",,"https://images.pokemontcg.io/tk2b/7.png","https://images.pokemontcg.io/tk2b/7_hires.png","Legal",,,"Colorless","1","","","","","","","Bite","Colorless","1","10","","Firebreathing","Fire, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 10 more damage.","Water","×2"
"tk2b-8","Celio's Network","Trainer",,"","",,"8","Ken Sugimori",,,"",,"https://images.pokemontcg.io/tk2b/8.png","https://images.pokemontcg.io/tk2b/8_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","","",,
"tk2b-9","Energy Search","Trainer",,"","",,"9","Kai Ishikawa",,,"",,"https://images.pokemontcg.io/tk2b/9.png","https://images.pokemontcg.io/tk2b/9_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
"tk2b-10","Potion","Trainer",,"","",,"10","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/tk2b/10.png","https://images.pokemontcg.io/tk2b/10_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
"tk2b-11","Fire Energy","Energy",,"","",,"11",,,,"",,"https://images.pokemontcg.io/tk2b/11.png","https://images.pokemontcg.io/tk2b/11_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
"tk2b-12","Lightning Energy","Energy",,"","",,"12",,,,"",,"https://images.pokemontcg.io/tk2b/12.png","https://images.pokemontcg.io/tk2b/12_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","","",,
