"Name","HP","Attack1_ConvertedEnergyCost","Attack1_Name","Attack1_Damage","Types","Rarity","Supertype","Subtypes","RetreatCost","ID","Attack1_Cost"
"Caterpie","40","1","String Shot","10","Grass","Common","Pokemon","Basic","1","xy12-3","Grass"
"Metapod","70","2","Stiffen","","Grass","Uncommon","Pokemon","Stage 1","2","xy12-4","Colorless, Colorless"
"Weedle","40","1","Poison Sting","10","Grass","Common","Pokemon","Basic","1","xy12-5","Grass"
"Kakuna","80","2","Stiffen","","Grass","Uncommon","Pokemon","Stage 1","2","xy12-6","Colorless, Colorless"
"Beedrill","120","1","Poison Sting","30","Grass","Rare","Pokemon","Stage 2","","xy12-7","Grass"
"Tangela","80","2","Bind","20","Grass","Common","Pokemon","Basic","2","xy12-8","Grass, Colorless"
"Charmander","60","1","Scratch","10","Fire","Common","Pokemon","Basic","1","xy12-9","Colorless"
"Charmeleon","80","3","Slash","50","Fire","Uncommon","Pokemon","Stage 1","1","xy12-10","Colorless, Colorless, Colorless"
"Charizard","150","4","Fire Spin","200","Fire","Rare Holo","Pokemon","Stage 2","3","xy12-11","Fire, Fire, Fire, Fire"
"Vulpix","60","2","Confuse Ray","20","Fire","Common","Pokemon","Basic","1","xy12-14","Fire, Fire"
"Ninetales","100","1","Lure","","Fire","Rare Holo","Pokemon","Stage 1","1","xy12-15","Fire"
"Growlithe","70","1","Hind Kick","10","Fire","Common","Pokemon","Basic","2","xy12-17","Colorless"
"Arcanine","130","4","Scorching Breath","150","Fire","Rare","Pokemon","Stage 1","2","xy12-18","Fire, Fire, Fire, Colorless"
"Ponyta","60","2","Smash Kick","20","Fire","Common","Pokemon","Basic","1","xy12-19","Colorless, Colorless"
"Magmar","80","2","Fire Punch","30","Fire","Uncommon","Pokemon","Basic","2","xy12-20","Fire, Fire"
"Poliwag","60","2","Water Gun","30","Water","Common","Pokemon","Basic","1","xy12-23","Water, Water"
"Poliwhirl","80","2","Amnesia","30","Water","Uncommon","Pokemon","Stage 1","1","xy12-24","Water, Water"
"Poliwrath","140","1","Dashing Punch","50+","Water","Rare Holo","Pokemon","Stage 2","2","xy12-25","Water"
"Seel","80","1","Growl","","Water","Common","Pokemon","Basic","2","xy12-28","Colorless"
"Dewgong","120","1","Super Deep Dive","","Water","Rare","Pokemon","Stage 1","3","xy12-29","Water"
"Staryu","60","1","Quick Blow","10+","Water","Common","Pokemon","Basic","1","xy12-30","Water"
"Starmie","90","2","Star Freeze","30","Water","Rare","Pokemon","Stage 1","1","xy12-31","Water, Colorless"
"Magikarp","30","1","Flail","10×","Water","Common","Pokemon","Basic","1","xy12-33","Water"
"Gyarados","130","3","Bubble Beam","50","Water","Rare Holo","Pokemon","Stage 1","3","xy12-34","Water, Water, Water"
"Pikachu","60","1","Gnaw","10","Lightning","Common","Pokemon","Basic","1","xy12-35","Colorless"
"Raichu","100","1","Energize","","Lightning","Rare Holo","Pokemon","Stage 1","1","xy12-36","Lightning"
"Magnemite","50","1","Thunder Wave","","Lightning","Common","Pokemon","Basic","1","xy12-37","Lightning"
"Magneton","80","2","Thunder Wave","30","Lightning","Rare Holo","Pokemon","Stage 1","1","xy12-38","Lightning, Colorless"
"Voltorb","60","1","Continuous Tumble","10×","Lightning","Common","Pokemon","Basic","1","xy12-39","Colorless"
"Electrode","80","3","Head Bolt","70","Lightning","Rare","Pokemon","Stage 1","1","xy12-40","Lightning, Lightning, Colorless"
"Electabuzz","70","1","Thunder Shock","10","Lightning","Common","Pokemon","Basic","2","xy12-41","Lightning"
"Zapdos","110","4","Thunder","90","Lightning","Rare Holo","Pokemon","Basic","2","xy12-42","Lightning, Lightning, Colorless, Colorless"
"Nidoran ♂","60","1","Double Stab","10×","Psychic","Common","Pokemon","Basic","1","xy12-43","Psychic"
"Nidorino","90","1","Horn Attack","20","Psychic","Uncommon","Pokemon","Stage 1","2","xy12-44","Psychic"
"Nidoking","150","2","Rumble","40","Psychic","Rare Holo","Pokemon","Stage 2","3","xy12-45","Psychic, Colorless"
"Gastly","40","1","Little Grudge","","Psychic","Common","Pokemon","Basic","1","xy12-47","Psychic"
