"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"xy2-1","Caterpie","Pokémon","40","Grass","Metapod",,"1","Sumiyoshi Kizuki","Common","For protection, it releases a horrible stench from the antennae on its head to drive away enemies.","10",,"https://images.pokemontcg.io/xy2/1.png","https://images.pokemontcg.io/xy2/1_hires.png","Legal",,"Legal","Colorless","1","Adaptive Evolution","This Pokémon can evolve during your first turn or the turn you play it.","Ability","","","","Bug Bite","Grass","1","10","","","","","","","Fire","×2"
"xy2-2","Metapod","Pokémon","70","Grass","Butterfree","Caterpie","2","kawayoo","Uncommon","A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.","11",,"https://images.pokemontcg.io/xy2/2.png","https://images.pokemontcg.io/xy2/2_hires.png","Legal",,"Legal","Colorless, Colorless","2","Adaptive Evolution","This Pokémon can evolve during your first turn or the turn you play it.","Ability","","","","Harden","Colorless, Colorless","2","","During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.","","","","","","Fire","×2"
"xy2-3","Butterfree","Pokémon","130","Grass","","Metapod","3","sui","Rare","It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.","12",,"https://images.pokemontcg.io/xy2/3.png","https://images.pokemontcg.io/xy2/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Quiver Dance","Grass","1","","Search your deck for a basic Energy card and attach it to this Pokémon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokémon.","Gust","Grass, Colorless, Colorless","3","70","","Lightning","×2"
"xy2-4","Pineco","Pokémon","60","Grass","Forretress",,"4","Suwama Chiaki","Common","It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.","204",,"https://images.pokemontcg.io/xy2/4.png","https://images.pokemontcg.io/xy2/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Ram","Colorless, Colorless","2","20","","","","","","","Fire","×2"
"xy2-5","Seedot","Pokémon","50","Grass","Nuzleaf",,"5","Naoyo Kimura","Common","It attaches itself to a tree branch using the top of its head. Strong winds can sometimes make it fall.","273",,"https://images.pokemontcg.io/xy2/5.png","https://images.pokemontcg.io/xy2/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Call for Family","Colorless","1","","Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.","","","","","","Fire","×2"
"xy2-6","Nuzleaf","Pokémon","80","Grass","Shiftry","Seedot","6","Midori Harada","Uncommon","The sound of its grass flute makes its listeners uneasy. It lives deep in forests.","274",,"https://images.pokemontcg.io/xy2/6.png","https://images.pokemontcg.io/xy2/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Razor Leaf","Colorless","1","20","","Cut","Grass, Colorless, Colorless","3","40","","Fire","×2"
"xy2-7","Shiftry","Pokémon","140","Grass","","Nuzleaf","7","Kouki Saitou","Rare Holo","A Pokémon that was feared as a forest guardian. It can read the foe's mind and take preemptive action.","275",,"https://images.pokemontcg.io/xy2/7.png","https://images.pokemontcg.io/xy2/7_hires.png","Legal",,"Legal","Colorless, Colorless","2","Leaf Draw","Once during your turn (before your attack), you may discard a Grass Energy card from your hand. If you do, draw 3 cards.","Ability","","","","Deranged Dance","Grass, Colorless, Colorless","3","20×","This attack does 20 damage times the number of Benched Pokémon (both yours and your opponent's).","","","","","","Fire","×2"
"xy2-8","Roselia","Pokémon","60","Grass","Roserade",,"8","kirisAki","Common","It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is.","315",,"https://images.pokemontcg.io/xy2/8.png","https://images.pokemontcg.io/xy2/8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Sleep Powder","Grass","1","10","Flip a coin. If heads, your opponent's Active Pokémon is now Asleep.","Cut","Grass, Grass","2","20","","Fire","×2"
"xy2-9","Roserade","Pokémon","90","Grass","","Roselia","9","Masakazu Fukuda","Uncommon","Luring prey with a sweet scent, it uses poison whips on its arms to poison, bind, and finish off the prey.","407",,"https://images.pokemontcg.io/xy2/9.png","https://images.pokemontcg.io/xy2/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Whiplash","Grass","1","","Flip a coin until you get tails. For each heads, discard an Energy attached to your opponent's Active Pokémon.","Mega Drain","Grass, Grass, Grass","3","70","Heal 20 damage from this Pokémon.","Fire","×2"
"xy2-10","Maractus","Pokémon","90","Grass","",,"10","match","Uncommon","It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.","556",,"https://images.pokemontcg.io/xy2/10.png","https://images.pokemontcg.io/xy2/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Exciting Shake","Grass","1","","During your next turn, flip 6 coins instead of 2 for this Pokémon's Prickly Needles attack.","Prickly Needles","Colorless, Colorless","2","20×","Flip 2 coins. This attack does 20 damage times the number of heads.","Fire","×2"
