"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"xy3-1","Bellsprout","Pokemon","Basic","50","Grass","1","Common","Vine Whip: Cost=[], Damage=10, Text= | Knock Off: Cost=[], Damage=, Text=Discard a random card from your opponent's hand."
"xy3-2","Weepinbell","Pokemon","Stage 1","80","Grass","2","Uncommon","Vine Whip: Cost=[], Damage=20, Text= | Spit Poison: Cost=[], Damage=40, Text=Your opponent's Active Pokemon is now Poisoned."
"xy3-3","Victreebel","Pokemon","Stage 2","130","Grass","2","Rare Holo","Spiral Drain: Cost=[], Damage=60, Text=Heal 30 damage from this Pokemon."
"xy3-6","Shroomish","Pokemon","Basic","60","Grass","1","Common","Tackle: Cost=[], Damage=10, Text="
"xy3-7","Leafeon","Pokemon","Stage 1","90","Grass","1","Rare","Soothing Scent: Cost=[], Damage=30, Text=Your opponent's Active Pokemon is now Asleep. | Magical Leaf: Cost=[], Damage=50+, Text=Flip a coin. If heads, this attack does 30 more damage and heal 30 damage from this Pokemon."
"xy3-8","Shelmet","Pokemon","Basic","60","Grass","3","Common","Jump On: Cost=[], Damage=10+, Text=Flip a coin. If heads, this attack does 10 more damage."
"xy3-9","Accelgor","Pokemon","Stage 1","90","Grass","","Uncommon","Raid: Cost=[], Damage=20+, Text=If this Pokemon evolved from Shelmet during this turn, this attack does 40 more damage. | Afterimage Strike: Cost=[], Damage=40, Text=If any damage is done to this Pokemon by attacks during your opponent's next turn, flip a coin. If heads, prevent that damage."
"xy3-10","Magmar","Pokemon","Basic","80","Fire","2","Common","Ram: Cost=[], Damage=10, Text= | Ember: Cost=[], Damage=30, Text=Discard a Fire Energy attached to this Pokemon."
"xy3-11","Magmortar","Pokemon","Stage 1","120","Fire","3","Rare","Flame Charge: Cost=[], Damage=30, Text=Search your deck for a Fire Energy card and attach it to this Pokemon. Shuffle your deck afterward. | Twin Bursts: Cost=[], Damage=80+, Text=If Electivire is on your Bench, this attack does 80 more damage."
"xy3-12","Torchic","Pokemon","Basic","60","Fire","1","Common","Quick Attack: Cost=[], Damage=10+, Text=Flip a coin. If heads, this attack does 30 more damage."
"xy3-13","Combusken","Pokemon","Stage 1","80","Fire","1","Uncommon","Slash: Cost=[], Damage=30, Text= | Midair Strike: Cost=[], Damage=50+, Text=Flip a coin. If heads, this attack does 20 more damage."
"xy3-14","Blaziken","Pokemon","Stage 2","140","Fire","2","Rare Holo","Clutch: Cost=[], Damage=50, Text=The Defending Pokemon can't retreat during your opponent's next turn. | Burning Shot: Cost=[], Damage=, Text=Discard 2 Energy attached to this Pokemon. This attack does 150 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"xy3-15","Poliwag","Pokemon","Basic","60","Water","1","Common","Rain Splash: Cost=[], Damage=10, Text= | Spiral Current: Cost=[], Damage=20, Text=Your opponent's Active Pokemon is now Confused. That Pokemon can't retreat during your opponent's next turn."
"xy3-16","Poliwhirl","Pokemon","Stage 1","80","Water","1","Uncommon","Rain Splash: Cost=[], Damage=20, Text= | Finishing Blow: Cost=[], Damage=50+, Text=If your opponent's Active Pokemon already has any damage counters on it, this attack does 50 more damage."
"xy3-17","Poliwrath","Pokemon","Stage 2","140","Water","3","Rare Holo","Steamroll: Cost=[], Damage=60, Text=This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Submission: Cost=[], Damage=130, Text=This Pokemon does 30 damage to itself."
"xy3-18","Politoed","Pokemon","Stage 2","130","Water","1","Rare","Hyper Voice: Cost=[], Damage=70, Text="
"xy3-19","Glaceon","Pokemon","Stage 1","90","Water","1","Rare","Blizzard: Cost=[], Damage=30, Text=This Pokemon does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Ice Edge: Cost=[], Damage=60+, Text=Flip a coin. If heads, this attack does 30 more damage."
"xy3-21","Cubchoo","Pokemon","Basic","70","Water","2","Common","Fury Swipes: Cost=[], Damage=10×, Text=Flip 3 coins. This attack does 10 damage times the number of heads. | Frost Breath: Cost=[], Damage=40, Text="
"xy3-22","Beartic","Pokemon","Stage 1","130","Water","4","Rare","Igloo Hold: Cost=[], Damage=20+, Text=This attack does 20 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost. | Mountain Drop: Cost=[], Damage=80+, Text=If there is any Stadium card in play, this attack does 40 more damage."
"xy3-23","Clauncher","Pokemon","Basic","60","Water","1","Common","Bubble: Cost=[], Damage=, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | Crabhammer: Cost=[], Damage=30, Text="
"xy3-24","Clawitzer","Pokemon","Stage 1","100","Water","2","Rare Holo","Reverse Thrust: Cost=[], Damage=30, Text=Switch this Pokemon with 1 of your Benched Pokemon. | Splash Cannon: Cost=[], Damage=50+, Text=This attack does 20 more damage for each Water Energy attached to this Pokemon."
"xy3-25","Amaura","Pokemon","Restored","90","Water","3","Uncommon","Stampede: Cost=[], Damage=20, Text= | Aurora Beam: Cost=[], Damage=50, Text="
"xy3-26","Aurorus","Pokemon","Stage 1","130","Water","3","Rare","Icy Wind: Cost=[], Damage=70, Text=Your opponent's Active Pokemon is now Asleep."
"xy3-27","Pikachu","Pokemon","Basic","60","Lightning","1","Common","Thunder Shock: Cost=[], Damage=20, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"xy3-28","Raichu","Pokemon","Stage 1","90","Lightning","1","Uncommon","Thunder Shock: Cost=[], Damage=30, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. | Electro Ball: Cost=[], Damage=80, Text="
"xy3-29","Electabuzz","Pokemon","Basic","80","Lightning","2","Common","Light Punch: Cost=[], Damage=10, Text= | Ambush: Cost=[], Damage=20, Text=Flip a coin. If heads, this attack does 20 more damage."
"xy3-30","Electivire","Pokemon","Stage 1","120","Lightning","3","Rare","Tag Team Spark: Cost=[], Damage=20+, Text=This attack does 20 more damage for each Energy attached to your Magmortar. | Gigavolt: Cost=[], Damage=60+, Text=Flip a coin. If heads, this attack does 30 more damage. If tails, your opponent's Active Pokemon is now Paralyzed."
"xy3-31","Plusle","Pokemon","Basic","70","Lightning","1","Common","Positive Hand: Cost=[], Damage=, Text=Discard a basic Energy card from your hand. If you do, draw 2 cards. | Electric Tail: Cost=[], Damage=30, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"xy3-32","Minun","Pokemon","Basic","70","Lightning","1","Common","Negative Discard: Cost=[], Damage=, Text=Put 2 basic Energy cards from your discard pile into your hand. | Static Shock: Cost=[], Damage=20, Text="
"xy3-33","Thundurus","Pokemon","Basic","120","Lightning","1","Rare","Raging Thunder Punch: Cost=[], Damage=30+, Text=If your opponent's Active Pokemon has a Pokemon Tool card attached to it, this attack does 30 more damage. | Lightning Slam: Cost=[], Damage=100, Text=This Pokemon can't use Lightning Slam during your next turn."
"xy3-34","Dedenne","Pokemon","Basic","70","Lightning","1","Uncommon","Entrainment: Cost=[], Damage=, Text=Search your deck for up to 2 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward. | Energy Short: Cost=[], Damage=20×, Text=This attack does 20 damage times the amount of Energy attached to your opponent's Active Pokemon."
"xy3-35","Drowzee","Pokemon","Basic","70","Psychic","2","Common","Sinister Suggestion: Cost=[], Damage=, Text=Whenever your opponent flips a coin during his or her next turn, treat it as tails. | Psyshot: Cost=[], Damage=20, Text="
"xy3-36","Hypno","Pokemon","Stage 1","90","Psychic","2","Rare","Hand Control: Cost=[], Damage=, Text=Your opponent reveals his or her hand. You may choose a Supporter card you find there. If you do, your opponent plays that Supporter card. However, you make all decisions for that card. (That Supporter card is discarded.) | Hypnoblast: Cost=[], Damage=60, Text=Your opponent's Active Pokemon is now Asleep."
"xy3-37","Jynx","Pokemon","Basic","70","Psychic","1","Rare","Hug: Cost=[], Damage=30, Text=The Defending Pokemon can't retreat during your opponent's next turn."
"xy3-38","Skorupi","Pokemon","Basic","70","Psychic","2","Common","Poison Sting: Cost=[], Damage=, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned. | Pierce: Cost=[], Damage=30, Text="
"xy3-39","Gothita","Pokemon","Basic","50","Psychic","1","Common","Slap: Cost=[], Damage=10, Text= | Psy Bolt: Cost=[], Damage=10, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"xy3-40","Gothorita","Pokemon","Stage 1","80","Psychic","1","Uncommon","Fortunate Eye: Cost=[], Damage=, Text=Look at the top 5 cards of your opponent's deck and put them back on top of his or her deck in any order. | Smack: Cost=[], Damage=30, Text="
"xy3-41","Gothitelle","Pokemon","Stage 2","130","Psychic","2","Rare","Psy Report: Cost=[], Damage=60, Text=Your opponent reveals his or her hand."
"xy3-42","Golett","Pokemon","Basic","90","Psychic","3","Common","Pound: Cost=[], Damage=20, Text= | Rock Smash: Cost=[], Damage=30+, Text=Flip a coin. If heads, this attack does 30 more damage."
"xy3-43","Golurk","Pokemon","Stage 1","130","Psychic","4","Rare","Wreck: Cost=[], Damage=60+, Text=If there is any Stadium card in play, this attack does 60 more damage. Discard that Stadium card. | Golurk Hammer: Cost=[], Damage=100, Text="
"xy3-44","Machop","Pokemon","Basic","70","Fighting","2","Common","Knuckle Punch: Cost=[], Damage=10, Text="
"xy3-45","Machoke","Pokemon","Stage 1","90","Fighting","2","Uncommon","Beatdown: Cost=[], Damage=40, Text="
