"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","RTCOST","Rarity"
"xy4-1","Venonat","Pokemon","Basic","60","Grass","Colorless","1","Common"
"xy4-2","Venomoth","Pokemon","Stage 1","90","Grass","Colorless","1","Rare"
"xy4-3","Yanma","Pokemon","Basic","70","Grass","Colorless","1","Common"
"xy4-4","Yanmega","Pokemon","Stage 1","110","Grass","","0","Rare"
"xy4-5","Sewaddle","Pokemon","Basic","50","Grass","Colorless","1","Common"
"xy4-6","Swadloon","Pokemon","Stage 1","70","Grass","Colorless","1","Uncommon"
"xy4-7","Leavanny","Pokemon","Stage 2","130","Grass","Colorless","1","Rare"
"xy4-8","Karrablast","Pokemon","Basic","50","Grass","Colorless","1","Common"
"xy4-9","Fletchinder","Pokemon","Stage 1","80","Fire","Colorless","1","Uncommon"
"xy4-10","Talonflame","Pokemon","Stage 2","130","Fire","Colorless","1","Rare"
"xy4-11","Litleo","Pokemon","Basic","60","Fire","Colorless, Colorless","2","Common"
"xy4-12","Pyroar","Pokemon","Stage 1","110","Fire","Colorless, Colorless","2","Rare Holo"
"xy4-13","Krabby","Pokemon","Basic","70","Water","Colorless, Colorless","2","Common"
"xy4-14","Kingler","Pokemon","Stage 1","100","Water","Colorless, Colorless, Colorless","3","Uncommon"
"xy4-15","Totodile","Pokemon","Basic","60","Water","Colorless","1","Common"
"xy4-16","Croconaw","Pokemon","Stage 1","80","Water","Colorless, Colorless","2","Uncommon"
"xy4-17","Feraligatr","Pokemon","Stage 2","150","Water","Colorless, Colorless, Colorless","3","Rare Holo"
"xy4-18","Finneon","Pokemon","Basic","50","Water","Colorless","1","Common"
"xy4-19","Lumineon","Pokemon","Stage 1","80","Water","Colorless","1","Uncommon"
"xy4-20","Frillish","Pokemon","Basic","70","Water","Colorless, Colorless","2","Common"
"xy4-21","Jellicent","Pokemon","Stage 1","100","Water","Colorless, Colorless, Colorless","3","Rare"
"xy4-22","Alomomola","Pokemon","Basic","100","Water","Colorless, Colorless, Colorless","3","Common"
"xy4-25","Pachirisu","Pokemon","Basic","70","Lightning","Colorless","1","Rare"
"xy4-26","Joltik","Pokemon","Basic","30","Lightning","Colorless","1","Common"
"xy4-27","Galvantula","Pokemon","Stage 1","80","Lightning","Colorless","1","Rare"
"xy4-28","Helioptile","Pokemon","Basic","60","Lightning","Colorless","1","Common"
"xy4-29","Helioptile","Pokemon","Basic","50","Lightning","Colorless","1","Common"
"xy4-30","Heliolisk","Pokemon","Stage 1","90","Lightning","Colorless","1","Rare Holo"
"xy4-31","Zubat","Pokemon","Basic","50","Psychic","Colorless","1","Common"
"xy4-32","Golbat","Pokemon","Stage 1","70","Psychic","","0","Uncommon"
"xy4-33","Crobat","Pokemon","Stage 2","130","Psychic","","0","Rare"
"xy4-36","Wobbuffet","Pokemon","Basic","110","Psychic","Colorless, Colorless","2","Uncommon"
"xy4-37","Gulpin","Pokemon","Basic","60","Psychic","Colorless, Colorless","2","Common"
