"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"xy9-1","Chikorita","Pokemon","Basic","60","Grass","1","Common","","Tackle: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Blot: Cost=[Grass, Colorless], EnergyCost=[2], Damage=10, Text=Heal 10 damage from this Pokemon."
"xy9-2","Bayleef","Pokemon","Stage 1","90","Grass","2","Uncommon","","Body Slam: Cost=[Colorless], EnergyCost=[1], Damage=20, Text=Flip a coin. If heads, your opponent's active Pokemon is now Paralyzed. | Vine Whip: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30, Text="
"xy9-3","Meganium","Pokemon","Stage 2","150","Grass","3","Rare Holo","Overgrow: Effect=[If this Pokemon's remaining HP is 50 or less, its attacks do 70 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).]","Green Force: Cost=[Grass, Grass, Colorless], EnergyCost=[3], Damage=50, Text=Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon."
"xy9-4","Seedot","Pokemon","Basic","50","Grass","1","Common","","Ram: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"xy9-5","Kricketot","Pokemon","Basic","60","Grass","1","Common","","Bug Hunch: Cost=[Grass], EnergyCost=[1], Damage=, Text=Search your deck for up to 3 Grass Pokemon, reveal them, and put them into your hand. Shuffle your deck afterward."
"xy9-6","Kricketune","Pokemon","Stage 1","90","Grass","1","Uncommon","","Screech: Cost=[Colorless], EnergyCost=[1], Damage=, Text=During your next turn, any damage done to the Defending Pokemon by attacks is increased by 60 (after applying Weakness and Resistance). | Slash: Cost=[Grass], EnergyCost=[1], Damage=40, Text="
"xy9-7","Petilil","Pokemon","Basic","50","Grass","1","Common","","Aromatherapy: Cost=[Grass], EnergyCost=[1], Damage=, Text=Heal 10 damage from each of your Pokemon."
"xy9-8","Lilligant","Pokemon","Stage 1","80","Grass","1","Rare","","Boo-Hoo: Cost=[Grass], EnergyCost=[1], Damage=20, Text=If your opponent attaches an Energy card from his or her hand to the Defending Pokemon during his or her next turn, that Pokemon will be Asleep. | Leaf Slice: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30×, Text=Flip 2 coins. This attack does 30 damage times the number of heads."
"xy9-9","Durant","Pokemon","Basic","70","Grass","1","Uncommon","","Mountain Munch: Cost=[Grass], EnergyCost=[1], Damage=10, Text=Discard the top card of your opponent's deck. | Scrape Down: Cost=[Grass, Colorless], EnergyCost=[2], Damage=, Text=If this Pokemon has any damage counters on it, discard the top 4 cards of your opponent's deck."
"xy9-10","Growlithe","Pokemon","Basic","70","Fire","2","Common","","Bite: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"xy9-11","Arcanine","Pokemon","Stage 1","110","Fire","2","Uncommon","","Flop: Cost=[Colorless], EnergyCost=[1], Damage=30, Text= | Flamethrower: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=90, Text=Discard an Energy attached to this Pokemon."
"xy9-12","Numel","Pokemon","Basic","80","Fire","3","Common","","Tackle: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Combustion: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=40, Text="
"xy9-13","Camerupt","Pokemon","Stage 1","130","Fire","4","Rare","","Ram: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text= | Eruption: Cost=[Fire, Fire, Colorless], EnergyCost=[3], Damage=80+, Text=Each player discards the top card of his or her deck. This attack does 60 more damage for each Energy card discarded in this way."
"xy9-15","Heatmor","Pokemon","Basic","100","Fire","2","Uncommon","","Reinforced Flame: Cost=[Fire], EnergyCost=[1], Damage=20+, Text=If this Pokemon has a Pokemon Tool card attached to it, this attack does 20 more damage. | Heat Blast: Cost=[Fire, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"xy9-16","Psyduck","Pokemon","Basic","60","Water","1","Common","","Stampede: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"xy9-17","Golduck","Pokemon","Stage 1","100","Water","1","Rare","","Derail: Cost=[Water], EnergyCost=[1], Damage=20, Text=Discard a Special Energy attached to your opponent's Active Pokemon. | Hydro Splash: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"xy9-19","Slowpoke","Pokemon","Basic","70","Water","2","Common","","Headbutt: Cost=[Colorless], EnergyCost=[1], Damage=10, Text= | Tail Lure: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=, Text=Search your deck for a Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward."
"xy9-20","Slowbro","Pokemon","Stage 1","100","Water","2","Uncommon","","Careless Head: Cost=[Water], EnergyCost=[1], Damage=10+, Text=Flip a coin. If heads, this attack does 50 more damage. | Walk-Off Homer: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=, Text=If you use this attack when you have only 1 Prize card left, you win this game."
"xy9-21","Slowking","Pokemon","Stage 1","100","Water","2","Rare Holo","Royal Flash: Effect=[Once during your turn (before your attack), you may flip a coin. If heads, move an Energy from your opponent's Active Pokemon to 1 of his or her Benched Pokemon.]","Psych Up: Cost=[Water, Colorless], EnergyCost=[2], Damage=40, Text=During your next turn, this Pokemon's Psych Up attack does 40 more damage (before applying Weakness and Resistance)."
"xy9-22","Shellder","Pokemon","Basic","60","Water","2","Common","","Razor Shell: Cost=[Water], EnergyCost=[1], Damage=10+, Text=Flip a coin. If heads, this attack does 10 more damage."
"xy9-23","Shellder","Pokemon","Basic","60","Water","1","Common","","Clamp: Cost=[Water, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed. If tails, this attack does nothing."
"xy9-24","Cloyster","Pokemon","Stage 1","100","Water","2","Uncommon","","Sudden Grip: Cost=[Water], EnergyCost=[1], Damage=10, Text=If this Pokemon evolved from Shellder during this turn, your opponent's Active Pokemon is now Paralyzed. | Surf: Cost=[Water, Colorless, Colorless], EnergyCost=[3], Damage=70, Text="
"xy9-25","Staryu","Pokemon","Basic","40","Water","","Common","","Smack: Cost=[Water], EnergyCost=[1], Damage=20, Text="
"xy9-28","Lapras","Pokemon","Basic","120","Water","2","Uncommon","","Errand-Running: Cost=[Water], EnergyCost=[1], Damage=, Text=Search your deck for a Trainer card, reveal it, and put it into your hand. Shuffle your deck afterward. | Water Splash: Cost=[Water, Water, Colorless], EnergyCost=[3], Damage=80+, Text=Flip a coin. If heads, this attack does 20 more damage."
"xy9-29","Corsola","Pokemon","Basic","80","Water","1","Common","","Spike Cannon: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30×, Text=Flip 2 coins. This attack does 30 damage times the number of heads. | Power Gem: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=50, Text="
"xy9-30","Suicune","Pokemon","Basic","120","Water","1","Rare Holo","Wind Charm: Effect=[As long as this Pokemon is your Active Pokemon, prevent all effects of your opponent's attacks, except damage, done to each of your Pokemon. (Existing effects are not removed.)]","Aurora Beam: Cost=[Water, Water, Water], EnergyCost=[3], Damage=110, Text="
"xy9-33","Tympole","Pokemon","Basic","60","Water","1","Common","","Get Loud: Cost=[Water], EnergyCost=[1], Damage=10, Text= | Round: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=10×, Text=This attack does 10 damage times the number of your Pokemon in play that have the Round attack."
"xy9-34","Palpitoad","Pokemon","Stage 1","90","Water","3","Uncommon","","Frog Hop: Cost=[Water, Water], EnergyCost=[2], Damage=20+, Text=Flip a coin. If heads, this attack does 20 more damage. | Mud Shot: Cost=[Water, Water, Water], EnergyCost=[3], Damage=60, Text="
"xy9-35","Seismitoad","Pokemon","Stage 2","150","Water","3","Rare","","Siphon Off: Cost=[Water], EnergyCost=[1], Damage=, Text=Attach 3 Energy cards from your discard pile to this Pokemon. | Shaky Fall: Cost=[Water, Water, Water, Water], EnergyCost=[4], Damage=90, Text=Your opponent's Active Pokemon is now Confused. That Pokemon can't retreat during your opponent's next turn."
"xy9-36","Ducklett","Pokemon","Basic","60","Water","1","Common","","Lunge: Cost=[Colorless], EnergyCost=[1], Damage=20, Text=Flip a coin. If tails, this attack does nothing."
"xy9-37","Swanna","Pokemon","Stage 1","80","Water","","Uncommon","","Wing Attack: Cost=[Colorless], EnergyCost=[1], Damage=20, Text= | Brave Bird: Cost=[Colorless, Colorless, Colorless], EnergyCost=[3], Damage=80, Text=This Pokemon does 20 damage to itself."
"xy9-38","Froakie","Pokemon","Basic","60","Water","1","Common","","Bubble: Cost=[Water], EnergyCost=[1], Damage=, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
"xy9-39","Frogadier","Pokemon","Stage 1","70","Water","1","Uncommon","","Water Duplicates: Cost=[Water], EnergyCost=[1], Damage=, Text=Search your deck for up to 3 Frogadier and put them onto your Bench. Shuffle your deck afterward."
"xy9-40","Greninja","Pokemon","Stage 2","130","Water","","Rare","","Shadow Stitching: Cost=[Colorless], EnergyCost=[1], Damage=40, Text=Until the end of your opponent's next turn, each Pokemon your opponent has in play, in his or her hand, and in his or her discard pile has no Abilities. (This includes cards that come into play on that turn.) | Moonlight Slash: Cost=[Water], EnergyCost=[1], Damage=60+, Text=You may return a Water Energy from this Pokemon to your hand. If you do, this attack does 20 more damage."
"xy9-42","Electabuzz","Pokemon","Basic","70","Lightning","2","Common","","Knuckle Punch: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=20, Text="
"xy9-43","Electivire","Pokemon","Stage 1","110","Lightning","3","Uncommon","","Knuckle Punch: Cost=[Colorless, Colorless], EnergyCost=[2], Damage=30, Text= | Electroslug: Cost=[Lightning, Lightning, Colorless], EnergyCost=[3], Damage=90, Text="
"xy9-44","Shinx","Pokemon","Basic","60","Lightning","1","Common","","Roar: Cost=[Colorless], EnergyCost=[1], Damage=, Text=Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon. | Flop: Cost=[Colorless], EnergyCost=[1], Damage=10, Text="
"xy9-45","Luxio","Pokemon","Stage 1","80","Lightning","1","Uncommon","","Bite: Cost=[Colorless], EnergyCost=[1], Damage=30, Text= | Thunder Fang: Cost=[Lightning, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
