"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Ability","Attacks"
"xyp-XY01","Chespin","Pokemon","Basic","60","Grass","1","Promo","","Vine Whip: Cost=[Grass], EnergyCost=[1], Damage=10, Text= | Seed Bomb: Cost=[Grass, Colorless], EnergyCost=[2], Damage=20, Text="
"xyp-XY02","Fennekin","Pokemon","Basic","60","Fire","1","Promo","","Scratch: Cost=[Fire], EnergyCost=[1], Damage=10, Text= | Live Coal: Cost=[Fire, Colorless], EnergyCost=[2], Damage=20, Text="
"xyp-XY03","Froakie","Pokemon","Basic","60","Water","1","Promo","","Pound: Cost=[Water], EnergyCost=[1], Damage=10, Text= | Water Drip: Cost=[Water, Colorless], EnergyCost=[2], Damage=20, Text="
"xyp-XY04","Sylveon","Pokemon","Stage 1","90","Fairy","1","Promo","","Disarming Voice: Cost=[Fairy], EnergyCost=[1], Damage=20, Text=Your opponent's Active Pokemon is now Confused. | Fairy Wind: Cost=[Fairy, Colorless, Colorless], EnergyCost=[3], Damage=60, Text="
"xyp-XY05","Xerneas","Pokemon","Basic","130","Fairy","2","Promo","","Geomancy: Cost=[Fairy], EnergyCost=[1], Damage=, Text=Choose 2 of your Benched Pokemon. For each of those Pokemon, search your deck for a Fairy Energy card and attach it to that Pokemon. Shuffle your deck afterward. | Rainbow Spear: Cost=[Fairy, Fairy, Colorless], EnergyCost=[3], Damage=100, Text=Discard an Energy attached to this Pokemon."
"xyp-XY06","Yveltal","Pokemon","Basic","130","Darkness","2","Promo","","Oblivion Wing: Cost=[Darkness], EnergyCost=[1], Damage=30, Text=Attach a Darkness Energy card from your discard pile to 1 of your Benched Pokemon. | Darkness Blade: Cost=[Darkness, Darkness, Colorless], EnergyCost=[3], Damage=100, Text=Flip a coin. If tails, this Pokemon can't attack during your next turn."
"xyp-XY10","Dragalge","Pokemon","Stage 1","100","Dragon","1","Promo","Poison Barrier: Effect=[Your opponent's Poisoned Pokemon can't retreat.]","Poison Breath: Cost=[Water, Psychic, Colorless], EnergyCost=[3], Damage=60, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned."
"xyp-XY11","Skiddo","Pokemon","Basic","70","Grass","2","Promo","","Take Down: Cost=[Grass, Grass], EnergyCost=[2], Damage=30, Text=This Pokemon does 10 damage to itself."
"xyp-XY12","Honedge","Pokemon","Basic","50","Metal","2","Promo","","Swords Dance: Cost=[Colorless], EnergyCost=[1], Damage=, Text=During your next turn, this Pokemon's Slash attack's base damage is 40. | Slash: Cost=[Metal, Colorless], EnergyCost=[2], Damage=20, Text="
"xyp-XY13","Machamp","Pokemon","Stage 2","150","Fighting","2","Promo","Fighting Fury: Effect=[Each of your Fighting Pokemon's attacks do 20 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).]","Machamp Crush: Cost=[Fighting, Fighting, Fighting], EnergyCost=[3], Damage=80, Text=During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 40 (before applying Weakness and Resistance)."
"xyp-XY14","Trevenant","Pokemon","Stage 1","110","Psychic","3","Promo","","Eerie Wave: Cost=[Psychic], EnergyCost=[1], Damage=20, Text=Your opponent's Active Pokemon is now Confused. | Wood Hammer: Cost=[Psychic, Psychic, Colorless], EnergyCost=[3], Damage=90, Text=Flip a coin. If tails, this Pokemon does 20 damage to itself."
"xyp-XY15","Slurpuff","Pokemon","Stage 1","100","Fairy","2","Promo","","Cotton Guard: Cost=[Fairy, Colorless], EnergyCost=[2], Damage=30, Text=During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 30 (after applying Weakness and Resistance). | Sleepy Ball: Cost=[Fairy, Colorless, Colorless], EnergyCost=[3], Damage=60, Text=Your opponent's Active Pokemon is now Asleep."
"xyp-XY16","Gogoat","Pokemon","Stage 1","110","Grass","3","Promo","","Push Down: Cost=[Grass, Colorless], EnergyCost=[2], Damage=30, Text=Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon. | Forest Press: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=60+, Text=Flip a coin for each Grass Energy attached to this Pokemon. This attack does 30 more damage for each heads."
"xyp-XY21","Bronzong","Pokemon","Stage 1","90","Metal","3","Promo","Metal Links: Effect=[Once during your turn (before your attack), you may attach a Metal Energy card from your discard pile to 1 of your Benched Pokemon.]","Hammer In: Cost=[Metal, Metal, Colorless], EnergyCost=[3], Damage=60, Text="
"xyp-XY22","Darkrai","Pokemon","Basic","120","Darkness","1","Promo","","Hypnoblast: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=30, Text=Your opponent's Active Pokemon is now Asleep. | Deep Wind: Cost=[Darkness, Darkness, Colorless], EnergyCost=[3], Damage=60+, Text=If your opponent's Active Pokemon is Asleep, this attack does 60 more damage and heal 30 damage from this Pokemon."
"xyp-XY23","Shiftry","Pokemon","Stage 2","140","Grass","2","Promo","","Whisk Away: Cost=[Grass], EnergyCost=[1], Damage=30+, Text=Your opponent reveals his or her hand. Choose a Pokemon you find there and put it on the bottom your opponent's deck. If you do, this attack does 30 more damage. | Spirit Dance: Cost=[Grass, Colorless, Colorless], EnergyCost=[3], Damage=60+, Text=Flip 2 coins. This attack does 30 more damage for each heads."
"xyp-XY24","Greninja","Pokemon","Stage 2","130","Darkness","1","Promo","Mist Concealment: Effect=[When you play this Pokemon from your hand to evolve 1 of your Pokemon, you may prevent all effects of attacks, including damage, done to this Pokemon by your opponent's Pokemon during your opponent's next turn.]","Shadow Bullet: Cost=[Darkness, Colorless], EnergyCost=[2], Damage=60, Text=This attack does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness or Resistance for Benched Pokemon.)"
"xyp-XY26","Pyroar","Pokemon","Stage 1","100","Fire","2","Promo","","Crunch: Cost=[Fire, Colorless], EnergyCost=[2], Damage=30, Text=Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon. | Royal Flare: Cost=[Fire, Fire, Colorless, Colorless], EnergyCost=[4], Damage=120, Text=Discard 2 Energy attached to this Pokemon."
"xyp-XY27","Champions Festival","Trainer","Stadium",,"","","Promo","",""
"xyp-XY31","Xerneas","Pokemon","Basic","130","Fairy","2","Promo","","Aurora Gain: Cost=[Fairy, Colorless, Colorless], EnergyCost=[3], Damage=50, Text=During your opponent's next turn, this Pokemon has no weakness. | Light of Life: Cost=[Fairy, Fairy, Colorless, Colorless], EnergyCost=[4], Damage=80+, Text=If your opponent has Yveltal (including Yveltal-EX) in play, this attack does 40 more damage."
