"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"bw10-1","Surskit","Pokemon","50","Grass","Common","Colorless","1","","","Sweet Scent","Grass","1","","Heal 20 damage from 1 of your Pokemon.","","","","","","Fire","x2"
"bw10-2","Masquerain","Pokemon","80","Grass","Rare","Colorless","1","Tool Reversal","As often as you like during your turn (before your attack), you may put a Pokemon Tool card attached to 1 of your Pokemon into your hand.","Bug Bite","Colorless, Colorless, Colorless","3","60","","","","","","","Fire","x2"
"bw10-3","Lileep","Pokemon","80","Grass","Uncommon","Colorless, Colorless","2","Prehistoric Call","Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon on the bottom of your deck.","Spiral Drain","Grass, Colorless","2","20","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"bw10-4","Cradily","Pokemon","120","Grass","Rare","Colorless, Colorless","2","","","Lifesplosion","Grass","1","","For each Energy attached to this Pokemon, search your deck for a Stage 2 Pokemon and put it onto your Bench. Shuffle your deck afterward.","Spiral Drain","Grass, Colorless, Colorless","3","60","Heal 20 damage from this Pokemon.","Fire","x2"
"bw10-5","Tropius","Pokemon","100","Grass","Uncommon","Colorless","1","","","Return","Grass","1","10","Draw cards until you have 6 cards in your hand.","Energy Press","Grass, Colorless","2","20+","Does 20 more damage for each Energy attached to the Defending Pokemon.","Lightning","x2"
"bw10-6","Karrablast","Pokemon","60","Grass","Common","Colorless","1","","","Peck","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"bw10-7","Shelmet","Pokemon","60","Grass","Common","Colorless, Colorless, Colorless","3","","","Yawn","Colorless","1","","The Defending Pokemon is now Asleep.","Ram","Grass, Colorless","2","20","","Fire","x2"
"bw10-8","Accelgor","Pokemon","80","Grass","Rare","","0","","","Retribution","Colorless","1","20","If an Escavalier you had in play was Knocked Out by damage from an opponent's attack during his or her last turn, put all Energy attached to the Defending Pokemon into your opponent's hand.","Signal Beam","Grass, Colorless","2","30","The Defending Pokemon is now Confused.","Fire","x2"
"bw10-10","Genesect","Pokemon","100","Grass","Rare","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for 2 Grass Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.","Jet Impact","Grass, Grass, Colorless","3","80+","Flip a coin. If heads, this attack does 20 more damage.","Fire","x2"
"bw10-12","Larvesta","Pokemon","70","Fire","Common","Colorless, Colorless, Colorless","3","","","Flare","Fire","1","10","","Ember","Fire, Colorless","2","30","Discard an Energy attached to this Pokemon.","Water","x2"
"bw10-13","Volcarona","Pokemon","100","Fire","Rare","Colorless","1","","","Solar Transporter","Colorless","1","","Reveal the top 5 cards of your deck and put all Team Plasma cards you find there into your hand. Discard the other cards.","Leech Life","Fire, Fire, Colorless","3","50","Heal from this Pokemon the same amount of damage you did to the Defending Pokemon.","Water","x2"
"bw10-14","Squirtle","Pokemon","50","Water","Common","Colorless","1","","","Bubble","Water","1","","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Water Gun","Water, Colorless","2","20","","Grass","x2"
"bw10-15","Wartortle","Pokemon","80","Water","Uncommon","Colorless, Colorless","2","","","Bubble","Water","1","","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Double Spin","Water, Colorless, Colorless","3","30x","Flip 2 coins. This attack does 30 damage times the number of heads.","Grass","x2"
