"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"cel25-1","Ho-Oh","Pokemon","130","Fire","Rare","Colorless, Colorless","2","","","Sacred Fire","Fire, Colorless","2","","This attack does 50 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fire Blast","Fire, Fire, Colorless","3","120","Discard an Energy from this Pokemon.","Lightning","x2"
"cel25-2","Reshiram","Pokemon","130","Fire","Rare","Colorless, Colorless, Colorless","3","","","Scorching Wind","Colorless, Colorless","2","","This attack does 20 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Black Flame","Fire, Fire, Colorless","3","80+","If Zekrom is on your Bench, this attack does 80 more damage.","Water","x2"
"cel25-3","Kyogre","Pokemon","130","Water","Rare","Colorless, Colorless, Colorless","3","","","Aqua Storm","Water, Water, Colorless","3","","Discard the top 5 cards of your deck, and then choose 2 of your opponent's Benched Pokemon. This attack does 50 damage for each Energy card you discarded in this way to each of those Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Surf","Water, Water, Colorless, Colorless","4","120","","Lightning","x2"
"cel25-4","Palkia","Pokemon","130","Water","Rare","Colorless, Colorless","2","Absolute Space","As long as this Pokemon is in the Active Spot, your opponent can't play any Stadium cards from their hand.","Overdrive Smash","Water, Colorless, Colorless","3","80+","During your next turn, this Pokemon's Overdrive Smash attack does 80 more damage (before applying Weakness and Resistance).","","","","","","Lightning","x2"
"cel25-5","Pikachu","Pokemon","60","Lightning","Rare Holo","Colorless","1","","","Gnaw","Colorless","1","10","","Thunder Jolt","Lightning, Colorless","2","30","Flip a coin. If tails, this Pokemon also does 10 damage to itself.","Fighting","x2"
"cel25-10","Zekrom","Pokemon","130","Lightning","Rare","Colorless, Colorless, Colorless","3","","","Field Crush","Colorless, Colorless","2","30","If your opponent has a Stadium in play, discard it.","White Thunder","Lightning, Lightning, Colorless","3","80+","If Reshiram is on your Bench, this attack does 80 more damage.","Fighting","x2"
"cel25-11","Mew","Pokemon","60","Psychic","Rare Holo","Colorless","1","Mysterious Tail","Once during your turn, if this Pokemon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Item card you find there, and put it into your hand. Shuffle the other cards back into your deck.","Psyshot","Psychic, Colorless","2","30","","","","","","","Darkness","x2"
"cel25-12","Xerneas","Pokemon","120","Psychic","Rare","Colorless, Colorless","2","","","Breath of Life","Colorless, Colorless","2","","Search your deck for up to 3 basic Energy cards of different types and attach them to your Pokemon in any way you like. Then, shuffle your deck.","Aurora Horns","Psychic, Colorless, Colorless","3","100","","Metal","x2"
"cel25-13","Cosmog","Pokemon","60","Psychic","Rare","Colorless","1","","","Star Protection","Colorless","1","","Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokemon by attacks.","","","","","","Darkness","x2"
"cel25-14","Cosmoem","Pokemon","90","Psychic","Rare","Colorless, Colorless, Colorless","3","","","Star Protection","Colorless","1","","Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokemon by attacks.","","","","","","Darkness","x2"
"cel25-15","Lunala","Pokemon","160","Psychic","Rare Holo","Colorless, Colorless","2","","","Lunar Pain","Colorless, Colorless","2","","Double the number of damage counters on each of your opponent's Pokemon.","Psychic Shot","Psychic, Colorless, Colorless","3","130","This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Darkness","x2"
"cel25-17","Groudon","Pokemon","130","Fighting","Rare","Colorless, Colorless, Colorless","3","","","Magma Volcano","Fighting, Fighting, Colorless","3","80x","Discard the top 5 cards of your deck. This attack does 80 damage for each Energy card you discarded in this way.","Massive Rend","Fighting, Fighting, Colorless, Colorless","4","120","","Grass","x2"
"cel25-19","Yveltal","Pokemon","120","Darkness","Rare","Colorless, Colorless","2","","","Cry of Destruction","Colorless, Colorless","2","","Discard up to 3 Special Energy from your opponent's Pokemon.","Dark Feather","Darkness, Colorless, Colorless","3","100","","Lightning","x2"
"cel25-20","Dialga","Pokemon","130","Metal","Rare","Colorless, Colorless","2","","","Temporal Backflow","Metal","1","","Put a card from your discard pile into your hand.","Metal Blast","Colorless, Colorless, Colorless","3","60+","This attack does 20 more damage for each Metal Energy attached to this Pokemon.","Fire","x2"
"cel25-21","Solgaleo","Pokemon","170","Metal","Rare Holo","Colorless, Colorless","2","Rush In","Once during your turn, if this Pokemon is on your Bench, you may switch it with your Active Pokemon.","Solar Geyser","Colorless, Colorless","2","100","Attach up to 2 basic Energy cards from your discard pile to 1 of your Benched Pokemon.","","","","","","Fire","x2"
"cel25-22","Lugia","Pokemon","130","Colorless","Rare","Colorless, Colorless","2","","","Aero Ball","Colorless, Colorless","2","20x","This attack does 20 damage for each Energy attached to both Active Pokemon.","Deep Crush","Colorless, Colorless, Colorless, Colorless","4","160","During your next turn, this Pokemon can't attack.","Lightning","x2"
"cel25-23","Professor's Research (Professor Oak)","Trainer",,"","Rare Holo","","0","","","","","","","","","","","","",,
"cel25-25","Mew","Pokemon","60","Psychic","Rare Holo","Colorless","1","Mysterious Tail","Once during your turn, if this Pokemon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Item card you find there, and put it into your hand. Shuffle the other cards back into your deck.","Psyshot","Psychic, Colorless","2","30","","","","","","","Darkness","x2"
