"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"col1-1","Clefable","Pokemon","80","Colorless","Rare Holo","Colorless","1","","","Fairy Power","Colorless, Colorless","2","","Return 1 of your Pokemon and all cards attached to it in your hand.","Moon Impact","Colorless, Colorless","2","40","","Fighting","x2"
"col1-2","Deoxys","Pokemon","80","Psychic","Rare Holo","Colorless","1","","","Cell Storm","Psychic, Psychic, Psychic","3","60","Discard 2 Psychic Energy attached to Deoxys and remove 6 damage counters from Deoxys.","","","","","","Psychic","x2"
"col1-3","Dialga","Pokemon","100","Metal","Rare Holo","Colorless, Colorless, Colorless","3","","","Time Rewind","Metal, Metal, Metal, Metal","4","70","Shuffle your hand into your deck.","","","","","","Fire","x2"
"col1-4","Espeon","Pokemon","90","Psychic","Rare Holo","Colorless","1","","","Solar Suggestion","Psychic","1","","Move up to 4 damage counters from any of your Pokemon to any of your opponent's Pokemon in any way you like.","Psybeam","Psychic, Colorless","2","30","Flip a coin. If heads, the Defending Pokemon is now Confused.","Psychic","x2"
"col1-5","Forretress","Pokemon","90","Metal","Rare Holo","Colorless, Colorless, Colorless","3","","","Mirror Shot","Metal, Colorless","2","30","If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, this attack does nothing.","Everyone Explode Now","Metal, Colorless, Colorless","3","30x","Does 30 damage times the number of Pineco and Forretress you have in play. This attack does 30 damage to each of your Pineco and Forretress in play.","Fire","x2"
"col1-6","Groudon","Pokemon","100","Fighting","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Volcano Stomp","Fighting, Fighting, Fighting, Fighting","4","80","Flip a coin. If heads, discard the top 4 cards of your opponent's deck. If tails, discard the top 4 cards of your deck.","","","","","","Grass","x2"
"col1-7","Gyarados","Pokemon","130","Water","Rare Holo","Colorless, Colorless, Colorless","3","","","Hydro Splash","Water, Colorless, Colorless","3","50","","Hyper Beam","Water, Water, Colorless, Colorless","4","80","Discard an Energy card attached to the Defending Pokemon.","Lightning","x2"
"col1-8","Hitmontop","Pokemon","60","Fighting","Rare Holo","Colorless","1","","","Triple Kick","Fighting","1","20x","Flip 3 coins. This attack does 20 damage times the number of heads.","Close Combat","Fighting, Colorless, Colorless","3","60","During your opponent's next turn, any damage done to Hitmontop by attacks is increased by 20 (after applying Weakness and Resistance).","Psychic","x2"
"col1-9","Ho-Oh","Pokemon","100","Fire","Rare Holo","Colorless, Colorless, Colorless","3","","","Combustion","Fire, Colorless, Colorless","3","50","","Scorching Wing","Fire, Fire, Fire, Colorless, Colorless","5","100","Flip a coin. If tails, discard all Fire Energy attached to Ho-Oh.","Water","x2"
"col1-10","Houndoom","Pokemon","90","Darkness","Rare Holo","Colorless","1","","","Fire Counterattack","Darkness","1","20+","If your opponent has any Fighting Pokemon in play, this attack does 20 damage plus 60 more damage.","Dark Roar","Darkness, Darkness","2","50","Your opponent discards a card from his or her hand.","Fighting","x2"
"col1-11","Jirachi","Pokemon","60","Psychic","Rare Holo","Colorless","1","Stardust Song","Once during your turn, when you put Jirachi from your hand onto your Bench, you may flip 3 coins. For each heads, search your discard pile for a Psychic Energy card and attach it to Jirachi.","Time Hollow","Psychic","1","","Choose a number of your opponent's Stage 1 or Stage 2 Evolved Pokemon up to the amount of Energy attached to Jirachi. Remove the highest Stage Evolution card from each of those Pokemon and put those cards back into your opponent's hand.","","","","","","Psychic","x2"
