"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dp4-1","Blaziken","Pokemon","130","Fire","Rare Holo","Colorless","1","","","Fire Dance","Colorless","1","30","Search your discard pile for a Fire Energy card and attach it to 1 of your Pokemon.","Flame Kick","Fire, Fire, Colorless","3","","Discard 2 Fire Energy attached to Blaziken. This attack does 80 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Water","+30"
"dp4-2","Cresselia","Pokemon","80","Psychic","Rare Holo","Colorless","1","","","Moon Twinkle","Colorless","1","10","If there is any Stadium card in play, remove 2 damage counters from Cresselia.","Lunar Dance","Psychic, Psychic, Colorless","3","50","You may discard 2 Energy attached to Cresselia. If you do, remove all damage counters from 1 of your Benched Pokemon.","Psychic","+20"
"dp4-3","Darkrai","Pokemon","70","Darkness","Rare Holo","Colorless","1","","","Reach Over","","0","","Search your deck for an Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Darkness Pursuit","Darkness, Darkness, Darkness","3","50","If the Defending Pokemon is Cresselia, this attack's base damage is 100.","Fighting","+20"
"dp4-4","Darkrai","Pokemon","80","Darkness","Rare Holo","Colorless","1","","","Darkness Roar","Colorless","1","10","You may have your opponent switch the Defending Pokemon with 1 or his or her Benched Pokemon.","Sleep Hole","Darkness, Darkness, Colorless","3","40+","If the Defending Pokemon is Asleep, this attack does 40 damage plus 40 more damage. If the Defending Pokemon is not Asleep, that Pokemon is now Asleep.","Fighting","+20"
"dp4-5","Pachirisu","Pokemon","70","Lightning","Rare Holo","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for up to 3 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.","Smash Short","Colorless","1","10+","If the Defending Pokemon has a Pokemon Tool card attached to it, this attack does 10 damage plus 30 more damage. Discard that Pokemon Tool card, look at your opponent's hand, and discard any Pokemon Tool cards of the same name you find there.","Fighting","+20"
"dp4-6","Porygon-Z","Pokemon","110","Colorless","Rare Holo","Colorless, Colorless","2","Conversion","Once during your turn (before your attack), you may discard a basic Energy card from your hand. Porygon-Z is the same type as that Energy Card until the end of your turn. This power can't be used if Porygon-Z is affected by a Special Condition.","Tri Attack","Colorless, Colorless","2","40x","Flip 3 coins. This attack does 40 damage times the number of heads.","","","","","","Fighting","+30"
"dp4-7","Rotom","Pokemon","70","Lightning","Rare Holo","Colorless","1","","","Astonish","Colorless, Colorless","2","20","Choose 1 card from your opponent's hand without looking. Look at that card you chose, then have your opponent shuffle that card into his or her deck.","Telebeam","Lightning, Lightning","2","30+","Flip a coin. If heads, this attack does 30 damage plus 30 more damage and the Defending Pokemon is now Paralyzed.","Darkness","+20"
"dp4-8","Sceptile","Pokemon","100","Grass","Rare Holo","Colorless, Colorless, Colorless","3","Wild Growth","Each basic Grass Energy card attached to your Grass Pokemon provides GrassGrass Energy instead. You can't use more than 1 Wild Growth Poke-Body each turn.","Leaf Blade","Grass, Grass, Colorless, Colorless","4","50+","Flip a coin. If heads, this attack does 50 damage plus 20 more damage.","","","","","","Fire","+30"
"dp4-9","Swampert","Pokemon","130","Water","Rare Holo","Colorless, Colorless","2","Wash Out","As often as you like during your turn (before your attack), you may move a Water or Fighting Energy attached to 1 of your Benched Pokemon to your Active Pokemon. This power can't be used if Swampert is affected by a Special Condition.","Hammer Arm","Water, Water, Colorless, Colorless","4","80","Discard the top card from your opponent's deck.","","","","","","Grass","+30"
"dp4-10","Tangrowth","Pokemon","110","Grass","Rare Holo","Colorless, Colorless","2","","","Power Whip","Grass","1","","Choose 1 of your opponent's Pokemon. This attack does 10 damage for each basic Energy card attached to Tangrowth to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Stick and Absorb","Grass, Grass, Colorless, Colorless","4","60","Remove 3 damage counters from Tangrowth. The Defending Pokemon can't retreat during your opponent's next turn.","Fire","+30"
