"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dv1-1","Dratini","Pokemon","40","Dragon","Rare Holo","Colorless","1","","","Wrap","Grass, Lightning","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","","","","","","Dragon","x2"
"dv1-2","Dratini","Pokemon","40","Dragon","Rare Holo","Colorless","1","","","Hypnotic Gaze","Grass","1","","The Defending Pokemon is now Asleep.","Tail Whap","Lightning","1","10","","Dragon","x2"
"dv1-3","Dragonair","Pokemon","70","Dragon","Rare Holo","Colorless, Colorless","2","","","Tail Whap","Colorless, Colorless","2","20","","Dragon Pulse","Grass, Lightning, Colorless","3","70","Discard the top card of your deck.","Dragon","x2"
"dv1-4","Dragonair","Pokemon","70","Dragon","Rare Holo","Colorless, Colorless","2","","","Healing Melody","Grass","1","","Heal 10 damage from each of your Pokemon.","Slam","Lightning, Colorless","2","30x","Flip 2 coins. This attack does 30 damage times the number of heads.","Dragon","x2"
"dv1-5","Dragonite","Pokemon","150","Dragon","Rare Holo","Colorless, Colorless, Colorless","3","","","Hyper Beam","Lightning, Colorless, Colorless","3","50","Flip a coin. If heads, discard an Energy attached to the Defending Pokemon.","Hurricane Tail","Grass, Colorless, Colorless, Colorless","4","60x","Flip 4 coins. This attack does 60 damage times the number of heads.","Dragon","x2"
"dv1-6","Bagon","Pokemon","50","Dragon","Rare Holo","Colorless","1","","","Headbutt","Colorless","1","10","","Dragon Claw","Fire, Water","2","20","","Dragon","x2"
"dv1-7","Shelgon","Pokemon","80","Dragon","Rare Holo","Colorless, Colorless, Colorless","3","","","Knock Away","Colorless","1","10+","Flip a coin. If heads, this attack does 20 more damage.","Rollout","Fire, Water, Colorless","3","50","","Dragon","x2"
"dv1-8","Salamence","Pokemon","140","Dragon","Rare Holo","Colorless, Colorless","2","Scornful Storm","Once during your turn (before your attack), you may have your opponent discard cards from his or her hand until he or she has 4 cards left in his or her hand.","Shred","Fire, Water, Colorless, Colorless","4","90","This attack's damage isn't affected by any effects on the Defending Pokemon.","","","","","","Dragon","x2"
"dv1-9","Latias","Pokemon","100","Dragon","Rare Holo","Colorless","1","","","Energy Assist","Colorless","1","","Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon.","Sky Heal","Fire, Psychic","2","40","If Latios is on your Bench, heal 20 damage from this Pokemon.","Dragon","x2"
"dv1-10","Latios","Pokemon","100","Dragon","Rare Holo","Colorless","1","","","Sky Blade","Water, Colorless","2","20+","If Latias is on your Bench, this attack does 20 more damage.","Speed Wing","Psychic, Colorless, Colorless","3","60","","Dragon","x2"
"dv1-11","Rayquaza","Pokemon","120","Dragon","Rare Holo","Colorless, Colorless, Colorless","3","","","Dragon Pulse","Lightning","1","40","Discard the top 2 cards of your deck.","Shred","Fire, Lightning, Colorless","3","90","This attack's damage isn't affected by any effects on the Defending Pokemon.","Dragon","x2"
"dv1-12","Axew","Pokemon","40","Dragon","Rare Holo","Colorless","1","","","Signs of Evolution","Fighting","1","","Flip a coin. If heads, search your deck for Fraxure, reveal it, and put it into your hand, Shuffle your deck afterward.","Scratch","Metal","1","10","","Dragon","x2"
"dv1-13","Axew","Pokemon","50","Dragon","Rare Holo","Colorless","1","","","Lunge","Fighting, Metal","2","30","Flip a coin. If tails, this attack does nothing.","","","","","","Dragon","x2"
"dv1-14","Fraxure","Pokemon","70","Dragon","Rare Holo","Colorless","1","Grit","If this Pokemon is affected by a Special Condition, each of its attacks does 40 more damage (before applying Weakness and Resistance).","Dragon Claw","Fighting, Metal, Colorless","3","60","","","","","","","Dragon","x2"
"dv1-15","Fraxure","Pokemon","80","Dragon","Rare Holo","Colorless, Colorless","2","","","Scratch","Metal, Colorless","2","20","","Sharp Fang","Fighting, Colorless, Colorless","3","40","","Dragon","x2"
"dv1-16","Haxorus","Pokemon","140","Dragon","Rare Holo","Colorless, Colorless","2","","","Axe Slugger","Colorless, Colorless","2","60+","If the Defending Pokemon is a Colorless Pokemon, this attack does 60 more damage.","Dragon Pulse","Fighting, Metal, Colorless, Colorless","4","100","Discard the top card of your deck.","Dragon","x2"
"dv1-17","Druddigon","Pokemon","110","Dragon","Rare Holo","Colorless, Colorless","2","","","Tight Jaw","Colorless, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Dragon Tail","Fire, Water, Colorless","3","80x","Flip 2 coins. This attack does 80 damage times the number of heads.","Dragon","x2"
