"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ecard2-1","Ampharos","Pokemon","100","Lightning","Rare","Colorless, Colorless","2","","","Thundershock","Lightning","1","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Reflect Energy","Lightning, Lightning, Colorless","3","50","If you have any Benched Pokemon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokemon.","Fighting","x2"
"ecard2-2","Arcanine","Pokemon","90","Fire","Rare","Colorless, Colorless, Colorless","3","Extreme Speed","You pay Colorless less to retreat Arcanine for each Energy attached to it.","Fire Blow","Colorless, Colorless, Colorless","3","30+","You may discard any number of Fire Energy cards attached to Arcanine when you use this attack. If you do, flip a number of coins equal to the number of Fire Energy cards you discarded. This attack does 30 damage plus 30 more damage for each heads.","","","","","","Water","x2"
"ecard2-3","Ariados","Pokemon","70","Grass","Rare","","0","Gluey Slime","As long as Ariados is in play, each player must pay an additional Colorless to retreat his or her Active Pokemon. Gluey Slime can't make a player pay more than an additional Colorless to retreat a Pokemon, even if there is more than 1 Ariados in play.","Spider Force","Grass, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 10 more damage. If tails, this attack does 20 damage and the Defending Pokemon is now Paralyzed.","","","","","","Fire","x2"
"ecard2-4","Azumarill","Pokemon","70","Water","Rare","Colorless","1","Bubble Turn","Once during your turn (before your attack), if Azumarill is on your Bench, you may flip a coin. If heads, return Azumarill and all cards attached to it to your hand.","Aqua Sonic","Water, Colorless, Colorless","3","40","Don't apply Resistance.","","","","","","Lightning","x2"
"ecard2-5","Bellossom","Pokemon","90","Grass","Rare","Colorless, Colorless","2","Flower Supplement","Once during your turn (before your attack), you may flip a coin. If heads, attach 1 basic Energy card from your hand to 1 of your Benched Pokemon. This power can't be used if Bellossom is affected by a Special Condition.","Knife Leaf","Grass, Grass, Colorless","3","30x","Flip 3 coins. This attack does 30 damage times the number of heads.","","","","","","Fire","x2"
"ecard2-6","Blissey","Pokemon","120","Colorless","Rare","Colorless, Colorless","2","Happy Healing","Once during your turn (before your attack), choose 1 of your Benched Pokemon and flip a coin. If heads, count the number of Energy attached to Blissey and then remove that many damage counters from the chosen Benched Pokemon. This power can't be used if Blissey is affected by a Special Condition.","Smash Bomber","Colorless, Colorless, Colorless","3","50","Flip a coin. If tails, this attack does nothing.","","","","","","Fighting","x2"
"ecard2-7","Donphan","Pokemon","80","Fighting","Rare","Colorless, Colorless","2","","","Earthquake","Fighting","1","30","Does 10 damage to each of your own Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Double Stab","Colorless, Colorless, Colorless","3","40x","Flip 2 coins. This attack does 40 damage times the number of heads.","Grass","x2"
"ecard2-8","Electrode","Pokemon","70","Lightning","Rare","Colorless","1","Super Dynamo","Once during your turn (before your attack), if Electrode is your Active Pokemon, you may flip a coin. If heads, choose a Lightning Energy card from your discard pile and attach it to 1 of your Pokemon. This power can't be used if Electrode is affected by a Special Condition.","Swift","Lightning, Colorless","2","30","This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.","","","","","","Fighting","x2"
"ecard2-9","Elekid","Pokemon","30","Lightning","Rare","Colorless","1","","","Energy Kick","Lightning","1","","Flip a coin. If heads, choose an Energy card attached to the Defending Pokemon. Your opponent moves that card to 1 of his or her other Pokemon. (If your opponent has no Benched Pokemon, this attack does nothing.)","","","","","",,
"ecard2-10","Entei","Pokemon","70","Fire","Rare","Colorless","1","Pure Body","To attach a Fire Energy card from your hand to Entei, you must discard an Energy card attached to Entei. (Attach the Fire Energy, and then discard an Energy from Entei.)","Burning Fang","Fire, Colorless, Colorless","3","40","You may flip a coin. If heads, discard a Fire Energy card attached to Entei and the Defending Pokemon is now Burned.","","","","","","Water","x2"
