"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ex13-1","Armaldo δ","Pokemon","110","Fighting, Metal","Rare Holo","Colorless, Colorless, Colorless","3","","","Delta Edge","Metal, Colorless","2","70","If you have any Supporter cards in play, this attack's base damage is 20 instead of 70.","Fossil Charge","Fighting, Colorless, Colorless","3","50","You may discard a Claw Fossil, Mysterious Fossil, Root Fossil, or Holon Fossil from your hand. If you do, choose 1 of your opponent's Benched Pokemon and do 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Grass","x2"
"ex13-2","Cradily δ","Pokemon","100","Darkness, Metal","Rare Holo","Colorless, Colorless","2","","","Harsh Fluid","Darkness, Colorless","2","20","Put 5 damage counters on the Defending Pokemon at the end of your opponent's next turn.","Poison Tentacles","Metal, Colorless, Colorless","3","50","The Defending Pokemon is now Poisoned.","Fire","x2"
"ex13-3","Deoxys δ","Pokemon","70","Darkness","Rare Holo","Colorless","1","Form Change","Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokemon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poke-Power each turn.","Energy Loop","Darkness, Colorless, Colorless","3","60","Return 2 Energy attached to Deoxys to your hand.","","","","","","Psychic","x2"
"ex13-4","Deoxys δ","Pokemon","80","Metal","Rare Holo","Colorless, Colorless","2","Form Change","Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokemon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poke-Power each turn.","Delta Reduction","Metal, Colorless","2","30","During your opponent's next turn, any damage done to Deoxys by attacks in reduced by 30 (before applying Weakness and Resistance).","","","","","","Psychic","x2"
"ex13-5","Deoxys δ","Pokemon","70","Colorless","Rare Holo","Colorless","1","Form Change","Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokemon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poke-Power each turn.","Crystal Laser","Colorless, Colorless","2","20","During your next turn, Deoxys's attacks do 40 more damage to the Defending Pokemon (before applying Weakness and Resistance).","","","","","","Psychic","x2"
"ex13-6","Deoxys δ","Pokemon","60","Lightning","Rare Holo","Colorless","1","Form Change","Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokemon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poke-Power each turn.","Teleportation Burst","Lightning","1","20","Switch Deoxys with 1 of your Benched Pokemon.","","","","","","Psychic","x2"
"ex13-7","Flygon δ","Pokemon","110","Grass, Metal","Rare Holo","Colorless, Colorless","2","Delta Supply","Once during your turn (before your attack), you may attach a basic Energy card or a δ Rainbow Energy card from your hand to 1 of your Pokemon that has δ on its card. This power can't be used if Flygon is affected by a Special Condition.","Swift","Grass, Metal, Colorless","3","60","This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.","","","","","","Colorless","x2"
"ex13-8","Gyarados δ","Pokemon","90","Lightning, Metal","Rare Holo","Colorless, Colorless","2","Delta Reactor","As long as any Stadium card with Holon in its name is in play, each of your Pokemon that has δ on its card does 10 more damage to the Defending Pokemon (before applying Weakness and Resistance).","Hyper Beam","Metal, Colorless","2","20","Flip a coin. If heads, discard an Energy card attached to the Defending Pokemon.","Heavy Impact","Lightning, Metal, Colorless, Colorless, Colorless","5","80","","Lightning","x2"
"ex13-9","Kabutops δ","Pokemon","100","Lightning","Rare Holo","Colorless","1","","","Vital Drain","Lightning, Colorless","2","30","If the Defending Pokemon is Knocked Out by this attack, remove all Special Conditions and 7 damage counters from Kabutops (all if there are less than 7).","Thunderous Blow","Colorless, Colorless, Colorless","3","40+","Does 40 damage plus 10 more damage for each Lightning Energy attached to Kabutops.","Grass","x2"
"ex13-10","Kingdra δ","Pokemon","110","Fire, Metal","Rare Holo","Colorless, Colorless","2","Dragon Curse","Once during your turn (before your attack), if Kingdra is your Active Pokemon, you may put 2 damage counters on 1 of your opponent's Pokemon with δ on its card. This power can't be used if Kingdra is affected by a Special Condition.","Extra Flame","Fire, Colorless","2","30+","If the Defending Pokemon is Pokemon-ex, this attack does 30 damage plus 30 more damage.","Heat Blast","Fire, Metal, Colorless, Colorless","4","80","","Lightning","x2"
"ex13-11","Latias δ","Pokemon","70","Fire","Rare Holo","Colorless","1","Dual Aura","As long as you have Latios or Latios ex in play, each player's Evolved Pokemon (excluding Pokemon-ex) can't use any Poke-Bodies.","Spearhead","Colorless","1","","Draw a card.","Dragon Claw","Fire, Colorless, Colorless","3","40","","Colorless","x2"
"ex13-12","Latios δ","Pokemon","80","Water","Rare Holo","Colorless","1","Dual Aura","As long as you have Latias or Latias ex in play, each player's Evolved Pokemon (excluding Pokemon-ex) can't use any Poke-Bodies.","Dive","Colorless","1","10","","Aqua Blast","Water, Colorless, Colorless","3","50","Discard a Water Energy attached to Latios.","Colorless","x2"
"ex13-13","Omastar δ","Pokemon","110","Psychic","Rare Holo","Colorless, Colorless","2","","","Bind","Psychic, Colorless","2","30","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Vengeful Spikes","Psychic, Colorless, Colorless","3","30+","Does 30 damage plus 10 more damage for each Omanyte, Omastar, Kabuto, Kabutops, and Kabutops ex in your discard pile. You can't add more than 60 damage in this way.","Lightning","x2"
"ex13-14","Pidgeot δ","Pokemon","100","Lightning, Metal","Rare Holo","Colorless","1","Delta Reserve","As long as Pidgeot has any Holon Energy cards attached to it, each player's Pokemon (excluding Pokemon that has δ on its card) can't use any Poke-Powers.","Rotating Claws","Lightning, Metal, Colorless","3","50","You may discard an Energy card attached to Pidgeot. If you do, search your discard pile for an Energy card (excluding the one you discarded) and attach it to Pidgeot.","","","","","","Lightning","x2"
"ex13-15","Raichu δ","Pokemon","70","Metal","Rare Holo","","0","","","Zzzap","Colorless","1","","Does 20 damage to each Pokemon that has any Poke-Powers or Poke-Bodies (both yours and your opponent's). Don't apply Weakness or Resistance.","Metallic Thunder","Metal, Metal, Colorless","3","50","You may discard 2 Metal Energy attached to Raichu. If you do, this attack's base damage is 90 instead of 50.","Fighting","x2"
"ex13-16","Rayquaza δ","Pokemon","80","Water, Metal","Rare Holo","Colorless, Colorless","2","Hydro Barrier","As long as Rayquaza has any Holon Energy cards attached to it, each of your Water Pokemon has no Weakness.","Delta Search","Colorless","1","","Search your deck for a Holon Energy card and attach it to Rayquaza. Shuffle your deck afterward.","Ozone Flare","Water, Metal, Colorless, Colorless","4","60","","Colorless","x2"
