"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"gym2-1","Blaine's Arcanine","Pokemon","90","Fire","Rare Holo","Colorless, Colorless, Colorless","3","","","Heat Tackle","Fire, Colorless, Colorless","3","40","Blaine's Arcanine does 10 damage to itself.","Firestorm","Fire, Fire, Fire, Fire","4","120","Discard 3 Fire Energy cards attached to Blaine's Arcanine in order to use this attack.","Water","x2"
"gym2-2","Blaine's Charizard","Pokemon","100","Fire","Rare Holo","Colorless, Colorless, Colorless","3","","","Roaring Flames","Fire","1","20+","Discard all Fire Energy cards attached to Blaine's Charizard. If all Energy cards attached to Blaine's Charizard provide 2 Fire Energy, discard all of them. This attack does 20 damage plus 20 more damage for each Fire Energy discarded in this way.","Flame Jet","Fire, Fire","2","","Flip a coin. If heads, choose 1 of your opponent's Pokemon. This attack does 40 damage to that Pokemon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)","Water","x2"
"gym2-3","Brock's Ninetales","Pokemon","70","Fire","Rare Holo","Colorless","1","Shapeshift","Once during your turn (before your attack), you may attach an Evolution card from your hand to Brock's Ninetales. (This doesn't count as evolving Brock's Ninetales.) Treat Brock's Ninetales as if it were that Pokemon instead. It can't evolve, devolve, or use the Pokemon Power of that Pokemon. During your turn, you may discard the Evolution card attached to Brock's Ninetales. This power can't be used if Brock's Ninetales is Asleep, Confused, or Paralyzed. If Brock's Ninetales becomes Asleep, Confused, or Paralyzed, discard all Evolution cards attached to it.","Will-o'-the-wisp","Fire, Fire","2","30","","","","","","","Water","x2"
"gym2-4","Erika's Venusaur","Pokemon","90","Grass","Rare Holo","Colorless, Colorless","2","","","Growth","Grass","1","","Flip a coin. If heads, you may attach up to 2 Grass Energy cards from your hand to Erika's Venusaur.","Wide Solarbeam","Grass, Grass, Grass, Grass","4","20","If your opponent has any Benched Pokemon, choose 2 of them (or 1 if he or she only has 1). This attack does 20 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fire","x2"
"gym2-5","Giovanni's Gyarados","Pokemon","90","Water","Rare Holo","Colorless, Colorless, Colorless","3","","","Summon Storm","Water","1","","Flip 2 coins. If both of them are heads, this attack does 20 damage to each other Pokemon (even your own). Don't apply Weakness and Resistance for this attack.","Dragon Tornado","Water, Water, Colorless, Colorless","4","40","Unless this attack Knocks Out the Defending Pokemon, choose 1 of your opponent's Benched Pokemon and switch it with the Defending Pokemon.","Grass","x2"
"gym2-6","Giovanni's Machamp","Pokemon","100","Fighting","Rare Holo","Colorless, Colorless, Colorless","3","Fortitude","If Giovanni's Machamp would be Knocked Out by an opponent's attack, flip a coin. If heads, Giovanni's Machamp is not Knocked Out and its remaining HP become 10 instead. This power can't be used if Giovanni's Machamp is already Asleep, Confused, or Paralyzed.","Hurricane Punch","Fighting, Fighting, Fighting, Colorless","4","30x","Flip 4 coins. This attack does 30 damage times the number of heads.","","","","","","Psychic","x2"
"gym2-7","Giovanni's Nidoking","Pokemon","120","Grass","Rare Holo","Colorless, Colorless, Colorless","3","","","Intimidate","Grass","1","","If the Defending Pokemon's maximum HP is 50 or less, it can't attack Giovanni's Nidoking during your opponent's next turn. (Benching or evolving either Pokemon ends this effect.)","Tumbling Attack","Grass, Grass, Grass, Colorless","4","40+","Flip a coin. If heads, this attack does 40 damage plus 30 more damage; if tails, this attack does 40 damage.","Psychic","x2"
"gym2-8","Giovanni's Persian","Pokemon","60","Colorless","Rare Holo","","0","Call the Boss","When you play Giovanni's Persian from your hand, you may search your deck for the Trainer card named Giovanni, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Ambush","Colorless, Colorless, Colorless","3","20+","Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.","","","","","","Fighting","x2"
"gym2-9","Koga's Beedrill","Pokemon","80","Grass","Rare Holo","","0","","","Nerve Poison","Grass, Grass","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed and Poisoned.","Hyper Needle","Colorless, Colorless, Colorless","3","70","Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Koga's Beedrill stays in play (even putting Koga's Beedrill on the Bench won't let you use it again).","Fire","x2"
"gym2-10","Koga's Ditto","Pokemon","40","Colorless","Rare Holo","Colorless","1","","","Giant Growth","Colorless","1","","Flip a coin. If heads, Koga's Ditto's maximum HP is now 80 and Koga's Ditto's Pound attack's base damage is 30 instead of 10. (Benching Koga's Ditto ends this effect.)","Pound","Colorless","1","10","","Fighting","x2"
