"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"hgss4-1","Aggron","Pokemon","140","Metal","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Second Strike","Metal, Metal, Colorless","3","40","If the Defending Pokemon already has any damage counters on it, this attack does 40 damage plus 40 more damage.","Guard Claw","Metal, Metal, Colorless, Colorless","4","60","During your opponent's next turn, any damage done to Aggron by attacks is reduced by 20 (after applying Weakness and Resistance).","Fire","x2"
"hgss4-2","Altaria","Pokemon","90","Colorless","Rare Holo","","0","","","Midnight Eyes","Colorless","1","20","The Defending Pokemon is now Asleep.","Stadium Power","Colorless, Colorless, Colorless","3","40+","If there is any Stadium card in play, this attack does 40 damage plus 30 more damage.","Colorless","x2"
"hgss4-3","Celebi","Pokemon","70","Psychic","Rare Holo","Colorless","1","","","Future Sight","Psychic","1","","Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.","Leaf Bind","Grass, Colorless","2","30","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Psychic","x2"
"hgss4-4","Drapion","Pokemon","100","Darkness","Rare Holo","Colorless, Colorless, Colorless","3","","","Toxic Fang","Darkness, Colorless, Colorless","3","40","Flip a coin. If heads, the Defending Pokemon is now Poisoned. Put 2 damage counters instead of 1 on that Pokemon between turns.","Land Crush","Darkness, Darkness, Colorless, Colorless","4","80","","Fighting","x2"
"hgss4-5","Mamoswine","Pokemon","140","Water","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Icy Wind","Water, Colorless, Colorless","3","40","The Defending Pokemon is now Asleep.","Snowstorm","Water, Water, Colorless, Colorless","4","70","Does 20 damage to each of your opponent's Benched Pokemon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokemon.)","Metal","x2"
"hgss4-6","Nidoking","Pokemon","140","Fighting","Rare Holo","Colorless, Colorless, Colorless","3","Pheromone Stamina","Nidoking gets +20 HP for each Nidoqueen you have in play.","Venomous Horn","Fighting, Fighting, Colorless, Colorless","4","80","The Defending Pokemon is now Poisoned.","","","","","","Water","x2"
"hgss4-7","Porygon-Z","Pokemon","110","Colorless","Rare Holo","Colorless, Colorless","2","Dimension Transfer","Once during your turn (before your attack), you may flip a coin. If heads, search your discard pile for a Trainer card, show it to your opponent, and put it on top of your deck. This power can't be used if Porygon-Z is affected by a Special Condition.","Suspicious Beam β","Colorless, Colorless, Colorless","3","80","If Porygon-Z has no Rainbow Energy attached to it, Porygon-Z does 20 damage to itself and Porygon-Z is now Confused.","","","","","","Fighting","x2"
"hgss4-8","Rapidash","Pokemon","90","Fire","Rare Holo","Colorless","1","Fiery Spirit","Rapidash can't be Confused.","Ring of Fire","Fire, Colorless, Colorless","3","50","The Defending Pokemon is now Burned and can't retreat during your opponent's next turn.","","","","","","Water","x2"
"hgss4-9","Solrock","Pokemon","70","Fighting","Rare Holo","Colorless","1","Heal Block","If you have Lunatone in play, damage counters can't be removed from any Pokemon (both yours and your opponent's). (Damage counters can still be moved.)","Sun Flash","Fighting","1","20","If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","","","","","","Grass","x2"
"hgss4-10","Spiritomb","Pokemon","60","Psychic","Rare Holo","Colorless","1","Spooky Whirlpool","Once during your turn, when you put Spiritomb from your hand onto your Bench, you may use this power. Your opponent shuffles his or her hand into his or her deck and draws 6 cards.","Color Tag","Psychic","1","","Choose Grass Fire Water Lightning Psychic Fighting Darkness Metal or Colorless type. Put 1 damage counter on each Pokemon your opponent has in play of the type you chose.","","","","","",,
"hgss4-11","Venomoth","Pokemon","80","Grass","Rare Holo","Colorless","1","Poison Moth Wind","Once during your turn (before your attack), you may flip a coin. If heads, your opponent's Active Pokemon is now Poisoned. If tails, your Active Pokemon is now Poisoned. This power can't be used if Venomoth is affected by a Special Condition.","Stun Spore","Grass, Colorless","2","30","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","","","","","","Fire","x2"
"hgss4-12","Victreebel","Pokemon","110","Grass","Rare Holo","Colorless, Colorless","2","Tangling Tendrils","As long as Victreebel is your Active Pokemon, your opponent's Active Pokemon's Retreat Cost is ColorlessColorless more.","Acidic Drain","Grass, Colorless","2","30","The Defending Pokemon is now Burned and Poisoned. Remove 3 damage counters from Victreebel.","","","","","","Fire","x2"
"hgss4-13","Ambipom","Pokemon","80","Colorless","Rare","Colorless","1","","","Astonish","Colorless, Colorless","2","20","Choose 2 cards from your opponent's hand without looking. Look at the cards you chose, then have your opponent shuffle those cards into his or her deck.","Tail Spank","Colorless, Colorless","2","60","Discard 2 cards from your hand. (If you can't discard 2 cards from your hand, this attack does nothing.)","Fighting","x2"
"hgss4-14","Banette","Pokemon","80","Psychic","Rare","Colorless","1","","","Lost Crush","Psychic","1","","Flip a coin. If heads, choose 1 Energy card attached to 1 of your opponent's Pokemon and put it in the Lost Zone.","Breakdown","Psychic, Colorless, Colorless","3","","Count the number of cards in your opponent's hand. Put that many damage counters on the Defending Pokemon.","Darkness","x2"
"hgss4-15","Bronzong","Pokemon","90","Metal","Rare","Colorless, Colorless, Colorless","3","","","Legend Ceremony","Colorless","1","","Search your deck for both halves of a Pokemon LEGEND, show them to your opponent, and put them into your hand. Shuffle your deck afterward.","Reflect Energy","Colorless, Colorless","2","30","Move an Energy card attached to Bronzong to 1 of your Benched Pokemon.","Fire","x2"
"hgss4-16","Carnivine","Pokemon","80","Grass","Rare","Colorless, Colorless","2","","","Saliva Lure","Colorless","1","","Switch the Defending Pokemon with 1 of your opponent's Benched Pokemon.","Stick and Absorb","Grass, Grass, Colorless","3","30","Remove 3 damage counters from Carnivine. The Defending Pokemon can't retreat during your opponent's next turn.","Fire","x2"
"hgss4-17","Ditto","Pokemon","40","Colorless","Rare","Colorless","1","Dittobolic","The number of Benched Pokemon your opponent can have is now 4. If your opponent has 5 Benched Pokemon, your opponent must discard 1 of them and all cards attached to it.","Sharp Point","Colorless, Colorless","2","20","","","","","","","Fighting","x2"
"hgss4-18","Dragonite","Pokemon","140","Colorless","Rare","Colorless, Colorless, Colorless, Colorless","4","","","Calming Wind","Colorless, Colorless, Colorless","3","50","Remove all Special Conditions from Dragonite.","Dragon Stamp","Colorless, Colorless, Colorless, Colorless","4","80","Flip 2 coins. If both of them are tails, this attack does nothing. If both of them are heads, the Defending Pokemon is now Paralyzed.","Colorless","x2"
"hgss4-19","Dugtrio","Pokemon","80","Fighting","Rare","","0","","","Dig","Fighting","1","30","","Sand Impact","Colorless, Colorless, Colorless","3","50+","Flip a coin for each Fighting Energy attached to Dugtrio. This attack does 50 damage plus 20 more damage for each heads.","Water","x2"
"hgss4-20","Electivire","Pokemon","100","Lightning","Rare","Colorless, Colorless, Colorless","3","","","Plasma","Lightning","1","30","Search your discard pile for a Lightning Energy card and attach it to Electivire.","Thunder Shot","Lightning, Lightning, Lightning","3","","This attack does 50 damage to each of your opponent's Pokemon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"hgss4-21","Elekid","Pokemon","30","Lightning","Rare","","0","Sweet Sleeping Face","As long as Elekid is Asleep, prevent all damage done to Elekid by attacks.","Sparking Ball","","0","","Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. This attack's damage isn't affected by Weakness or Resistance. Elekid is now Asleep.","","","","","",,
"hgss4-22","Golduck","Pokemon","90","Water","Rare","Colorless","1","Natural Remedy","Whenever you attach a Water Energy card from your hand to Golduck, remove 2 damage counters from Golduck.","Powerful Splash","Water, Colorless","2","30+","Does 30 damage plus 10 more damage for each Water Energy attached to all of your Pokemon.","","","","","","Lightning","x2"
"hgss4-23","Grumpig","Pokemon","90","Psychic","Rare","Colorless, Colorless","2","","","Psychic Lock","Psychic, Colorless","2","20","Your opponent can't use any Poke-Powers on his or her Pokemon during his or her next turn.","Bench Manipulation","Psychic, Colorless, Colorless","3","40x","Your opponent flips a coin for each of his or her Benched Pokemon. This attack does 40 damage times the number of tails. This attack's damage isn't affected by Weakness or Resistance.","Psychic","x2"
