"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"hsp-HGSS01","Ho-Oh","Pokemon","80","Fire","Promo","Colorless, Colorless, Colorless","3","","","Combustion","Fire","1","20","","Sacred Fire","Fire, Fire, Colorless, Colorless","4","","Flip a coin. If heads, choose 1 of your opponent's Pokemon. This attack does 80 damage to that Pokemon. This attack's damage isn't affected by Weakness or Resistance.","Water","x2"
"hsp-HGSS02","Lugia","Pokemon","90","Water","Promo","Colorless, Colorless","2","","","Wave Splash","Water","1","20","","Aeroblast","Water, Water, Colorless, Colorless","4","50+","Flip 2 coins. This attack does 50 damage plus 20 more damage for each heads.","Lightning","x2"
"hsp-HGSS03","Pikachu","Pokemon","70","Lightning","Promo","Colorless","1","","","Recharge","Colorless","1","","Flip a coin. If heads, search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.","Thunderbolt","Lightning, Lightning, Colorless, Colorless","4","100","Discard all Energy attached to Pikachu.","Fighting","+10"
"hsp-HGSS04","Wobbuffet","Pokemon","90","Psychic","Promo","Colorless, Colorless, Colorless","3","Tenacious Bind","As long as Wobbuffet is your Active Pokemon, your opponent's Active Pokemon's Retreat Cost is ColorlessColorless more.","Trip Over","Psychic, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 30 more damage.","","","","","","Psychic","x2"
"hsp-HGSS05","Hoothoot","Pokemon","50","Colorless","Promo","Colorless","1","Insomnia","Hoothoot can't be Asleep.","Peck","Colorless","1","10","","","","","","","Lightning","x2"
"hsp-HGSS06","Noctowl","Pokemon","90","Colorless","Promo","Colorless","1","Night Scope","Once during your turn (before your attack), you may look at your opponent's hand. This power can't be used if Noctowl is affected by a Special Condition.","Hypnoblast","Colorless, Colorless, Colorless","3","30","The Defending Pokemon is now Asleep.","","","","","","Lightning","x2"
"hsp-HGSS07","Feraligatr","Pokemon","140","Water","Promo","Colorless, Colorless, Colorless","3","Rain Dance","As often as you like during your turn (before your attack), you may attach a Water Energy from your hand to 1 of your Water Pokemon. This power can't be used if Feraligatr is affected by a Special Condition.","Hydro Crunch","Water, Water, Water, Water","4","60+","Does 60 damage plus 10 more damage for each damage counter on the Defending Pokemon.","","","","","","Grass","x2"
"hsp-HGSS08","Meganium","Pokemon","150","Grass","Promo","Colorless, Colorless","2","Leaf Trans","As often as you like during your turn (before your attack), you may move a Grass Energy attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Meganium is affected by a Special Condition.","Solarbeam","Grass, Grass, Colorless, Colorless","4","80","","","","","","","Fire","x2"
"hsp-HGSS09","Typhlosion","Pokemon","140","Fire","Promo","Colorless, Colorless","2","Afterburner","Once during your turn (before your attack), you may search your discard pile for a Fire Energy card and attach it to 1 of your Pokemon. If you do, put 1 damage counter on that Pokemon. This power can't be used if Typhlosion is affected by a Special Condition.","Flare Destroy","Fire, Fire, Colorless","3","70","Discard an Energy card attached to Typhlosion and discard an Energy card attached to the Defending Pokemon.","","","","","","Water","x2"
"hsp-HGSS10","Latias","Pokemon","80","Colorless","Promo","Colorless","1","","","Energy Assist","Colorless","1","10","Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokemon.","Infinite Wind","Colorless, Colorless, Colorless","3","40","If Latios is on your Bench, remove 2 damage counters from each of your Benched Pokemon.","Colorless","x2"
"hsp-HGSS11","Latios","Pokemon","90","Colorless","Promo","Colorless, Colorless","2","Luster Float","If you have Latias in play, the Retreat Cost for Latios is 0.","Infinite Wing","Colorless, Colorless, Colorless, Colorless","4","80","Discard 2 Energy attached to Latios.","","","","","","Colorless","x2"
"hsp-HGSS12","Cleffa","Pokemon","30","Colorless","Promo","","0","Sweet Sleeping Face","As long as Cleffa is Asleep, prevent all damage done to Cleffa by attacks.","Eeeeeeek","","0","","Shuffle your hand into your deck, then draw 6 cards. Cleffa is now Asleep.","","","","","",,
"hsp-HGSS13","Smoochum","Pokemon","30","Psychic","Promo","","0","Sweet Sleeping Face","As long as Smoochum is Asleep, prevent all damage done to Smoochum by attacks.","Energy Antics","","0","","Move an Energy card attached to 1 of your opponent's Pokemon to another of your opponent's Pokemon. Smoochum is now Asleep.","","","","","",,
"hsp-HGSS14","Lapras","Pokemon","90","Water","Promo","Colorless, Colorless","2","","","Ferry","Water","1","","Search your discard pile for a Supporter card, show it to your opponent, and put it into your hand.","Surf","Water, Water, Colorless","3","40","","Metal","x2"
"hsp-HGSS15","Shuckle","Pokemon","60","Fighting","Promo","Colorless","1","Fermenting Liquid","Whenever you attach an Energy card from your hand to Shuckle, draw a card.","Shell Stunner","Grass, Colorless","2","20","Flip a coin. If heads, prevent all damage done to Shuckle by attacks during your opponent's next turn.","","","","","","Water","x2"
"hsp-HGSS16","Plusle","Pokemon","60","Lightning","Promo","Colorless","1","","","Collect","Colorless","1","","Draw 2 cards.","Thunder Jolt","Lightning","1","20","Flip a coin. If tails, Plusle does 10 damage to itself.","Fighting","x2"
"hsp-HGSS17","Minun","Pokemon","60","Lightning","Promo","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for up to 2 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.","Tag Team Boost","Lightning","1","10+","If Plusle is on your Bench, this attack does 10 damage plus 20 more damage.","Fighting","x2"
"hsp-HGSS19","Raikou","Pokemon","80","Lightning","Promo","Colorless","1","","","Zap Cannon","Lightning, Lightning, Colorless","3","70","During your next turn, Raikou can't use Zap Cannon.","","","","","","Fighting","x2"
"hsp-HGSS20","Entei","Pokemon","80","Fire","Promo","Colorless","1","","","Flare Blitz","Fire, Fire, Colorless","3","80","Discard all Fire Energy attached to Entei.","","","","","","Water","x2"
"hsp-HGSS21","Suicune","Pokemon","80","Water","Promo","Colorless","1","","","Sheer Cold","Water, Water, Colorless","3","50","Flip a coin. If heads, the Defending Pokemon can't attack during your opponent's next turn.","","","","","","Lightning","x2"
"hsp-HGSS22","Porygon","Pokemon","50","Colorless","Promo","Colorless","1","","","Stiffen","Colorless","1","","During your opponent's next turn, any damage done to Porygon by attacks is reduced by 20 (after applying Weakness and Resistance).","Version Update","Colorless, Colorless","2","","Search your deck for Porygon2, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Fighting","x2"
