"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"neo4-1","Dark Ampharos","Pokemon","70","Lightning","Rare Holo","Colorless, Colorless","2","Conductivity","Whenever your opponent attaches an Energy card from his or her hand to a Pokemon, this power does 10 damage to that Pokemon. (Don't apply Weakness and Resistance.) This power stops working if you have more than 1 Dark Ampharos in play or while Dark Ampharos is Asleep, Confused, or Paralyzed.","Shock Bolt","Lightning, Colorless, Colorless","3","50","Discard all Lightning Energy cards attached to Dark Ampharos or this attack does nothing.","","","","","","Fighting","x2"
"neo4-2","Dark Crobat","Pokemon","70","Grass","Rare Holo","","0","Surprise Bite","When you play Dark Crobat from your hand, you may choose 1 of your opponent's Pokemon. This power does 20 damage to that Pokemon. (Don't apply Weakness and Resistance.)","Dark Drain","Grass, Grass","2","","Flip a coin for each of your opponent's Pokemon. For each heads, this attack does 10 damage to that Pokemon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them.","","","","","","Psychic","x2"
"neo4-3","Dark Donphan","Pokemon","60","Fighting","Rare Holo","Colorless, Colorless, Colorless","3","","","Tusk Toss","Fighting, Fighting","2","","If your opponent has any Benched Pokemon, flip a coin. If heads, return the Defending Pokemon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokemon and switches it with the Defending Pokemon.","Giant Tusk","Fighting, Fighting, Colorless","3","50","","Grass","x2"
"neo4-4","Dark Espeon","Pokemon","60","Psychic","Rare Holo","","0","","","Gouge","Colorless","1","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","Psysplash","Psychic, Colorless, Colorless","3","","Does 10 damage to each of your opponent's Pokemon for each Energy card attached to that Pokemon. Don't apply Weakness and Resistance.","Psychic","x2"
"neo4-5","Dark Feraligatr","Pokemon","80","Water","Rare Holo","Colorless, Colorless, Colorless","3","Scare","As long as Dark Feraligatr is your Active Pokemon, all of your opponent's Baby Pokemon Powers stop working and your opponent's Baby Pokemon can't attack. This power stops working while Dark Feraligatr is Asleep, Confused, or Paralyzed.","Crushing Blow","Water, Water, Water","3","50","If the Defending Pokemon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those cards and discard it.","","","","","","Grass","x2"
"neo4-6","Dark Gengar","Pokemon","70","Psychic","Rare Holo","Colorless, Colorless","2","Deep Sleep","As long as any Dark Gengar are in play, a player flips 2 coins for each of his or her Pokemon that is Asleep at the end of each turn. If either of them is tails, that Pokemon is still Asleep. This power stops working if Dark Gengar is Asleep, Confused, or Paralyzed.","Pull In","Psychic, Psychic, Psychic","3","30","If your opponent has any Benched Pokemon, you may choose 1 of them and switch it with the Defending Pokemon (before doing damage or other effects of this attack). Either way, the Defending Pokemon is now Asleep.","","","","","",,
"neo4-7","Dark Houndoom","Pokemon","60","Fire","Rare Holo","Colorless","1","","","Eerie Howl","Colorless","1","","If your opponent's Bench isn't full, look at his or her hand. If your opponent has any Baby Pokemon or Basic Pokemon there, choose 1 of them and put it on his or her Bench. Then, switch it with the Defending Pokemon.","Dark Fire","Fire, Colorless","2","30+","If there are any Darkness Energy cards attached to Dark Houndoom, discard 1 of them and this attack does 30 damage plus 20 more damage (plus 10 more damage for the Darkness Energy you discarded). If there aren't any, this attack does 30 damage.","Water","x2"
"neo4-8","Dark Porygon2","Pokemon","60","Colorless","Rare Holo","Colorless","1","Spatial Distortion","Once during your turn (before your attack), you may flip a coin. If heads, choose a Stadium card from your discard pile and put it into play. (If there's already a Stadium card in play, discard it.) This power can't be used if Dark Porygon2 is Asleep, Confused, or Paralyzed.","Curve Attack","Colorless, Colorless, Colorless","3","20","Flip a coin. If heads, prevent all damage done by attacks to Dark Porygon2 during your opponent's next turn. (Any other effects of attacks still happen.)","","","","","","Fighting","x2"
"neo4-9","Dark Scizor","Pokemon","70","Metal","Rare Holo","Colorless, Colorless","2","","","Threaten","Colorless, Colorless","2","","Flip a coin. If heads, look at your opponent's hand. If he or she has any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck.","Slash","Colorless, Colorless, Colorless","3","30","","Fire","x2"
"neo4-10","Dark Typhlosion","Pokemon","80","Fire","Rare Holo","Colorless","1","","","Claw Swipe","Colorless","1","20","","Rushing Flames","Fire","1","40x","You may discard any number of Fire Energy cards attached to your Pokemon. Flip a coin for each Fire Energy card discarded in this way. This attack does 40 damage times the number of heads.","Water","x2"
"neo4-11","Dark Tyranitar","Pokemon","90","Fighting","Rare Holo","Colorless, Colorless, Colorless","3","","","Mountain Smasher","Fighting","1","20x","Flip a number of coins equal to the number of Fighting Energy cards attached to Dark Tyranitar. This attack does 20 damage times the number of heads. Then, for each heads, discard the top card from your opponent's deck.","Fling Away","Fighting, Fighting, Fighting, Colorless","4","50","If your opponent has any Benched Pokemon, this attack does 30 damage instead of 50 and choose 1 of those Benched Pokemon. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Grass","x2"
"neo4-12","Light Arcanine","Pokemon","100","Fire","Rare Holo","Colorless, Colorless","2","Drive Off","As long as Light Arcanine is your Active Pokemon, once during your turn (before your attack), if your opponent has any Benched Pokemon, he or she chooses 1 of them and switches it with the Defending Pokemon. This power can't be used while Light Arcanine is Asleep, Confused, or Paralyzed.","Gentle Flames","Fire, Fire, Colorless","3","50","If the Defending Pokemon is a Baby Pokemon, this attack does 10 damage instead of 50. If the Defending Pokemon is a Basic Pokemon, this attack does 30 damage instead of 50.","","","","","","Water","x2"
"neo4-13","Light Azumarill","Pokemon","80","Water","Rare Holo","Colorless","1","","","Bubble","Water","1","10","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Bubble Jump","Water, Colorless, Colorless","3","30","If you have any Benched Pokemon, flip a coin. If heads, take 2 Energy cards attached to Light Azumarill and attach them to 1 of your Benched Pokemon. Then return Light Azumarill and all cards attached to it to your hand.","Lightning","x2"
"neo4-14","Light Dragonite","Pokemon","100","Colorless","Rare Holo","Colorless, Colorless","2","Miraculous Wind","As long as Light Dragonite is your Active Pokemon, each Special Energy card provides Colorless Energy instead of its usual type and its other effects stop working. This power stops working while Light Dragonite is Asleep, Confused, or Paralyzed.","Light Wave","Colorless, Colorless, Colorless","3","40","Prevent all effects of attacks, other than damage, done to Light Dragonite during your opponent's next turn.","","","","","",,
"neo4-15","Light Togetic","Pokemon","60","Colorless","Rare Holo","","0","Gift","When you play Light Togetic from your hand, your opponent may search his or her deck for a Pokemon Tool card, show that card to you, and put it into his or her hand. Either way, you may do the same, and then each player who searched shuffles his or her deck.","Sweet Kiss","Colorless, Colorless","2","30","Your opponent may draw a card.","","","","","",,
"neo4-16","Miracle Energy","Energy",,"","Rare Holo","","0","","","","","","","","","","","","",,
"neo4-17","Dark Ariados","Pokemon","60","Grass","Rare","Colorless, Colorless","2","","","Entangle","Grass","1","","If your opponent has any Benched Pokemon, choose 1 of them and switch it with the Defending Pokemon, then flip a coin. If heads, the new Defending Pokemon is now Paralyzed.","Poison Bind","Grass, Grass, Grass","3","30","The Defending Pokemon is now Poisoned. Flip a coin. If heads, the Defending Pokemon can't retreat until the end of your opponent's next turn and if the effect of an attack, Pokemon Power, or Trainer card would change that player's Active Pokemon, that part of the effect does nothing.","Fire","x2"
"neo4-18","Dark Magcargo","Pokemon","60","Fire","Rare","Colorless, Colorless, Colorless","3","Hot Plate","As long as Dark Magcargo is your Active Pokemon, whenever a player puts a Baby Pokemon or Basic Pokemon onto his or her Bench from his or her hand, this power does 10 damage to that Pokemon. (Don't apply Weakness and Resistance.) This power stops working if Dark Magcargo is Asleep, Confused, or Paralyzed.","Ball of Flame","Fire, Fire","2","20","You may discard a Fire Energy card attached to Dark Magcargo when you use this attack. If you do and if your opponent has any Benched Pokemon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Water","x2"
"neo4-19","Dark Omastar","Pokemon","70","Water","Rare","Colorless, Colorless","2","","","Prehistoric Water","Water","1","","If your opponent has any evolved Pokemon in play, choose 1 of them and flip a coin. If heads, your opponent takes the highest Stage Evolution card on that Pokemon and shuffles it into his or her deck.","Dark Tentacle","Water, Colorless","2","30","During your opponent's next turn, the Defending Pokemon can't evolve except from effects of attacks or Pokemon Powers. (Benching that Pokemon ends this effect.)","Grass","x2"
"neo4-20","Dark Slowking","Pokemon","60","Psychic","Rare","Colorless, Colorless","2","Cunning","Once during your turn (before your attack), you may flip a coin. If heads, look at the top card of your opponent's deck. Then, you may have your opponent shuffle his or her deck. This power can't be used if Dark Slowking is Asleep, Confused, or Paralyzed.","Mind Shock","Psychic, Psychic","2","30","Don't apply Weakness or Resistance for this attack.","","","","","","Psychic","x2"
"neo4-21","Dark Ursaring","Pokemon","60","Colorless","Rare","Colorless, Colorless","2","","","Provoke","Colorless","1","","Look at your opponent's hand. If he or she has any Baby Pokemon and/or Basic Pokemon there, you may put any number of them onto your opponent's Bench (as long as there's room). Then, your opponent looks at your hand. If you have any Baby Pokemon and/or Basic Pokemon there, your opponent may put any number of them onto your Bench (as long as there's room).","Battle Frenzy","Colorless, Colorless","2","","For each Pokemon in play (yours and your opponent's), flip a coin. For each heads, this attack does 20 damage to that Pokemon. Don't apply Weakness and Resistance for this attack.","Fighting","x2"
"neo4-22","Light Dragonair","Pokemon","80","Colorless","Rare","Colorless, Colorless","2","","","Healing Light","Colorless, Colorless","2","","Remove 1 damage counter from each of your Pokemon that has any damage counters on it.","Protective Wave","Colorless, Colorless, Colorless","3","20","Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Light Dragonair.",,
"neo4-23","Light Lanturn","Pokemon","80","Lightning","Rare","Colorless, Colorless","2","","","Searchlight","Lightning","1","","Flip a coin. If heads, each player may choose a card from his or her discard pile and put it into his or her hand.","Spark","Lightning, Lightning","2","30","If your opponent has any Benched Pokemon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"neo4-24","Light Ledian","Pokemon","70","Grass","Rare","","0","","","Flash Touch","Grass","1","","If you have any Benched Pokemon, switch 1 of them with Light Ledian. As long as that Pokemon is your Active Pokemon, it can't become Asleep, Confused, Paralyzed, or Poisoned. (All other effects of attacks, Pokemon Powers, and Trainer cards still happen.)","Comet Punch","Grass, Colorless, Colorless","3","20x","Flip 4 coins. This attack does 20 damage times the number of heads.","Fire","x2"
"neo4-25","Light Machamp","Pokemon","100","Fighting","Rare","Colorless, Colorless","2","Tag Team","When you play Light Machamp from your hand, if it is on your Bench, remove 3 damage counters from your Active Pokemon. If it has fewer damage counters than that, remove all of them. Then, switch Light Machamp with your Active Pokemon.","Beatdown","Fighting, Fighting, Fighting","3","50","If the Defending Pokemon has Dark in its name or is a Darkness Pokemon, flip a coin. If heads, this attack does 100 damage instead of 50.","","","","","","Psychic","x2"
"neo4-26","Light Piloswine","Pokemon","90","Water","Rare","Colorless, Colorless, Colorless","3","Fluffy Wool","During your opponent's turn, if Light Piloswine is your Active Pokemon and is damaged by your opponent's attack (even if it's Knocked Out), flip a coin. If heads, the attacking Pokemon is now Asleep. This power stops working if Light Piloswine is already Asleep, Confused, or Paralyzed when your opponent attacks.","Knock Over","Colorless, Colorless, Colorless","3","30","If there is a Stadium card in play, you may discard it.","","","","","","Grass","x2"
"neo4-27","Unown [G]","Pokemon","40","Psychic","Rare","Colorless","1","[Give]","Once during your turn (before your attack), if you have Unown [G], Unown [I], Unown [V], and Unown [E] on your Bench, you may flip a coin. If heads, search your deck for a basic Energy card and attach it to 1 of your Pokemon. Shuffle your deck afterward.","Hidden Power","Psychic","1","10","","","","","","","Psychic","x2"
"neo4-28","Unown [H]","Pokemon","40","Psychic","Rare","Colorless","1","[Help]","Once during your turn (before your attack), if you have Unown [H], Unown [E], Unown [L], and Unown [P] on your Bench, you may shuffle your hand into your deck, then draw a new hand of the same number of cards.","Hidden Power","Psychic","1","10","","","","","","","Psychic","x2"
"neo4-29","Unown [W]","Pokemon","40","Psychic","Rare","Colorless","1","[Want]","Once during your turn (before your attack), if you have Unown [W], Unown [A], Unown [N], and Unown [T] on your Bench, you may flip a coin. If heads, put a Trainer card from your discard pile into your hand.","Hidden Power","Psychic","1","10","","","","","","","Psychic","x2"
"neo4-30","Unown [X]","Pokemon","50","Psychic","Rare","Colorless","1","[XXXXX]","Whenever 1 of your Pokemon with Unown in its name uses its Hidden Power attack, flip a coin until you get tails. That attack does 10 more damage for each heads. If you have more than 1 Unown [X] in play, use only 1 [XXXXX] each turn.","Hidden Power","Psychic","1","10","","","","","","","Psychic","x2"
"neo4-31","Chansey","Pokemon","90","Colorless","Uncommon","Colorless, Colorless","2","","","Doubleslap","Colorless, Colorless","2","20x","Flip 2 coins. This attack does 20 damage times the number of heads.","Egg Toss","Colorless, Colorless, Colorless","3","80","Flip 2 coins. If either of them is tails, this attack does nothing.","Fighting","x2"
"neo4-32","Dark Croconaw","Pokemon","60","Water","Uncommon","Colorless, Colorless","2","","","Clamping Jaw","Water, Water","2","20","The Defending Pokemon can't retreat during your opponent's next turn. If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing. (Benching either Pokemon ends this effect.)","","","","","","Grass","x2"
"neo4-33","Dark Exeggutor","Pokemon","60","Psychic","Uncommon","Colorless, Colorless","2","","","Triple Headbutt","Colorless","1","10x","Flip 3 coins. This attack does 10 damage times the number of heads.","MAX Burst","Psychic, Colorless","2","20x","Flip a number of coins equal to the number of Energy cards attached to your opponent's Pokemon. This attack does 20 damage times the number of heads.","Psychic","x2"
"neo4-34","Dark Flaaffy","Pokemon","60","Lightning","Uncommon","Colorless","1","","","High Voltage","Lightning","1","10","Flip a coin. If heads, your opponent can't play Trainer cards during his or her next turn.","Stun Wave","Lightning, Colorless","2","30","If the Defending Pokemon has a Pokemon Power, that power stops working until the end of your next turn.","Fighting","x2"
"neo4-35","Dark Forretress","Pokemon","60","Grass","Uncommon","Colorless, Colorless","2","","","Armor Up","Colorless","1","","Until the end of your next turn, if Dark Forretress would be Knocked Out by damage from an attack, flip a coin. If heads, Dark Forretress is not Knocked Out and its remaining HP become 10 instead.","Explosion","Grass, Grass","2","60","Dark Forretress does 60 damage to itself.","Fire","x2"
"neo4-36","Dark Haunter","Pokemon","50","Psychic","Uncommon","","0","","","Call Back","Psychic","1","","Put a Baby Pokemon or Basic Pokemon card from your opponent's discard pile onto his or her Bench. Put 1 damage counter on that Pokemon. (You can't use this attack if your Bench is full.)","Surround","Psychic, Psychic","2","20","Flip a coin. If heads, the Defending Pokemon is now Asleep. If tails, the Defending Pokemon can't retreat during your opponent's next turn.",,
"neo4-37","Dark Omanyte","Pokemon","40","Water","Uncommon","Colorless","1","","","Water Cannon","Water","1","","Choose 1 of your opponent's Pokemon. This attack does 10 damage for each Water Energy card attached to Dark Omanyte. Don't apply Weakness and Resistance. You can't do more than 30 damage in this way.","","","","","","Grass","x2"
"neo4-38","Dark Pupitar","Pokemon","60","Fighting","Uncommon","Colorless","1","","","Rock Tackle","Fighting, Fighting","2","40","Dark Pupitar does 10 damage to itself. Dark Pupitar can't use this attack during your next turn.","Explosive Evolution","Colorless, Colorless, Colorless","3","","Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokemon. Don't apply Weakness and Resistance. Then, search your deck for an Evolution card named Dark Tyranitar and put it on Dark Pupitar. (This counts as evolving Dark Pupitar.) Shuffle your deck afterward.","Grass","x2"
"neo4-39","Dark Quilava","Pokemon","60","Fire","Uncommon","Colorless","1","","","Incinerate","Fire","1","","Show the top card of your opponent's deck to all players. If it's a Trainer card, discard it.","Rushing Magma","Fire, Fire","2","20x","Discard the top 5 cards of your deck. (If there are fewer than 5 cards in your deck, discard all of them.) This attack does 20 damage for each Fire Energy card you discarded in this way.","Water","x2"
"neo4-40","Dark Wigglytuff","Pokemon","60","Colorless","Uncommon","Colorless, Colorless","2","","","Dark Song","Colorless, Colorless","2","","Flip a coin. If heads, the Defending Pokemon is now Asleep. If tails, the Defending Pokemon is now Confused.","Slap Awake","Colorless, Colorless, Colorless","3","20+","If the Defending Pokemon is Asleep or Confused, this attack does 20 damage plus 20 more damage. Then, the Defending Pokemon is no longer Asleep or Confused.","Fighting","x2"
