"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"np-3","Treecko","Pokemon","40","Grass","Promo","Colorless","1","","","Tail Slap","Colorless","1","10","","Razor Leaf","Grass, Colorless","2","20","","Fire","x2"
"np-4","Grovyle","Pokemon","70","Grass","Promo","Colorless","1","","","Poison Breath","Colorless, Colorless","2","","The Defending Pokemon is now Poisoned.","Swift","Grass, Colorless, Colorless","3","30","This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.","Fire","x2"
"np-5","Mudkip","Pokemon","50","Water","Promo","Colorless","1","","","Pound","Colorless","1","10","","Fury Swipes","Colorless, Colorless","2","10x","Flip 3 coins. This attack does 10 damage times the number of heads.","Lightning","x2"
"np-6","Torchic","Pokemon","40","Fire","Promo","Colorless","1","","","Peck","Colorless","1","10","","Fireworks","Fire, Colorless","2","30","Flip a coin. If tails, discard a Fire Energy card attached to Torchic.","Water","x2"
"np-7","Treecko","Pokemon","40","Grass","Promo","Colorless","1","","","Tail Slap","Colorless","1","10","","Razor Leaf","Grass, Colorless","2","20","","Fire","x2"
"np-8","Torchic","Pokemon","40","Fire","Promo","Colorless","1","","","Peck","Colorless","1","10","","Fireworks","Fire, Colorless","2","30","Flip a coin. If tails, discard a Fire Energy card attached to Torchic.","Water","x2"
"np-9","Combusken","Pokemon","70","Fire","Promo","Colorless","1","","","Flare","Fire","1","20","","Double Kick","Colorless, Colorless, Colorless","3","40x","Flip 2 coins. This attack does 40 damage times the number of heads.","Water","x2"
"np-10","Mudkip","Pokemon","50","Water","Promo","Colorless","1","","","Pound","Colorless","1","10","","Fury Swipes","Colorless, Colorless","2","10x","Flip 3 coins. This attack does 10 damage times the number of heads.","Lightning","x2"
"np-11","Marshtomp","Pokemon","70","Water","Promo","Colorless","1","","","Bubble","Water","1","10","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Slash","Colorless, Colorless, Colorless","3","40","","Lightning","x2"
"np-12","Pikachu","Pokemon","50","Lightning","Promo","Colorless","1","","","Agility","Colorless","1","","Flip a coin. If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn.","Thundershock","Lightning, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Fighting","x2"
"np-13","Meowth","Pokemon","50","Colorless","Promo","Colorless","1","","","Plunder","Colorless","1","10","Before doing damage, discard all Trainer cards attached to the Defending Pokemon (before they affect the damage.).","Scratch","Colorless, Colorless","2","20","","Fighting","x2"
"np-14","Latias","Pokemon","70","Colorless","Promo","Colorless, Colorless","2","","","Super Psy","Psychic","1","10","","Searing Flame","Fire, Water","2","20","Flip a coin. If heads, the Defending Pokemon is now Burned.","Psychic","x2"
