"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"pop5-1","Ho-Oh","Pokemon","80","Fire","Rare","Colorless, Colorless","2","","","Fire Wing","Fire, Colorless","2","20","","Fire Blast","Fire, Fire, Fire, Colorless","4","60","Discard a Fire Energy attached to Ho-Oh.","Water","x2"
"pop5-2","Lugia","Pokemon","80","Psychic","Rare","Colorless, Colorless","2","","","Super Psy Bolt","Psychic, Colorless","2","20","","Aerowing","Psychic, Colorless, Colorless","3","30","Before doing damage, you may flip a coin. If tails, this attack does nothing. If heads, this attack does 60 damage instead.","Psychic","x2"
"pop5-3","Mew δ","Pokemon","60","Fire","Rare","Colorless","1","","","Copy","Colorless","1","","Choose 1 of the Defending Pokemon's attacks. Copy copies that attack. This attack does nothing if Mew doesn't have the Energy necessary to use that attack. (You must still do anything else required for that attack.) Mew performs that attack.","Extra Draw","Fire","1","","If your opponent has any Pokemon-ex in play, search your deck for up to 2 basic Energy cards and attach them to Mew. Shuffle your deck afterward.","Psychic","x2"
"pop5-5","Charmeleon δ","Pokemon","70","Lightning","Uncommon","Colorless","1","","","Slash","Colorless, Colorless","2","20","","Thunder Jolt","Lightning, Colorless, Colorless","3","50","Flip a coin. If tails, Charmeleon does 10 damage to itself.","Water","x2"
"pop5-10","Charmander δ","Pokemon","50","Lightning","Common","Colorless","1","","","Scratch","Colorless","1","10","","Bite","Lightning, Colorless","2","20","","Water","x2"
"pop5-11","Meowth δ","Pokemon","40","Darkness","Common","Colorless","1","","","Feint Attack","Darkness","1","","Choose 1 of your opponent's Pokemon. This attack does 10 damage to that Pokemon. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.","","","","","","Fighting","x2"
"pop5-12","Pikachu","Pokemon","50","Lightning","Common","Colorless","1","","","Lightning Ball","Lightning","1","10","","Thunderbolt","Lightning, Colorless, Colorless","3","50","Discard all Energy cards attached to Pikachu.","Fighting","x2"
"pop5-13","Pikachu δ","Pokemon","40","Metal","Common","Colorless","1","","","Electric Punch","Colorless","1","10","","Heavy Metal","Colorless, Colorless","2","10+","Flip a coin for each Metal Energy attached to Pikachu. This attack does 10 damage plus 20 more damage for each heads.","Fighting","x2"
"pop5-14","Pelipper δ","Pokemon","70","Lightning","Common","","0","Mist","Any damage done to Pelipper by attacks from Stage 2 Evolved Pokemon (both yours and your opponent's) is reduced by 30 (after applying Weakness and Resistance).","Lightning Wing","Lightning, Colorless, Colorless","3","50","Does 10 damage to 1 of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Lightning","x2"
"pop5-15","Zangoose δ","Pokemon","70","Metal","Common","Colorless","1","","","Detect","Colorless","1","","Flip a coin. If heads, prevent all effects of an attack, including damage, done to Zangoose during your opponent's next turn.","Metal Claw","Metal, Colorless, Colorless","3","40","","Fighting","x2"
