"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sm8-1","Tangela","Pokemon","80","Grass","Common","Colorless, Colorless","2","","","Gentle Slap","Colorless, Colorless","2","20","","Bind","Grass, Colorless, Colorless","3","40","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Fire","x2"
"sm8-2","Tangrowth","Pokemon","140","Grass","Rare","Colorless, Colorless, Colorless","3","","","Hefty Whip","Grass, Colorless, Colorless","3","30+","If this Pokemon was healed during this turn, this attack does 130 more damage.","Whip Smash","Grass, Grass, Colorless, Colorless","4","110","","Fire","x2"
"sm8-3","Scyther","Pokemon","80","Grass","Common","Colorless","1","","","Fury Cutter","Colorless, Colorless","2","10+","Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 50 more damage. If all of them are heads, this attack does 70 more damage.","","","","","","Fire","x2"
"sm8-4","Pinsir","Pokemon","110","Grass","Uncommon","Colorless, Colorless","2","","","Grip and Squeeze","Grass","1","20","The Defending Pokemon can't retreat during your opponent's next turn.","Hammer In","Colorless, Colorless, Colorless","3","70","","Fire","x2"
"sm8-5","Chikorita","Pokemon","60","Grass","Common","Colorless","1","","","Synthesis","Colorless","1","","Search your deck for a Grass Energy card and attach it to 1 of your Pokemon. Then, shuffle your deck.","Razor Leaf","Grass, Colorless","2","20","","Fire","x2"
"sm8-6","Chikorita","Pokemon","70","Grass","Common","Colorless","1","","","Mini Drain","Grass","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"sm8-7","Bayleef","Pokemon","100","Grass","Uncommon","Colorless, Colorless","2","","","Soothing Scent","Grass","1","20","Your opponent's Active Pokemon is now Asleep.","Razor Leaf","Grass, Colorless, Colorless","3","50","","Fire","x2"
"sm8-8","Meganium","Pokemon","150","Grass","Rare Holo","Colorless, Colorless","2","Quick-Ripening Herb","Once during your turn (before your attack), you may use this Ability. Choose 1 of your Basic Pokemon in play. If you have a Stage 2 card in your hand that evolves from that Pokemon, put that card onto the Basic Pokemon to evolve it. You can use this Ability during your first turn or on a Pokemon that was put into play this turn.","Solar Beam","Grass, Colorless, Colorless, Colorless","4","110","","","","","","","Fire","x2"
"sm8-9","Spinarak","Pokemon","50","Grass","Common","Colorless","1","","","Spider Scram","Grass","1","","Your opponent's Active Pokemon is now Paralyzed and Poisoned. Put this Pokemon and all cards attached to it in the Lost Zone.","Sting","Colorless","1","10","","Fire","x2"
"sm8-10","Ariados","Pokemon","110","Grass","Uncommon","Colorless","1","","","Trapping Thread","Colorless, Colorless","2","30","Whenever your opponent plays an Item or Supporter card from their hand during their next turn, prevent all effects of that card done to the Defending Pokemon.","Poison Jab","Grass, Colorless, Colorless","3","70","Your opponent's Active Pokemon is now Poisoned.","Fire","x2"
"sm8-11","Hoppip","Pokemon","30","Grass","Common","Colorless","1","","","Multiply","Colorless","1","","Search your deck for Hoppip and put it onto your Bench. Then, shuffle your deck.","","","","","","Lightning","x2"
"sm8-12","Hoppip","Pokemon","40","Grass","Common","Colorless","1","","","Tackle","Grass","1","20","","","","","","","Lightning","x2"
"sm8-13","Skiploom","Pokemon","60","Grass","Uncommon","","0","Floral Path to the Sky","Once during your turn (before your attack), you may search your deck for Jumpluff, put this Pokemon and all cards attached to it in the Lost Zone, and put that Jumpluff in its place. Then, shuffle your deck.","Tackle","Grass","1","30","","","","","","","Lightning","x2"
"sm8-14","Jumpluff","Pokemon","70","Grass","Rare Holo","","0","","","Lost March","Grass","1","20x","This attack does 20 damage for each of your Pokemon, except ◇ (Prism Star) Pokemon, in the Lost Zone.","","","","","","Lightning","x2"
"sm8-15","Pineco","Pokemon","60","Grass","Common","Colorless, Colorless","2","","","Continuous Headbutt","Colorless","1","20x","Flip a coin until you get tails. This attack does 20 damage for each heads.","","","","","","Fire","x2"
"sm8-16","Shuckle","Pokemon","60","Grass","Uncommon","Colorless","1","Fresh Squeezed","When you play this Pokemon from your hand onto your Bench during your turn, you may search your deck for up to 3 basic Energy cards and discard them. Then, shuffle your deck.","Energy Drink","Grass","1","","Attach 2 basic Energy cards from your discard pile to your Pokemon in any way you like.","","","","","","Fire","x2"
"sm8-18","Heracross","Pokemon","120","Grass","Uncommon","Colorless, Colorless","2","","","Tackle","Colorless","1","20","","Powerful Friends","Grass, Colorless","2","30+","If you have any Stage 2 Pokemon on your Bench, this attack does 90 more damage.","Fire","x2"
"sm8-20","Treecko","Pokemon","60","Grass","Common","Colorless","1","","","Find a Friend","Grass","1","","Search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.","","","","","","Fire","x2"
"sm8-21","Grovyle","Pokemon","80","Grass","Uncommon","Colorless, Colorless","2","Sunshine Grace","Once during your turn (before your attack), you may search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.","Slicing Blade","Grass, Grass","2","40","","","","","","","Fire","x2"
"sm8-23","Wurmple","Pokemon","60","Grass","Common","Colorless","1","","","Ram","Colorless","1","10","","","","","","","Fire","x2"
"sm8-24","Wurmple","Pokemon","60","Grass","Common","Colorless","1","","","Poison Sting","Grass","1","","Your opponent's Active Pokemon is now Poisoned.","","","","","","Fire","x2"
"sm8-25","Silcoon","Pokemon","80","Grass","Uncommon","Colorless, Colorless, Colorless","3","","","Cocoon Collector","Colorless","1","","Search your deck for up to 4 in any combination of Silcoon and Cascoon and put them onto your Bench. Then, shuffle your deck.","Rolling Tackle","Grass","1","20","","Fire","x2"
"sm8-26","Beautifly","Pokemon","130","Grass","Rare","Colorless","1","","","Skill Dive","Colorless","1","","This attack does 50 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Butterfly Edge","Grass","1","30","If your opponent's Pokemon is Knocked Out by damage from this attack, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn.","Fire","x2"
