"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"smp-SM01","Rowlet","Pokemon","50","Grass","Promo","Colorless","1","","","Fury Attack","Grass","1","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"smp-SM02","Litten","Pokemon","60","Fire","Promo","Colorless","1","","","Combustion","Fire, Colorless","2","30","","","","","","","Water","x2"
"smp-SM03","Popplio","Pokemon","60","Water","Promo","Colorless","1","","","Sing","Water","1","","Your opponent's Active Pokemon is now Asleep.","","","","","","Grass","x2"
"smp-SM04","Pikachu","Pokemon","70","Lightning","Promo","Colorless","1","","","Thunder Wave","Lightning","1","","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Electro Ball","Lightning, Colorless, Colorless","3","50","","Fighting","x2"
"smp-SM06","Rockruff","Pokemon","60","Fighting","Promo","Colorless","1","","","Tackle","Colorless","1","10","","Rock Throw","Fighting, Colorless","2","20","","Grass","x2"
"smp-SM07","Pikipek","Pokemon","60","Colorless","Promo","Colorless","1","","","Nosedive","Colorless, Colorless","2","40","This Pokemon does 20 damage to itself.","","","","","","Lightning","x2"
"smp-SM08","Litten","Pokemon","60","Fire","Promo","Colorless","1","","","Collect","Colorless","1","","Draw a card.","Scratch","Fire, Colorless","2","20","","Water","x2"
"smp-SM09","Togedemaru","Pokemon","70","Lightning","Promo","Colorless","1","","","Defense Curl","Colorless","1","","Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.","Discharge","Lightning","1","30x","Discard all Lightning Energy from this Pokemon. This attack does 30 damage for each card you discarded in this way.","Fighting","x2"
"smp-SM10","Shiinotic","Pokemon","100","Grass","Promo","Colorless, Colorless","2","Illuminate","Once during your turn (before your attack), you may search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.","Flickering Spores","Grass, Colorless","2","30","Your opponent's Active Pokemon is now Asleep.","","","","","","Fire","x2"
"smp-SM11","Bruxish","Pokemon","110","Water","Promo","Colorless, Colorless","2","","","Vivid Charge","Colorless","1","","Search your deck for up to 3 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","Psychic Fang","Water, Water, Colorless","3","90","This attack's damage isn't affected by any effects on your opponent's Active Pokemon.","Grass","x2"
"smp-SM12","Passimian","Pokemon","110","Fighting","Promo","Colorless","1","","","Fling","Fighting","1","","This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Team Play","Colorless, Colorless","2","10+","This attack does 30 more damage for each of your Benched Passimian.","Psychic","x2"
"smp-SM13","Oranguru","Pokemon","120","Colorless","Promo","Colorless, Colorless","2","Instruct","Once during your turn (before your attack), you may draw cards until you have 3 cards in your hand.","Psychic","Colorless, Colorless, Colorless","3","60+","This attack does 20 more damage times the amount of Energy attached to your opponent's Active Pokemon.","","","","","","Fighting","x2"
"smp-SM15","Zygarde","Pokemon","130","Fighting","Promo","Colorless, Colorless, Colorless","3","","","Pulse Blast","Fighting, Colorless, Colorless","3","60","","Land's Wrath","Fighting, Fighting, Fighting, Colorless","4","130","","Grass","x2"
