"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv3pt5-1","Bulbasaur","Pokemon","70","Grass","Common","Colorless, Colorless","2","","","Leech Seed","Grass, Colorless","2","20","Heal 20 damage from this Pokemon.","","","","","","Fire","x2"
"sv3pt5-2","Ivysaur","Pokemon","100","Grass","Uncommon","Colorless, Colorless, Colorless","3","","","Leech Seed","Grass, Colorless","2","30","Heal 20 damage from this Pokemon.","Vine Whip","Grass, Grass, Colorless","3","80","","Fire","x2"
"sv3pt5-4","Charmander","Pokemon","70","Fire","Common","Colorless","1","","","Blazing Destruction","Fire","1","","Discard a Stadium in play.","Steady Firebreathing","Fire, Fire","2","30","","Water","x2"
"sv3pt5-5","Charmeleon","Pokemon","100","Fire","Uncommon","Colorless, Colorless","2","","","Combustion","Fire","1","20","","Fire Blast","Fire, Fire, Fire","3","90","Discard an Energy from this Pokemon.","Water","x2"
"sv3pt5-7","Squirtle","Pokemon","60","Water","Common","Colorless","1","","","Withdraw","Water","1","","Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokemon by attacks.","Skull Bash","Water, Water","2","20","","Lightning","x2"
"sv3pt5-8","Wartortle","Pokemon","100","Water","Uncommon","Colorless, Colorless","2","","","Free Diving","Water","1","","Put up to 3 Basic Water Energy cards from your discard pile into your hand.","Spinning Attack","Water, Water","2","50","","Lightning","x2"
"sv3pt5-10","Caterpie","Pokemon","50","Grass","Common","Colorless","1","","","Leaf Munch","Grass","1","10+","If your opponent's Active Pokemon is a Grass Pokemon, this attack does 30 more damage.","","","","","","Fire","x2"
"sv3pt5-11","Metapod","Pokemon","90","Grass","Common","Colorless, Colorless, Colorless","3","","","Tackle","Grass","1","20","","Defensive Posture","Colorless, Colorless","2","","Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokemon by attacks.","Fire","x2"
"sv3pt5-12","Butterfree","Pokemon","130","Grass","Uncommon","Colorless","1","","","Whirlwind","Grass","1","60","Switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.)","Bye-Bye Flight","Colorless, Colorless","2","","Choose 1 of your opponent's Benched Pokemon. Shuffle that Pokemon and all attached cards into their deck, and then shuffle this Pokemon and all attached cards into your deck. If your opponent has no Benched Pokemon, this attack does nothing.","Fire","x2"
"sv3pt5-13","Weedle","Pokemon","50","Grass","Common","Colorless","1","","","Ram","Grass","1","10","","Bug Bite","Colorless, Colorless","2","20","","Fire","x2"
"sv3pt5-14","Kakuna","Pokemon","80","Grass","Common","Colorless, Colorless, Colorless","3","Cocoon Cover","Prevent all effects of attacks used by your opponent's Pokemon done to this Pokemon. (Damage is not an effect.)","Zzzt","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"sv3pt5-15","Beedrill","Pokemon","130","Grass","Rare","Colorless","1","","","Nadir Needle","Colorless, Colorless","2","30+","If you have no cards in your hand, this attack does 120 more damage, and your opponent's Active Pokemon is now Paralyzed and Poisoned.","Pierce","Grass, Grass","2","110","","Fire","x2"
"sv3pt5-16","Pidgey","Pokemon","50","Colorless","Common","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for up to 2 Basic Pokemon and put them onto your Bench. Then, shuffle your deck.","Tackle","Colorless, Colorless","2","20","","Lightning","x2"
"sv3pt5-17","Pidgeotto","Pokemon","80","Colorless","Common","","0","","","Flap","Colorless","1","20","","","","","","","Lightning","x2"
"sv3pt5-18","Pidgeot","Pokemon","130","Colorless","Uncommon","","0","","","Flap","Colorless","1","40","","Fly","Colorless, Colorless, Colorless","3","150","Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon.","Lightning","x2"
"sv3pt5-19","Rattata","Pokemon","40","Colorless","Common","Colorless","1","","","Gnaw the Wound","Colorless, Colorless","2","20+","This attack does 10 more damage for each damage counter on your opponent's Active Pokemon.","","","","","","Fighting","x2"
"sv3pt5-20","Raticate","Pokemon","70","Colorless","Uncommon","","0","","","Second Bite","Colorless, Colorless","2","30+","This attack does 30 more damage for each damage counter on your opponent's Active Pokemon.","","","","","","Fighting","x2"
"sv3pt5-21","Spearow","Pokemon","50","Colorless","Common","Colorless","1","Evolutionary Advantage","If you go second, this Pokemon can evolve during your first turn.","Speed Dive","Colorless","1","10","","","","","","","Lightning","x2"
"sv3pt5-22","Fearow","Pokemon","90","Colorless","Uncommon","","0","","","Beak Catch","Colorless","1","","Search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.","Speed Dive","Colorless","1","50","","Lightning","x2"
"sv3pt5-23","Ekans","Pokemon","70","Darkness","Common","Colorless, Colorless","2","","","Acid Spray","Darkness, Darkness","2","30","Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.","","","","","","Fighting","x2"
"sv3pt5-25","Pikachu","Pokemon","60","Lightning","Common","Colorless","1","","","Charge","Lightning","1","","Search your deck for a Basic Lightning Energy card and attach it to this Pokemon. Then, shuffle your deck.","Pika Punch","Lightning, Lightning, Colorless","3","50","","Fighting","x2"
"sv3pt5-26","Raichu","Pokemon","120","Lightning","Rare","Colorless","1","Electrical Grounding","When 1 of your Pokemon is Knocked Out by damage from an attack from your opponent's Pokemon, you may move a Lightning Energy from that Pokemon to this Pokemon.","Thunder","Lightning, Lightning, Colorless","3","180","This Pokemon also does 50 damage to itself.","","","","","","Fighting","x2"
"sv3pt5-27","Sandshrew","Pokemon","60","Fighting","Common","Colorless","1","Sand Screen","Trainer cards in your opponent's discard pile can't be put into their deck by an effect of your opponent's Item or Supporter cards.","Scratch","Colorless, Colorless","2","30","","","","","","","Grass","x2"
"sv3pt5-28","Sandslash","Pokemon","120","Fighting","Uncommon","Colorless, Colorless","2","","","Rumble","Fighting","1","30","During your opponent's next turn, the Defending Pokemon can't retreat.","Spike Rend","Fighting, Colorless, Colorless","3","80+","If your opponent's Active Pokemon already has any damage counters on it, this attack does 100 more damage.","Grass","x2"
"sv3pt5-29","Nidoran ♀","Pokemon","60","Darkness","Common","Colorless","1","","","Poison Horn","Darkness, Colorless","2","20","Your opponent's Active Pokemon is now Poisoned.","","","","","","Fighting","x2"
"sv3pt5-30","Nidorina","Pokemon","90","Darkness","Uncommon","Colorless, Colorless","2","","","Fetch Family","Darkness","1","","Search your deck for up to 3 Pokemon, reveal them, and put them into your hand. Then, shuffle your deck.","Sharp Fang","Darkness, Colorless","2","50","","Fighting","x2"
"sv3pt5-31","Nidoqueen","Pokemon","170","Darkness","Uncommon","Colorless, Colorless, Colorless","3","","","Queen Press","Darkness, Colorless","2","90","During your opponent's next turn, prevent all damage done to this Pokemon by attacks from Basic Pokemon.","Lunge Out","Darkness, Darkness, Colorless","3","160","","Fighting","x2"
"sv3pt5-32","Nidoran ♂","Pokemon","60","Darkness","Common","Colorless","1","","","Horn Attack","Darkness","1","20","","","","","","","Fighting","x2"
"sv3pt5-33","Nidorino","Pokemon","90","Darkness","Uncommon","Colorless, Colorless","2","","","Sharp Fang","Darkness","1","30","","Superpowered Horns","Darkness, Darkness, Colorless","3","100","","Fighting","x2"
"sv3pt5-34","Nidoking","Pokemon","170","Darkness","Rare","Colorless, Colorless, Colorless","3","Enthusiastic King","If you have Nidoqueen in play, ignore all Energy in the costs of attacks used by this Pokemon.","Venomous Impact","Darkness, Darkness, Colorless, Colorless","4","190","Your opponent's Active Pokemon is now Poisoned.","","","","","","Fighting","x2"
"sv3pt5-35","Clefairy","Pokemon","60","Psychic","Common","Colorless","1","","","Moon-Viewing Invitation","Psychic","1","","Search your deck for up to 3 Clefairy and put them onto your Bench. Then, shuffle your deck.","Smack","Psychic, Colorless","2","20","","Metal","x2"
"sv3pt5-36","Clefable","Pokemon","100","Psychic","Uncommon","Colorless, Colorless","2","","","Follow Me","Psychic","1","","Switch in 1 of your opponent's Benched Pokemon to the Active Spot.","More Moon","Psychic, Psychic, Psychic","3","50","If your opponent's Pokemon is Knocked Out by damage from this attack, take 1 more Prize card.","Metal","x2"
"sv3pt5-37","Vulpix","Pokemon","70","Fire","Common","Colorless","1","","","Super Singe","Fire, Colorless","2","20","Flip a coin. If heads, your opponent's Active Pokemon is now Burned.","","","","","","Water","x2"
"sv3pt5-39","Jigglypuff","Pokemon","70","Colorless","Common","Colorless","1","","","Lead","Colorless","1","","Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.","Stompy Stomp","Colorless, Colorless","2","20x","Flip 2 coins. This attack does 20 damage for each heads.","Fighting","x2"
"sv3pt5-41","Zubat","Pokemon","40","Darkness","Common","Colorless","1","Revealing Echo","Once during your turn, if this Pokemon is in the Active Spot, you may have your opponent reveal their hand.","Bite","Colorless","1","10","","","","","","","Lightning","x2"
"sv3pt5-42","Golbat","Pokemon","80","Darkness","Uncommon","Colorless","1","","","Skill Dive","Colorless","1","","This attack does 40 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Lightning","x2"
"sv3pt5-43","Oddish","Pokemon","60","Grass","Common","Colorless","1","","","Razor Leaf","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"sv3pt5-44","Gloom","Pokemon","70","Grass","Uncommon","Colorless","1","Semi-Blooming Energy","When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may look at the top 3 cards of your deck and attach any number of Basic Energy cards you find there to your Pokemon in any way you like. Shuffle the other cards back into your deck.","Drool","Colorless, Colorless","2","30","","","","","","","Fire","x2"
"sv3pt5-45","Vileplume","Pokemon","140","Grass","Rare","Colorless, Colorless","2","Fully Blooming Energy","When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may look at the top 8 cards of your deck and attach any number of Basic Energy cards you find there to your Pokemon in any way you like. Shuffle the other cards back into your deck.","Solar Beam","Grass, Colorless, Colorless","3","90","","","","","","","Fire","x2"
"sv3pt5-46","Paras","Pokemon","70","Grass","Common","Colorless, Colorless","2","","","Stampede","Grass","1","10","","Spore Ball","Grass, Colorless","2","20","Your opponent's Active Pokemon is now Asleep.","Fire","x2"
"sv3pt5-47","Parasect","Pokemon","120","Grass","Uncommon","Colorless, Colorless","2","","","Spread Filaments","Grass","1","","Flip 2 coins. Search your deck for a number of Grass Pokemon up to the number of heads and put them onto your Bench. Then, shuffle your deck.","Claw Slash","Colorless, Colorless","2","50","","Fire","x2"
"sv3pt5-48","Venonat","Pokemon","70","Grass","Common","Colorless, Colorless","2","","","Gnaw","Colorless","1","10","","Beam","Grass, Colorless, Colorless","3","40","","Fire","x2"
"sv3pt5-49","Venomoth","Pokemon","90","Grass","Uncommon","Colorless","1","","","Perplexing Powder","Grass","1","30","Your opponent's Active Pokemon is now Confused. During your opponent's next turn, they can't play any Item cards from their hand.","Speed Wing","Grass, Colorless, Colorless","3","90","","Fire","x2"
"sv3pt5-50","Diglett","Pokemon","50","Fighting","Common","Colorless","1","","","Headbutt Bounce","Fighting","1","10","","Mud-Slap","Fighting, Fighting","2","30","","Grass","x2"
"sv3pt5-51","Dugtrio","Pokemon","90","Fighting","Uncommon","Colorless","1","","","Headbutt Bounce","Fighting","1","40","","Mud Bomb","Fighting, Fighting","2","80","","Grass","x2"
