"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv6-1","Tangela","Pokemon","80","Grass","Common","Colorless, Colorless","2","","","Gentle Slap","Colorless","1","10","","Vine Slap","Grass, Colorless","2","30","","Fire","x2"
"sv6-2","Tangrowth","Pokemon","150","Grass","Common","Colorless, Colorless, Colorless, Colorless","4","Thicket Body","This Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).","Loom Over","Grass, Colorless, Colorless","3","150-","This attack does 10 less damage for each damage counter on this Pokemon.","","","","","","Fire","x2"
"sv6-3","Pinsir","Pokemon","110","Grass","Common","Colorless, Colorless","2","","","Slow Crunch","Grass, Colorless","2","","Discard all Energy from this Pokemon. At the end of your opponent's next turn, the Defending Pokemon will be Knocked Out.","Superpowered Horns","Grass, Colorless, Colorless","3","100","","Fire","x2"
"sv6-4","Spinarak","Pokemon","60","Grass","Common","Colorless","1","","","Bug Bite","Grass","1","20","","","","","","","Fire","x2"
"sv6-5","Ariados","Pokemon","90","Grass","Uncommon","Colorless","1","Big Net","Your opponent's Active Evolution Pokemon's Retreat Cost is Colorless more.","String Bind","Grass","1","10+","This attack does 30 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost.","","","","","","Fire","x2"
"sv6-6","Sunkern","Pokemon","40","Grass","Common","Colorless","1","","","Bullet Seed","Grass","1","10x","Flip 4 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"sv6-7","Sunflora","Pokemon","100","Grass","Uncommon","Colorless","1","","","Redirected Sunlight","Grass","1","60x","This attack does 60 damage for each Fire Energy attached to all of your opponent's Pokemon.","Mega Drain","Grass, Colorless","2","50","Heal 30 damage from this Pokemon.","Fire","x2"
"sv6-8","Heracross","Pokemon","120","Grass","Uncommon","Colorless, Colorless","2","","","Body Slam","Grass, Colorless, Colorless","3","60","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Seismic Toss","Grass, Colorless, Colorless, Colorless","4","130","","Fire","x2"
"sv6-9","Volbeat","Pokemon","70","Grass","Common","Colorless","1","","","Quick Sign","Colorless","1","","If you go first, you can use this attack during your first turn. Search your deck for up to 2 Basic Pokemon and put them onto your Bench. Then, shuffle your deck.","Coordinated Strike","Colorless, Colorless","2","20+","If Illumise is on your Bench, this attack does 60 more damage.","Fire","x2"
"sv6-10","Illumise","Pokemon","70","Grass","Common","Colorless","1","","","Slowing Perfume","Colorless","1","","You can use this attack only if you go second, and only during your first turn. Shuffle 1 of your opponent's Benched Pokemon and all attached cards into their deck.","Glide","Grass, Colorless","2","30","","Fire","x2"
"sv6-11","Leafeon","Pokemon","120","Grass","Uncommon","Colorless","1","","","Leaflet Blessings","Colorless","1","","Attach a Basic Grass Energy card from your hand to 1 of your Benched Pokemon. If you do, heal all damage from that Pokemon.","Solar Beam","Grass, Colorless","2","70","","Fire","x2"
"sv6-12","Phantump","Pokemon","70","Grass","Common","Colorless, Colorless","2","","","Leech Seed","Grass, Colorless","2","20","Heal 20 damage from this Pokemon.","","","","","","Fire","x2"
"sv6-13","Trevenant","Pokemon","120","Grass","Common","Colorless, Colorless, Colorless","3","","","Giga Drain","Grass, Colorless","2","50","Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.","Forest Dump","Grass, Grass, Colorless","3","130","","Fire","x2"
"sv6-14","Grookey","Pokemon","70","Grass","Common","Colorless","1","","","Smash Kick","Grass","1","10","","Branch Poke","Grass, Grass","2","30","","Fire","x2"
"sv6-15","Thwackey","Pokemon","100","Grass","Common","Colorless, Colorless","2","Boom Boom Groove","Once during your turn, if your Active Pokemon has the Festival Lead Ability, you may search your deck for a card and put it into your hand. Then, shuffle your deck.","Beat","Grass, Grass","2","50","","","","","","","Fire","x2"
"sv6-16","Rillaboom","Pokemon","180","Grass","Uncommon","Colorless, Colorless, Colorless, Colorless","4","","","Drum Beating","Grass","1","60","During your opponent's next turn, attacks used by the Defending Pokemon cost Colorless more, and its Retreat Cost is Colorless more.","Wood Hammer","Grass, Grass","2","180","This Pokemon also does 50 damage to itself.","Fire","x2"
"sv6-17","Applin","Pokemon","40","Grass","Common","Colorless","1","","","Tumbling Attack","Grass","1","10+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Fire","x2"
"sv6-18","Dipplin","Pokemon","80","Grass","Uncommon","Colorless, Colorless","2","Festival Lead","If Festival Grounds is in play, this Pokemon may use an attack it has twice. If the first attack Knocks Out your opponent's Active Pokemon, you may attack again after your opponent chooses a new Active Pokemon.","Do the Wave","Grass","1","20x","This attack does 20 damage for each of your Benched Pokemon.","","","","","","Fire","x2"
"sv6-19","Iron Leaves","Pokemon","120","Grass","Rare","Colorless","1","","","Recovery Net","Grass","1","","Put up to 2 Pokemon from your discard pile into your hand.","Avenging Edge","Grass, Colorless, Colorless","3","100+","If any of your Pokemon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.","Fire","x2"
"sv6-20","Poltchageist","Pokemon","30","Grass","Common","Colorless","1","Storehouse Hideaway","As long as this Pokemon is on your Bench, prevent all damage from and effects of attacks from your opponent's Pokemon done to this Pokemon.","Hook","Grass","1","10","","","","","","","Fire","x2"
"sv6-21","Poltchageist","Pokemon","40","Grass","Common","Colorless","1","","","Tea Server","Grass","1","","Put a Basic Grass Energy card from your discard pile into your hand.","Surprise Attack","Grass","1","30","Flip a coin. If tails, this attack does nothing.","Fire","x2"
"sv6-22","Sinistcha","Pokemon","70","Grass","Rare","Colorless","1","","","Cursed Drop","Grass","1","","Put 4 damage counters on your opponent's Pokemon in any way you like.","Spill the Tea","Grass","1","70x","Discard up to 3 Grass Energy cards from your Pokemon. This attack does 70 damage for each card you discarded in this way.","Fire","x2"
"sv6-24","Teal Mask Ogerpon","Pokemon","110","Grass","Rare","Colorless","1","","","Mountain Stroll","Colorless","1","","Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","Ogre Comeback","Grass, Colorless","2","20+","This attack does 20 more damage for each of your opponent's Benched Pokemon.","Fire","x2"
"sv6-26","Vulpix","Pokemon","70","Fire","Common","Colorless","1","","","Live Coal","Fire, Fire","2","40","","","","","","","Water","x2"
"sv6-27","Ninetales","Pokemon","120","Fire","Common","Colorless, Colorless","2","","","Eerie Glow","Fire, Fire","2","90","Your opponent's Active Pokemon is now Burned and Confused.","","","","","","Water","x2"
"sv6-28","Slugma","Pokemon","80","Fire","Common","Colorless, Colorless, Colorless","3","","","Hot Magma","Fire, Colorless","2","20","Your opponent's Active Pokemon is now Burned.","","","","","","Water","x2"
"sv6-30","Torkoal","Pokemon","130","Fire","Common","Colorless, Colorless, Colorless","3","","","Ramming Shell","Fire, Colorless","2","30","During your opponent's next turn, this Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance).","Fire Spin","Fire, Colorless, Colorless","3","110","Discard 2 Energy from this Pokemon.","Water","x2"
"sv6-31","Chimchar","Pokemon","60","Fire","Common","Colorless","1","","","Firebreathing","Fire, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Water","x2"
"sv6-32","Monferno","Pokemon","90","Fire","Common","Colorless","1","","","Chop","Fire, Colorless","2","40","","Heat Blow","Fire, Fire, Colorless","3","80","Discard an Energy from this Pokemon.","Water","x2"
"sv6-33","Infernape","Pokemon","140","Fire","Rare","Colorless","1","Pyro Dance","Once during your turn, you may attach a Basic Fire Energy card, a Basic Fighting Energy card, or 1 of each from your hand to your Pokemon in any way you like.","Scorching Fire","Fire, Fire, Colorless","3","200","Discard an Energy from this Pokemon.","","","","","","Water","x2"
"sv6-34","Darumaka","Pokemon","80","Fire","Common","Colorless, Colorless","2","","","Strength","Fire","1","10","","Fire Tackle","Fire, Fire","2","50","This Pokemon also does 20 damage to itself.","Water","x2"
"sv6-35","Darmanitan","Pokemon","140","Fire","Uncommon","Colorless, Colorless, Colorless","3","","","Rolling Tackle","Fire, Fire","2","60","","Inferno Onrush","Fire, Fire, Fire","3","210","This Pokemon also does 70 damage to itself.","Water","x2"
"sv6-36","Litwick","Pokemon","60","Fire","Common","Colorless","1","","","Call for Family","Fire","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck.","Live Coal","Fire, Colorless","2","20","","Water","x2"
"sv6-37","Lampent","Pokemon","80","Fire","Common","Colorless","1","","","Live Coal","Fire","1","20","","Burn It All Up","Fire, Colorless","2","60","Discard all Energy from this Pokemon.","Water","x2"
"sv6-38","Chandelure","Pokemon","130","Fire","Rare","Colorless, Colorless","2","Alluring Light","Once during your turn, you may have each player draw a card.","Mind Ruler","Fire","1","30x","This attack does 30 damage for each card in your opponent's hand.","","","","","","Water","x2"
