"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"svp-1","Sprigatito","Pokemon","70","Grass","Promo","Colorless","1","","","Mini Drain","Grass","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"svp-2","Fuecoco","Pokemon","80","Fire","Promo","Colorless, Colorless","2","","","Super Singe","Fire, Fire, Colorless","3","30","Your opponent's Active Pokemon is now Burned.","","","","","","Water","x2"
"svp-3","Quaxly","Pokemon","70","Water","Promo","Colorless","1","","","Water Splash","Water, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Lightning","x2"
"svp-5","Quaquaval","Pokemon","170","Water","Promo","Colorless, Colorless","2","Energy Carnival","Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokemon.","Hydro Kick","Water, Colorless, Colorless","3","140","","","","","","","Lightning","x2"
"svp-6","Pawmot","Pokemon","130","Lightning","Promo","","0","Electrogenesis","Once during your turn, you may search your deck for a Basic Lightning Energy card and attach it to this Pokemon. Then, shuffle your deck.","Electro Paws","Lightning, Lightning, Colorless","3","230","Discard all Energy from this Pokemon.","","","","","","Fighting","x2"
"svp-7","Hawlucha","Pokemon","70","Fighting","Promo","Colorless","1","Flying Entry","When you play this Pokemon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokemon and put 1 damage counter on each of them.","Wing Attack","Fighting, Colorless, Colorless","3","70","","","","","","","Psychic","x2"
"svp-8","Revavroom","Pokemon","140","Metal","Promo","Colorless, Colorless","2","Rumbling Engine","You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.","Knock Away","Metal, Colorless, Colorless, Colorless","4","90+","Flip a coin. If heads, this attack does 90 more damage.","","","","","","Fire","x2"
"svp-9","Spidops","Pokemon","120","Grass","Promo","Colorless, Colorless","2","","","String Truss","Grass","1","30","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Jet Headbutt","Grass, Colorless, Colorless","3","100","","Fire","x2"
"svp-10","Espathra","Pokemon","110","Psychic","Promo","","0","","","Aurora Gain","Colorless","1","30","Heal 30 damage from this Pokemon.","Super Psy Bolt","Psychic, Colorless","2","60","","Darkness","x2"
"svp-11","Arcanine","Pokemon","130","Fire","Promo","Colorless, Colorless, Colorless","3","","","Crunch","Fire, Colorless","2","30","Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.","Fire Mane","Fire, Fire, Colorless","3","120","","Water","x2"
"svp-12","Dondozo","Pokemon","150","Water","Promo","Colorless, Colorless, Colorless, Colorless","4","","","Hammer In","Water, Colorless, Colorless","3","60","","Dangerous Wave","Water, Colorless, Colorless, Colorless","4","100+","Flip 2 coins. If both of them are heads, this attack does 100 more damage.","Lightning","x2"
"svp-13","Miraidon","Pokemon","120","Lightning","Promo","Colorless","1","","","Sharp Fang","Colorless, Colorless","2","30","","Lightning Laser","Lightning, Lightning, Colorless","3","90","This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"svp-14","Koraidon","Pokemon","130","Fighting","Promo","Colorless, Colorless","2","","","Claw Slash","Colorless, Colorless, Colorless","3","70","","Rampaging Fang","Fighting, Fighting, Fighting, Colorless","4","190","Discard 3 Energy from this Pokemon.","Psychic","x2"
"svp-15","Flaaffy","Pokemon","90","Lightning","Promo","Colorless, Colorless","2","","","Static Shock","Lightning","1","30","","Extreme Current","Lightning, Colorless, Colorless","3","80","Discard an Energy from this Pokemon.","Fighting","x2"
"svp-19","Baxcalibur","Pokemon","160","Water","Promo","Colorless, Colorless","2","Super Cold","As often as you like during your turn, you may attach a Basic Water Energy card from your hand to 1 of your Pokemon.","Buster Tail","Water, Water, Colorless","3","130","","","","","","","Metal","x2"
"svp-20","Tinkaton","Pokemon","140","Psychic","Promo","Colorless, Colorless","2","Gather Materials","You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 3 cards.","Special Hammer","Psychic, Colorless","2","90+","If this Pokemon has any Special Energy attached, this attack does 90 more damage.","","","","","","Metal","x2"
"svp-21","Murkrow","Pokemon","60","Darkness","Promo","Colorless","1","","","Spin Turn","Colorless","1","10","Switch this Pokemon with 1 of your Benched Pokemon.","United Wings","Darkness","1","20x","This attack does 20 damage for each Pokemon in your discard pile that has the United Wings attack.","Lightning","x2"
"svp-22","Pelipper","Pokemon","120","Colorless","Promo","Colorless, Colorless","2","Hearsay","When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may choose 1: put a Supporter card from your discard pile into your hand; or search your deck for a Supporter card, reveal it, put it into your hand, and then shuffle your deck.","Wing Attack","Colorless, Colorless, Colorless","3","90","","","","","","","Lightning","x2"
"svp-23","Smoliv","Pokemon","60","Grass","Promo","Colorless","1","","","Nutrients","Grass","1","","Heal 30 damage from 1 of your Pokemon.","Spray Fluid","Grass, Colorless","2","20","","Fire","x2"
"svp-24","Growlithe","Pokemon","90","Fire","Promo","Colorless, Colorless, Colorless","3","","","Stoke","Colorless","1","","Search your deck for up to 2 Basic Fire Energy cards and attach them to this Pokemon. Then, shuffle your deck.","Fire Claws","Fire, Fire, Fire","3","70","","Water","x2"
"svp-25","Tinkatink","Pokemon","70","Psychic","Promo","Colorless, Colorless","2","","","Smithereen Smash","Psychic","1","10","Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.","","","","","","Metal","x2"
"svp-26","Varoom","Pokemon","60","Metal","Promo","Colorless","1","","","Poison Gas","Colorless","1","","Your opponent's Active Pokemon is now Poisoned.","","","","","","Fire","x2"
"svp-27","Pikachu","Pokemon","60","Lightning","Promo","Colorless","1","","","Adventuring Together","Lightning, Lightning, Lightning","3","30+","This attack does 10 more damage for each of your Benched Pokemon.","","","","","","Fighting","x2"
"svp-36","Palafin","Pokemon","150","Water","Promo","Colorless, Colorless","2","","","Jet Punch","Water","1","30","This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Justice Kick","Water, Water","2","210","If this Pokemon didn't move from the Bench to the Active Spot this turn, this attack does nothing.","Lightning","x2"
"svp-37","Cleffa","Pokemon","30","Psychic","Promo","","0","","","Grasping Draw","","0","","Draw cards until you have 7 cards in your hand.","","","","","","Metal","x2"
"svp-38","Togekiss","Pokemon","150","Psychic","Promo","","0","Precious Gift","Once at the end of your turn (after your attack), you may use this Ability. Draw cards until you have 8 cards in your hand.","Power Cyclone","Colorless, Colorless","2","110","Move an Energy from this Pokemon to 1 of your Benched Pokemon.","","","","","","Metal","x2"
"svp-39","Mawile","Pokemon","90","Metal","Promo","Colorless","1","Special Eater","When you play this Pokemon from your hand onto your Bench during your turn, you may discard a Special Energy from your opponent's Active Pokemon.","Sharp Fang","Metal, Colorless, Colorless","3","90","","","","","","","Fire","x2"
"svp-40","Pawmi","Pokemon","50","Lightning","Promo","Colorless","1","","","Static Slap","Lightning, Colorless","2","20","Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.","","","","","","Fighting","x2"
"svp-41","Paldean Wooper","Pokemon","60","Darkness","Promo","Colorless","1","","","Splattering Poison","Darkness","1","","Both Active Pokemon are now Poisoned.","Tail Whap","Darkness, Colorless, Colorless","3","30","","Fighting","x2"
"svp-42","Houndstone","Pokemon","130","Psychic","Promo","Colorless, Colorless, Colorless","3","","","Delve","Colorless, Colorless","2","","Put up to 2 Item cards from your discard pile into your hand.","Spooky Shot","Psychic, Colorless, Colorless","3","100","","Darkness","x2"
"svp-43","Eevee","Pokemon","60","Colorless","Promo","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck.","Tackle","Colorless, Colorless, Colorless","3","30","","Fighting","x2"
"svp-44","Charmander","Pokemon","60","Fire","Promo","Colorless","1","","","Heat Tackle","Fire","1","30","This Pokemon also does 10 damage to itself.","","","","","","Water","x2"
"svp-45","Paradise Resort","Trainer",,"","Promo","","0","","","","","","","","","","","","",,
"svp-46","Bulbasaur","Pokemon","70","Grass","Promo","Colorless, Colorless","2","","","Vine Whip","Grass, Colorless, Colorless","3","50","","","","","","","Fire","x2"
"svp-47","Charmander","Pokemon","70","Fire","Promo","Colorless","1","","","Ember","Fire, Fire","2","40","Discard an Energy from this Pokemon.","","","","","","Water","x2"
"svp-48","Squirtle","Pokemon","70","Water","Promo","Colorless, Colorless","2","","","Bubble","Water, Water","2","20","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","","","","","","Lightning","x2"
"svp-51","Snorlax","Pokemon","150","Colorless","Promo","Colorless, Colorless, Colorless, Colorless","4","Voraciousness","Once during your turn, you may put up to 2 Leftovers cards from your discard pile into your hand.","Thudding Press","Colorless, Colorless, Colorless","3","130","This Pokemon also does 30 damage to itself.","","","","","","Fighting","x2"
"svp-52","Mewtwo","Pokemon","130","Psychic","Promo","Colorless, Colorless","2","","","Reflective Barrier","Colorless, Colorless","2","20","During your opponent's next turn, if this Pokemon is damaged by an attack (even if it is Knocked Out), put damage counters on the Attacking Pokemon equal to the damage done to this Pokemon.","Psyslash","Psychic, Psychic, Colorless","3","130","Discard 2 Energy from this Pokemon.","Darkness","x2"
"svp-57","Chi-Yu","Pokemon","110","Fire","Promo","Colorless","1","","","Flare Bringer","Fire","1","","Attach up to 2 Basic Fire Energy cards from your discard pile to 1 of your Pokemon.","Megafire of Envy","Fire, Fire","2","50+","If any of your Pokemon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 90 more damage.","Water","x2"
"svp-58","Iron Bundle","Pokemon","100","Water","Promo","Colorless","1","Hyper Blower","Once during your turn, if this Pokemon is on your Bench, you may switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.) If you do, discard this Pokemon and all attached cards.","Refrigerated Stream","Water, Colorless, Colorless","3","80","If the Defending Pokemon is an Evolution Pokemon, it can't attack during your opponent's next turn.","","","","","","Lightning","x2"
"svp-59","Xatu","Pokemon","100","Psychic","Promo","Colorless","1","Clairvoyant Sense","Once during your turn, you may attach a Basic Psychic Energy card from your hand to 1 of your Benched Pokemon. If you attached Energy to a Pokemon in this way, draw 2 cards.","Super Psy Bolt","Psychic, Colorless, Colorless","3","80","","","","","","","Darkness","x2"
"svp-60","Aegislash","Pokemon","150","Metal","Promo","Colorless, Colorless, Colorless","3","Mysterious Shield","Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon ex and Pokemon V.","Hard Bashing","Metal, Colorless","2","120","This attack's damage isn't affected by any effects on your opponent's Active Pokemon.","","","","","","Fire","x2"
"svp-61","Pineco","Pokemon","70","Grass","Promo","Colorless, Colorless","2","","","Rollout","Grass, Grass","2","30","","","","","","","Fire","x2"
"svp-62","Sinistea","Pokemon","30","Psychic","Promo","Colorless","1","","","Cold Tea","Psychic","1","10","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","","","","","","Darkness","x2"
"svp-63","Cetitan","Pokemon","170","Water","Promo","Colorless, Colorless, Colorless, Colorless","4","","","Avalanche","Water","1","30","This attack also does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Rolling Slider","Water, Water, Water","3","100x","Flip 3 coins. This attack does 100 damage for each heads.","Metal","x2"
"svp-64","Arctibax","Pokemon","90","Water","Promo","Colorless, Colorless","2","","","Sharp Fin","Water, Colorless","2","40","","Frost Smash","Water, Water, Colorless","3","80","","Metal","x2"
"svp-65","Scream Tail","Pokemon","90","Psychic","Promo","Colorless","1","","","Slap","Psychic","1","30","","Roaring Scream","Psychic, Colorless","2","","This attack does 20 damage to 1 of your opponent's Pokemon for each damage counter on this Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Darkness","x2"
"svp-66","Iron Bundle","Pokemon","100","Water","Promo","Colorless","1","Hyper Blower","Once during your turn, if this Pokemon is on your Bench, you may switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.) If you do, discard this Pokemon and all attached cards.","Refrigerated Stream","Water, Colorless, Colorless","3","80","If the Defending Pokemon is an Evolution Pokemon, it can't attack during your opponent's next turn.","","","","","","Lightning","x2"
"svp-69","Fidough","Pokemon","50","Psychic","Promo","Colorless","1","","","Rear Kick","Colorless, Colorless","2","20","","","","","","","Metal","x2"
"svp-70","Greavard","Pokemon","70","Psychic","Promo","Colorless, Colorless","2","","","Graveyard Gamboling","Psychic","1","10x","This attack does 10 damage for each Psychic Pokemon in your discard pile.","","","","","","Darkness","x2"
"svp-71","Maschiff","Pokemon","60","Darkness","Promo","Colorless","1","","","Ambush","Darkness","1","10+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Grass","x2"
"svp-75","Mimikyu","Pokemon","70","Psychic","Promo","Colorless","1","Safeguard","Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon ex and Pokemon V.","Ghost Eye","Psychic, Colorless","2","","Put 7 damage counters on your opponent's Active Pokemon.","","","","","","Metal","x2"
"svp-76","Sprigatito","Pokemon","60","Grass","Promo","Colorless","1","","","Gather Sunlight","Grass","1","","Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","Seed Bomb","Grass","1","10","","Fire","x2"
"svp-77","Floragato","Pokemon","90","Grass","Promo","Colorless","1","","","Seed Bomb","Grass","1","30","","Magic Whip","Colorless, Colorless","2","50","Switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.)","Fire","x2"
"svp-79","Fuecoco","Pokemon","80","Fire","Promo","Colorless, Colorless","2","","","Tackle","Fire","1","20","","","","","","","Water","x2"
"svp-80","Crocalor","Pokemon","110","Fire","Promo","Colorless, Colorless, Colorless","3","","","Steady Firebreathing","Fire","1","30","","Hyper Voice","Fire, Fire","2","70","","Water","x2"
"svp-82","Quaxly","Pokemon","70","Water","Promo","Colorless","1","","","Reckless Charge","Water","1","30","This Pokemon also does 10 damage to itself.","","","","","","Lightning","x2"
"svp-83","Quaxwell","Pokemon","90","Water","Promo","Colorless","1","","","Water Gun","Water","1","30","","Wave Splash","Water, Colorless","2","50","","Lightning","x2"
"svp-85","Pikachu with Grey Felt Hat","Pokemon","60","Lightning","Promo","Colorless","1","","","Pika-Portrait","Lightning","1",,"Search your deck for a Pikachu and put it onto your Bench. Then, shuffle your deck.","","","","","","Fighting","x2"
"svp-88","Pikachu","Pokemon","70","Lightning","Promo","Colorless","1","","","Growl","Colorless","1","","During your opponent's next turn, the Defending Pokemon's attacks do 20 less damage (before applying Weakness and Resistance).","Pika Bolt","Lightning, Colorless","2","30","","Fighting","x2"
"svp-89","Feraligatr","Pokemon","180","Water","Promo","Colorless, Colorless, Colorless","3","Torrential Heart","Once during your turn, you may put 5 damage counters on this Pokemon. If you do, during this turn, attacks used by this Pokemon do 120 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Giant Wave","Water, Water","2","160","During your next turn, this Pokemon can't use Giant Wave.","","","","","","Lightning","x2"
"svp-90","Metang","Pokemon","100","Metal","Promo","Colorless, Colorless","2","Metal Maker","Once during your turn, you may look at the top 4 cards of your deck and attach any number of Basic Metal Energy cards you find there to your Pokemon in any way you like. Shuffle the other cards and put them on the bottom of your deck.","Beam","Metal, Colorless, Colorless","3","60","","","","","","","Fire","x2"
"svp-91","Koraidon","Pokemon","140","Dragon","Promo","Colorless, Colorless","2","","","Primordial Beatdown","Fighting, Colorless","2","30x","This attack does 30 damage for each of your Ancient Pokemon in play.","Shred","Fire, Fighting, Colorless","3","130","This attack's damage isn't affected by any effects on your opponent's Active Pokemon.",,
"svp-92","Miraidon","Pokemon","110","Dragon","Promo","Colorless, Colorless","2","","","Peak Acceleration","Colorless","1","40","Search your deck for up to 2 Basic Energy cards and attach them to your Future Pokemon in any way you like. Then, shuffle your deck.","Sparking Strike","Lightning, Lightning, Psychic","3","160","",,
"svp-93","Carvanha","Pokemon","50","Water","Promo","Colorless","1","","","Sharp Fang","Water","1","20","","","","","","","Lightning","x2"
"svp-94","Bellibolt","Pokemon","130","Lightning","Promo","Colorless, Colorless, Colorless","3","","","Thunder Wave","Lightning","1","","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Two Bump Bolt","Lightning, Lightning, Colorless","3","10+","You may discard up to 2 Lightning Energy from this Pokemon. This attack does 80 more damage for each card you discarded in this way.","Fighting","x2"
"svp-95","Cleffa","Pokemon","30","Psychic","Promo","","0","","","Twinkling Hope","","0","","Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","","","","","","Darkness","x2"
"svp-96","Cyclizar","Pokemon","120","Colorless","Promo","Colorless","1","","","Flat-Out Dash","Colorless","1","","Flip a coin until you get tails. For each heads, draw a card.","Power Tackle","Colorless, Colorless, Colorless","3","120","During your next turn, this Pokemon can't attack.","Fighting","x2"
"svp-97","Flutter Mane","Pokemon","90","Psychic","Promo","Colorless","1","Midnight Fluttering","As long as this Pokemon is in the Active Spot, your opponent's Active Pokemon has no Abilities, except for Midnight Fluttering.","Hex Hurl","Colorless, Colorless, Colorless","3","90","Put 2 damage counters on your opponent's Benched Pokemon in any way you like.","","","","","","Metal","x2"
"svp-98","Iron Thorns","Pokemon","140","Lightning","Promo","Colorless, Colorless, Colorless","3","","","Destructo-Press","Lightning, Colorless","2","70x","Reveal the top 5 cards of your deck. This attack does 70 damage for each Future card you find there. Then, discard those Future cards and shuffle the other cards back into your deck.","Megaton Lariat","Lightning, Lightning, Lightning, Colorless","4","140","","Fighting","x2"
"svp-99","Shroodle","Pokemon","50","Colorless","Promo","Colorless","1","","","Scratch","Colorless","1","10","","Toxic Teeth","Colorless, Colorless","2","20","Your opponent's Active Pokemon is now Poisoned.","Fighting","x2"
"svp-101","Pikachu","Pokemon","70","Lightning","Promo","Colorless","1","","","Scrappy Spark","Lightning, Lightning, Colorless","3","30+","Flip a coin until you get tails. This attack does 30 more damage for each heads.","","","","","","Fighting","x2"
"svp-102","Oddish","Pokemon","60","Grass","Promo","Colorless","1","","","Razor Leaf","Grass","1","10","","Grass Knot","Grass, Grass","2","20x","This attack does 20 damage for each Colorless in your opponent's Active Pokemon's Retreat Cost.","Fire","x2"
"svp-107","Mareep","Pokemon","60","Lightning","Promo","Colorless","1","","","Headbutt","Lightning","1","10","","Lightning Ball","Lightning, Colorless","2","20","","Fighting","x2"
"svp-108","Flaaffy","Pokemon","90","Lightning","Promo","Colorless, Colorless","2","","","Headbutt","Lightning","1","20","","Electro Ball","Lightning, Colorless","2","50","","Fighting","x2"
