"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh1-2","Roselia","Pokemon","70","Grass","Common","Colorless","1","","","Absorb","Grass","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"swsh1-3","Roselia","Pokemon","70","Grass","Common","Colorless","1","","","Sweet Scent","Colorless","1","","Heal 30 damage from 1 of your Pokemon.","Sting","Grass, Colorless","2","20","","Fire","x2"
"swsh1-4","Roserade","Pokemon","120","Grass","Rare","Colorless","1","","","Paralyze Poison","Grass","1","30","Your opponent's Active Pokemon is now Poisoned. Flip a coin. If heads, your opponent's Active Pokemon is also Paralyzed.","Mega Drain","Grass, Colorless, Colorless","3","90","Heal 30 damage from this Pokemon.","Fire","x2"
"swsh1-5","Cottonee","Pokemon","60","Grass","Common","Colorless","1","","","Attach","Colorless","1","10","","","","","","","Fire","x2"
"swsh1-6","Whimsicott","Pokemon","100","Grass","Rare","Colorless","1","","","Cotton Ride","Colorless","1","","Flip a coin. If heads, your opponent shuffles their Active Pokemon and all attached cards into their deck.","Leaf Step","Grass","1","50","","Fire","x2"
"swsh1-7","Maractus","Pokemon","110","Grass","Common","Colorless, Colorless","2","","","Zzzt","Colorless","1","20","","Powerful Needles","Grass, Colorless","2","60x","Flip a coin for each Energy attached to this Pokemon. This attack does 60 damage for each heads.","Fire","x2"
"swsh1-8","Durant","Pokemon","110","Grass","Rare","Colorless","1","","","Bite Together","Grass, Colorless","2","30+","If Durant is on your Bench, this attack does 60 more damage.","","","","","","Fire","x2"
"swsh1-10","Grookey","Pokemon","60","Grass","Common","Colorless","1","","","Fury Swipes","Colorless","1","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"swsh1-11","Grookey","Pokemon","70","Grass","Common","Colorless","1","","","Scratch","Colorless","1","10","","Beat","Grass, Colorless","2","20","","Fire","x2"
"swsh1-12","Thwackey","Pokemon","100","Grass","Uncommon","Colorless, Colorless","2","","","Taunt","Colorless","1","","Switch 1 of your opponent's Benched Pokemon with their Active Pokemon.","Double Hit","Grass, Grass, Colorless","3","60x","Flip 2 coins. This attack does 60 damage for each heads.","Fire","x2"
"swsh1-13","Thwackey","Pokemon","100","Grass","Uncommon","Colorless, Colorless","2","","","Beat","Grass, Colorless","2","30","","Ambush","Grass, Grass, Colorless","3","50+","Flip a coin. If heads, this attack does 30 more damage.","Fire","x2"
"swsh1-14","Rillaboom","Pokemon","170","Grass","Rare Holo","Colorless, Colorless, Colorless","3","Voltage Beat","Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.","Hammer In","Grass, Grass, Grass, Colorless","4","140","","","","","","","Fire","x2"
