"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swshp-SWSH001","Grookey","Pokemon","60","Grass","Promo","Colorless","1","","","Branch Poke","Grass, Colorless","2","30","","","","","","","Fire","x2"
"swshp-SWSH002","Scorbunny","Pokemon","60","Fire","Promo","Colorless","1","","","Super Singe","Fire","1","10","Flip a coin. If heads, your opponent's Active Pokemon is now Burned.","","","","","","Water","x2"
"swshp-SWSH003","Sobble","Pokemon","60","Water","Promo","Colorless","1","","","Bind","Water, Colorless","2","20","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","","","","","","Lightning","x2"
"swshp-SWSH006","Rillaboom","Pokemon","170","Grass","Promo","Colorless, Colorless, Colorless","3","Voltage Beat","Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokemon. Then, shuffle your deck.","Hammer In","Grass, Grass, Grass, Colorless","4","140","","","","","","","Fire","x2"
"swshp-SWSH007","Frosmoth","Pokemon","90","Water","Promo","Colorless, Colorless","2","Ice Dance","As often as you like during your turn, you may attach a Water Energy card from your hand to 1 of your Benched Water Pokemon.","Aurora Beam","Water, Colorless","2","30","","","","","","","Metal","x2"
"swshp-SWSH008","Galarian Perrserker","Pokemon","120","Metal","Promo","Colorless, Colorless","2","Steely Spirit","Your Metal Pokemon's attacks do 20 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Metal Claw","Metal, Metal, Colorless","3","70","","","","","","","Fire","x2"
"swshp-SWSH009","Cinccino","Pokemon","90","Colorless","Promo","Colorless","1","Make Do","You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards.","Energy Assist","Colorless","1","40","Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon.","","","","","","Fighting","x2"
"swshp-SWSH010","Gossifleur","Pokemon","50","Grass","Promo","Colorless","1","","","Sing","Colorless","1","","Your opponent's Active Pokemon is now Asleep.","","","","","","Fire","x2"
"swshp-SWSH011","Wooloo","Pokemon","60","Colorless","Promo","Colorless","1","","","Defense Curl","Colorless","1","","Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.","Headbutt","Colorless, Colorless","2","20","","Fighting","x2"
"swshp-SWSH012","Morpeko","Pokemon","80","Lightning","Promo","Colorless","1","","","Thunder Shock","Lightning, Colorless, Colorless","3","60","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","","","","","","Fighting","x2"
"swshp-SWSH013","Galarian Ponyta","Pokemon","70","Psychic","Promo","Colorless","1","","","Heal Pulse","Colorless","1","","Heal 30 damage from 1 of your Pokemon.","Flop","Psychic, Colorless","2","20","","Darkness","x2"
"swshp-SWSH020","Pikachu","Pokemon","70","Lightning","Promo","Colorless","1","","","Iron Tail","Colorless, Colorless","2","30x","Flip a coin until you get tails. This attack does 30 damage for each heads.","Electro Ball","Lightning, Lightning, Colorless","3","60","","Fighting","x2"
"swshp-SWSH022","Flapple","Pokemon","80","Grass","Promo","Colorless","1","Apple Drop","Once during your turn, you may put 2 damage counters on 1 of your opponent's Pokemon. If you placed any damage counters in this way, shuffle this Pokemon and all attached cards into your deck.","Acid Spray","Colorless, Colorless","2","60","Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.","","","","","","Fire","x2"
"swshp-SWSH023","Luxray","Pokemon","160","Lightning","Promo","Colorless","1","","","Raid","Lightning","1","60+","If this Pokemon evolved from Luxio during this turn, this attack does 100 more damage.","Head Bolt","Lightning, Colorless","2","120","","Fighting","x2"
"swshp-SWSH024","Coalossal","Pokemon","160","Fighting","Promo","Colorless, Colorless, Colorless, Colorless","4","Tar Generator","Once during your turn, you may attach a Fire Energy card, a Fighting Energy card, or 1 of each from your discard pile to your Pokemon in any way you like.","Flaming Avalanche","Fighting, Colorless, Colorless, Colorless","4","130","","","","","","","Grass","x2"
"swshp-SWSH025","Garbodor","Pokemon","120","Darkness","Promo","Colorless, Colorless","2","Poisonous Puddle","Once during your turn, if a Stadium is in play, you may make your opponent's Active Pokemon Poisoned.","Sludge Bomb","Darkness, Colorless, Colorless","3","80","","","","","","","Fighting","x2"
"swshp-SWSH026","Mantine","Pokemon","110","Water","Promo","Colorless","1","","","Water Reserve","Water","1","","Search your deck for up to 3 Water Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","Wave Splash","Water, Water","2","60","","Lightning","x2"
"swshp-SWSH027","Noctowl","Pokemon","110","Colorless","Promo","Colorless","1","","","Wing Attack","Colorless, Colorless","2","40","","Carry Off","Colorless, Colorless, Colorless","3","","Choose 1 of your opponent's Benched Pokemon. They shuffle that Pokemon and all attached cards into their deck. Then, shuffle this Pokemon and all attached cards into your deck.","Lightning","x2"
"swshp-SWSH028","Duraludon","Pokemon","130","Metal","Promo","Colorless, Colorless","2","","","Metal Claw","Metal, Colorless, Colorless","3","70","","Steel Beam","Metal, Colorless, Colorless, Colorless","4","150","This Pokemon also does 40 damage to itself.","Fire","x2"
"swshp-SWSH029","Rayquaza","Pokemon","130","Colorless","Promo","Colorless, Colorless","2","","","Jaw Lock","Colorless, Colorless","2","30","During your opponent's next turn, the Defending Pokemon can't retreat.","Power Blast","Colorless, Colorless, Colorless","3","120","Discard an Energy from this Pokemon.","Lightning","x2"
"swshp-SWSH031","Morpeko","Pokemon","80","Lightning","Promo","Colorless","1","","","Famished","Colorless","1","","Draw a card.","Thunder Shock","Lightning, Colorless","2","40","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Fighting","x2"
"swshp-SWSH032","Snorlax","Pokemon","150","Colorless","Promo","Colorless, Colorless, Colorless, Colorless","4","","","Rolling Tackle","Colorless, Colorless, Colorless","3","80","","Heavy Impact","Colorless, Colorless, Colorless, Colorless","4","130","","Fighting","x2"
"swshp-SWSH033","Zacian","Pokemon","130","Metal","Promo","Colorless, Colorless","2","","","Crunch","Colorless, Colorless, Colorless","3","60","Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.","Metal Blade","Metal, Metal, Metal, Colorless","4","190","Discard 3 Energy from this Pokemon.","Fire","x2"
"swshp-SWSH034","Zamazenta","Pokemon","130","Metal","Promo","Colorless, Colorless","2","Sturdy Shield","This Pokemon takes 20 less damage from attacks (after applying Weakness and Resistance).","Headbang","Metal, Metal, Metal, Colorless","4","130","","","","","","","Fire","x2"
"swshp-SWSH035","Decidueye","Pokemon","140","Grass","Promo","Colorless, Colorless","2","Deep Forest Camo","Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon V and Pokemon-GX.","Splitting Arrow","Grass, Colorless","2","90","This attack also does 20 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fire","x2"
"swshp-SWSH036","Arctozolt","Pokemon","130","Lightning","Promo","Colorless, Colorless","2","Biting Whirlpool","Whenever your opponent attaches an Energy card from their hand to 1 of their Pokemon, put 2 damage counters on that Pokemon.","Electro Ball","Lightning, Colorless","2","70","","","","","","","Fighting","x2"
"swshp-SWSH037","Hydreigon","Pokemon","160","Darkness","Promo","Colorless, Colorless, Colorless","3","Dark Squall","As often as you like during your turn, you may attach a Darkness Energy card from your hand to 1 of your Pokemon.","Pitch-Black Fangs","Darkness, Darkness, Colorless","3","130","","","","","","","Grass","x2"
"swshp-SWSH038","Kangaskhan","Pokemon","130","Colorless","Promo","Colorless, Colorless","2","","","Rally Back","Colorless, Colorless","2","30+","If any of your Pokemon were Knocked Out by damage from an attack from your opponent's Pokemon during their last turn, this attack does 90 more damage.","Hammer In","Colorless, Colorless, Colorless","3","100","","Fighting","x2"
"swshp-SWSH039","Pikachu","Pokemon","60","Lightning","Promo","Colorless","1","","","Tail Whip","Colorless","1","","Flip a coin. If heads, during your opponent's next turn, the Defending Pokemon can't attack.","Pika Bolt","Lightning, Colorless, Colorless","3","50","","Fighting","x2"
"swshp-SWSH040","Hatenna","Pokemon","60","Psychic","Promo","Colorless","1","","","Find a Friend","Colorless","1","","Search your deck for a Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.","Psyshot","Colorless, Colorless","2","20","","Darkness","x2"
"swshp-SWSH041","Flareon","Pokemon","110","Fire","Promo","Colorless, Colorless","2","","","Singe","Fire","1","","Your opponent's Active Pokemon is now Burned.","Kindle","Fire, Fire, Colorless","3","120","Discard an Energy from this Pokemon. If you do, discard an Energy from your opponent's Active Pokemon.","Water","x2"
"swshp-SWSH042","Eevee","Pokemon","60","Colorless","Promo","Colorless","1","","","Signs of Evolution","Colorless","1","","Search your deck for a card that evolves from Eevee, reveal it, and put it into your hand. Then, shuffle your deck.","Wild Kick","Colorless, Colorless","2","30","Flip a coin. If tails, this attack does nothing.","Fighting","x2"
"swshp-SWSH046","Eldegoss","Pokemon","80","Grass","Promo","Colorless","1","","","Blessing of Fluff","Colorless","1","","Search your deck for up to 3 Grass Energy cards and attach them to your Benched Pokemon in any way you like. Then, shuffle your deck.","Leafage","Grass","1","30","","Fire","x2"
