"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"xy1-3","Weedle","Pokemon","50","Grass","Common","Colorless","1","","","Leaf Munch","Grass","1","10+","If your opponent's Active Pokemon is a Grass Pokemon, this attack does 20 more damage.","","","","","","Fire","x2"
"xy1-4","Kakuna","Pokemon","70","Grass","Uncommon","Colorless, Colorless","2","","","Harden","Grass","1","","During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less.","","","","","","Fire","x2"
"xy1-5","Beedrill","Pokemon","120","Grass","Rare","Colorless","1","","","Poison Jab","Grass","1","20","Your opponent's Active Pokemon is now Poisoned.","Flash Needle","Grass, Grass","2","40x","Flip 3 coins. This attack does 40 damage times the number of heads. If all of them are heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn.","Fire","x2"
"xy1-6","Ledyba","Pokemon","60","Grass","Common","Colorless","1","","","Spinning Attack","Grass, Grass","2","30","","","","","","","Fire","x2"
"xy1-7","Ledian","Pokemon","80","Grass","Uncommon","Colorless","1","","","Tackle","Colorless","1","30","","Mach Punch","Grass, Grass","2","50","This attack does 10 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fire","x2"
"xy1-8","Volbeat","Pokemon","70","Grass","Uncommon","Colorless","1","","","Luring Glow","Grass","1","","Switch 1 of your opponent's Benched Pokemon with your opponent's Active Pokemon.","Signal Beam","Grass, Colorless","2","30","Your opponent's Active Pokemon is now Confused.","Fire","x2"
"xy1-9","Illumise","Pokemon","70","Grass","Uncommon","Colorless","1","","","Pheromotion","Grass","1","","Search your deck for a Grass Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward.","Quick Attack","Grass, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage.","Fire","x2"
"xy1-10","Pansage","Pokemon","60","Grass","Common","Colorless","1","","","Vine Whip","Grass","1","10","","Leech Seed","Grass, Colorless","2","20","Heal 10 damage from this Pokemon.","Fire","x2"
"xy1-11","Simisage","Pokemon","90","Grass","Rare","Colorless","1","","","Torment","Colorless","1","20","Choose 1 of your opponent's Active Pokemon's attacks. That Pokemon can't use that attack during your opponent's next turn.","Solar Beam","Grass, Grass, Colorless","3","70","","Fire","x2"
"xy1-12","Chespin","Pokemon","60","Grass","Common","Colorless, Colorless","2","","","Pin Missile","Grass","1","10x","Flip 4 coins. This attack does 10 damage times the number of heads.","","","","","","Fire","x2"
"xy1-13","Quilladin","Pokemon","90","Grass","Uncommon","Colorless, Colorless, Colorless","3","","","Scrunch","Colorless","1","","Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.","Wood Hammer","Grass, Grass, Colorless","3","70","This Pokemon does 10 damage to itself.","Fire","x2"
"xy1-14","Chesnaught","Pokemon","160","Grass","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","Spiky Shield","If this Pokemon is your Active Pokemon and is damaged by an opponent's attack (even if this Pokemon is Knocked Out), put 3 damage counters on the Attacking Pokemon.","Touchdown","Grass, Grass, Colorless, Colorless","4","90","Heal 20 damage from this Pokemon.","","","","","","Fire","x2"
