"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"xyp-XY01","Chespin","Pokemon","60","Grass","Promo","Colorless","1","","","Vine Whip","Grass","1","10","","Seed Bomb","Grass, Colorless","2","20","","Fire","x2"
"xyp-XY02","Fennekin","Pokemon","60","Fire","Promo","Colorless","1","","","Scratch","Fire","1","10","","Live Coal","Fire, Colorless","2","20","","Water","x2"
"xyp-XY03","Froakie","Pokemon","60","Water","Promo","Colorless","1","","","Pound","Water","1","10","","Water Drip","Water, Colorless","2","20","","Grass","x2"
"xyp-XY04","Sylveon","Pokemon","90","Fairy","Promo","Colorless","1","","","Disarming Voice","Fairy","1","20","Your opponent's Active Pokemon is now Confused.","Fairy Wind","Fairy, Colorless, Colorless","3","60","","Metal","x2"
"xyp-XY05","Xerneas","Pokemon","130","Fairy","Promo","Colorless, Colorless","2","","","Geomancy","Fairy","1","","Choose 2 of your Benched Pokemon. For each of those Pokemon, search your deck for a Fairy Energy card and attach it to that Pokemon. Shuffle your deck afterward.","Rainbow Spear","Fairy, Fairy, Colorless","3","100","Discard an Energy attached to this Pokemon.","Metal","x2"
"xyp-XY06","Yveltal","Pokemon","130","Darkness","Promo","Colorless, Colorless","2","","","Oblivion Wing","Darkness","1","30","Attach a Darkness Energy card from your discard pile to 1 of your Benched Pokemon.","Darkness Blade","Darkness, Darkness, Colorless","3","100","Flip a coin. If tails, this Pokemon can't attack during your next turn.","Lightning","x2"
"xyp-XY10","Dragalge","Pokemon","100","Dragon","Promo","Colorless","1","Poison Barrier","Your opponent's Poisoned Pokemon can't retreat.","Poison Breath","Water, Psychic, Colorless","3","60","Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.","","","","","","Fairy","x2"
"xyp-XY11","Skiddo","Pokemon","70","Grass","Promo","Colorless, Colorless","2","","","Take Down","Grass, Grass","2","30","This Pokemon does 10 damage to itself.","","","","","","Fire","x2"
"xyp-XY12","Honedge","Pokemon","50","Metal","Promo","Colorless, Colorless","2","","","Swords Dance","Colorless","1","","During your next turn, this Pokemon's Slash attack's base damage is 40.","Slash","Metal, Colorless","2","20","","Fire","x2"
"xyp-XY13","Machamp","Pokemon","150","Fighting","Promo","Colorless, Colorless","2","Fighting Fury","Each of your Fighting Pokemon's attacks do 20 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance).","Machamp Crush","Fighting, Fighting, Fighting","3","80","During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 40 (before applying Weakness and Resistance).","","","","","","Psychic","x2"
