"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"base1-1","Alakazam","Pokemon","80","Psychic","Rare Holo","Colorless, Colorless, Colorless","3","Damage Swap","As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokemon to another as long as you don't Knock Out that Pokemon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.","Confuse Ray","Psychic, Psychic, Psychic","3","30","Flip a coin. If heads, the Defending Pokemon is now Confused.","","","","","","Psychic","x2"
"base1-2","Blastoise","Pokemon","100","Water","Rare Holo","Colorless, Colorless, Colorless","3","Rain Dance","As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokemon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.","Hydro Pump","Water, Water, Water","3","40+","Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.","","","","","","Lightning","x2"
"base1-3","Chansey","Pokemon","120","Colorless","Rare Holo","Colorless","1","","","Scrunch","Colorless, Colorless","2","","Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)","Double-edge","Colorless, Colorless, Colorless, Colorless","4","80","Chansey does 80 damage to itself.","Fighting","x2"
"base1-4","Charizard","Pokemon","120","Fire","Rare Holo","Colorless, Colorless, Colorless","3","Energy Burn","As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.","Fire Spin","Fire, Fire, Fire, Fire","4","100","Discard 2 Energy cards attached to Charizard in order to use this attack.","","","","","","Water","x2"
"base1-5","Clefairy","Pokemon","40","Colorless","Rare Holo","Colorless","1","","","Sing","Colorless","1","","Flip a coin. If heads, the Defending Pokemon is now Asleep.","Metronome","Colorless, Colorless, Colorless","3","","Choose 1 of the Defending Pokemon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokemon is, Clefairy's type is still Colorless.)","Fighting","x2"
"base1-6","Gyarados","Pokemon","100","Water","Rare Holo","Colorless, Colorless, Colorless","3","","","Dragon Rage","Water, Water, Water","3","50","","Bubblebeam","Water, Water, Water, Water","4","40","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Grass","x2"
"base1-7","Hitmonchan","Pokemon","70","Fighting","Rare Holo","Colorless, Colorless","2","","","Jab","Fighting","1","20","","Special Punch","Fighting, Fighting, Colorless","3","40","","Psychic","x2"
"base1-8","Machamp","Pokemon","100","Fighting","Rare Holo","Colorless, Colorless, Colorless","3","Strikes Back","Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokemon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks.","Seismic Toss","Fighting, Fighting, Fighting, Colorless","4","60","","","","","","","Psychic","x2"
"base1-9","Magneton","Pokemon","60","Lightning","Rare Holo","Colorless","1","","","Thunder Wave","Lightning, Lightning, Colorless","3","30","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Selfdestruct","Lightning, Lightning, Colorless, Colorless","4","80","Does 20 damage to each Pokemon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokemon.) Magneton does 80 damage to itself.","Fighting","x2"
"base1-10","Mewtwo","Pokemon","60","Psychic","Rare Holo","Colorless, Colorless, Colorless","3","","","Psychic","Psychic, Colorless","2","10+","Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokemon.","Barrier","Psychic, Psychic","2","","Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.","Psychic","x2"
"base1-11","Nidoking","Pokemon","90","Grass","Rare Holo","Colorless, Colorless, Colorless","3","","","Thrash","Grass, Colorless, Colorless","3","30+","Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself.","Toxic","Grass, Grass, Grass","3","20","The Defending Pokemon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).","Psychic","x2"
"base1-12","Ninetales","Pokemon","80","Fire","Rare Holo","Colorless","1","","","Lure","Colorless, Colorless","2","","If your opponent has any Benched Pokemon, choose 1 of them and switch it with his or her Active Pokemon.","Fire Blast","Fire, Fire, Fire, Fire","4","80","Discard 1 Fire Energy card attached to Ninetales in order to use this attack.","Water","x2"
"base1-13","Poliwrath","Pokemon","90","Water","Rare Holo","Colorless, Colorless, Colorless","3","","","Water Gun","Water, Water, Colorless","3","30+","Does 30 damage plus 10 more damage for each Water Energy attached to Poliwrath but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.","Whirlpool","Water, Water, Colorless, Colorless","4","40","If the Defending Pokemon has any Energy cards attached to it, choose 1 of them and discard it.","Grass","x2"
