"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"base6-1","Alakazam","Pokemon","80","Psychic","","Kadabra","1","Ken Sugimori","Rare Holo","Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.","65",,"https://images.pokemontcg.io/base6/1.png","https://images.pokemontcg.io/base6/1_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Damage Swap","As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokemon to another as long as you don't Knock Out that Pokemon. This power can't be used if Alakazam is affected by a Special Condition.","Pokemon Power","","","","Confuse Ray","Psychic, Psychic, Psychic","3","30","Flip a coin. If heads, the Defending Pokemon is now Confused.","","","","","","Psychic","x2"
"base6-2","Articuno","Pokemon","70","Water","",,"2","Mitsuhiro Arita","Rare Holo","A legendary bird Pokemon that is said to appear to doomed people who are lost in icy mountains.","144",,"https://images.pokemontcg.io/base6/2.png","https://images.pokemontcg.io/base6/2_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Freeze Dry","Water, Water, Water","3","30","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Blizzard","Water, Water, Water, Water","4","50","Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokemon. If tails, this attack does 10 damage to each of your own Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)",,
"base6-3","Charizard","Pokemon","120","Fire","","Charmeleon","3","Mitsuhiro Arita","Rare Holo","Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.","6",,"https://images.pokemontcg.io/base6/3.png","https://images.pokemontcg.io/base6/3_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Energy Burn","As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is affected by a Special Condition.","Pokemon Power","","","","Fire Spin","Fire, Fire, Fire, Fire","4","100","Discard 2 Energy cards attached to Charizard or this attack does nothing.","","","","","","Water","x2"
"base6-4","Dark Blastoise","Pokemon","70","Water","","Dark Wartortle","4","Mitsuhiro Arita","Rare Holo","An aggressive Pokemon that tackles anything it sees.","9",,"https://images.pokemontcg.io/base6/4.png","https://images.pokemontcg.io/base6/4_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Hydrocannon","Water, Water","2","30+","Does 30 damage plus 20 more damage for each Water Energy attached to Dark Blastoise but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.","Rocket Tackle","Water, Colorless, Colorless","3","40","Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. (Any other effects of attacks still happen.)","Lightning","x2"
"base6-5","Dark Dragonite","Pokemon","70","Colorless","","Dark Dragonair","5","Mitsuhiro Arita","Rare Holo","Sometimes called ""The God of Destruction."" Its wings are able to support it in spite of its massive weight.","149",,"https://images.pokemontcg.io/base6/5.png","https://images.pokemontcg.io/base6/5_hires.png","Legal",,,"Colorless, Colorless","2","Summon Minions","When you play Dark Dragonite from your hand, search your deck for up to 2 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.","Pokemon Power","","","","Giant Tail","Colorless, Colorless, Colorless, Colorless","4","70","Flip a coin. If tails, this attack does nothing.","","","","","",,
"base6-6","Dark Persian","Pokemon","60","Colorless","","Meowth","6","Shin-ichi Yoshida","Rare Holo","Popular with women because of its beautiful fur. The leader of the Rockets keeps one as a pet.","53",,"https://images.pokemontcg.io/base6/6.png","https://images.pokemontcg.io/base6/6_hires.png","Legal",,,"",,"","","","","","","Fascinate","Colorless","1","","Flip a coin. If heads, choose 1 of your opponent's Benched Pokemon and switch it with the Defending Pokemon. This attack can't be used if your opponent has no Benched Pokemon.","Poison Claws","Colorless, Colorless","2","10","Flip a coin. If heads, the Defending Pokemon is now Poisoned.","Fighting","x2"
"base6-7","Dark Raichu","Pokemon","70","Lightning","","Pikachu","7","Mitsuhiro Arita","Rare Holo","Stores up electricity in its body, then suddenly releases it to surprise and shock everyone.","26",,"https://images.pokemontcg.io/base6/7.png","https://images.pokemontcg.io/base6/7_hires.png","Legal",,,"Colorless","1","","","","","","","Surprise Thunder","Lightning, Lightning, Lightning","3","30","Flip a coin. If heads, flip another coin. If the second coins is heads, this attack does 20 damage to each of your opponent's Benched Pokemon. If the second coin is tails, this attack does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fighting","x2"
"base6-8","Dark Slowbro","Pokemon","60","Psychic","","Slowpoke","8","Mitsuhiro Arita","Rare Holo","It loves nothing better than to be left alone, and so sometimes ends up being manipulated by unscrupulous people.","80",,"https://images.pokemontcg.io/base6/8.png","https://images.pokemontcg.io/base6/8_hires.png","Legal",,,"Colorless, Colorless","2","Reel In","When you play Dark Slowbro from your hand, choose up to 3 Basic Pokemon and/or Evolution cards from your discard pile and put them into your hand.","Pokemon Power","","","","Fickle Attack","Psychic, Psychic","2","40","Flip a coin. If tails, this attack does nothing.","","","","","","Psychic","x2"
"base6-9","Dark Vaporeon","Pokemon","60","Water","","Eevee","9","Mitsuhiro Arita","Rare Holo","A Pokemon capable of controlling water, so it is capable of creating giant whirlpools.","134",,"https://images.pokemontcg.io/base6/9.png","https://images.pokemontcg.io/base6/9_hires.png","Legal",,,"Colorless","1","","","","","","","Bite","Colorless, Colorless, Colorless","3","30","","Whirlpool","Water, Water, Colorless","3","20","If the Defending Pokemon has any Energy cards attached to it, choose 1 of them and discard it.","Lightning","x2"
"base6-10","Flareon","Pokemon","70","Fire","","Eevee","10","Kagemaru Himeno","Rare Holo","When storing thermal energy in its body, its temperature could soar to over 1600 degrees.","136",,"https://images.pokemontcg.io/base6/10.png","https://images.pokemontcg.io/base6/10_hires.png","Legal",,,"Colorless","1","","","","","","","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","Flamethrower","Fire, Fire, Colorless, Colorless","4","60","Discard 1 Fire Energy card attached to Flareon or this attack does nothing.","Water","x2"
"base6-11","Gengar","Pokemon","80","Psychic","","Haunter","11","Keiji Kinebuchi","Rare Holo","Under a full moon, this Pokemon like to mimic the shadows of people and laugh at their fright.","94",,"https://images.pokemontcg.io/base6/11.png","https://images.pokemontcg.io/base6/11_hires.png","Legal",,,"Colorless","1","Curse","Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokemon to another (even if it would Knock Out the other Pokemon). This power can't be used if Gengar is affected by a Special Condition.","Pokemon Power","","","","Dark Mind","Psychic, Psychic, Psychic","3","30","If your opponent has any Benched Pokemon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","",,
"base6-12","Gyarados","Pokemon","100","Water","","Magikarp","12","Mitsuhiro Arita","Rare Holo","Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.","130",,"https://images.pokemontcg.io/base6/12.png","https://images.pokemontcg.io/base6/12_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Dragon Rage","Water, Water, Water","3","50","","Bubblebeam","Water, Water, Water, Water","4","40","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Grass","x2"
"base6-13","Hitmonlee","Pokemon","60","Fighting","",,"13","Ken Sugimori","Rare Holo","When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.","106",,"https://images.pokemontcg.io/base6/13.png","https://images.pokemontcg.io/base6/13_hires.png","Legal",,,"Colorless","1","","","","","","","Stretch Kick","Fighting, Fighting","2","","Choose 1 of your opponent's Benched Pokemon, and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","High Jump Kick","Fighting, Fighting, Fighting","3","50","","Psychic","x2"
"base6-14","Jolteon","Pokemon","70","Lightning","","Eevee","14","Kagemaru Himeno","Rare Holo","It accumulates negative ions from the atmosphere to blast out 10,000-volt lightning bolts.","135",,"https://images.pokemontcg.io/base6/14.png","https://images.pokemontcg.io/base6/14_hires.png","Legal",,,"Colorless","1","","","","","","","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","Pin Missle","Lightning, Lightning, Colorless","3","20x","Flip 4 coins. This attack does 20 damage times the number of heads.","Fighting","x2"
"base6-15","Machamp","Pokemon","100","Fighting","","Machoke","15","Ken Sugimori","Rare Holo","Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon.","68",,"https://images.pokemontcg.io/base6/15.png","https://images.pokemontcg.io/base6/15_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Strikes Back","Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokemon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is already affected by a Special Condition when your opponent attacks.","Pokemon Power","","","","Seismic Toss","Fighting, Fighting, Fighting, Colorless","4","60","","","","","","","Psychic","x2"
"base6-16","Muk","Pokemon","70","Grass","","Grimer","16","Mitsuhiro Arita","Rare Holo","Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.","89",,"https://images.pokemontcg.io/base6/16.png","https://images.pokemontcg.io/base6/16_hires.png","Legal",,,"Colorless, Colorless","2","Toxic Gas","Ignore all Pokemon Powers other than Toxic Gases. This power stops working while Muk is affected by a Special Condition.","Pokemon Power","","","","Sludge","Grass, Grass, Grass","3","30","Flip a coin. If heads, the Defending Pokemon is now Poisoned.","","","","","","Psychic","x2"
"base6-17","Ninetales","Pokemon","80","Fire","","Vulpix","17","Ken Sugimori","Rare Holo","Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.","38",,"https://images.pokemontcg.io/base6/17.png","https://images.pokemontcg.io/base6/17_hires.png","Legal",,,"Colorless","1","","","","","","","Lure","Colorless, Colorless","2","","If your opponent has any Benched Pokemon, choose 1 of them and switch it with the Defending Pokemon.","Fire Blast","Fire, Fire, Fire, Fire","4","80","Discard 1 Fire Energy card attached to Ninetales or this attack does nothing.","Water","x2"
"base6-18","Venusaur","Pokemon","100","Grass","","Ivysaur","18","Mitsuhiro Arita","Rare Holo","This plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.","3",,"https://images.pokemontcg.io/base6/18.png","https://images.pokemontcg.io/base6/18_hires.png","Legal",,,"Colorless, Colorless","2","Energy Trans","As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokemon and attach it to a different one. This power can't be used if Venusaur is affected by a Special Condition.","Pokemon Power","","","","Solarbeam","Grass, Grass, Grass, Grass","4","60","","","","","","","Fire","x2"
"base6-19","Zapdos","Pokemon","90","Lightning","",,"19","Ken Sugimori","Rare Holo","A legendary bird Pokemon said to appear from clouds while wielding enormous lightning bolts.","145",,"https://images.pokemontcg.io/base6/19.png","https://images.pokemontcg.io/base6/19_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Thunder","Lightning, Lightning, Lightning, Colorless","4","60","Flip a coin. If tails, Zapdos does 30 damage to itself.","Thunderbolt","Lightning, Lightning, Lightning, Lightning","4","100","Discard all Energy cards attached to Zapdos or this attack does nothing.",,
"base6-20","Beedrill","Pokemon","80","Grass","","Kakuna","20","Ken Sugimori","Rare","Flies at high speed and attacks using the large, venomous stingers on its forelegs and tail.","15",,"https://images.pokemontcg.io/base6/20.png","https://images.pokemontcg.io/base6/20_hires.png","Legal",,,"",,"","","","","","","Twineedle","Colorless, Colorless, Colorless","3","30x","Flip 2 coins. This attack does 30 damage times the number of heads.","Poison Sting","Grass, Grass, Grass","3","40","Flip a coin. If heads, the Defending Pokemon is now Poisoned.","Fire","x2"
"base6-21","Butterfree","Pokemon","70","Grass","","Metapod","21","Kagemaru Himeno","Rare","In battle, it flaps its wings at high speed to release highly toxic dust into the air.","12",,"https://images.pokemontcg.io/base6/21.png","https://images.pokemontcg.io/base6/21_hires.png","Legal",,,"",,"","","","","","","Whirlwind","Colorless, Colorless","2","20","Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon, if any. (Do the damage before switching the Pokemon.)","Mega Drain","Grass, Grass, Grass, Grass","4","40","Remove a number of damage counters from Butterfree equal of half the damage done to the Defending Pokemon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Butterfree has fewer damage counters that that, remove all of them.","Fire","x2"
"base6-22","Electrode","Pokemon","90","Lightning","","Voltorb","22","Mitsuhiro Arita","Rare","It stores electrical energy under very high pressure. It often explodes with little or no provocation.","101",,"https://images.pokemontcg.io/base6/22.png","https://images.pokemontcg.io/base6/22_hires.png","Legal",,,"Colorless","1","","","","","","","Tackle","Colorless, Colorless","2","20","","Chain Lightning","Lightning, Lightning, Lightning","3","20","If the Defending Pokemon isn't Colorless, this attack does 10 damage to each Benched Pokemon of the same type as the Defending Pokemon (including your own). (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"base6-23","Exeggutor","Pokemon","80","Grass","","Exeggcute","23","Kagemaru Himeno","Rare","Legend has it that on rare occasions, one of its heads will drop off and continue on as an Exeggcute.","103",,"https://images.pokemontcg.io/base6/23.png","https://images.pokemontcg.io/base6/23_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Teleport","Psychic","1","","Switch Exeggutor with 1 of your Benched Pokemon.","Big Eggsplosion","Colorless","1","20x","Flip a number of coins equal to the number of Energy attached to Exeggutor. This attack does 20 damage times the number of heads.","Fire","x2"
"base6-24","Golem","Pokemon","80","Fighting","","Graveler","24","Kagemaru Himeno","Rare","Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.","76",,"https://images.pokemontcg.io/base6/24.png","https://images.pokemontcg.io/base6/24_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Avalanche","Fighting, Fighting, Fighting, Colorless","4","60","","Selfdestruct","Fighting, Fighting, Fighting, Fighting","4","100","Does 20 damage to each Pokemon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokemon.) Golem does 100 damage to itself.","Grass","x2"
"base6-25","Hypno","Pokemon","90","Psychic","","Drowzee","25","Ken Sugimori","Rare","When it locks eyes with an enemy, it will use a mix of psi moves such as Hypnosis and Confusion.","97",,"https://images.pokemontcg.io/base6/25.png","https://images.pokemontcg.io/base6/25_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Prophecy","Psychic","1","","Look at up to 3 cards from the top of either player's deck and rearrange them as you like.","Dark Mind","Psychic, Psychic, Psychic","3","30","If your opponent has any Benched Pokemon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","Psychic","x2"
"base6-26","Jynx","Pokemon","70","Psychic","",,"26","Ken Sugimori","Rare","Merely by meditating, the Pokemon launches a powerful psychic energy attack.","124",,"https://images.pokemontcg.io/base6/26.png","https://images.pokemontcg.io/base6/26_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Doubleslap","Psychic","1","10x","Flip 2 coins. This attack does 10 damage times the number of heads.","Meditate","Psychic, Psychic, Colorless","3","20+","Does 20 damage plus 10 more damage for each damage counter on the Defending Pokemon.","Psychic","x2"
"base6-27","Kabutops","Pokemon","60","Fighting","","Kabuto","27","Ken Sugimori","Rare","Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.","141",,"https://images.pokemontcg.io/base6/27.png","https://images.pokemontcg.io/base6/27_hires.png","Legal",,,"Colorless","1","","","","","","","Sharp Sickle","Fighting, Fighting","2","30","","Absorb","Fighting, Fighting, Fighting, Fighting","4","40","Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokemon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.","Grass","x2"
"base6-28","Magneton","Pokemon","80","Lightning","Magnezone","Magnemite","28","Ken Sugimori","Rare","Formed by several Magnemites linked together. They frequently appear when sunspots flare up.","82",,"https://images.pokemontcg.io/base6/28.png","https://images.pokemontcg.io/base6/28_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Sonicboom","Lightning, Colorless","2","20","Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)","Selfdestruct","Lightning, Lightning, Lightning, Lightning","4","100","Does 20 damage to each Pokemon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokemon.) Magneton does 100 damage to itself.","Fighting","x2"
"base6-29","Mewtwo","Pokemon","60","Psychic","",,"29","Christopher Rush","Rare","A scientist created this Pokemon after years of horrific gene-splicing and DNA engineering experiments.","150",,"https://images.pokemontcg.io/base6/29.png","https://images.pokemontcg.io/base6/29_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Energy Control","Psychic","1","","Flip a coin. If heads, choose a basic Energy card attached to 1 of your opponent's Pokemon and attach it to another of your opponent's Pokemon of your choice.","Telekinesis","Psychic, Psychic, Psychic","3","","Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)","Psychic","x2"
"base6-30","Moltres","Pokemon","70","Fire","",,"30","Mitsuhiro Arita","Rare","Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.","146",,"https://images.pokemontcg.io/base6/30.png","https://images.pokemontcg.io/base6/30_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Wildfire","Fire","1","","You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.","Dive Bomb","Fire, Fire, Fire, Fire","4","80","Flip a coin. If tails, this attack does nothing.",,
