"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"basep-1","Pikachu","Pokemon","60","Lightning","Raichu",,"1","Keiji Kinebuchi","Promo","When several of these Pokemon gather, their electricity could build and cause lightning storms.","25",,"https://images.pokemontcg.io/basep/1.png","https://images.pokemontcg.io/basep/1_hires.png","Legal",,,"Colorless","1","","","","","","","Growl","Colorless","1","","If the Defending Pokemon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokemon ends this effect.)","Thundershock","Lightning, Lightning","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Fighting","x2"
"basep-2","Electabuzz","Pokemon","60","Lightning","Electivire",,"2","Ken Sugimori","Promo","A wild Pokemon with a short temper. It is able to distinguish colors, and likes the color red.","125",,"https://images.pokemontcg.io/basep/2.png","https://images.pokemontcg.io/basep/2_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Light Screen","Lightning","1","","Whenever an attack does damage to Electabuzz (after applying Weakness and Resistance) during your opponent's next turn, that attack only does half the damage to Electabuzz (rounded down to the nearest 10). (Any other effects of attacks still happen.)","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","Fighting","x2"
"basep-3","Mewtwo","Pokemon","70","Psychic","",,"3","Ken Sugimori","Promo","Years of genetic experiments resulted in the creation of this never-before-seen violent Pokemon.","150",,"https://images.pokemontcg.io/basep/3.png","https://images.pokemontcg.io/basep/3_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Energy Absorption","Psychic","1","","Choose up to 2 Energy cards from your discard pile and attach them to Mewtwo.","Psyburn","Psychic, Psychic, Colorless","3","40","","Psychic","x2"
"basep-4","Pikachu","Pokemon","50","Lightning","Raichu",,"4","Ken Sugimori","Promo","When several of these Pokemon gather, they attract so much electricity that they can cause lightning to strike.","25",,"https://images.pokemontcg.io/basep/4.png","https://images.pokemontcg.io/basep/4_hires.png","Legal",,,"Colorless","1","","","","","","","Recharge","Lightning","1","","Search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.","Thunderbolt","Lightning, Lightning, Lightning","3","50","Discard all Energy cards attached to Pikachu in order to use this attack.","Fighting","x2"
"basep-5","Dragonite","Pokemon","90","Colorless","","Dragonair","5","Toshinao Aoki","Promo","This Pokemon can fly is spite of its large bulk. It is said to be able to circumnavigate the earth in just 16 hours.","149",,"https://images.pokemontcg.io/basep/5.png","https://images.pokemontcg.io/basep/5_hires.png","Legal",,,"Colorless, Colorless","2","Special Delivery","Once during your turn (before your attack), you may draw a card. If you do, choose a card from your hand and put it on top of your deck. This power can't be used if Dragonite is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Supersonic Flight","Colorless, Colorless, Colorless","3","60","Flip a coin. If tails, this attack does nothing.","","","","","",,
"basep-6","Arcanine","Pokemon","70","Fire","","Growlithe","6","Ken Sugimori","Promo","A legendary Pokemon famous for its beauty. It looks almost as if it flies when it runs.","59",,"https://images.pokemontcg.io/basep/6.png","https://images.pokemontcg.io/basep/6_hires.png","Legal",,,"Colorless","1","","","","","","","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","Flames of Rage","Fire, Fire","2","40+","Discard 2 Fire Energy cards attached to Arcanine in order to use this attack. This attack does 40 damage plus 10 more damage for each damage counter on Arcanine.","Water","x2"
"basep-7","Jigglypuff","Pokemon","50","Colorless","Wigglytuff",,"7","Keiji Kinebuchi","Promo","When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.","39",,"https://images.pokemontcg.io/basep/7.png","https://images.pokemontcg.io/basep/7_hires.png","Legal",,,"Colorless","1","","","","","","","First Aid","Colorless","1","","Remove 1 damage counter from Jigglypuff.","Double-edge","Colorless, Colorless, Colorless","3","40","Jigglypuff does 20 damage to itself.","Fighting","x2"
"basep-8","Mew","Pokemon","50","Psychic","",,"8","Ken Sugimori","Promo","So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.","151",,"https://images.pokemontcg.io/basep/8.png","https://images.pokemontcg.io/basep/8_hires.png","Legal",,,"Colorless","1","","","","","","","Psywave","Psychic","1","10x","Does 10 damage times the number of Energy cards attached to the Defending Pokemon.","Devolution Beam","Psychic, Psychic","2","","Choose an evolved Pokemon (your own or your opponent's). Return the highest Stage Evolution card on that Pokemon to its player's hand. That Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).","Psychic","x2"
"basep-9","Mew","Pokemon","50","Psychic","",,"9","Ken Sugimori","Promo","So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.","151",,"https://images.pokemontcg.io/basep/9.png","https://images.pokemontcg.io/basep/9_hires.png","Legal",,,"Colorless","1","","","","","","","Psywave","Psychic","1","10x","Does 10 damage times the number of Energy cards attached to the Defending Pokemon.","Devolution Beam","Psychic, Psychic","2","","Choose an evolved Pokemon (your own or your opponent's). Return the highest Stage Evolution card on that Pokemon to its player's hand. That Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).","Psychic","x2"
"basep-10","Meowth","Pokemon","50","Colorless","Persian",,"10","Kagemaru Himeno","Promo","Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.","52",,"https://images.pokemontcg.io/basep/10.png","https://images.pokemontcg.io/basep/10_hires.png","Legal",,,"Colorless","1","","","","","","","Cat Punch","Colorless, Colorless","2","","Flip a coin. If heads, this attack does 20 damage. If tails and if your opponent has any Benched Pokemon, he or she chooses 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fighting","x2"
