"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"bw11-1","Tangela","Pokémon","70","Grass","Tangrowth",,"1","kirisAki","Common","Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.","114",,"https://images.pokemontcg.io/bw11/1.png","https://images.pokemontcg.io/bw11/1_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Beat","Grass","1","10","","Flog","Grass, Colorless, Colorless","3","20+","Flip a coin. If heads, this attack does 20 more damage.","Fire","×2"
"bw11-2","Tangrowth","Pokémon","120","Grass","","Tangela","2","Kagemaru Himeno","Rare","Even if one of its arms is eaten, it's fine. The Pokémon regenerates quickly and will go right back to normal.","465",,"https://images.pokemontcg.io/bw11/2.png","https://images.pokemontcg.io/bw11/2_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Bind Down","Grass","1","30","The Defending Pokémon can't retreat during your opponent's next turn.","Flog","Grass, Grass, Colorless, Colorless","4","60+","Flip a coin. If heads, this attack does 30 more damage.","Fire","×2"
"bw11-3","Shuckle","Pokémon","80","Grass","",,"3","MAHOU","Uncommon","The berries stored in its vaselike shell eventually become a thick, pulpy juice.","213",,"https://images.pokemontcg.io/bw11/3.png","https://images.pokemontcg.io/bw11/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Share","Grass","1","","Heal 40 damage from 1 of your Benched Pokémon.","Double Stab","Grass, Grass, Colorless","3","40×","Flip 2 coins. This attack does 40 damage times the number of heads.","Fire","×2"
"bw11-4","Cherubi","Pokémon","40","Grass","Cherrim",,"4","Atsuko Nishida","Uncommon","The small ball is not only filled with nutrients, it is also tasty. Starly try to peck it off.","420",,"https://images.pokemontcg.io/bw11/4.png","https://images.pokemontcg.io/bw11/4_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Double Spin","Colorless","1","10×","Flip 2 coins. This attack does 10 damage times the number of heads.","","","","","","Fire","×2"
"bw11-5","Carnivine","Pokémon","80","Grass","",,"5","HiRON","Uncommon","Using its tentacles to lash itself to trees, it lies in wait for prey, luring it close with sweet-smelling drool.","455",,"https://images.pokemontcg.io/bw11/5.png","https://images.pokemontcg.io/bw11/5_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Ambush Bite","Grass, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage and discard an Energy attached to the Defending Pokémon.","","","","","","Fire","×2"
"bw11-6","Snivy","Pokémon","60","Grass","Servine",,"6","Aya Kusube","Common","They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.","495",,"https://images.pokemontcg.io/bw11/6.png","https://images.pokemontcg.io/bw11/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Leaf Blade","Grass, Colorless","2","10+","Flip a coin. If heads, this attack does 30 more damage.","","","","","","Fire","×2"
"bw11-7","Servine","Pokémon","80","Grass","Serperior","Snivy","7","Shigenori Negishi","Uncommon","They avoid attacks by sinking into the shadows of thick foliage. They retaliate with masterful whipping techniques.","496",,"https://images.pokemontcg.io/bw11/7.png","https://images.pokemontcg.io/bw11/7_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Wring Out","Grass, Colorless","2","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed and discard an Energy attached to the Defending Pokémon.","","","","","","Fire","×2"
"bw11-8","Serperior","Pokémon","130","Grass","","Servine","8","hatachu","Rare Holo","They raise their heads to intimidate opponents but only give it their all when fighting a powerful opponent.","497",,"https://images.pokemontcg.io/bw11/8.png","https://images.pokemontcg.io/bw11/8_hires.png","Legal",,"Legal","Colorless","1","Royal Heal","At any time between turns, heal 10 damage from each of your Pokémon.","Ability","","","","Leaf Tornado","Grass, Colorless","2","60","Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.","","","","","","Fire","×2"
"bw11-9","Sewaddle","Pokémon","50","Grass","Swadloon",,"9","Yuka Morii","Common","Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.","540",,"https://images.pokemontcg.io/bw11/9.png","https://images.pokemontcg.io/bw11/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Leaf Boomerang","Grass, Colorless","2","20×","Flip 2 coins. This attack does 20 damage times the number of heads.","","","","","","Fire","×2"
"bw11-10","Sewaddle","Pokémon","50","Grass","Swadloon",,"10","Mitsuhiro Arita","Common","Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.","540",,"https://images.pokemontcg.io/bw11/10.png","https://images.pokemontcg.io/bw11/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Gnaw","Colorless, Colorless","2","20","","","","","","","Fire","×2"
