"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"bw9-1","Weedle","Pokemon","50","Grass","Common","Colorless","1","","","Triple Stab","Grass","1","10x","Flip 3 coins. This attack does 10 damage times the number of heads.","","","","","","Fire","x2"
"bw9-2","Kakuna","Pokemon","80","Grass","Uncommon","Colorless, Colorless","2","","","Hide","Grass","1","","Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokemon during your opponent's next turn.","","","","","","Fire","x2"
"bw9-3","Beedrill","Pokemon","120","Grass","Rare","","0","","","Swift Sting","Grass","1","20+","If this Pokemon has full HP, this attack does 40 more damage, and the Defending Pokemon is now Confused and Poisoned.","Pierce","Colorless, Colorless, Colorless","3","60","","Fire","x2"
"bw9-4","Exeggcute","Pokemon","30","Grass","Uncommon","Colorless","1","Propagation","Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon into your hand.","Seed Bomb","Grass, Colorless","2","20","","","","","","","Fire","x2"
"bw9-5","Exeggutor","Pokemon","100","Grass","Rare","Colorless, Colorless","2","","","Blockade","Colorless","1","10","Your opponent can't play any Supporter cards from his or her hand during his or her next turn.","Stomp","Grass, Colorless, Colorless","3","60+","Flip a coin. If heads, this attack does 30 more damage.","Fire","x2"
"bw9-6","Treecko","Pokemon","60","Grass","Common","Colorless","1","","","Pound","Colorless","1","10","","Reckless Charge","Grass, Colorless","2","30","This Pokemon does 10 damage to itself.","Fire","x2"
"bw9-7","Grovyle","Pokemon","80","Grass","Uncommon","Colorless","1","","","Pound","Colorless","1","20","","Cut","Grass, Colorless","2","30","","Fire","x2"
"bw9-8","Sceptile","Pokemon","130","Grass","Rare Holo","Colorless, Colorless","2","","","X-Scissor","Grass, Colorless","2","30+","Flip a coin. If heads, this attack does 40 more damage.","Energy Bloom","Grass, Grass, Colorless","3","80","Heal 20 damage from each of your Pokemon that has any Energy attached to it.","Fire","x2"
"bw9-9","Cacnea","Pokemon","70","Grass","Common","Colorless, Colorless","2","","","Poison Sting","Grass","1","","Flip a coin. If heads, the Defending Pokemon is now Poisoned.","","","","","","Fire","x2"
"bw9-10","Cacturne","Pokemon","90","Grass","Rare","Colorless","1","","","Rapid-Fire Needles","Grass","1","60","Does 30 damage to 1 of your Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Payback","Grass, Colorless","2","30+","If your opponent has only 1 Prize card left, this attack does 60 more damage and discard an Energy attached to the Defending Pokemon.","Fire","x2"
"bw9-11","Leafeon","Pokemon","100","Grass","Rare","Colorless, Colorless","2","","","Energy Crush","Colorless","1","20x","Does 20 damage times the amount of Energy attached to all of your opponent's Pokemon.","Leaf Blade","Grass, Colorless, Colorless","3","60+","Flip a coin. If heads, this attack does 20 more damage.","Fire","x2"
"bw9-12","Flareon","Pokemon","100","Fire","Uncommon","Colorless, Colorless","2","","","Vengeance","Colorless, Colorless","2","20+","Does 10 more damage for each Pokemon in your discard pile.","Heat Tackle","Fire, Colorless, Colorless","3","90","This Pokemon does 10 damage to itself.","Water","x2"
"bw9-14","Litwick","Pokemon","60","Fire","Common","Colorless","1","","","Singe","Fire","1","","Flip a coin. If heads, the Defending Pokemon is now Burned.","Live Coal","Fire, Colorless","2","20","","Water","x2"
"bw9-15","Lampent","Pokemon","80","Fire","Uncommon","Colorless","1","","","Live Coal","Colorless, Colorless","2","20","","Searing Flame","Fire, Colorless, Colorless","3","40","The Defending Pokemon is now Burned.","Water","x2"
"bw9-16","Chandelure","Pokemon","130","Fire","Rare Holo","Colorless, Colorless","2","Flare Navigate","Once during your turn (before your attack), you may search your deck for a Fire Energy card and attach it to 1 of your Pokemon. If you do, put 1 damage counter on that Pokemon. Shuffle your deck afterward.","Absorb Life","Fire, Fire, Colorless","3","70","Heal 30 damage from this Pokemon.","","","","","","Water","x2"
"bw9-17","Reshiram","Pokemon","130","Fire","Rare Holo","Colorless, Colorless","2","","","Purifying Flame","Fire, Colorless, Colorless","3","50","Remove all Special Conditions from this Pokemon.","Fusion Flare","Fire, Colorless, Colorless, Colorless","4","80+","If Zekrom is on your Bench, this attack does 40 more damage.","Water","x2"
"bw9-18","Horsea","Pokemon","60","Water","Common","Colorless","1","","","Fin Smack","Water","1","10x","Flip 2 coins. This attack does 10 damage times the number of heads.","","","","","","Lightning","x2"
"bw9-19","Seadra","Pokemon","80","Water","Uncommon","Colorless","1","","","Smokescreen","Water","1","20","If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","","","","","","Lightning","x2"
"bw9-20","Vaporeon","Pokemon","110","Water","Uncommon","Colorless, Colorless","2","","","Refreshing Rain","Colorless","1","","Heal 30 damage from each of your Pokemon.","Gold Breaker","Water, Colorless","2","30+","If the Defending Pokemon is a Pokemon-EX, this attack does 50 more damage.","Grass","x2"
"bw9-21","Wooper","Pokemon","70","Water","Common","Colorless, Colorless","2","","","Slam","Water, Colorless","2","20x","Flip 2 coins. This attack does 20 damage times the number of heads.","","","","","","Grass","x2"
"bw9-22","Quagsire","Pokemon","100","Water","Rare","Colorless, Colorless, Colorless","3","Laid-Back","Any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).","Mud Gun","Water, Colorless, Colorless","3","60+","If this Pokemon has any Fighting Energy attached to it, this attack does 30 more damage.","","","","","","Grass","x2"
"bw9-23","Glaceon","Pokemon","90","Water","Rare","Colorless, Colorless","2","Freeze Zone","The Retreat Cost of each of your Team Plasma Pokemon in play is ColorlessColorless less.","Icy Wind","Water, Colorless, Colorless","3","60","The Defending Pokemon is now Asleep.","","","","","","Metal","x2"
"bw9-24","Tympole","Pokemon","60","Water","Common","Colorless","1","","","Surprise Attack","Water","1","20","Flip a coin. If tails, this attack does nothing.","","","","","","Grass","x2"
"bw9-25","Palpitoad","Pokemon","90","Water","Uncommon","Colorless, Colorless","2","","","Vibration","Colorless, Colorless","2","20","","Suspicious Soundwave","Water, Colorless, Colorless","3","30","Flip a coin. If heads, the Defending Pokemon is now Confused.","Grass","x2"
"bw9-26","Seismitoad","Pokemon","140","Water","Rare","Colorless, Colorless, Colorless","3","","","Seismic Punch","Colorless, Colorless","2","30","Does 30 damage to each Benched Pokemon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.)","Splashing Turn","Water, Water, Colorless, Colorless","4","80","Switch this Pokemon with 1 of your Benched Pokemon.","Grass","x2"
"bw9-27","Vanillite","Pokemon","60","Water","Common","Colorless","1","","","Jump On","Colorless, Colorless","2","20+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Metal","x2"
"bw9-28","Vanillish","Pokemon","80","Water","Uncommon","Colorless","1","","","Surefire Spin","Colorless, Colorless","2","20+","Flip 2 coins. If both of them are heads, this attack does 40 more damage.","","","","","","Metal","x2"
"bw9-29","Vanilluxe","Pokemon","130","Water","Rare","Colorless","1","","","ChillMAX","Colorless","1","60x","Flip a coin for each Energy attached to this Pokemon. This attack does 60 damage for each heads.","Cold Breath","Water, Colorless","2","40","The Defending Pokemon is now Asleep.","Metal","x2"
"bw9-30","Cryogonal","Pokemon","80","Water","Uncommon","Colorless","1","","","Call Sign","Colorless","1","","Search your deck for a Water Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward.","Cryofreeze","Water","1","10","Discard an Energy attached to this Pokemon. The Defending Pokemon can't attack during your opponent's next turn.","Metal","x2"
