"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"bwp-BW01","Snivy","Pokémon","60","Grass","Servine",,"BW01","Ken Sugimori","Promo","It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.","495",,"https://images.pokemontcg.io/bwp/BW01.png","https://images.pokemontcg.io/bwp/BW01_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Slam","Grass, Colorless","2","20×","Flip 2 coins. This attack does 20 damage times the number of heads.","","","","","","Fire","×2"
"bwp-BW02","Tepig","Pokémon","70","Fire","Pignite",,"BW02","Ken Sugimori","Promo","It blows fire through its nose. When it catches a cold, the fire becomes pitch-black smoke instead.","498",,"https://images.pokemontcg.io/bwp/BW02.png","https://images.pokemontcg.io/bwp/BW02_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Ember","Fire, Colorless","2","30","Discard an Energy attached to this Pokémon.","","","","","","Water","×2"
"bwp-BW03","Oshawott","Pokémon","60","Water","Dewott",,"BW03","Ken Sugimori","Promo","It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing.","501",,"https://images.pokemontcg.io/bwp/BW03.png","https://images.pokemontcg.io/bwp/BW03_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Water Pulse","Water, Colorless","2","20","Flip a coin. If heads, the Defending Pokémon is now Asleep.","","","","","","Lightning","×2"
"bwp-BW004","Reshiram","Pokémon","130","Fire","",,"BW004","5ban Graphics","Promo","This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it.","643",,"https://images.pokemontcg.io/bwp/BW004.png","https://images.pokemontcg.io/bwp/BW004_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Outrage","Colorless, Colorless","2","20+","Does 10 more damage for each damage counter on this Pokémon.","Blue Flare","Fire, Fire, Colorless","3","120","Discard 2 Fire Energy attached to this Pokémon.","Water","×2"
"bwp-BW005","Zekrom","Pokémon","130","Lightning","",,"BW005","5ban Graphics","Promo","This Pokémon appears in legends. In its tail, it has a giant generator that creates electricity.","644",,"https://images.pokemontcg.io/bwp/BW005.png","https://images.pokemontcg.io/bwp/BW005_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Outrage","Colorless, Colorless","2","20+","Does 10 more damage for each damage counter on this Pokémon.","Bolt Strike","Lightning, Lightning, Colorless","3","120","This Pokémon does 40 damage to itself.","Fighting","×2"
"bwp-BW06","Snivy","Pokémon","60","Grass","Servine",,"BW06","Shizurow","Promo","They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.","495",,"https://images.pokemontcg.io/bwp/BW06.png","https://images.pokemontcg.io/bwp/BW06_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Paralyzing Gaze","Colorless","1","","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Tail Smack","Grass, Colorless","2","20","","Fire","×2"
"bwp-BW07","Tepig","Pokémon","60","Fire","Pignite",,"BW07","Shin Nagasawa","Promo","It can deftly dodge its foe's attacks while shooting fireballs from its nose. It roasts berries before it eats them.","498",,"https://images.pokemontcg.io/bwp/BW07.png","https://images.pokemontcg.io/bwp/BW07_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Singe","Colorless","1","","Flip a coin. If heads, the Defending Pokémon is now Burned.","Firebreathing","Fire, Colorless","2","10+","Flip a coin. If heads, this attack does 20 more damage.","Water","×2"
"bwp-BW08","Oshawott","Pokémon","60","Water","Dewott",,"BW08","Mitsuhiro Arita","Promo","The scalchop on its stomach is made from the same elements as claws. It detaches the scalchop for use as a blade.","501",,"https://images.pokemontcg.io/bwp/BW08.png","https://images.pokemontcg.io/bwp/BW08_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Sleep Pulse","Colorless","1","","Flip a coin. If heads, the Defending Pokémon is now Asleep.","Surprise Attack","Water, Colorless","2","30","Flip a coin. If tails, this attack does nothing.","Lightning","×2"
"bwp-BW09","Zoroark","Pokémon","100","Darkness","","Zorua","BW09","Naoki Saito","Promo","Each has the ability to fool a large group of people simultaneously. They protect their lair with illusory scenery.","571",,"https://images.pokemontcg.io/bwp/BW09.png","https://images.pokemontcg.io/bwp/BW09_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Nasty Plot","Darkness","1","","Search your deck for a card and put it into your hand. Shuffle your deck afterward.","Foul Play","Colorless, Colorless","2","","Choose 1 of the Defending Pokémon's attacks and use it as this attack.","Fighting","×2"
"bwp-BW10","Axew","Pokémon","50","Colorless","Fraxure",,"BW10","Masakazu Fukuda","Promo","They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.","610",,"https://images.pokemontcg.io/bwp/BW10.png","https://images.pokemontcg.io/bwp/BW10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Dragon Rage","Colorless, Colorless","2","50","Flip 2 coins. If either of them is tails, this attack does nothing.","","","","","",,
"bwp-BW11","Pansage","Pokémon","60","Grass","Simisage",,"BW11","Akira Komayama","Promo","It shares the leaf on its head with weary-looking Pokémon. These leaves are know to relieve stress.","511",,"https://images.pokemontcg.io/bwp/BW11.png","https://images.pokemontcg.io/bwp/BW11_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Bullet Seed","Grass, Colorless","2","10×","Flip 4 coins. This attack does 10 damage times the number of heads.","","","","","","Fire","×2"
"bwp-BW12","Zorua","Pokémon","60","Darkness","Zoroark",,"BW12","Tomokazu Komiya","Promo","To protect themselves from danger, they hide their true identities by transforming into people and Pokémon.","570",,"https://images.pokemontcg.io/bwp/BW12.png","https://images.pokemontcg.io/bwp/BW12_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Jump On","Darkness, Colorless","2","20+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Fighting","×2"
"bwp-BW13","Minccino","Pokémon","50","Colorless","Cinccino",,"BW13","Atsuko Nishida","Promo","They greet one another by rubbing each other with their tails, which are always kept well groomed and clean.","572",,"https://images.pokemontcg.io/bwp/BW13.png","https://images.pokemontcg.io/bwp/BW13_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Gnaw","Colorless","1","10","","Tail Smack","Colorless, Colorless","2","20","","Fighting","×2"
"bwp-BW14","Pansage","Pokémon","60","Grass","Simisage",,"BW14","Akira Komayama","Promo","It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.","511",,"https://images.pokemontcg.io/bwp/BW14.png","https://images.pokemontcg.io/bwp/BW14_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Bullet Seed","Grass, Colorless","2","10×","Flip 4 coins. This attack does 10 damage times the number of heads.","","","","","","Fire","×2"
"bwp-BW15","Pidove","Pokémon","50","Colorless","Tranquill",,"BW15","Naoki Saito","Promo","Each follows its Trainer's orders as best it can, but they sometimes fail to understand complicated commands.","519",,"https://images.pokemontcg.io/bwp/BW15.png","https://images.pokemontcg.io/bwp/BW15_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Gust","Colorless, Colorless","2","20","","","","","","","Lightning","×2"
"bwp-BW16","Axew","Pokémon","50","Colorless","Fraxure",,"BW16","Masakazu Fukuda","Promo","They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.","610",,"https://images.pokemontcg.io/bwp/BW16.png","https://images.pokemontcg.io/bwp/BW16_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Dragon Rage","Colorless, Colorless","2","50","Flip 2 coins. If either of them is tails, this attack does nothing.","","","","","",,
"bwp-BW17","Ducklett","Pokémon","60","Water","Swanna",,"BW17","Kagemaru Himeno","Promo","When attacked, it uses its feathers to splash water, escaping under cover of the spray.","580",,"https://images.pokemontcg.io/bwp/BW17.png","https://images.pokemontcg.io/bwp/BW17_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Water Gun","Water","1","10","","","","","","","Lightning","×2"
"bwp-BW18","Darumaka","Pokémon","60","Fire","Darmanitan",,"BW18","Akira Komayama","Promo","When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep.","554",,"https://images.pokemontcg.io/bwp/BW18.png","https://images.pokemontcg.io/bwp/BW18_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Searing Flame","Fire, Colorless","2","20","Flip a coin. If heads, the Defending Pokémon is now Burned.","","","","","","Water","×2"
"bwp-BW19","Zoroark","Pokémon","100","Darkness","","Zorua","BW19","5ban Graphics","Promo","Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.","571",,"https://images.pokemontcg.io/bwp/BW19.png","https://images.pokemontcg.io/bwp/BW19_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Punishment","Colorless","1","20+","If the Defending Pokémon is a Stage 2 Pokémon, this attack does 20 more damage.","Snarl","Darkness, Darkness, Colorless","3","60","During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 20 (before applying Weakness and Resistance).","Fighting","×2"
"bwp-BW20","Serperior","Pokémon","130","Grass","","Servine","BW20","5ban Graphics","Promo","They raise their heads to intimidate opponents but only give their all when fighting a powerful opponent.","497",,"https://images.pokemontcg.io/bwp/BW20.png","https://images.pokemontcg.io/bwp/BW20_hires.png","Legal",,"Legal","Colorless","1","Royal Heal","At any times between turns, heal 10 damage from each of your Pokémon.","Ability","","","","Leaf Tornado","Grass, Colorless","2","60","Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.","","","","","","Fire","×2"
