"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"cel25c-2_A","Blastoise","Pokemon","100","Water","","Wartortle","2","Ken Sugimori","Classic Collection","A brutal Pokemon with pressurized water jets on its shell. They are used for high-speed tackles.","9",,"https://images.pokemontcg.io/cel25c/2_A.png","https://images.pokemontcg.io/cel25c/2_A_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Rain Dance","As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokemon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Hydro Pump","Water, Water, Water","3","40+","Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.","","","","","","Lightning","x2"
"cel25c-4_A","Charizard","Pokemon","120","Fire","","Charmeleon","4","Mitsuhiro Arita","Classic Collection","Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.","6",,"https://images.pokemontcg.io/cel25c/4_A.png","https://images.pokemontcg.io/cel25c/4_A_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Energy Burn","As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Fire Spin","Fire, Fire, Fire, Fire","4","100","Discard 2 Energy cards attached to Charizard in order to use this attack.","","","","","","Water","x2"
"cel25c-15_A1","Venusaur","Pokemon","100","Grass","","Ivysaur","15","Mitsuhiro Arita","Classic Collection","This plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.","3",,"https://images.pokemontcg.io/cel25c/15_A.png","https://images.pokemontcg.io/cel25c/15_A_hires.png","Legal",,,"Colorless, Colorless","2","Energy Trans","As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokemon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Solarbeam","Grass, Grass, Grass, Grass","4","60","","","","","","","Fire","x2"
"cel25c-15_A2","Here Comes Team Rocket!","Trainer",,"","",,"15","Ken Sugimori","Classic Collection",,"",,"https://images.pokemontcg.io/cel25c/15_B.png","https://images.pokemontcg.io/cel25c/15_B_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","","",,
"cel25c-15_A3","Rocket's Zapdos","Pokemon","70","Lightning","",,"15","Shin-ichi Yoshida","Classic Collection",,"145",,"https://images.pokemontcg.io/cel25c/15_C.png","https://images.pokemontcg.io/cel25c/15_C_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Plasma","Lightning","1","20","If there are any Lightning Energy cards in your discard pile, attach 1 of them to Rocket's Zapdos.","Electroburn","Lightning, Lightning, Lightning, Colorless","4","70","Rocket's Zapdos does damage to itself equal to 10 times the number of Lightning Energy cards attached to it.",,
"cel25c-15_A4","Claydol","Pokemon","80","Fighting","","Baltoy","15","Midori Harada","Classic Collection",,"344",,"https://images.pokemontcg.io/cel25c/15_D.png","https://images.pokemontcg.io/cel25c/15_D_hires.png","Legal",,,"Colorless, Colorless","2","Cosmic Power","Once during your turn (before your attack), you may choose up to 2 cards from your hand and put them on the bottom of your deck in any order. If you do, draw cards until you have 6 cards in your hand. This power can't be used if Claydol is affected by a Special Condition.","Poke-Power","","","","Spinning Attack","Fighting, Colorless","2","40","","","","","","","Grass","+20"
"cel25c-73_A","Imposter Professor Oak","Trainer",,"","",,"73","Ken Sugimori","Classic Collection",,"",,"https://images.pokemontcg.io/cel25c/73_A.png","https://images.pokemontcg.io/cel25c/73_A_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","","",,
"cel25c-8_A","Dark Gyarados","Pokemon","70","Water","","Magikarp","8","Kagemaru Himeno","Classic Collection","Normally found only in the deep ocean, it has recently been seen in shallow waters as well.","130",,"https://images.pokemontcg.io/cel25c/8_A.png","https://images.pokemontcg.io/cel25c/8_A_hires.png","Legal",,,"Colorless, Colorless","2","Final Beam","When Dark Gyarados is Knocked Out by an attack, flip a coin. If heads, this power does 20 damage for each Water Energy attached to Dark Gyarados to the Pokemon that Knocked Out Dark Gyarados. Apply Weakness and Resistance. This power doesn't work if Dark Gyarados is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Ice Beam","Water, Water, Water","3","30","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","","","","","","Grass","x2"
"cel25c-24_A","_____'s Pikachu","Pokemon","50","Lightning","",,"24","Kagemaru Himeno","Classic Collection","Your Birthdate: ______________________________","25",,"https://images.pokemontcg.io/cel25c/24_A.png","https://images.pokemontcg.io/cel25c/24_A_hires.png","Legal",,,"Colorless","1","","","","","","","Birthday Surprise","Lightning, Lightning","2","30+","If it's not your birthday, this attack does 30 damage. If it is your birthday, flip a coin. If heads, this attack does 30 damage plus 50 more damage; if tails, this attack does 30 damage.","","","","","","Fighting","x2"
"cel25c-20_A","Cleffa","Pokemon","30","Colorless","Clefairy",,"20","Kagemaru Himeno","Classic Collection","Because of its unusual, star-like silhouette, people believe that it came here on a meteor.","173",,"https://images.pokemontcg.io/cel25c/20_A.png","https://images.pokemontcg.io/cel25c/20_A_hires.png","Legal",,,"",,"","","","","","","Eeeeeeek","Colorless","1","","Shuffle your hand into your deck, then draw 7 cards.","","","","","",,
"cel25c-66_A","Shining Magikarp","Pokemon","30","Water","Gyarados",,"66","Ken Sugimori","Classic Collection","An underpowered, pathetic Pokemon. It may jump high on rare occasions, but never more than seven feet.","129",,"https://images.pokemontcg.io/cel25c/66_A.png","https://images.pokemontcg.io/cel25c/66_A_hires.png","Legal",,,"Colorless","1","","","","","","","Gold Scale","Water","1","","Your opponent may draw 2 cards. Either way, you may draw 2 cards.","Dragon Bond","Psychic","1","","Search your deck for a card named Gyarados, Dark Gyarados, or Shining Gyarados. Show it to your opponent and put it into your hand. Shuffle your deck afterward.","Lightning","x2"
