"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dc1-1","Team Magma's Numel","Pokemon","70","Fire","Camerupt",,"1","Akira Komayama","Common","No matter how heavy the cargo, we can transport it to our destination with ease, thanks to Numel.","322",,"https://images.pokemontcg.io/dc1/1.png","https://images.pokemontcg.io/dc1/1_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Ember","Fire, Colorless","2","30","Discard an Energy attached to this Pokemon.","","","","","","Water","x2"
"dc1-2","Team Magma's Camerupt","Pokemon","110","Fire","","Team Magma's Numel","2","Shin Nagasawa","Rare Holo","Camerupt, with its strength against fire, played a big role in rescuing team members.","323",,"https://images.pokemontcg.io/dc1/2.png","https://images.pokemontcg.io/dc1/2_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Burning Draft","Once during your turn (before your attack), you may attach a Fighting or Fire Energy card from your discard pile to this Pokemon.","Ability","","","","Flame Ball","Fire, Colorless, Colorless","3","60","Move a basic Energy from this Pokemon to 1 of your Benched Pokemon.","","","","","","Water","x2"
"dc1-3","Team Aqua's Spheal","Pokemon","60","Water","Sealeo",,"3","Sanosuke Sakuma","Common","Spheal's Water Gun can put out any fire. Flames used by opponents have no effect!","363",,"https://images.pokemontcg.io/dc1/3.png","https://images.pokemontcg.io/dc1/3_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Water Gun","Water","1","10","","","","","","","Metal","x2"
"dc1-4","Team Aqua's Sealeo","Pokemon","90","Water","Walrein","Team Aqua's Spheal","4","Naoki Saito","Common","It provides support by making paths of ice. It can win any battle as long as it's on ice.","364",,"https://images.pokemontcg.io/dc1/4.png","https://images.pokemontcg.io/dc1/4_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Splatter","Water, Colorless","2","","This attack does 20 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Hail Storm","Water, Colorless, Colorless","3","60+","If your opponent's Active Pokemon is a Team Magma Pokemon, this attack does 60 more damage.","Metal","x2"
"dc1-5","Team Aqua's Walrein","Pokemon","140","Water","","Team Aqua's Sealeo","5","Hitoshi Ariga","Rare Holo","It's good at attacks that freeze opponents with a powerful cold snap. Then, it pulverizes a frozen foe with its sharp tusks!","365",,"https://images.pokemontcg.io/dc1/5.png","https://images.pokemontcg.io/dc1/5_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Power Blow","Colorless","1","30x","This attack does 30 damage times the amount of Energy attached to this Pokemon.","Dual Blizzard","Water, Water, Water, Colorless","4","","Discard 2 Water Energy attached to this Pokemon. This attack does 80 damage to 2 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Metal","x2"
"dc1-6","Team Aqua's Kyogre-EX","Pokemon","190","Water","",,"6","nagimiso","Rare Ultra",,"382",,"https://images.pokemontcg.io/dc1/6.png","https://images.pokemontcg.io/dc1/6_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","Power Saver","If there are 4 or fewer Team Aqua Pokemon in play, this Pokemon can't attack.","Ability","","","","Aqua Impact","Water, Water, Water, Colorless","4","80+","This attack does 20 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost.","","","","","","Grass","x2"
"dc1-7","Team Aqua's Grimer","Pokemon","70","Psychic","Muk",,"7","kawayoo","Common","Its flexible body, which allows it to squeeze into any cracks, comes in handy when invading enemy hideouts.","88",,"https://images.pokemontcg.io/dc1/7.png","https://images.pokemontcg.io/dc1/7_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Pound","Psychic","1","10","","Mud-Slap","Psychic, Colorless, Colorless","3","30","","Psychic","x2"
"dc1-8","Team Aqua's Muk","Pokemon","110","Psychic","","Team Aqua's Grimer","8","Kouki Saitou","Rare Holo","It immobilizes its opponents by wrapping them in its huge, poisonous body. It'll smoosh you, too!","89",,"https://images.pokemontcg.io/dc1/8.png","https://images.pokemontcg.io/dc1/8_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","Sludge Festival","The Retreat Cost of each Pokemon in play (except for Team Aqua Pokemon) is Colorless more.","Ability","","","","Pester","Psychic, Colorless, Colorless","3","60+","If your opponent's Active Pokemon is affected by a Special Condition, this attack does 60 more damage.","","","","","","Psychic","x2"
"dc1-9","Team Aqua's Seviper","Pokemon","90","Psychic","",,"9","Naoki Saito","Common","Seviper's tail is a sharp blade. It can even poison you!","336",,"https://images.pokemontcg.io/dc1/9.png","https://images.pokemontcg.io/dc1/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Venomous Fang","Psychic","1","10","Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.","Venom Tail","Colorless, Colorless","2","30","If your opponent's Active Pokemon is affected by a Special Condition, discard an Energy attached to that Pokemon.","Psychic","x2"
"dc1-10","Team Magma's Baltoy","Pokemon","50","Psychic","Claydol",,"10","Mitsuhiro Arita","Common","They all cry out at once to let us know when they spot an enemy. It really helps out!","343",,"https://images.pokemontcg.io/dc1/10.png","https://images.pokemontcg.io/dc1/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Telekinesis","Psychic, Colorless","2","","This attack does 20 damage to 1 of your opponent's Pokemon. This attack's damage isn't affected by Weakness or Resistance.","","","","","","Psychic","x2"
