"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dp4-1","Blaziken","Pokemon","130","Fire","","Combusken","1","Kagemaru Himeno","Rare Holo","Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes.","257",,"https://images.pokemontcg.io/dp4/1.png","https://images.pokemontcg.io/dp4/1_hires.png","Legal",,,"Colorless","1","","","","","","","Fire Dance","Colorless","1","30","Search your discard pile for a Fire Energy card and attach it to 1 of your Pokemon.","Flame Kick","Fire, Fire, Colorless","3","","Discard 2 Fire Energy attached to Blaziken. This attack does 80 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Water","+30"
"dp4-2","Cresselia","Pokemon","80","Psychic","",,"2","Ryo Ueda","Rare Holo","Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.","488",,"https://images.pokemontcg.io/dp4/2.png","https://images.pokemontcg.io/dp4/2_hires.png","Legal",,,"Colorless","1","","","","","","","Moon Twinkle","Colorless","1","10","If there is any Stadium card in play, remove 2 damage counters from Cresselia.","Lunar Dance","Psychic, Psychic, Colorless","3","50","You may discard 2 Energy attached to Cresselia. If you do, remove all damage counters from 1 of your Benched Pokemon.","Psychic","+20"
"dp4-3","Darkrai","Pokemon","70","Darkness","",,"3","Masakazu Fukuda","Rare Holo","It can lull people to sleep and make them dream. It is active during nights of the new moon.","491",,"https://images.pokemontcg.io/dp4/3.png","https://images.pokemontcg.io/dp4/3_hires.png","Legal",,,"Colorless","1","","","","","","","Reach Over","","0","","Search your deck for an Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Darkness Pursuit","Darkness, Darkness, Darkness","3","50","If the Defending Pokemon is Cresselia, this attack's base damage is 100.","Fighting","+20"
"dp4-4","Darkrai","Pokemon","80","Darkness","",,"4","Ryo Ueda","Rare Holo","It can lull people to sleep and make them dream. It is active during nights of the new moon.","491",,"https://images.pokemontcg.io/dp4/4.png","https://images.pokemontcg.io/dp4/4_hires.png","Legal",,,"Colorless","1","","","","","","","Darkness Roar","Colorless","1","10","You may have your opponent switch the Defending Pokemon with 1 or his or her Benched Pokemon.","Sleep Hole","Darkness, Darkness, Colorless","3","40+","If the Defending Pokemon is Asleep, this attack does 40 damage plus 40 more damage. If the Defending Pokemon is not Asleep, that Pokemon is now Asleep.","Fighting","+20"
"dp4-5","Pachirisu","Pokemon","70","Lightning","",,"5","Hironobu Yoshida","Rare Holo","It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.","417",,"https://images.pokemontcg.io/dp4/5.png","https://images.pokemontcg.io/dp4/5_hires.png","Legal",,,"Colorless","1","","","","","","","Call for Family","Colorless","1","","Search your deck for up to 3 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.","Smash Short","Colorless","1","10+","If the Defending Pokemon has a Pokemon Tool card attached to it, this attack does 10 damage plus 30 more damage. Discard that Pokemon Tool card, look at your opponent's hand, and discard any Pokemon Tool cards of the same name you find there.","Fighting","+20"
"dp4-6","Porygon-Z","Pokemon","110","Colorless","","Porygon2","6","Kent Kanetsuna","Rare Holo","Additional software was installed to make it a better Pokemon. It began acting oddly, however.","474",,"https://images.pokemontcg.io/dp4/6.png","https://images.pokemontcg.io/dp4/6_hires.png","Legal",,,"Colorless, Colorless","2","Conversion","Once during your turn (before your attack), you may discard a basic Energy card from your hand. Porygon-Z is the same type as that Energy Card until the end of your turn. This power can't be used if Porygon-Z is affected by a Special Condition.","Poke-Power","","","","Tri Attack","Colorless, Colorless","2","40x","Flip 3 coins. This attack does 40 damage times the number of heads.","","","","","","Fighting","+30"
"dp4-7","Rotom","Pokemon","70","Lightning","",,"7","Daisuke Ito","Rare Holo","Its body is composed of plasma. It is known to infiltrate electronic devices and wreak havoc.","479",,"https://images.pokemontcg.io/dp4/7.png","https://images.pokemontcg.io/dp4/7_hires.png","Legal",,,"Colorless","1","","","","","","","Astonish","Colorless, Colorless","2","20","Choose 1 card from your opponent's hand without looking. Look at that card you chose, then have your opponent shuffle that card into his or her deck.","Telebeam","Lightning, Lightning","2","30+","Flip a coin. If heads, this attack does 30 damage plus 30 more damage and the Defending Pokemon is now Paralyzed.","Darkness","+20"
"dp4-8","Sceptile","Pokemon","100","Grass","","Grovyle","8","Masakazu Fukuda","Rare Holo","The leaves that grow on its arms can slice down thick trees. It is without peer in jungle combat.","254",,"https://images.pokemontcg.io/dp4/8.png","https://images.pokemontcg.io/dp4/8_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Wild Growth","Each basic Grass Energy card attached to your Grass Pokemon provides GrassGrass Energy instead. You can't use more than 1 Wild Growth Poke-Body each turn.","Poke-Body","","","","Leaf Blade","Grass, Grass, Colorless, Colorless","4","50+","Flip a coin. If heads, this attack does 50 damage plus 20 more damage.","","","","","","Fire","+30"
"dp4-9","Swampert","Pokemon","130","Water","","Marshtomp","9","Kouki Saitou","Rare Holo","It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.","260",,"https://images.pokemontcg.io/dp4/9.png","https://images.pokemontcg.io/dp4/9_hires.png","Legal",,,"Colorless, Colorless","2","Wash Out","As often as you like during your turn (before your attack), you may move a Water or Fighting Energy attached to 1 of your Benched Pokemon to your Active Pokemon. This power can't be used if Swampert is affected by a Special Condition.","Poke-Power","","","","Hammer Arm","Water, Water, Colorless, Colorless","4","80","Discard the top card from your opponent's deck.","","","","","","Grass","+30"
"dp4-10","Tangrowth","Pokemon","110","Grass","","Tangela","10","Kent Kanetsuna","Rare Holo","It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.","465",,"https://images.pokemontcg.io/dp4/10.png","https://images.pokemontcg.io/dp4/10_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Power Whip","Grass","1","","Choose 1 of your opponent's Pokemon. This attack does 10 damage for each basic Energy card attached to Tangrowth to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Stick and Absorb","Grass, Grass, Colorless, Colorless","4","60","Remove 3 damage counters from Tangrowth. The Defending Pokemon can't retreat during your opponent's next turn.","Fire","+30"
"dp4-11","Togekiss","Pokemon","120","Colorless","","Togetic","11","Kent Kanetsuna","Rare Holo","It will never appear where there is strife. Its sightings have become rare recently.","468",,"https://images.pokemontcg.io/dp4/11.png","https://images.pokemontcg.io/dp4/11_hires.png","Legal",,,"Colorless","1","Serene Grace","Once during your turn, when you play Togekiss from your hand to evolve 1 of your Pokemon, you may look at the top 10 cards of your deck, choose as many basic Energy cards as you like, and attach them to your Pokemon in any way you like. Put the other cards back on top of your deck. Shuffle your deck afterward.","Poke-Power","","","","Air Scroll","Colorless, Colorless, Colorless","3","40+","Flip a coin. If heads, this attack does 40 damage plus 30 more damage. If tails, remove 3 damage counters from Togekiss.","","","","","","Lightning","+30"
"dp4-12","Altaria","Pokemon","80","Colorless","","Swablu","12","Kagemaru Himeno","Rare","It looks like a fluffy cloud when it is in flight. It hums with its soprano voice.","334",,"https://images.pokemontcg.io/dp4/12.png","https://images.pokemontcg.io/dp4/12_hires.png","Legal",,,"Colorless","1","","","","","","","Dragonbreath","Colorless","1","40","Flip a coin. If tails, this attack does nothing. If heads, the Defending Pokemon is now Paralyzed.","Cotton Cloud","Colorless, Colorless, Colorless","3","60","During your opponent's next turn, any damage done to Altaria by attacks from your opponent's Evolved Pokemon is reduced by 30 (after applying Weakness and Resistance).","Colorless","+20"
"dp4-13","Beedrill","Pokemon","110","Grass","","Kakuna","13","Kouki Saitou","Rare","Its best attack involves flying around at high speed, striking with poison needles, then flying off.","15",,"https://images.pokemontcg.io/dp4/13.png","https://images.pokemontcg.io/dp4/13_hires.png","Legal",,,"",,"","","","","","","Band Attack","Grass","1","30x","Does 30 damage times the number of Beedrill you have in play.","Twineedle","Colorless, Colorless, Colorless","3","50x","Flip 2 coins. This attack does 50 damage times the number of heads.","Fire","+30"
"dp4-14","Butterfree","Pokemon","120","Grass","","Metapod","14","Sumiyoshi Kizuki","Rare","It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.","12",,"https://images.pokemontcg.io/dp4/14.png","https://images.pokemontcg.io/dp4/14_hires.png","Legal",,,"",,"","","","","","","Parallel Drain","Grass","1","30","After your attack, remove from 1 of your Pokemon the number of damage counters equal to the damage you did to the Defending Pokemon.","Dozing Scales","Grass, Grass, Colorless","3","60","Flip a coin. If heads, the Defending Pokemon is now Asleep. If tails, the Defending Pokemon is now Poisoned.","Fire","+30"
"dp4-15","Claydol","Pokemon","80","Fighting","","Baltoy","15","Midori Harada","Rare","An ancient clay figurine that came to life as a Pokemon from exposure to a mysterious ray of light.","344",,"https://images.pokemontcg.io/dp4/15.png","https://images.pokemontcg.io/dp4/15_hires.png","Legal",,,"Colorless, Colorless","2","Cosmic Power","Once during your turn (before your attack), you may choose up to 2 cards from your hand and put them on the bottom of your deck in any order. If you do, draw cards until you have 6 cards in your hand. This power can't be used if Claydol is affected by a Special Condition.","Poke-Power","","","","Spinning Attack","Fighting, Colorless","2","40","","","","","","","Grass","+20"
"dp4-16","Dialga","Pokemon","90","Metal","",,"16","Daisuke Ito","Rare","It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.","483",,"https://images.pokemontcg.io/dp4/16.png","https://images.pokemontcg.io/dp4/16_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Time Bellow","Metal","1","10","Draw a card.","Flash Cannon","Metal, Metal, Colorless","3","40","You may return all Energy cards attached to Dialga to your hand. If you do, remove the highest Stage Evolution card from the Defending Pokemon and shuffle that card into your opponent's deck.","Fire","+20"
"dp4-17","Exploud","Pokemon","130","Colorless","","Loudred","17","Daisuke Ito","Rare","Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body.","295",,"https://images.pokemontcg.io/dp4/17.png","https://images.pokemontcg.io/dp4/17_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Ambient Noise","Colorless, Colorless","2","","Flip 2 coins. If the first coin is heads, this attack does 50 damage to the Defending Pokemon. If the first coin is tails, this attack does 20 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) If the second coin is heads, the Defending Pokemon is now Confused. If the second coin is tails, your opponent can't play any Trainer, Supporter, or Stadium cards from his or her hand during your opponent's next turn.","Hyper Voice","Colorless, Colorless, Colorless, Colorless","4","70","","Fighting","+30"
"dp4-18","Houndoom","Pokemon","90","Darkness","","Houndour","18","Ken Sugimori","Rare","Long ago, people imagined its eerie howls to be the call of the grim reaper.","229",,"https://images.pokemontcg.io/dp4/18.png","https://images.pokemontcg.io/dp4/18_hires.png","Legal",,,"Colorless","1","","","","","","","Dark Fang","Darkness","1","20","Choose 1 card from your opponent's hand without looking and discard it.","Black Fire","Fire, Colorless","2","40+","You may discard a Fire or Darkness Energy attached to Houndoom. If you discard a Fire Energy, the Defending Pokemon is now Burned. If you discard a Darkness Energy, this attack does 40 damage plus 30 more damage.","Water","+20"
"dp4-19","Hypno","Pokemon","80","Psychic","","Drowzee","19","Mitsuhiro Arita","Rare","Seeing its swinging pendulum can induce sleep in three seconds, even if someone just woke up.","97",,"https://images.pokemontcg.io/dp4/19.png","https://images.pokemontcg.io/dp4/19_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Dream Catcher","Colorless, Colorless","2","","If the Defending Pokemon is Asleep, move all damage counters from Hypno to the Defending Pokemon.","Hypnoblast","Psychic, Psychic, Colorless","3","60","The Defending Pokemon is now Asleep.","Psychic","+20"
"dp4-20","Kingler","Pokemon","90","Water","","Krabby","20","Mitsuhiro Arita","Rare","The larger pincer has 10,000-horsepower strength. However, it is so heavy, it is difficult to aim.","99",,"https://images.pokemontcg.io/dp4/20.png","https://images.pokemontcg.io/dp4/20_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Crabhammer","Colorless, Colorless","2","30","","Scissor Blow","Water, Water, Colorless","3","80","If the Defending Pokemon would be be Knocked Out by this attack, Kingler does 30 damage to itself.","Lightning","+20"
"dp4-21","Lapras","Pokemon","80","Water","",,"21","Atsuko Nishida","Rare","It loves crossing the sea with people and Pokemon on its back. It understands human speech.","131",,"https://images.pokemontcg.io/dp4/21.png","https://images.pokemontcg.io/dp4/21_hires.png","Legal",,,"Colorless","1","","","","","","","Carry In","Water","1","","Search your deck for a Pokemon Tool Card, a Supporter card, and a basic Energy card, show them to your opponent, and put them into your hand. Shuffle your deck afterward.","Wave Splash","Water, Colorless","2","20","","Lightning","+20"
"dp4-22","Latias","Pokemon","80","Colorless","",,"22","Daisuke Ito","Rare","Its body is covered with a down that can refract light in such a way that it becomes invisible.","380",,"https://images.pokemontcg.io/dp4/22.png","https://images.pokemontcg.io/dp4/22_hires.png","Legal",,,"Colorless","1","","","","","","","Miraculous Light","Colorless","1","10","Remove 2 damage counters and all Special Conditions from Latias.","Mist Ball","Fire, Water, Colorless","3","80","Discard a Fire Energy and a Water Energy attached to Latias.","Colorless","+20"
"dp4-23","Latios","Pokemon","90","Colorless","",,"23","Daisuke Ito","Rare","A highly intelligent Pokemon. By folding back its wings in flight, it can overtake jet planes.","381",,"https://images.pokemontcg.io/dp4/23.png","https://images.pokemontcg.io/dp4/23_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Energy Draw","Colorless","1","10","Flip a coin. If heads, search your deck for a basic Energy card and attach it to Latios. Shuffle your deck afterward.","Luster Purge","Grass, Lightning, Colorless, Colorless","4","120","Discard 3 Energy attached to Latios.","Colorless","+20"
"dp4-24","Mawile","Pokemon","70","Metal","",,"24","Midori Harada","Rare","Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.","303",,"https://images.pokemontcg.io/dp4/24.png","https://images.pokemontcg.io/dp4/24_hires.png","Legal",,,"Colorless","1","","","","","","","Pick Out","","0","","Choose 1 face-down Prize card (yours or your opponent's) and put it face up. If that card is a Supporter card, use the effect of that card as the effect of this attack. (That card remains face up for the rest of the game.)","Jaw Bite","Metal, Colorless","2","20","During your next turn, if an attack does damage to the Defending Pokemon (after applying Weakness and Resistance), that attack does 20 more damage.","Fire","+10"
