"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dpp-DP01","Turtwig","Pokemon","60","Grass","Grotle",,"DP01","Masakazu Fukuda","Promo","Made from soil, the shell on its back hardens when it drinks water. It lives along lakes.","387",,"https://images.pokemontcg.io/dpp/DP01.png","https://images.pokemontcg.io/dpp/DP01_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Tackle","","0","10","","Razor Leaf","Grass","1","20","","Fire","+10"
"dpp-DP02","Chimchar","Pokemon","50","Fire","Monferno",,"DP02","Kagemaru Himeno","Promo","It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.","390",,"https://images.pokemontcg.io/dpp/DP02.png","https://images.pokemontcg.io/dpp/DP02_hires.png","Legal",,,"Colorless","1","","","","","","","Scratch","","0","10","","Ember","Fire, Colorless","2","30","Flip a coin. If tails, discard a Fire Energy attached to Chimchar.","Water","+10"
"dpp-DP03","Piplup","Pokemon","60","Water","Prinplup",,"DP03","Atsuko Nishida","Promo","Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.","393",,"https://images.pokemontcg.io/dpp/DP03.png","https://images.pokemontcg.io/dpp/DP03_hires.png","Legal",,,"Colorless","1","","","","","","","Peck","","0","10","","Water Splash","Water, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 10 more damage.","Lightning","+10"
"dpp-DP04","Pachirisu","Pokemon","70","Lightning","",,"DP04","Atsuko Nishida","Promo","It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.","417",,"https://images.pokemontcg.io/dpp/DP04.png","https://images.pokemontcg.io/dpp/DP04_hires.png","Legal",,,"Colorless","1","","","","","","","Minor Errand-Running","Colorless","1","","Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Thunder Jolt","Lightning","1","20","Flip a coin. If tails, Pachirisu does 10 damage to itself.","Fighting","+20"
"dpp-DP05","Tropical Wind","Trainer",,"","",,"DP05","Sumiyoshi Kizuki","Promo",,"",,"https://images.pokemontcg.io/dpp/DP05.png","https://images.pokemontcg.io/dpp/DP05_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","","",,
"dpp-DP06","Buneary","Pokemon","50","Colorless","Lopunny",,"DP06","Kagemaru Himeno","Promo","It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.","427",,"https://images.pokemontcg.io/dpp/DP06.png","https://images.pokemontcg.io/dpp/DP06_hires.png","Legal",,,"Colorless","1","","","","","","","Splash","Colorless","1","10","","Jump Kick","Colorless, Colorless","2","10","Does 10 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","+10"
"dpp-DP07","Cranidos","Pokemon","70","Fighting","Rampardos","Skull Fossil","DP07","Mitsuhiro Arita","Promo","It lived in jungles around 100 million years ago. Its skull is as hard as iron.","408",,"https://images.pokemontcg.io/dpp/DP07.png","https://images.pokemontcg.io/dpp/DP07_hires.png","Legal",,,"Colorless","1","","","","","","","Headbutt","Colorless","1","20","","Steamroll","Fighting, Colorless","2","30","Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Grass","+20"
"dpp-DP08","Shieldon","Pokemon","80","Metal","Bastiodon","Armor Fossil","DP08","Kouki Saitou","Promo","A Pokemon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.","410",,"https://images.pokemontcg.io/dpp/DP08.png","https://images.pokemontcg.io/dpp/DP08_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Hard Face","Metal, Colorless","2","20","During your opponent's next turn, any damage done to Shieldon by attacks is reduced by 20 (after applying Weakness and Resistance).","Shield Attack","Metal, Colorless, Colorless","3","40+","Flip a coin. If heads, this attack does 40 damage plus 20 more damage.","Fire","+20"
"dpp-DP09","Torterra LV.X","Pokemon","160","Grass","","Torterra","DP09","Shizurow","Promo",,"389",,"https://images.pokemontcg.io/dpp/DP09.png","https://images.pokemontcg.io/dpp/DP09_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","Forest Murmurs","Once during your turn (before your attack), if you have more Prize cards left than your opponent, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon. This power can't be used if Torterra is affected by a Special Condition.","Poke-Power","","","","Vigorous Dash","Grass, Grass, Grass, Colorless","4","100","Does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) Torterra does 30 damage to itself.","","","","","","Fire","+30"
"dpp-DP10","Infernape LV.X","Pokemon","120","Fire","","Infernape","DP10","Shizurow","Promo",,"392",,"https://images.pokemontcg.io/dpp/DP10.png","https://images.pokemontcg.io/dpp/DP10_hires.png","Legal",,,"",,"Burning Head","Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose 1 of them, and put it into your hand. Discard the other 2 cards. This power can't be used if Infernape is affected by a Special Condition.","Poke-Power","","","","Flare Up","Fire, Fire","2","150","Search your discard pile for 8 Fire Energy cards, show them to your opponent, and shuffle them into your deck. (This attack does nothing if you don't have 8 Fire Energy cards in your discard pile.)","","","","","","Water","+30"
"dpp-DP11","Empoleon LV.X","Pokemon","140","Water","","Empoleon","DP11","Shizurow","Promo",,"395",,"https://images.pokemontcg.io/dpp/DP11.png","https://images.pokemontcg.io/dpp/DP11_hires.png","Legal",,,"Colorless, Colorless","2","Supreme Command","Once during your turn (before your attack), you may choose up to 2 cards from your opponent's hand without looking and put them face down next to the Defending Pokemon. (These cards are not in play or in your opponent's hand.) At the end of your opponent's next turn, return those cards to your opponent's hand. This power can't be used if Empoleon is affected by a Special Condition.","Poke-Power","","","","Hydro Impact","Water, Water, Water","3","","Choose 1 of your opponent's Pokemon. This attack does 80 damage to that Pokemon (Don't apply Weakness and Resistance for Benched Pokemon.) Empoleon can't attack during your next turn.","","","","","","Lightning","+30"
"dpp-DP12","Lucario LV.X","Pokemon","110","Fighting","","Lucario","DP12","Ryo Ueda","Promo",,"448",,"https://images.pokemontcg.io/dpp/DP12.png","https://images.pokemontcg.io/dpp/DP12_hires.png","Legal",,,"Colorless","1","Stance","Once during your turn (before your attack), when you put Lucario LV.X from your hand onto your Active Lucario, you may use this power. Prevent all effects of an attack, including damage, done to Lucario during your opponent's next turn. (If Lucario is no longer your Active Pokemon, this effect ends.)","Poke-Power","","","","Close Combat","Fighting, Fighting, Colorless","3","80","During your opponent's next turn, any damage done to Lucario by attacks is increased by 30 (after applying Weakness and Resistance).","","","","","","Psychic","x2"
"dpp-DP13","Buizel","Pokemon","60","Water","Floatzel",,"DP13","Mitsuhiro Arita","Promo","It has a flotation sac that is like an inflatable collar. It floats on water with its head out.","418",,"https://images.pokemontcg.io/dpp/DP13.png","https://images.pokemontcg.io/dpp/DP13_hires.png","Legal",,,"Colorless","1","","","","","","","Splash About","Water","1","10+","If Buizel has less Energy attached to it than the Defending Pokemon, this attack does 10 damage plus 10 more damage.","","","","","","Lightning","+10"
"dpp-DP14","Chatot","Pokemon","60","Colorless","",,"DP14","Masakazu Fukuda","Promo","It can learn and speak human words. If they gather, they all learn the same saying.","441",,"https://images.pokemontcg.io/dpp/DP14.png","https://images.pokemontcg.io/dpp/DP14_hires.png","Legal",,,"Colorless","1","","","","","","","Me First","Colorless","1","","Draw a card.","Tone-Deaf","Colorless","1","10","Flip a coin. If heads, the Defending Pokemon is now Confused.","Lightning","+10"
"dpp-DP15","Shinx","Pokemon","60","Lightning","Luxio",,"DP15","Kagemaru Himeno","Promo","All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.","403",,"https://images.pokemontcg.io/dpp/DP15.png","https://images.pokemontcg.io/dpp/DP15_hires.png","Legal",,,"Colorless","1","","","","","","","Spark","Lightning","1","10","Does 10 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fighting","+10"
"dpp-DP16","Pikachu","Pokemon","60","Lightning","Raichu",,"DP16","Sumiyoshi Kizuki","Promo","It lives in forests with others. It stores electricity in the pouches on its cheeks.","25",,"https://images.pokemontcg.io/dpp/DP16.png","https://images.pokemontcg.io/dpp/DP16_hires.png","Legal",,,"Colorless","1","Electro Recycle","Once during your turn (before your attack), if Pichu is anywhere under Pikachu, you may search your discard pile for a Lightning Energy card, show it to your opponent, and put it into your hand. This power can't be used if Pikachu is affected by a Special Condition.","Poke-Power","","","","BikaBika","Lightning, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 10 more damage.","","","","","","Fighting","+10"
"dpp-DP17","Dialga LV.X","Pokemon","110","Metal","","Dialga","DP17","Ryo Ueda","Promo",,"483",,"https://images.pokemontcg.io/dpp/DP17.png","https://images.pokemontcg.io/dpp/DP17_hires.png","Legal",,,"Colorless, Colorless","2","Time Skip","Once during your turn (before your attack), you may have your opponent flip 2 coins. If both of them are heads, your turn ends. If both of them are tails, after your opponent draws a card at the beginning of his or her next turn, his or her turn ends. This power can't be used if Dialga is affected by a Special Condition.","Poke-Power","","","","Metal Flash","Metal, Metal, Colorless, Colorless","4","80","During your next turn, Dialga can't use Metal Flash.","","","","","","Fire","x2"
"dpp-DP18","Palkia LV.X","Pokemon","120","Water","","Palkia","DP18","Ryo Ueda","Promo",,"484",,"https://images.pokemontcg.io/dpp/DP18.png","https://images.pokemontcg.io/dpp/DP18_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Restructure","Once during your turn (before your attack), you may have your opponent switch 1 of your Active Pokemon with 1 of your Benched Pokemon. Then, you switch 1 of the Defending Pokemon with 1 of your opponent's Benched Pokemon. This power can't be used if Palkia is affected by a Special Condition.","Poke-Power","","","","Hydro Reflect","Water, Water, Water","3","60","You may move all Energy cards attached to Palkia to your Benched Pokemon in any way you like. (Ignore this effect if you don't have any Benched Pokemon.)","","","","","","Lightning","x2"
"dpp-DP19","Darkrai LV.X","Pokemon","100","Darkness","","Darkrai","DP19","Shizurow","Promo",,"491",,"https://images.pokemontcg.io/dpp/DP19.png","https://images.pokemontcg.io/dpp/DP19_hires.png","Legal",,,"Colorless","1","Dark Shadow","Each basic Darkness Energy card attached to your Darkness Pokemon now has the effect ""If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon (before applying Weakness and Resistance)."" You can't use more than 1 Dark Shadow Poke-Body each turn.","Poke-Body","","","","Endless Darkness","Darkness, Darkness, Colorless","3","40","The Defending Pokemon is now Asleep. Flip 2 coins instead of 1 between turns. If either of them is tails, the Defending Pokemon is still Asleep. If both of them are tails, the Defending Pokemon is Knocked Out.","","","","","","Fighting","x2"
"dpp-DP20","Magmortar","Pokemon","100","Fire","","Magmar","DP20","Daisuke Ito","Promo","It blasts fireballs of over 3,600 degrees F from the ends of its arms. It lives in volcanic craters.","467",,"https://images.pokemontcg.io/dpp/DP20.png","https://images.pokemontcg.io/dpp/DP20_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Smoke Bomb","Fire, Colorless","2","30","If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","Flame Drum","Fire, Fire, Colorless","3","80","If Magby isn't anywhere under Magmortar, discard 2 Energy cards from your hand. (If you can't discard 2 Energy cards from your hand, this attack does nothing.)","Water","+30"
"dpp-DP21","Raichu","Pokemon","90","Lightning","","Pikachu","DP21","Daisuke Ito","Promo","It turns aggressive if it has too much electricity in its body. It discharges power through its tail.","26",,"https://images.pokemontcg.io/dpp/DP21.png","https://images.pokemontcg.io/dpp/DP21_hires.png","Legal",,,"Colorless","1","","","","","","","Electromagnetic Induction","","0","","Search your deck for up to 2 Lightning Energy cards and attach them to 1 of your Pokemon. Shuffle your deck afterward.","Explosive Thunder","Lightning, Colorless","2","30x","Discard all basic Lightning Energy cards attached to Raichu. This attack does 30 damage times the number of Lightning Energy cards you discarded.","Fighting","+20"
"dpp-DP22","Mime Jr.","Pokemon","40","Psychic","",,"DP22","Mitsuhiro Arita","Promo","It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokemon.","439",,"https://images.pokemontcg.io/dpp/DP22.png","https://images.pokemontcg.io/dpp/DP22_hires.png","Legal",,,"Colorless","1","Baby Evolution","Once during your turn (before your attack), you may put Mr. Mime from your hand onto Mime Jr. (this counts as evolving Mime Jr.) and remove all damage counters from Mime Jr.","Poke-Power","","","","Mime","Psychic","1","","Shuffle your hand into your deck. Then, draw a number of cards equal to the number of cards in your opponent's hand.","","","","","","Psychic","+10"
"dpp-DP23","Glameow","Pokemon","50","Colorless","Purugly",,"DP23","Mitsuhiro Arita","Promo","It claws if displeased and purrs when affectionate. Its fickleness if very popular among some.","431",,"https://images.pokemontcg.io/dpp/DP23.png","https://images.pokemontcg.io/dpp/DP23_hires.png","Legal",,,"Colorless","1","","","","","","","Charm","Colorless","1","","During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).","Pose","Colorless, Colorless","2","30","Flip a coin. If tails, this attack does nothing.","Fighting","+10"
"dpp-DP24","Darkrai","Pokemon","80","Darkness","",,"DP24","Kouki Saitou","Promo",,"491",,"https://images.pokemontcg.io/dpp/DP24.png","https://images.pokemontcg.io/dpp/DP24_hires.png","Legal",,,"Colorless","1","","","","","","","Spacial Rend","Water","1","10","Search your deck for a Stadium card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. If there is any Stadium card in play, discard it.","Roar of Time","Metal, Metal, Metal","3","80","Search your discard pile for 3 Pokemon, show them to your opponent, and put them on top of your deck. Shuffle your deck afterward. (If you don't have 3 Pokemon in your discard pile, this attack does nothing.)","Fighting","+20"
"dpp-DP25","Tropical Wind","Trainer",,"","",,"DP25","Sumiyoshi Kizuki","Promo",,"",,"https://images.pokemontcg.io/dpp/DP25.png","https://images.pokemontcg.io/dpp/DP25_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","","",,
"dpp-DP26","Dialga","Pokemon","90","Metal","",,"DP26","Kazuyuki Kano","Promo","It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.","483",,"https://images.pokemontcg.io/dpp/DP26.png","https://images.pokemontcg.io/dpp/DP26_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Time Bellow","Metal","1","10","Draw a card.","Flash Cannon","Metal, Metal, Colorless","3","40","You may return all Energy cards attached to Dialga to your hand. If you do, remove the highest Stage Evolution card from the Defending Pokemon and shuffle that card into your opponent's deck.","Fire","+20"
"dpp-DP27","Palkia","Pokemon","90","Water","",,"DP27","Daisuke Ito","Promo","It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.","484",,"https://images.pokemontcg.io/dpp/DP27.png","https://images.pokemontcg.io/dpp/DP27_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Spacial Rend","Water","1","10","Search your deck for a Stadium card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. If there is any Stadium card in play, discard it.","Transback","Water, Water, Colorless","3","40","You may flip a coin. If heads, discard all Energy attached to Palkia and put the Defending Pokemon and all cards attached to it on top of your opponent's deck. Your opponent shuffles his or her deck afterward.","Lightning","+20"
"dpp-DP28","Mewtwo LV.X","Pokemon","120","Psychic","","Mewtwo","DP28","Shizurow","Promo",,"150",,"https://images.pokemontcg.io/dpp/DP28.png","https://images.pokemontcg.io/dpp/DP28_hires.png","Legal",,,"Colorless, Colorless","2","Psybarrier","Prevent all effects of attacks, including damage, done to Mewtwo by your opponent's Pokemon that isn't an Evolved Pokemon.","Poke-Body","","","","Giga Burn","Psychic, Psychic, Colorless","3","120","Discard all Energy attached to Mewtwo.","","","","","","Psychic","x2"
"dpp-DP29","Rhyperior LV.X","Pokemon","170","Fighting","","Rhyperior","DP29","Ryo Ueda","Promo",,"464",,"https://images.pokemontcg.io/dpp/DP29.png","https://images.pokemontcg.io/dpp/DP29_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Hard Crush","","0","50x","Discard the top 5 cards from your deck. This attack does 50 damage for each Energy card you discarded.","Upthrow","Fighting, Fighting, Colorless","3","60","Search your discard pile for all Fighting Energy cards, show them to your opponent, and shuffle them into your deck.","Water","x2"
"dpp-DP30","Regigigas LV.X","Pokemon","150","Colorless","","Regigigas","DP30","Shizurow","Promo",,"486",,"https://images.pokemontcg.io/dpp/DP30.png","https://images.pokemontcg.io/dpp/DP30_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","Sacrifice","Once during your turn (before your attack), you may choose 1 of your Pokemon in play and that Pokemon is Knocked Out. Then, search your discard pile for up to 2 basic Energy cards, attach them to Regigigas, and remove 8 damage counters from Regigigas. This power can't be used if Regigigas is affected by a Special Condition.","Poke-Power","","","","Giga Blaster","Water, Fighting, Metal, Colorless","4","100","Discard the top card from your opponent's deck. Then, choose 1 card from your opponent's hand without looking and discard it. Regigigas can't use Giga Blaster during your next turn.","","","","","","Fighting","x2"
"dpp-DP31","Heatran LV.X","Pokemon","120","Fire","","Heatran","DP31","Shizurow","Promo",,"485",,"https://images.pokemontcg.io/dpp/DP31.png","https://images.pokemontcg.io/dpp/DP31_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","Heat Metal","Your opponent can't remove the Special Condition Burned by evolving or devolving his or her Burned Pokemon. (This also includes putting a Pokemon Level-Up card onto the Burned Pokemon.) Whenever your opponent flips a coin for the Special Condition Burned between turns, treat it as tails.","Poke-Body","Heat Wave","Once at the end of your turn, if Heatran is on your Bench, you may use this power. If you discarded basic Energy cards attached to your Fire or Metal Active Pokemon by using that Pokemon's attack this turn, attach up to 2 of those Energy cards to that Pokemon.","Poke-Power","","","","","","","","","","","Water","x2"
"dpp-DP32","Magnezone","Pokemon","130","Metal","","Magneton","DP32","Kent Kanetsuna","Promo","It evolved from exposure to a special magnetic field. Three units generate magnetism.","462",,"https://images.pokemontcg.io/dpp/DP32.png","https://images.pokemontcg.io/dpp/DP32_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Mirror Shot","Metal, Colorless","2","40","If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","Magnet Slash","Lightning, Metal, Colorless, Colorless","4","100","Discard all Lightning Energy attached to Magnezone.","Fire","+30"
"dpp-DP33","Dusknoir","Pokemon","130","Psychic","","Dusclops","DP33","Kent Kanetsuna","Promo","The antenna on its head captures radio waves from the world of spirits that command it to take people there.","477",,"https://images.pokemontcg.io/dpp/DP33.png","https://images.pokemontcg.io/dpp/DP33_hires.png","Legal",,,"Colorless, Colorless","2","Dark Hide","Once during your turn (before your attack), you may flip a coin. If heads, look at your opponent's hand, choose a Pokemon you find there, and put it on the bottom of his or her deck. This power can't be used if Dusknoir is affected by a Special Condition.","Poke-Power","","","","Reaper Pulse","Psychic, Psychic, Colorless","3","70","Move up to 2 damage counters from Dusknoir to 1 of your opponent's Benched Pokemon.","","","","","","Darkness","+30"
"dpp-DP34","Drifblim","Pokemon","80","Psychic","","Drifloon","DP34","Mitsuhiro Arita","Promo","It's drowzy in daytime, but flies off in the evening in big groups. No one knows where they go.","426",,"https://images.pokemontcg.io/dpp/DP34.png","https://images.pokemontcg.io/dpp/DP34_hires.png","Legal",,,"",,"","","","","","","Wind Wave","Colorless","1","","Search your discard pile for up to 5 in any combination of Pokemon and Supporter cards. Show them to your opponent and shuffle them into your deck.","Explosive Smoke","Psychic, Psychic, Psychic","3","60","Does 10 damage to each Benched Pokemon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.)","Darkness","+20"
"dpp-DP35","Porygon-Z","Pokemon","120","Colorless","","Porygon2","DP35","Kagemaru Himeno","Promo",,"474",,"https://images.pokemontcg.io/dpp/DP35.png","https://images.pokemontcg.io/dpp/DP35_hires.png","Legal",,,"Colorless, Colorless","2","Install","As often as you like during your turn (before your attack), move a Technical Machine card attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Porygon-Z is affected by a Special Condition.","Poke-Power","","","","Learning","","0","","Search your deck for a Pokemon LV.X that levels up from 1 of your Pokemon, and put it onto that Pokemon. (This counts as leveling up that Pokemon.) Shuffle your deck afterward.","Overload","Colorless, Colorless","2","40+","Does 40 damage plus 20 more damage for each Technical Machine card attached to Porygon-Z.","Fighting","+30"
"dpp-DP36","Gliscor","Pokemon","90","Fighting","","Gligar","DP36","Kagemaru Himeno","Promo",,"472",,"https://images.pokemontcg.io/dpp/DP36.png","https://images.pokemontcg.io/dpp/DP36_hires.png","Legal",,,"",,"Bind Eye","As long as Gliscor is your Active Pokemon, your opponent can't remove any Special Conditions by evolving or devolving his or her Pokemon. (This also includes putting a Pokemon Level-Up card onto that Pokemon.)","Poke-Body","","","","Cutting Turn","Colorless","1","","Flip a coin. If heads, put damage counters on the Defending Pokemon until it is 10HP away from being Knocked Out. If you do, shuffle Gliscor and all cards attached to it back into your deck.","Friction Heat","Fighting","1","20","The Defending Pokemon is now Burned.","Water","+20"
"dpp-DP37","Dialga LV.X","Pokemon","110","Metal","","Dialga","DP37","Ryo Ueda","Promo",,"483",,"https://images.pokemontcg.io/dpp/DP37.png","https://images.pokemontcg.io/dpp/DP37_hires.png","Legal",,,"Colorless, Colorless","2","Time Skip","Once during your turn (before your attack), you may have your opponent flip 2 coins. If both of them are heads, your turn ends. If both of them are tails, after your opponent draws a card at the beginning of his or her next turn, his or her turn ends. This power can't be used if Dialga is affected by a Special Condition.","Poke-Power","","","","Metal Flash","Metal, Metal, Colorless, Colorless","4","80","During your next turn, Dialga can't use Metal Flash.","","","","","","Fire","x2"
"dpp-DP38","Giratina LV.X","Pokemon","130","Psychic","","Giratina","DP38","Shizurow","Promo",,"487",,"https://images.pokemontcg.io/dpp/DP38.png","https://images.pokemontcg.io/dpp/DP38_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Invisible Tentacles","Whenever your opponent's Pokemon tries to attack, your opponent discards 1 card from his or her hand. (If your opponent can't discard 1 card, your opponent's Pokemon can't attack.) You can't use more than 1 Invisible Tentacles Poke-Body each turn.","Poke-Body","","","","Darkness Lost","Psychic, Psychic, Colorless, Colorless","4","","This attack does 30 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) If any of your opponent's Pokemon would be Knocked Out by damage from this attack, put that Pokemon and all cards attached to it in the Lost Zone instead of discarding it.","","","","","","Darkness","x2"
"dpp-DP39","Shaymin LV.X","Pokemon","110","Grass","","Shaymin","DP39","Shizurow","Promo",,"492",,"https://images.pokemontcg.io/dpp/DP39.png","https://images.pokemontcg.io/dpp/DP39_hires.png","Legal",,,"",,"Revenge Seed","If any of your Grass Pokemon were Knocked Out by damage from an opponent's attack during his or her last turn, each of Shaymin's attacks does 60 more damage to the Active Pokemon (before applying Weakness and Resistance).","Poke-Body","","","","Energy Flare","Grass, Colorless","2","50","You may move any number of Energy cards attached to your Pokemon to your other Pokemon in any way you like.","","","","","","Fire","x2"
"dpp-DP40","Regigigas","Pokemon","100","Colorless","",,"DP40","Kagemaru Himeno","Promo","There is an enduring legend that states this Pokemon towed continents with ropes.","486",,"https://images.pokemontcg.io/dpp/DP40.png","https://images.pokemontcg.io/dpp/DP40_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Drag Off","Colorless, Colorless, Colorless","3","30","Before doing damage, you may choose 1 of your opponent's Benched Pokemon and switch it with the Defending Pokemon.","Giga Hammer","Colorless, Colorless, Colorless, Colorless","4","80","Regigigas can't use Giga Hammer during your next turn.","Fighting","x2"
"dpp-DP41","Toxicroak G","Pokemon","90","Fighting","",,"DP41","Ryota Saito","Promo",,"454",,"https://images.pokemontcg.io/dpp/DP41.png","https://images.pokemontcg.io/dpp/DP41_hires.png","Legal",,,"Colorless, Colorless","2","Leap Away","Once during your turn (before your attack), if Toxicroak G is your Active Pokemon, you may flip a coin. If heads, return Toxicroak G and all cards attached to it to your hand. This power can't be used if Toxicroak G is affected by a Special Condition.","Poke-Power","","","","Poison Revenge","Psychic, Colorless","2","20+","If any of your Pokemon were Knocked Out by damage from an opponent's attack during his or her last turn, this attack does 20 damage plus 40 more damage and the Defending Pokemon is now Poisoned.","","","","","","Psychic","x2"
