"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"dv1-1","Dratini","Pokemon","40","Dragon","Dragonair",,"1","Masakazu Fukuda","Rare Holo","It is called the ""Mirage Pokemon"" because so few have seen it. Its shed skin has been found.","147",,"https://images.pokemontcg.io/dv1/1.png","https://images.pokemontcg.io/dv1/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Wrap","Grass, Lightning","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","","","","","","Dragon","x2"
"dv1-2","Dratini","Pokemon","40","Dragon","Dragonair",,"2","Naoki Saito","Rare Holo","It is called the ""Mirage Pokemon"" because so few have seen it. Its shed skin has been found.","147",,"https://images.pokemontcg.io/dv1/2.png","https://images.pokemontcg.io/dv1/2_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Hypnotic Gaze","Grass","1","","The Defending Pokemon is now Asleep.","Tail Whap","Lightning","1","10","","Dragon","x2"
"dv1-3","Dragonair","Pokemon","70","Dragon","Dragonite","Dratini","3","Hajime Kusajima","Rare Holo","If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.","148",,"https://images.pokemontcg.io/dv1/3.png","https://images.pokemontcg.io/dv1/3_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Tail Whap","Colorless, Colorless","2","20","","Dragon Pulse","Grass, Lightning, Colorless","3","70","Discard the top card of your deck.","Dragon","x2"
"dv1-4","Dragonair","Pokemon","70","Dragon","Dragonite","Dratini","4","Kagemaru Himeno","Rare Holo","If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.","148",,"https://images.pokemontcg.io/dv1/4.png","https://images.pokemontcg.io/dv1/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Healing Melody","Grass","1","","Heal 10 damage from each of your Pokemon.","Slam","Lightning, Colorless","2","30x","Flip 2 coins. This attack does 30 damage times the number of heads.","Dragon","x2"
"dv1-5","Dragonite","Pokemon","150","Dragon","","Dragonair","5","Mitsuhiro Arita","Rare Holo","It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.","149",,"https://images.pokemontcg.io/dv1/5.png","https://images.pokemontcg.io/dv1/5_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Hyper Beam","Lightning, Colorless, Colorless","3","50","Flip a coin. If heads, discard an Energy attached to the Defending Pokemon.","Hurricane Tail","Grass, Colorless, Colorless, Colorless","4","60x","Flip 4 coins. This attack does 60 damage times the number of heads.","Dragon","x2"
"dv1-6","Bagon","Pokemon","50","Dragon","Shelgon",,"6","Kouki Saitou","Rare Holo","Dreaming of one day flying, it practices by leaping off cliffs every day.","371",,"https://images.pokemontcg.io/dv1/6.png","https://images.pokemontcg.io/dv1/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Headbutt","Colorless","1","10","","Dragon Claw","Fire, Water","2","20","","Dragon","x2"
"dv1-7","Shelgon","Pokemon","80","Dragon","Salamence","Bagon","7","Akira Komayama","Rare Holo","Within its rugged shell, its cells have begun changing. The shell peels off the instant it evolves.","372",,"https://images.pokemontcg.io/dv1/7.png","https://images.pokemontcg.io/dv1/7_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Knock Away","Colorless","1","10+","Flip a coin. If heads, this attack does 20 more damage.","Rollout","Fire, Water, Colorless","3","50","","Dragon","x2"
"dv1-8","Salamence","Pokemon","140","Dragon","","Shelgon","8","BERUBURI","Rare Holo","As a result of its long-held dream of flying, its cellular structure changed, and wings grew out.","373",,"https://images.pokemontcg.io/dv1/8.png","https://images.pokemontcg.io/dv1/8_hires.png","Legal",,"Legal","Colorless, Colorless","2","Scornful Storm","Once during your turn (before your attack), you may have your opponent discard cards from his or her hand until he or she has 4 cards left in his or her hand.","Ability","","","","Shred","Fire, Water, Colorless, Colorless","4","90","This attack's damage isn't affected by any effects on the Defending Pokemon.","","","","","","Dragon","x2"
"dv1-9","Latias","Pokemon","100","Dragon","",,"9","Hideaki Hakozaki","Rare Holo","Its body is covered in a down that can refract light in such a way that it becomes invisible.","380",,"https://images.pokemontcg.io/dv1/9.png","https://images.pokemontcg.io/dv1/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Energy Assist","Colorless","1","","Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon.","Sky Heal","Fire, Psychic","2","40","If Latios is on your Bench, heal 20 damage from this Pokemon.","Dragon","x2"
"dv1-10","Latios","Pokemon","100","Dragon","",,"10","Ryo Ueda","Rare Holo","A highly intelligent Pokemon. By folding back its wings in flight, it can overtake jet planes.","381",,"https://images.pokemontcg.io/dv1/10.png","https://images.pokemontcg.io/dv1/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Sky Blade","Water, Colorless","2","20+","If Latias is on your Bench, this attack does 20 more damage.","Speed Wing","Psychic, Colorless, Colorless","3","60","","Dragon","x2"
