"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ex12-1","Aerodactyl","Pokemon","70","Colorless","Rare Holo","","0","Reactive Protection","Any damage done to Aerodactyl by attacks from your opponent's Pokemon is reduced by 10 for each React Energy card attached to Aerodactyl (after applying Weakness and Resistance).","Power Blow","Colorless","1","10+","Does 10 damage plus 10 more damage for each Energy attached to Aerodactyl.","Speed Stroke","Colorless, Colorless, Colorless","3","40","During your opponent's next turn, prevent all effects, including damage, done to Aerodactyl by attacks from your opponent's Pokemon-ex.","Lightning","x2"
"ex12-2","Aggron","Pokemon","110","Metal","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","","","Heavy Blow","Fighting, Colorless, Colorless","3","70-","Does 70 damage minus 10 damage for each damage counter on Aggron. If Aggron has any React Energy cards attached to it, this attack does 70 damage instead.","Bound Crush","Fighting, Metal, Colorless, Colorless","4","","Choose 1 of your opponent's Pokemon. This attack does 60 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) During your next turn, Aggron can't use Bound Crush.","Fire","x2"
"ex12-3","Cradily","Pokemon","100","Grass","Rare Holo","Colorless, Colorless","2","","","Devolution Wave","Colorless, Colorless","2","","Count the number of React Energy cards attached to Cradily and choose up to that number of your opponent's Evolved Pokemon. Remove the highest Stage Evolution card from each of those Pokemon, then have your opponent shuffle those cards into his or her deck.","Linear Attack","Grass, Colorless","2","","Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fire","x2"
"ex12-4","Delcatty","Pokemon","80","Colorless","Rare Holo","Colorless","1","Reactive Shift","Once during your turn (before your attack), you may move a React Energy card attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Delcatty is affected by a Special Condition.","Energy Link","Colorless","1","20","Search your discard pile for an Energy card and attach it to Delcatty.","Tail Whap","Colorless, Colorless, Colorless","3","40","","Fighting","x2"
"ex12-5","Gengar","Pokemon","100","Psychic","Rare Holo","Colorless","1","Shadow Curse","If Gengar would be Knocked Out by damage from an opponent's attack, you may put 3 damage counters on 1 of your opponent's Pokemon.","Cursed Reaction","Psychic","1","","Put 2 damage counters on your opponent's Pokemon in any way you like. If Gengar has any React Energy cards attached to it, put 4 damage counters instead.","Super Psy Bolt","Psychic, Psychic, Colorless","3","60","","Darkness","x2"
"ex12-6","Golem","Pokemon","120","Fighting","Rare Holo","Colorless, Colorless, Colorless","3","","","Mend","Colorless","1","","Search your discard pile for a Fighting Energy card and attach it to Golem. If you do, remove 2 damage counters from Golem.","Enraged Linear Attack","Fighting, Colorless","2","","Choose 1 of your opponent's Pokemon. This attack does 10 damage for each damage counter on Golem to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Water","x2"
"ex12-7","Kabutops","Pokemon","110","Fighting","Rare Holo","Colorless, Colorless","2","Ancient Shell","As long as you have Omanyte or Omastar in play, damage done to Kabutops by attacks is reduced by 20 (after applying Weakness and Resistance).","Energy Stream","Fighting","1","30","Search your discard pile for a basic Energy card and attach it to Kabutops.","Extra Claws","Fighting, Colorless, Colorless","3","50+","If the Defending Pokemon is Pokemon-ex, this attack does 50 damage plus 30 more damage.","Grass","x2"
"ex12-8","Lapras","Pokemon","80","Water","Rare Holo","Colorless, Colorless","2","Support Navigation","Once during your turn, when you put Lapras onto your Bench from your hand, you may search your deck for a Supporter card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Surf","Water, Colorless","2","30","","","","","","","Lightning","x2"
"ex12-9","Machamp","Pokemon","120","Fighting","Rare Holo","Colorless, Colorless","2","","","Derail","Fighting, Colorless","2","40","Discard a Special Energy card, if any, attached to the Defending Pokemon.","Swift Blow","Fighting, Colorless, Colorless","3","60+","Does 60 damage plus 20 damage for each React Energy card attached to Machamp.","Psychic","x2"
"ex12-10","Mew","Pokemon","70","Psychic","Rare Holo","Colorless","1","Type Change","Once during your turn (before your attack), you may choose 1 of the Defending Pokemon. Mew is the same type as that Pokemon (all if that Pokemon is more than 1 type) until the end of your turn. This power can't be used if Mew is affected by a Special Condition.","Link Blast","Psychic, Colorless","2","50","If Mew and the Defending Pokemon have a different amount of Energy attached to them, this attack's base damage is 20 instead of 50.","","","","","","Psychic","x2"
"ex12-11","Muk","Pokemon","70","Grass","Rare Holo","Colorless, Colorless","2","Stench","As long as Muk is your Active Pokemon, each player's Pokemon can't use any Poke-Powers.","Poison Ring","Grass, Colorless","2","20","The Defending Pokemon is now Poisoned. The Defending Pokemon can't retreat during your opponent's next turn.","Sludge Toss","Grass, Colorless, Colorless","3","50","","Psychic","x2"
"ex12-12","Shiftry","Pokemon","110","Darkness","Rare Holo","Colorless","1","Evolutionary Fan","Once during your turn, when you play Shiftry from your hand to evolve 1 of your Pokemon, you may choose 1 of your Evolved Pokemon in play (excluding any Shiftry). Return that Pokemon and all cards attached to it to your hand.","Reactive Beating","Colorless, Colorless","2","30","If Shiftry has any React Energy cards attached to it, the Defending Pokemon is now Confused.","Cross-Cut","Darkness, Colorless, Colorless","3","40+","If the Defending Pokemon is an Evolved Pokemon, this attack does 40 damage plus 30 more damage.","Fighting","x2"
"ex12-13","Victreebel","Pokemon","100","Grass","Rare Holo","Colorless, Colorless","2","Nectar Pod","Once during your turn (before your attack), you may switch 1 of your opponent's Benched Stage 2 Evolved Pokemon with 1 of the Defending Pokemon. Your opponent chooses the Defending Pokemon to switch. This power can't be used if Victreebel is affected by a Special Condition.","Sleep Poison","Grass, Colorless","2","10","The Defending Pokemon is now Asleep and Poisoned.","Sharp Leaf","Grass, Colorless, Colorless","3","40+","Flip a coin. If heads, this attack does 40 damage plus 30 more damage.","Fire","x2"
"ex12-14","Wailord","Pokemon","120","Water","Rare Holo","Colorless, Colorless, Colorless, Colorless","4","Reactive Lift","As long as Wailord has any React Energy cards attached to it, the Retreat Cost for each of your Water Pokemon (excluding Pokemon-ex) is 0.","Hypno Splash","Water, Water, Colorless","3","40","The Defending Pokemon is now Asleep.","Rely on Friends","Water, Water, Colorless, Colorless","4","40+","Does 40 damage plus 10 more damage for each of your Benched Stage 1 Evolved Pokemon.","Lightning","x2"
"ex12-15","Absol","Pokemon","70","Darkness","Rare","Colorless","1","Shining Horn","As long as Absol is the only Pokemon you have in play, your opponent's Basic Pokemon can't attack.","Extra Call","Colorless","1","","Search your deck for a Pokemon-ex, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Feint Attack","Darkness, Colorless","2","","Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.","Fighting","x2"
"ex12-16","Girafarig","Pokemon","70","Psychic","Rare","Colorless","1","Rear Sensor","Each player's Active Basic Pokemon (excluding Pokemon-ex) can't use any Poke-Powers.","Foresight","Colorless","1","","Look at the top 5 cards on either player's deck and put them back on top of that player's deck in any order you like.","Disorder","Psychic, Colorless","2","20","If the Defending Pokemon has any Special Energy cards attached to it, the Defending Pokemon is now Confused.","Psychic","x2"
"ex12-17","Gorebyss","Pokemon","70","Water","Rare","","0","Reactive Booster","Each React Energy card attached to all of your Huntail and Gorebyss provides 2 Energy of every type but has no effect other than providing Energy.","Hydro Pump","Water, Colorless","2","30+","Does 30 damage plus 20 more damage for each Water Energy attached to Gorebyss but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.","","","","","","Lightning","x2"
"ex12-18","Huntail","Pokemon","80","Water","Rare","Colorless","1","Reactive Generator","Once during your turn (before your attack), if Huntail has no React Energy cards attached to it, you may search your deck for a React Energy card and attach it to Huntail. Shuffle your deck afterward. This power can't be used if Huntail is affected by a Special Condition.","Bite Off","Water, Colorless, Colorless","3","40+","If the Defending Pokemon is Pokemon-ex, this attack does 40 damage plus 30 more damage.","","","","","","Lightning","x2"
"ex12-19","Lanturn","Pokemon","80","Lightning","Rare","Colorless, Colorless","2","Dual Armor","As long as Lanturn has any Water Energy attached to it, Lanturn is both Water and Lightning type.","Razor Fin","Lightning, Colorless","2","30","","Water Gun","Colorless, Colorless, Colorless","3","40+","Does 40 damage plus 20 more damage for each Water Energy attached to Lanturn but not used to pay for this attack's Energy cost. You can't add more then 40 damage in this way.","Fighting","x2"
"ex12-20","Lunatone","Pokemon","60","Psychic","Rare","Colorless","1","Sol Shade","As long as you have Solrock in play, each player's Fire Pokemon (excluding Pokemon-ex) can't use any Poke-Powers.","Moon Guidance","Colorless","1","","Search your deck for a Trainer card (excluding Supporter cards), show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Psyshock","Psychic","1","10","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Psychic","x2"
"ex12-21","Magmar","Pokemon","70","Fire","Rare","Colorless","1","Stages of Evolution","As long as Magmar is an Evolved Pokemon, all Energy attached to Magmar are Fire Energy instead of their usual types.","Linear Attack","Colorless","1","","Choose 1 of your opponent's Pokemon. This attack does 10 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Burning Sensation","Fire, Fire, Fire","3","40","If the Defending Pokemon already has any damage counters on it, the Defending Pokemon is now Burned.","Water","x2"
"ex12-22","Magneton","Pokemon","70","Lightning","Rare","Colorless","1","Reactive Recharge","If Magneton would be Knocked Out by damage from an opponent's attack, you may move any number of React Energy cards from Magneton to your Pokemon in any way you like.","Multiple Force","Lightning, Colorless","2","30+","If Magneton has any React Energy cards attached to it, this attack does 30 damage plus 10 more damage for each Magnemite and Magneton (both yours and your opponent's) in play.","Magnetic Blast","Lightning, Colorless, Colorless, Colorless","4","60","","Fighting","x2"
"ex12-23","Omastar","Pokemon","100","Water","Rare","Colorless","1","Ancient Fang","As long as you have Kabuto, Kabutops, or Kabutops ex in play, Omastar's attacks do 20 more damage to the Defending Pokemon (before applying Weakness and Resistance).","Drag Off","Colorless","1","10","Before doing damage, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon. Your opponent chooses the Defending Pokemon to switch.","Hydro Splash","Water, Colorless, Colorless","3","50","","Lightning","x2"
"ex12-24","Pinsir","Pokemon","70","Grass","Rare","Colorless","1","Shining Horn","As long as Pinsir is the only Pokemon you have in play, your opponent's Basic Pokemon can't attack.","Cry for Help","Colorless","1","","Search your deck for a Grass Pokemon (excluding Pokemon-ex), show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Overhead Toss","Grass, Colorless","2","30","Does 20 damage to 1 of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fire","x2"
"ex12-25","Solrock","Pokemon","70","Fighting","Rare","Colorless","1","Luna Shade","As long as you have Lunatone in play, each player's Colorless Pokemon (excluding Pokemon-ex) can't use any Poke-Powers.","Call for Family","Colorless","1","","Search your deck for a Lunatone and put it onto your Bench. Shuffle your deck afterward.","Hyper Beam","Fighting","1","","Flip a coin. If heads, discard an Energy card attached to the Defending Pokemon.","Grass","x2"
"ex12-26","Spinda","Pokemon","60","Colorless","Rare","Colorless","1","Pattern Distraction","As long as Spinda is your Active Pokemon, whenever your opponent's Basic Pokemon tries to attack, your opponent flips a coin. If tails, that attack does nothing. You can't use more than 1 Pattern Distraction Poke-Body each turn.","Whimsy Draw","Colorless","1","","Flip a coin until you get tails. For each heads, draw 2 cards.","Double-edge","Colorless, Colorless","2","30","Flip a coin. If tails, Spinda does 10 damage to itself.","Fighting","x2"
"ex12-27","Torkoal","Pokemon","80","Fire","Rare","Colorless, Colorless","2","","","Cry for Help","Colorless","1","","Search your deck for a Fire Pokemon (excluding Pokemon-ex), show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Fireworks","Fire, Colorless","2","30","Flip a coin. If tails, discard a Fire Energy attached to Torkoal.","Water","x2"
"ex12-28","Wobbuffet","Pokemon","80","Psychic","Rare","Colorless, Colorless","2","Stages of Evolution","As long as Wobbuffet is an Evolved Pokemon, your opponent pays Colorless more to retreat his or her Active Pokemon.","Grind","Colorless","1","10x","Does 10 damage times the amount of Energy attached to Wobbuffet.","Shadow Tag","Psychic, Psychic, Colorless","3","","Put 7 damage counters on the Defending Pokemon at the end of your opponent's next turn.","Psychic","x2"
"ex12-29","Anorith","Pokemon","70","Fighting","Uncommon","Colorless","1","","","Influence","Colorless","1","","Search your deck for Omanyte, Kabuto, Aerodactyl, Lileep, or Anorith and put up to 2 of them onto your Bench. Shuffle your deck afterward. Treat the new Benched Pokemon as Basic Pokemon.","Stretch Claws","Colorless, Colorless","2","20","If Anorith has any React Energy cards attached to it, this attack does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Grass","x2"
"ex12-30","Cascoon","Pokemon","70","Grass","Uncommon","Colorless, Colorless","2","Emerge","Once during your turn (before your attack), if Cascoon is your Active Pokemon, you may flip a coin. If heads, search your deck for a card that evolves from Cascoon and put it onto Cascoon. (This counts as evolving Cascoon.) Shuffle your deck afterward. This power can't be used if Cascoon is affected by a Special Condition.","Tackle","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"ex12-31","Dunsparce","Pokemon","50","Colorless","Uncommon","Colorless","1","Deadlock","As long as Dunsparce is your Active Pokemon, your opponent's Dunsparce can't attack.","Down Draw","Colorless","1","","Draw 2 cards from the bottom of your deck.","Tripping Turn","Colorless","1","","The Defending Pokemon is now Confused. You may switch Dunsparce with 1 of your Benched Pokemon.","Fighting","x2"
"ex12-32","Electrode","Pokemon","70","Lightning","Uncommon","","0","","","Supersonic","Colorless, Colorless","2","10","The Defending Pokemon is now Confused.","Tumbling Attack","Lightning, Colorless, Colorless","3","40+","Flip a coin. If heads, this attack does 40 damage plus 20 more damage.","Fighting","x2"
"ex12-33","Furret","Pokemon","80","Colorless","Uncommon","Colorless","1","","","Body Slam","Colorless, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Do the Wave","Colorless, Colorless, Colorless","3","10+","Does 10 damage plus 10 more for each of your Benched Pokemon.","Fighting","x2"
"ex12-34","Graveler","Pokemon","70","Fighting","Uncommon","Colorless, Colorless","2","Exoskeleton","Any damage done to Graveler by attacks is reduced by 10 (after applying Weakness and Resistance).","Rock Slide","Fighting, Colorless","2","20","Does 10 damage to 2 of your opponent's Benched Pokemon (1 if there is only 1). (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Water","x2"
