"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ex5-1","Banette","Pokemon","70","Psychic","","Shuppet","1","Midori Harada","Rare Holo",,"354",,"https://images.pokemontcg.io/ex5/1.png","https://images.pokemontcg.io/ex5/1_hires.png","Legal",,,"Colorless","1","","","","","","","Shadow Steal","Psychic","1","10+","Does 10 damage plus 20 more damage for each Special Energy card in your opponent's discard pile.","Darkness Chant","Psychic, Colorless","2","","Count the number of Basic Pokemon or Evolution cards in your discard pile. Put that many damage counters on the Defending Pokemon. You can't put more than 6 damage counters on the Defending Pokemon in this way.","Darkness","x2"
"ex5-2","Claydol","Pokemon","80","Psychic","","Baltoy","2","Kyoko Umemoto","Rare Holo",,"344",,"https://images.pokemontcg.io/ex5/2.png","https://images.pokemontcg.io/ex5/2_hires.png","Legal",,,"Colorless","1","Primal Pull","As long as Claydol is your Active Pokemon, each player's Evolved Pokemon pays Colorless more Energy to use its attacks.","Poke-Body","","","","Muddy Eye","Psychic","1","10x","Does 10 damage times the number of basic Energy cards attached to Claydol and the Defending Pokemon.","","","","","","Psychic","x2"
"ex5-3","Crobat","Pokemon","90","Grass","","Golbat","3","Midori Harada","Rare Holo",,"169",,"https://images.pokemontcg.io/ex5/3.png","https://images.pokemontcg.io/ex5/3_hires.png","Legal",,,"",,"","","","","","","Flutter Trick","Colorless","1","20","Flip a coin. If heads, look at your opponent's hand and choose 1 card. Your opponent discards the card you chose.","Triple Poison","Grass, Colorless","2","10","The Defending Pokemon is now Poisoned. Put 3 damage counters instead of 1 on the Defending Pokemon between turns.","Psychic","x2"
"ex5-4","Dark Celebi","Pokemon","70","Grass, Darkness","",,"4","Ken Ikuji","Rare Holo",,"251",,"https://images.pokemontcg.io/ex5/4.png","https://images.pokemontcg.io/ex5/4_hires.png","Legal",,,"Colorless","1","","","","","","","Dark Provide","Colorless","1","","Attach up to 1 Grass or Darkness Energy card from your hand to your Pokemon.","Leaf Poison","Grass, Darkness","2","20","The Defending Pokemon is now Poisoned.","Fire","x2"
"ex5-5","Electrode","Pokemon","70","Lightning","","Voltorb","5","Kyoko Umemoto","Rare Holo",,"101",,"https://images.pokemontcg.io/ex5/5.png","https://images.pokemontcg.io/ex5/5_hires.png","Legal",,,"Colorless","1","","","","","","","Swift","Lightning","1","30","This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.","Mass Destruction","Colorless, Colorless, Colorless","3","","Both Electrode and the Defending Pokemon are now Knocked Out. If Electrode has any Special Energy cards attached to it, this attack does nothing.","Fighting","x2"
"ex5-6","Exploud","Pokemon","120","Colorless","","Loudred","6","Tomokazu Komiya","Rare Holo",,"295",,"https://images.pokemontcg.io/ex5/6.png","https://images.pokemontcg.io/ex5/6_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Breaking Sound","Colorless","1","","Does 10 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Bass Control","Colorless, Colorless","2","","Does 30 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"ex5-7","Heracross","Pokemon","70","Grass","",,"7","Hajime Kusajima","Rare Holo",,"214",,"https://images.pokemontcg.io/ex5/7.png","https://images.pokemontcg.io/ex5/7_hires.png","Legal",,,"Colorless","1","","","","","","","Extra Draw","Colorless","1","","If your opponent has any Pokemon-ex in play, search your deck for up to 2 Grass Energy cards and attach them to Heracross. Shuffle your deck afterward.","Sonicboom","Grass, Grass, Colorless","3","50","This attack's damage isn't affected by Weakness or Resistance.","Fire","x2"
"ex5-8","Jirachi","Pokemon","70","Psychic, Metal","",,"8","Ryo Ueda","Rare Holo",,"385",,"https://images.pokemontcg.io/ex5/8.png","https://images.pokemontcg.io/ex5/8_hires.png","Legal",,,"Colorless","1","","","","","","","Make a Wish","Colorless","1","","Search your deck for a card that evolves from 1 of your Pokemon and put it on that Pokemon. (This counts as evolving that Pokemon.) If you do, put 1 damage counter on Jirachi. Shuffle your deck afterward.","Mind Bend","Psychic, Metal","2","30","Flip a coin. If heads, the Defending Pokemon is now Confused.","Fire","x2"
"ex5-9","Machamp","Pokemon","120","Fighting","","Machoke","9","Hajime Kusajima","Rare Holo",,"68",,"https://images.pokemontcg.io/ex5/9.png","https://images.pokemontcg.io/ex5/9_hires.png","Legal",,,"Colorless, Colorless","2","Overzealous","If your opponent has any Pokemon-ex in play, each of Machamp's attacks do 30 more damage to the Defending Pokemon.","Poke-Body","","","","Brick Smash","Fighting, Colorless","2","40","This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.","Cross Chop","Fighting, Colorless, Colorless, Colorless","4","60+","Flip a coin. If heads, this attack does 60 damage plus 30 more damage.","Psychic","x2"
"ex5-10","Medicham","Pokemon","80","Fighting","","Meditite","10","Atsuko Nishida","Rare Holo",,"308",,"https://images.pokemontcg.io/ex5/10.png","https://images.pokemontcg.io/ex5/10_hires.png","Legal",,,"Colorless","1","","","","","","","Meditate","Fighting, Colorless","2","20+","Does 20 damage plus 10 more damage for each damage counter on the Defending Pokemon.","Chakra Points","Fighting, Colorless, Colorless","3","10+","Does 10 damage plus 10 more damage for each card in your opponent's hand.","Psychic","x2"
"ex5-11","Metagross","Pokemon","100","Psychic, Metal","","Metang","11","Kouki Saitou","Rare Holo",,"376",,"https://images.pokemontcg.io/ex5/11.png","https://images.pokemontcg.io/ex5/11_hires.png","Legal",,,"Colorless, Colorless","2","Metal Juncture","As often as you like during your turn (before your attack), you may move a Metal Energy card attached to 1 of your Benched Pokemon to your Active Pokemon. This power can't be used if Metagross is affected by a Special Condition.","Poke-Power","","","","Squared Attack","Psychic, Metal, Colorless","3","30x","Flip 4 coins. This attack does 30 damage times the number of heads.","","","","","","Fire","x2"
"ex5-12","Milotic","Pokemon","100","Water","","Feebas","12","Atsuko Nishida","Rare Holo",,"350",,"https://images.pokemontcg.io/ex5/12.png","https://images.pokemontcg.io/ex5/12_hires.png","Legal",,,"Colorless, Colorless","2","Healing Shower","Once during your turn, when you play Milotic from your hand to evolve 1 of your Pokemon, you may remove all damage counters from all of your Pokemon and your opponent's Pokemon (excluding Pokemon-ex).","Poke-Power","","","","Wave Splash","Water, Colorless","2","30","","Distorted Wave","Water, Water, Colorless, Colorless","4","80","Before doing damage, remove 3 damage counters from the Defending Pokemon (all if there are less than 3).","Lightning","x2"
"ex5-13","Pinsir","Pokemon","70","Grass","",,"13","Hajime Kusajima","Rare Holo",,"127",,"https://images.pokemontcg.io/ex5/13.png","https://images.pokemontcg.io/ex5/13_hires.png","Legal",,,"Colorless","1","Crust","Any damage done to Pinsir by attacks from your opponent's Basic Pokemon is reduced by 30 (after applying Weakness and Resistance).","Poke-Body","","","","Sonicboom","Grass, Colorless","2","30","This attack's damage isn't affected by Weakness or Resistance.","","","","","","Fire","x2"
"ex5-14","Shiftry","Pokemon","110","Darkness","","Nuzleaf","14","Hisao Nakamura","Rare Holo",,"275",,"https://images.pokemontcg.io/ex5/14.png","https://images.pokemontcg.io/ex5/14_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Push Aside","Darkness, Colorless","2","30","Look at your opponent's hand and choose 1 Basic Pokemon or Evolution card you find there. Your opponent puts it at the bottom of his or her deck.","Supernatural Power","Colorless, Colorless, Colorless","3","40+","If you have the same number of cards in your hand as your opponent, this attack does 40 damage plus 40 more damage.","Fighting","x2"
"ex5-15","Walrein","Pokemon","120","Water","","Sealeo","15","Atsuko Nishida","Rare Holo",,"365",,"https://images.pokemontcg.io/ex5/15.png","https://images.pokemontcg.io/ex5/15_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Crush Draw","Once during your turn (before your attack), you may reveal the top card of your deck. If that card is a basic Energy card, attach it to 1 of your Pokemon. If not, put the card back on your deck. This power can't be used if Walrein is affected by a Special Condition.","Poke-Power","","","","Sheer Cold","Water, Water, Colorless","3","50","Flip a coin. If heads, each Defending Pokemon can't attack during your opponent's next turn.","","","","","","Metal","x2"
"ex5-16","Bellossom","Pokemon","100","Grass","","Gloom","16","Yuka Morii","Rare",,"182",,"https://images.pokemontcg.io/ex5/16.png","https://images.pokemontcg.io/ex5/16_hires.png","Legal",,,"Colorless, Colorless","2","Heal Dance","Once during your turn (before your attack), you may remove 2 damage counters from 1 of your Pokemon. You can't use more than 1 Heal Dance Poke-Power each turn. This power can't be used if Bellossom is affected by a Special Condition.","Poke-Power","","","","Miracle Powder","Grass","1","10","Flip a coin. If heads, choose 1 Special Condition. The Defending Pokemon is now affected by that Special Condition.","Solarbeam","Grass, Colorless, Colorless","3","50","","Fire","x2"
"ex5-17","Chimecho","Pokemon","60","Psychic","",,"17","Miki Tanaka","Rare",,"358",,"https://images.pokemontcg.io/ex5/17.png","https://images.pokemontcg.io/ex5/17_hires.png","Legal",,,"Colorless","1","","","","","","","Chime","Colorless","1","","Search your opponent's discard pile for a Supporter card and use the effect of that card as the effect of this attack. (The Supporter card remains in your opponent's discard pile.)","Psychic Boom","Psychic","1","10x","Does 10 damage times the amount of Energy attached to the Defending Pokemon.","Psychic","x2"
"ex5-18","Gorebyss","Pokemon","70","Water","","Clamperl","18","Kagemaru Himeno","Rare",,"368",,"https://images.pokemontcg.io/ex5/18.png","https://images.pokemontcg.io/ex5/18_hires.png","Legal",,,"",,"","","","","","","Stun Needle","Colorless","1","10","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Mystic Water","Water, Colorless","2","20+","Does 20 damage plus 10 more damage for each Psychic Energy in play.","Lightning","x2"
"ex5-19","Huntail","Pokemon","80","Water","","Clamperl","19","Kagemaru Himeno","Rare",,"367",,"https://images.pokemontcg.io/ex5/19.png","https://images.pokemontcg.io/ex5/19_hires.png","Legal",,,"Colorless","1","","","","","","","Bite","Colorless, Colorless","2","20","","Dark Splash","Water, Colorless, Colorless","3","40+","Does 40 damage plus 10 more damage for each Darkness Pokemon in play.","Lightning","x2"
"ex5-20","Masquerain","Pokemon","70","Grass","","Surskit","20","Toshinao Aoki","Rare",,"284",,"https://images.pokemontcg.io/ex5/20.png","https://images.pokemontcg.io/ex5/20_hires.png","Legal",,,"",,"","","","","","","Whirlwind","Colorless","1","20","Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.","Silver Wind","Grass, Colorless","2","30","During your next turn, if an attack does damage to the Defending Pokemon (after applying Weakness and Resistance), that attack does 30 more damage.","Lightning","x2"
"ex5-21","Metang","Pokemon","80","Metal","Metagross","Beldum","21","Mitsuhiro Arita","Rare",,"375",,"https://images.pokemontcg.io/ex5/21.png","https://images.pokemontcg.io/ex5/21_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Metal Load","Colorless","1","","Search your discard pile for a Metal Energy card and attach it to Metang.","Metal Claw","Metal, Colorless","2","30","","Fire","x2"
"ex5-22","Ninetales","Pokemon","70","Fire","","Vulpix","22","Toshinao Aoki","Rare",,"38",,"https://images.pokemontcg.io/ex5/22.png","https://images.pokemontcg.io/ex5/22_hires.png","Legal",,,"Colorless","1","Safeguard","Prevent all effects of attacks, including damage, done to Ninetales by your opponent's Pokemon-ex.","Poke-Body","","","","Quick Attack","Colorless, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 20 more damage.","Will-o'-the-wisp","Fire, Colorless, Colorless","3","50","","Water","x2"
