"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"g1-1","Venusaur-EX","Pokemon","180","Grass","M Venusaur-EX",,"1","Eske Yoshinob","Rare Holo EX",,"3",,"https://images.pokemontcg.io/g1/1.png","https://images.pokemontcg.io/g1/1_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Frog Hop","Grass, Colorless, Colorless","3","40+","Flip a coin. If heads, this attack does 40 more damage.","Poison Impact","Grass, Grass, Colorless, Colorless","4","80","Your opponent's Active Pokemon is now Asleep and Poisoned.","Fire","x2"
"g1-2","M Venusaur-EX","Pokemon","230","Grass","","Venusaur-EX","2","5ban Graphics","Rare Holo EX",,"3",,"https://images.pokemontcg.io/g1/2.png","https://images.pokemontcg.io/g1/2_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Bloom Buster","Grass, Grass, Colorless, Colorless","4","130","Flip a coin. If heads, this attack does 30 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fire","x2"
"g1-3","Caterpie","Pokemon","40","Grass","Metapod",,"3","Sumiyoshi Kizuki","Common","For protection, it releases a horrible stench from the antennae on its head to drive away enemies.","10",,"https://images.pokemontcg.io/g1/3.png","https://images.pokemontcg.io/g1/3_hires.png","Legal",,"Legal","Colorless","1","Adaptive Evolution","This Pokemon can evolve during your first turn or the turn you play it.","Ability","","","","Bug Bite","Grass","1","10","","","","","","","Fire","x2"
"g1-4","Metapod","Pokemon","70","Grass","Butterfree","Caterpie","4","kawayoo","Uncommon","A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.","11",,"https://images.pokemontcg.io/g1/4.png","https://images.pokemontcg.io/g1/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","Adaptive Evolution","This Pokemon can evolve during your first turn or the turn you play it.","Ability","","","","Harden","Colorless, Colorless","2","","During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less.","","","","","","Fire","x2"
"g1-5","Butterfree","Pokemon","130","Grass","","Metapod","5","miki kudo","Rare Holo","It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.","12",,"https://images.pokemontcg.io/g1/5.png","https://images.pokemontcg.io/g1/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Quiver Dance","Grass","1","","Search your deck for a basic Energy card and attach it to this Pokemon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokemon.","Gust","Grass, Colorless, Colorless","3","70","","Lightning","x2"
"g1-6","Paras","Pokemon","60","Grass","Parasect",,"6","Aya Kusube","Common","Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.","46",,"https://images.pokemontcg.io/g1/6.png","https://images.pokemontcg.io/g1/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Blot","Colorless","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"g1-7","Parasect","Pokemon","100","Grass","","Paras","7","Sumiyoshi Kizuki","Rare","The larger the mushroom on its back grows, the stronger the mushroom spores it scatters.","47",,"https://images.pokemontcg.io/g1/7.png","https://images.pokemontcg.io/g1/7_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Colorful Spores","Colorless","1","","Choose 3 of your Pokemon. For each of those Pokemon, search your deck for a different type of basic Energy card and attach it to that Pokemon. Shuffle your deck afterward.","X-Scissor","Grass, Colorless","2","30+","Flip a coin. If heads, this attack does 30 more damage.","Fire","x2"
"g1-8","Tangela","Pokemon","80","Grass","Tangrowth",,"8","match","Common","It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.","114",,"https://images.pokemontcg.io/g1/8.png","https://images.pokemontcg.io/g1/8_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Absorb","Grass, Colorless","2","20","Heal 20 damage from this Pokemon.","Vine Whip","Grass, Grass, Colorless","3","30","","Fire","x2"
"g1-9","Pinsir","Pokemon","100","Grass","",,"9","Satoshi Shirai","Rare","It swings its long antlers wildly to attack. During cold periods, it hides deep in forests.","127",,"https://images.pokemontcg.io/g1/9.png","https://images.pokemontcg.io/g1/9_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Overhead Throw","Grass","1","30","This attack does 20 damage to 1 of your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Heavy Suplex","Grass, Colorless, Colorless","3","40+","This attack does 20 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost.","Fire","x2"
"g1-10","Leafeon-EX","Pokemon","170","Grass","",,"10","Naoki Saito","Rare Holo EX",,"470",,"https://images.pokemontcg.io/g1/10.png","https://images.pokemontcg.io/g1/10_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Leaf Blade","Grass, Colorless","2","30+","Flip a coin. If heads, this attack does 30 more damage.","Nature's Breath","Grass, Grass, Colorless","3","90+","If there is any Stadium card in play, this attack does 30 more damage and heal 30 damage from this Pokemon.","Fire","x2"
