"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"hgss1-1","Arcanine","Pokemon","110","Fire","","Growlithe","1","Naoki Saito","Rare Holo","This legendary Chinese Pokemon is considered magnificent. Many people are enchanted by its grand mane.","59",,"https://images.pokemontcg.io/hgss1/1.png","https://images.pokemontcg.io/hgss1/1_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Sharp Fang","Fire, Colorless","2","50","","Fire Mane","Fire, Colorless, Colorless, Colorless","4","90","","Water","x2"
"hgss1-2","Azumarill","Pokemon","90","Water","","Marill","2","Kouki Saitou","Rare Holo","When it plays in water, it rolls up its elongated ears to prevent their insides from getting wet.","184",,"https://images.pokemontcg.io/hgss1/2.png","https://images.pokemontcg.io/hgss1/2_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Waterfall","Water, Water","2","40","","Bubblebeam","Water, Colorless, Colorless","3","60","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Lightning","x2"
"hgss1-3","Clefable","Pokemon","80","Colorless","","Clefairy","3","Masakazu Fukuda","Rare Holo","With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places.","36",,"https://images.pokemontcg.io/hgss1/3.png","https://images.pokemontcg.io/hgss1/3_hires.png","Legal",,,"Colorless","1","","","","","","","Fairy Power","Colorless, Colorless","2","","Return 1 of your Pokemon and all cards attached to it to your hand.","Moon Impact","Colorless, Colorless","2","40","","Fighting","x2"
"hgss1-4","Gyarados","Pokemon","130","Water","","Magikarp","4","Mitsuhiro Arita","Rare Holo","Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it.","130",,"https://images.pokemontcg.io/hgss1/4.png","https://images.pokemontcg.io/hgss1/4_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Hydro Splash","Water, Colorless, Colorless","3","50","","Hyper Beam","Water, Water, Colorless, Colorless","4","80","Discard an Energy card attached to the Defending Pokemon.","Lightning","x2"
"hgss1-5","Hitmontop","Pokemon","60","Fighting","",,"5","Ken Sugimori","Rare Holo","It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.","237",,"https://images.pokemontcg.io/hgss1/5.png","https://images.pokemontcg.io/hgss1/5_hires.png","Legal",,,"Colorless","1","","","","","","","Triple Kick","Fighting","1","20x","Flip 3 coins. This attack does 20 damage times the number of heads.","Close Combat","Fighting, Colorless, Colorless","3","60","During your opponent's next turn, any damage done to Hitmontop by attacks is increased by 20 (after applying Weakness and Resistance).","Psychic","x2"
"hgss1-6","Jumpluff","Pokemon","90","Grass","","Skiploom","6","sui","Rare Holo","Once it catches the wind, it deftly controls its cotton-puff spores—it can even float around the world.","189",,"https://images.pokemontcg.io/hgss1/6.png","https://images.pokemontcg.io/hgss1/6_hires.png","Legal",,,"",,"","","","","","","Mass Attack","Grass","1","10x","Does 10 damage times the number of Pokemon in play (both yours and your opponent's).","Leaf Guard","Grass","1","30","During your opponent's next turn, any damage done to Jumpluff by attacks is reduced by 30 (after applying Weakness and Resistance).","Fire","x2"
"hgss1-7","Ninetales","Pokemon","90","Fire","","Vulpix","7","TOKIYA","Rare Holo","Its nine beautiful tails are filled with a wondrous energy that could keep it alive for 1,000 years.","38",,"https://images.pokemontcg.io/hgss1/7.png","https://images.pokemontcg.io/hgss1/7_hires.png","Legal",,,"Colorless","1","Roast Reveal","Once during your turn (before your attack), you may discard a Fire Energy card from your hand. If you do, draw 3 cards. This power can't be used if Ninetales is affected by a Special Condition.","Poke-Power","","","","Will-o'-the-wisp","Fire, Fire, Colorless","3","60","","","","","","","Water","x2"
"hgss1-8","Noctowl","Pokemon","90","Colorless","","Hoothoot","8","Suwama Chiaki","Rare Holo","Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.","164",,"https://images.pokemontcg.io/hgss1/8.png","https://images.pokemontcg.io/hgss1/8_hires.png","Legal",,,"Colorless","1","Night Sight","Once during your turn (before your attack), you may draw a card. This power can't be used if Noctowl is affected by a Special Condition.","Poke-Power","","","","Extrasensory","Colorless, Colorless, Colorless","3","40+","If you have the same number of cards in your hand as your opponent, this attack does 40 damage plus 40 more damage.","","","","","","Lightning","x2"
"hgss1-9","Quagsire","Pokemon","100","Water","","Wooper","9","match","Rare Holo","Due to its relaxed and carefree attitude, it often bumps its head on boulders and boat hulls as it swims.","195",,"https://images.pokemontcg.io/hgss1/9.png","https://images.pokemontcg.io/hgss1/9_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Muddy Water","Water, Colorless, Colorless","3","40","Does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Mud Shot","Fighting, Colorless, Colorless, Colorless","4","60","","Grass","x2"
"hgss1-10","Raichu","Pokemon","90","Lightning","","Pikachu","10","match","Rare Holo","If the electric pouches in its cheeks become fully charged, both ears will stand straight up.","26",,"https://images.pokemontcg.io/hgss1/10.png","https://images.pokemontcg.io/hgss1/10_hires.png","Legal",,,"",,"","","","","","","Iron Tail","Colorless","1","30x","Flip a coin until you get tails. This attack does 30 damage times the number of heads.","Thunderbolt","Lightning, Lightning","2","100","Discard all Energy attached to Raichu.","Fighting","x2"
