"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"hsp-HGSS01","Ho-Oh","Pokemon","80","Fire","",,"HGSS01","Takashi Yamaguchi","Promo","A legend says that its body glows in seven colors. A rainbow is said to form behind when it flies.","250",,"https://images.pokemontcg.io/hsp/HGSS01.png","https://images.pokemontcg.io/hsp/HGSS01_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Combustion","Fire","1","20","","Sacred Fire","Fire, Fire, Colorless, Colorless","4","","Flip a coin. If heads, choose 1 of your opponent's Pokemon. This attack does 80 damage to that Pokemon. This attack's damage isn't affected by Weakness or Resistance.","Water","x2"
"hsp-HGSS02","Lugia","Pokemon","90","Water","",,"HGSS02","Takashi Yamaguchi","Promo","It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.","249",,"https://images.pokemontcg.io/hsp/HGSS02.png","https://images.pokemontcg.io/hsp/HGSS02_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Wave Splash","Water","1","20","","Aeroblast","Water, Water, Colorless, Colorless","4","50+","Flip 2 coins. This attack does 50 damage plus 20 more damage for each heads.","Lightning","x2"
"hsp-HGSS03","Pikachu","Pokemon","70","Lightning","Raichu",,"HGSS03","Kanako Eo","Promo","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","25",,"https://images.pokemontcg.io/hsp/HGSS03.png","https://images.pokemontcg.io/hsp/HGSS03_hires.png","Legal",,,"Colorless","1","","","","","","","Recharge","Colorless","1","","Flip a coin. If heads, search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.","Thunderbolt","Lightning, Lightning, Colorless, Colorless","4","100","Discard all Energy attached to Pikachu.","Fighting","+10"
"hsp-HGSS04","Wobbuffet","Pokemon","90","Psychic","",,"HGSS04","match","Promo","To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack.","202",,"https://images.pokemontcg.io/hsp/HGSS04.png","https://images.pokemontcg.io/hsp/HGSS04_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Tenacious Bind","As long as Wobbuffet is your Active Pokemon, your opponent's Active Pokemon's Retreat Cost is ColorlessColorless more.","Poke-Body","","","","Trip Over","Psychic, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 30 more damage.","","","","","","Psychic","x2"
"hsp-HGSS05","Hoothoot","Pokemon","50","Colorless","Noctowl",,"HGSS05","Masakazu Fukuda","Promo","It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time.","163",,"https://images.pokemontcg.io/hsp/HGSS05.png","https://images.pokemontcg.io/hsp/HGSS05_hires.png","Legal",,,"Colorless","1","Insomnia","Hoothoot can't be Asleep.","Poke-Body","","","","Peck","Colorless","1","10","","","","","","","Lightning","x2"
"hsp-HGSS06","Noctowl","Pokemon","90","Colorless","","Hoothoot","HGSS06","Masakazu Fukuda","Promo","When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power.","164",,"https://images.pokemontcg.io/hsp/HGSS06.png","https://images.pokemontcg.io/hsp/HGSS06_hires.png","Legal",,,"Colorless","1","Night Scope","Once during your turn (before your attack), you may look at your opponent's hand. This power can't be used if Noctowl is affected by a Special Condition.","Poke-Power","","","","Hypnoblast","Colorless, Colorless, Colorless","3","30","The Defending Pokemon is now Asleep.","","","","","","Lightning","x2"
"hsp-HGSS07","Feraligatr","Pokemon","140","Water","","Croconaw","HGSS07","Kent Kanetsuna","Promo",,"160",,"https://images.pokemontcg.io/hsp/HGSS07.png","https://images.pokemontcg.io/hsp/HGSS07_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Rain Dance","As often as you like during your turn (before your attack), you may attach a Water Energy from your hand to 1 of your Water Pokemon. This power can't be used if Feraligatr is affected by a Special Condition.","Poke-Power","","","","Hydro Crunch","Water, Water, Water, Water","4","60+","Does 60 damage plus 10 more damage for each damage counter on the Defending Pokemon.","","","","","","Grass","x2"
"hsp-HGSS08","Meganium","Pokemon","150","Grass","","Bayleef","HGSS08","Noriko Hotta","Promo",,"154",,"https://images.pokemontcg.io/hsp/HGSS08.png","https://images.pokemontcg.io/hsp/HGSS08_hires.png","Legal",,,"Colorless, Colorless","2","Leaf Trans","As often as you like during your turn (before your attack), you may move a Grass Energy attached to 1 of your Pokemon to another of your Pokemon. This power can't be used if Meganium is affected by a Special Condition.","Poke-Power","","","","Solarbeam","Grass, Grass, Colorless, Colorless","4","80","","","","","","","Fire","x2"
"hsp-HGSS09","Typhlosion","Pokemon","140","Fire","","Quilava","HGSS09","Wataru Kawahara","Promo",,"157",,"https://images.pokemontcg.io/hsp/HGSS09.png","https://images.pokemontcg.io/hsp/HGSS09_hires.png","Legal",,,"Colorless, Colorless","2","Afterburner","Once during your turn (before your attack), you may search your discard pile for a Fire Energy card and attach it to 1 of your Pokemon. If you do, put 1 damage counter on that Pokemon. This power can't be used if Typhlosion is affected by a Special Condition.","Poke-Power","","","","Flare Destroy","Fire, Fire, Colorless","3","70","Discard an Energy card attached to Typhlosion and discard an Energy card attached to the Defending Pokemon.","","","","","","Water","x2"
"hsp-HGSS10","Latias","Pokemon","80","Colorless","",,"HGSS10","Wataru Kawahara","Promo","It communicates using telepathy. Its body is covered in down that refracts light to make it invisible.","380",,"https://images.pokemontcg.io/hsp/HGSS10.png","https://images.pokemontcg.io/hsp/HGSS10_hires.png","Legal",,,"Colorless","1","","","","","","","Energy Assist","Colorless","1","10","Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokemon.","Infinite Wind","Colorless, Colorless, Colorless","3","40","If Latios is on your Bench, remove 2 damage counters from each of your Benched Pokemon.","Colorless","x2"
"hsp-HGSS11","Latios","Pokemon","90","Colorless","",,"HGSS11","Wataru Kawahara","Promo","It understands human speech and is highly intelligent. It is a tender Pokemon that dislikes fighting.","381",,"https://images.pokemontcg.io/hsp/HGSS11.png","https://images.pokemontcg.io/hsp/HGSS11_hires.png","Legal",,,"Colorless, Colorless","2","Luster Float","If you have Latias in play, the Retreat Cost for Latios is 0.","Poke-Body","","","","Infinite Wing","Colorless, Colorless, Colorless, Colorless","4","80","Discard 2 Energy attached to Latios.","","","","","","Colorless","x2"
"hsp-HGSS12","Cleffa","Pokemon","30","Colorless","Clefairy",,"HGSS12","Masakazu Fukuda","Promo","Because of its unusual, star-like silhouette, people believe that it came here on a meteor.","173",,"https://images.pokemontcg.io/hsp/HGSS12.png","https://images.pokemontcg.io/hsp/HGSS12_hires.png","Legal",,,"",,"Sweet Sleeping Face","As long as Cleffa is Asleep, prevent all damage done to Cleffa by attacks.","Poke-Body","","","","Eeeeeeek","","0","","Shuffle your hand into your deck, then draw 6 cards. Cleffa is now Asleep.","","","","","",,
"hsp-HGSS13","Smoochum","Pokemon","30","Psychic","Jynx",,"HGSS13","Midori Harada","Promo","Its lips are the most sensitive part of its body. It always uses its lips first to examine things.","238",,"https://images.pokemontcg.io/hsp/HGSS13.png","https://images.pokemontcg.io/hsp/HGSS13_hires.png","Legal",,,"",,"Sweet Sleeping Face","As long as Smoochum is Asleep, prevent all damage done to Smoochum by attacks.","Poke-Body","","","","Energy Antics","","0","","Move an Energy card attached to 1 of your opponent's Pokemon to another of your opponent's Pokemon. Smoochum is now Asleep.","","","","","",,
"hsp-HGSS14","Lapras","Pokemon","90","Water","",,"HGSS14","Masakazu Fukuda","Promo","It ferries people across the sea on its back. It may sing an enchanting cry if it is in a good mood.","131",,"https://images.pokemontcg.io/hsp/HGSS14.png","https://images.pokemontcg.io/hsp/HGSS14_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Ferry","Water","1","","Search your discard pile for a Supporter card, show it to your opponent, and put it into your hand.","Surf","Water, Water, Colorless","3","40","","Metal","x2"
"hsp-HGSS15","Shuckle","Pokemon","60","Fighting","",,"HGSS15","match","Promo","It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.","213",,"https://images.pokemontcg.io/hsp/HGSS15.png","https://images.pokemontcg.io/hsp/HGSS15_hires.png","Legal",,,"Colorless","1","Fermenting Liquid","Whenever you attach an Energy card from your hand to Shuckle, draw a card.","Poke-Body","","","","Shell Stunner","Grass, Colorless","2","20","Flip a coin. If heads, prevent all damage done to Shuckle by attacks during your opponent's next turn.","","","","","","Water","x2"
"hsp-HGSS16","Plusle","Pokemon","60","Lightning","",,"HGSS16","Kouki Saitou","Promo","It absorbs electricity from telephone poles. It shorts out its body to create crackling noises.","311",,"https://images.pokemontcg.io/hsp/HGSS16.png","https://images.pokemontcg.io/hsp/HGSS16_hires.png","Legal",,,"Colorless","1","","","","","","","Collect","Colorless","1","","Draw 2 cards.","Thunder Jolt","Lightning","1","20","Flip a coin. If tails, Plusle does 10 damage to itself.","Fighting","x2"
"hsp-HGSS17","Minun","Pokemon","60","Lightning","",,"HGSS17","Kouki Saitou","Promo","Exposure to electricity from Minun and Plusle promotes blood circulation and relaxes muscles.","312",,"https://images.pokemontcg.io/hsp/HGSS17.png","https://images.pokemontcg.io/hsp/HGSS17_hires.png","Legal",,,"Colorless","1","","","","","","","Call for Family","Colorless","1","","Search your deck for up to 2 Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.","Tag Team Boost","Lightning","1","10+","If Plusle is on your Bench, this attack does 10 damage plus 20 more damage.","Fighting","x2"
"hsp-HGSS18","Tropical Tidal Wave","Trainer",,"","",,"HGSS18","Sumiyoshi Kizuki","Promo",,"",,"https://images.pokemontcg.io/hsp/HGSS18.png","https://images.pokemontcg.io/hsp/HGSS18_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","","",,
"hsp-HGSS19","Raikou","Pokemon","80","Lightning","",,"HGSS19","Noriko Hotta","Promo","The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.","243",,"https://images.pokemontcg.io/hsp/HGSS19.png","https://images.pokemontcg.io/hsp/HGSS19_hires.png","Legal",,,"Colorless","1","","","","","","","Zap Cannon","Lightning, Lightning, Colorless","3","70","During your next turn, Raikou can't use Zap Cannon.","","","","","","Fighting","x2"
"hsp-HGSS20","Entei","Pokemon","80","Fire","",,"HGSS20","Yuri Umemura","Promo","Volcanoes erupt when it barks. Unable to contain its sheer power, it races headlong around the land.","244",,"https://images.pokemontcg.io/hsp/HGSS20.png","https://images.pokemontcg.io/hsp/HGSS20_hires.png","Legal",,,"Colorless","1","","","","","","","Flare Blitz","Fire, Fire, Colorless","3","80","Discard all Fire Energy attached to Entei.","","","","","","Water","x2"
"hsp-HGSS21","Suicune","Pokemon","80","Water","",,"HGSS21","Hideaki Hakozaki","Promo","Said to be the embodiment of north winds, it can instantly purify filthy, murky water.","245",,"https://images.pokemontcg.io/hsp/HGSS21.png","https://images.pokemontcg.io/hsp/HGSS21_hires.png","Legal",,,"Colorless","1","","","","","","","Sheer Cold","Water, Water, Colorless","3","50","Flip a coin. If heads, the Defending Pokemon can't attack during your opponent's next turn.","","","","","","Lightning","x2"
"hsp-HGSS22","Porygon","Pokemon","50","Colorless","Porygon2",,"HGSS22","TOKIYA","Promo","It is a manmade Pokemon. Since it doesn't breathe, people are eager to try it in any environment..","137",,"https://images.pokemontcg.io/hsp/HGSS22.png","https://images.pokemontcg.io/hsp/HGSS22_hires.png","Legal",,,"Colorless","1","","","","","","","Stiffen","Colorless","1","","During your opponent's next turn, any damage done to Porygon by attacks is reduced by 20 (after applying Weakness and Resistance).","Version Update","Colorless, Colorless","2","","Search your deck for Porygon2, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Fighting","x2"
"hsp-HGSS23","Porygon2","Pokemon","80","Colorless","Porygon-Z","Porygon","HGSS23","TOKIYA","Promo","This upgraded version of Porygon is designed for space exploration. It can't fly, though.","233",,"https://images.pokemontcg.io/hsp/HGSS23.png","https://images.pokemontcg.io/hsp/HGSS23_hires.png","Legal",,,"Colorless, Colorless","2","Shortcut","The Retreat Cost for each Porygon, Porygon2, and Porygon-Z you have in play is Colorless less.","Poke-Body","","","","Reckless Charge","Colorless, Colorless, Colorless","3","50","Porygon2 does 10 damage to itself.","","","","","","Fighting","x2"
"hsp-HGSS24","Hitmonchan","Pokemon","70","Fighting","",,"HGSS24","Kouki Saitou","Promo","Its punches slice the air. However, it seems to need a short break after fighting for three minutes.","107",,"https://images.pokemontcg.io/hsp/HGSS24.png","https://images.pokemontcg.io/hsp/HGSS24_hires.png","Legal",,,"Colorless","1","","","","","","","Detect","Colorless","1","","Flip a coin. If heads, prevent all effects of attacks, including damage, done to Hitmonchan during your opponent's next turn.","Sky Uppercut","Fighting, Colorless","2","30","This attack's damage isn't affected by Resistance.","Psychic","x2"
