"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"mcd22-1","Ledyba","Pokemon","60","Grass","Ledian",,"1","Naoyo Kimura",,"These very cowardly Pokemon join together and use Reflect to protect their nest.","165","E","https://images.pokemontcg.io/mcd22/1.png","https://images.pokemontcg.io/mcd22/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Collect","Colorless","1","","Draw a card.","Punch","Colorless, Colorless","2","20","","Fire","x2"
"mcd22-2","Rowlet","Pokemon","50","Grass","Dartrix",,"2","HYOGONOSUKE",,"At a distance, it launches its sharp feathers while flying about. If the enemy gets too close, Rowlet switches tactics and delivers vicious kicks.","722","D","https://images.pokemontcg.io/mcd22/2.png","https://images.pokemontcg.io/mcd22/2_hires.png","Legal",,"Legal","Colorless","1","Sky Circus","If you played Bird Keeper from your hand during this turn, ignore all Energy in this Pokemon's attack costs.","Ability","","","","Wind Shard","Colorless, Colorless, Colorless","3","","This attack does 60 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fire","x2"
"mcd22-3","Gossifleur","Pokemon","50","Grass","Eldegoss",,"3","Mizue",,"It whirls around in the wind while singing a joyous song. This delightful display has charmed many into raising this Pokemon.","829","E","https://images.pokemontcg.io/mcd22/3.png","https://images.pokemontcg.io/mcd22/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Blot","Grass","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"mcd22-4","Growlithe","Pokemon","80","Fire","Arcanine",,"4","Narumi Sato",,"Extremely loyal, it will fearlessly bark at any opponent to protect its own Trainer from harm.","58","E","https://images.pokemontcg.io/mcd22/4.png","https://images.pokemontcg.io/mcd22/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Warm Up","Colorless","1","","Search your deck for a Fire Energy card and attach it to 1 of your Pokemon. Then, shuffle your deck.","Combustion","Fire, Colorless, Colorless","3","30","","Water","x2"
"mcd22-5","Victini","Pokemon","60","Fire","",,"5","Teeziro",,"When it shares the infinite energy it creates, that being's entire body will be overflowing with power.","494","E","https://images.pokemontcg.io/mcd22/5.png","https://images.pokemontcg.io/mcd22/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Victory Dive","Colorless, Colorless","2","30","You may search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.","","","","","","Water","x2"
"mcd22-6","Lapras","Pokemon","110","Water","",,"6","Atsushi Furusawa",,"Crossing icy seas is no issue for this cold-resistant Pokemon. Its smooth skin is a little cool to the touch.","131","E","https://images.pokemontcg.io/mcd22/6.png","https://images.pokemontcg.io/mcd22/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Wintry Call","Colorless","1","","Search your deck for up to 2 Melony cards, reveal them, and put them into your hand. Then, shuffle your deck.","Icy Wind","Water, Colorless","2","50","Your opponent's Active Pokemon is now Asleep.","Metal","x2"
"mcd22-7","Pikachu","Pokemon","60","Lightning","Raichu",,"7","chibi",,"When Pikachu meet, they'll touch their tails together and exchange electricity through them as a form of greeting.","25","E","https://images.pokemontcg.io/mcd22/7.png","https://images.pokemontcg.io/mcd22/7_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Energize","Lightning","1","","Attach a Lightning Energy card from your discard pile to this Pokemon.","Electro Ball","Lightning, Colorless, Colorless","3","30","","Fighting","x2"
"mcd22-8","Chinchou","Pokemon","70","Lightning","Lanturn",,"8","sowsow",,"On the dark ocean floor, its only means of communication is its constantly flashing lights.","170","E","https://images.pokemontcg.io/mcd22/8.png","https://images.pokemontcg.io/mcd22/8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Electro Ball","Lightning","1","10","","","","","","","Fighting","x2"
"mcd22-9","Flaaffy","Pokemon","100","Lightning","Ampharos","Mareep","9","sui",,"It stores electricity in its fluffy fleece. If it stores up too much, it will start to go bald in those patches.","180","E","https://images.pokemontcg.io/mcd22/9.png","https://images.pokemontcg.io/mcd22/9_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Electro Ball","Lightning, Colorless","2","50","","","","","","","Fighting","x2"
"mcd22-10","Tynamo","Pokemon","40","Lightning","Eelektrik",,"10","sowsow",,"One alone can emit only trickle of electricity, so a group of them gathers to unleash a powerful electric shock.","602","D","https://images.pokemontcg.io/mcd22/10.png","https://images.pokemontcg.io/mcd22/10_hires.png","Legal",,"Legal","Colorless","1","Levitate","If this Pokemon has any Energy attached, it has no Retreat Cost.","Ability","","","","Tiny Charge","Lightning","1","10","","","","","","","Fighting","x2"
