"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"neo2-1","Espeon","Pokemon","80","Psychic","Rare Holo","","0","","","Bite","Colorless, Colorless","2","20","","Psychic","Psychic, Psychic, Colorless","3","30+","Does 30 damage plus 10 more damage for each Energy card attached to the Defending Pokemon.","Psychic","x2"
"neo2-2","Forretress","Pokemon","80","Metal","Rare Holo","Colorless, Colorless, Colorless","3","Spikes","During your opponent's turn, whenever 1 of your opponent's Benched Pokemon becomes his or her Active Pokemon, Forretress does 10 damage to it. (Don't apply Weakness and Resistance.) This power stops working if Forretress is Asleep, Confused, or Paralyzed.","Rapid Spin","Metal, Colorless, Colorless","3","30","If your opponent has any Benched Pokemon, he or she chooses 1 of them and switches it with his or her Active Pokemon, then, if you have any Benched Pokemon, you switch 1 of them with your Active Pokemon. (Do the damage before switching the Pokemon.)","","","","","","Fire","x2"
"neo2-3","Hitmontop","Pokemon","60","Fighting","Rare Holo","Colorless","1","","","Detect","Fighting","1","","Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Hitmontop.","Triple Kick","Fighting, Fighting, Fighting","3","30x","Flip 3 coins. This attack does 30 damage times the number of heads.","Psychic","x2"
"neo2-4","Houndoom","Pokemon","70","Darkness","Rare Holo","Colorless","1","","","Crunch","Darkness, Colorless, Colorless","3","30","Until the end of your next turn, if an attack damages the Defending Pokemon (after applying Weakness and Resistance), that attack does 20 more damage to the Defending Pokemon.","Flamethrower","Fire, Fire, Colorless","3","50","Discard 1 Fire Energy card attached to Houndoom or this attack does nothing.",,
"neo2-5","Houndour","Pokemon","50","Fire","Rare Holo","Colorless","1","","","Smog","Fire","1","10","Flip a coin. If heads, the Defending Pokemon is now Poisoned.","Collect Fire","Fire, Fire","2","20","If there are any Fire Energy cards in your discard pile, choose 1 of them and attach it to Houndour.","Water","x2"
"neo2-6","Kabutops","Pokemon","90","Water","Rare Holo","Colorless, Colorless","2","","","Slash","Colorless","1","20","","Hydrocutter","Fighting","1","40x","Flip a number of coins equal to the number of Energy cards attached to Kabutops. This attack does 40 damage times the number of heads. You can't flip more than 3 coins in this way.","Grass","x2"
"neo2-7","Magnemite","Pokemon","40","Metal","Rare Holo","Colorless","1","","","Lock-on","Colorless","1","","During your next turn, treat any tails flipped when using Magnemite's Electric Bolt attack as if they were heads. (Benching or evolving either Pokemon ends this effect.)","Electric Bolt","Lightning, Colorless","2","50","Flip 2 coins. If both are heads, the Defending Pokemon is now Paralyzed. If either of them is tails, this attack does nothing (not even damage).","Fire","x2"
"neo2-8","Politoed","Pokemon","100","Water","Rare Holo","Colorless, Colorless, Colorless","3","Frog Song","Whenever Politoed's attack damages the Defending Pokemon (after applying Weakness and Resistance), if there are more than 3 Poliwags, Poliwhirls, Poliwraths, and/or Politoeds in play (including your opponent's), that attack does 40 more damage (no matter how many heads you get). This power stops working while Politoed is Asleep, Confused, or Paralyzed.","Doubleslap","Water, Water, Colorless, Colorless","4","40x","Flip 2 coins. This attack does 40 damage times the number of heads.","","","","","","Grass","x2"
"neo2-9","Poliwrath","Pokemon","90","Fighting","Rare Holo","Colorless, Colorless","2","","","Corkscrew Punch","Fighting, Colorless","2","30","","Submission","Fighting, Fighting, Colorless, Colorless","4","70","Poliwrath does 20 damage to itself.","Psychic","x2"
"neo2-10","Scizor","Pokemon","80","Metal","Rare Holo","Colorless, Colorless","2","","","False Swipe","Metal","1","?","Does damage equal to half the Defending Pokemon's remaining HP (rounded down to the nearest 10).","Double Claw","Colorless, Colorless, Colorless","3","20+","Flip 2 coins. This attack does 20 damage times the number of heads.","Fire","x2"
