"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"neo4-1","Dark Ampharos","Pokemon","70","Lightning","","Dark Flaaffy","1","Kagemaru Himeno","Rare Holo","Its brightly lit tail can be seen for miles in the dark, even by ships on the sea.","181",,"https://images.pokemontcg.io/neo4/1.png","https://images.pokemontcg.io/neo4/1_hires.png","Legal",,,"Colorless, Colorless","2","Conductivity","Whenever your opponent attaches an Energy card from his or her hand to a Pokemon, this power does 10 damage to that Pokemon. (Don't apply Weakness and Resistance.) This power stops working if you have more than 1 Dark Ampharos in play or while Dark Ampharos is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Shock Bolt","Lightning, Colorless, Colorless","3","50","Discard all Lightning Energy cards attached to Dark Ampharos or this attack does nothing.","","","","","","Fighting","x2"
"neo4-2","Dark Crobat","Pokemon","70","Grass","","Dark Golbat","2","Shin-ichi Yoshikawa, CR CG gangs","Rare Holo","Although the wings it has evolved on its feet allow it to fly at high speeds, they unfortunately make it difficult to perch.","169",,"https://images.pokemontcg.io/neo4/2.png","https://images.pokemontcg.io/neo4/2_hires.png","Legal",,,"",,"Surprise Bite","When you play Dark Crobat from your hand, you may choose 1 of your opponent's Pokemon. This power does 20 damage to that Pokemon. (Don't apply Weakness and Resistance.)","Pokemon Power","","","","Dark Drain","Grass, Grass","2","","Flip a coin for each of your opponent's Pokemon. For each heads, this attack does 10 damage to that Pokemon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them.","","","","","","Psychic","x2"
"neo4-3","Dark Donphan","Pokemon","60","Fighting","","Phanpy","3","Shin-ichi Yoshida","Rare Holo","The larger its tusks, the higher its status in the herd.","232",,"https://images.pokemontcg.io/neo4/3.png","https://images.pokemontcg.io/neo4/3_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Tusk Toss","Fighting, Fighting","2","","If your opponent has any Benched Pokemon, flip a coin. If heads, return the Defending Pokemon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokemon and switches it with the Defending Pokemon.","Giant Tusk","Fighting, Fighting, Colorless","3","50","","Grass","x2"
"neo4-4","Dark Espeon","Pokemon","60","Psychic","","Eevee","4","Atsuko Nishida","Rare Holo","The tips of its split tail quiver whenever it uses its psychic abilities to read its opponent's next move.","196",,"https://images.pokemontcg.io/neo4/4.png","https://images.pokemontcg.io/neo4/4_hires.png","Legal",,,"",,"","","","","","","Gouge","Colorless","1","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","Psysplash","Psychic, Colorless, Colorless","3","","Does 10 damage to each of your opponent's Pokemon for each Energy card attached to that Pokemon. Don't apply Weakness and Resistance.","Psychic","x2"
"neo4-5","Dark Feraligatr","Pokemon","80","Water","","Dark Croconaw","5","Atsuko Nishida","Rare Holo","Its powerful muscles allow it to move at a speed that belies its bulk.","160",,"https://images.pokemontcg.io/neo4/5.png","https://images.pokemontcg.io/neo4/5_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Scare","As long as Dark Feraligatr is your Active Pokemon, all of your opponent's Baby Pokemon Powers stop working and your opponent's Baby Pokemon can't attack. This power stops working while Dark Feraligatr is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Crushing Blow","Water, Water, Water","3","50","If the Defending Pokemon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those cards and discard it.","","","","","","Grass","x2"
"neo4-6","Dark Gengar","Pokemon","70","Psychic","","Dark Haunter","6","Aya Kusube","Rare Holo","It absorbs the heat in the air around it. If you suddenly feel cold, it's because a Gengar has appeared.","94",,"https://images.pokemontcg.io/neo4/6.png","https://images.pokemontcg.io/neo4/6_hires.png","Legal",,,"Colorless, Colorless","2","Deep Sleep","As long as any Dark Gengar are in play, a player flips 2 coins for each of his or her Pokemon that is Asleep at the end of each turn. If either of them is tails, that Pokemon is still Asleep. This power stops working if Dark Gengar is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Pull In","Psychic, Psychic, Psychic","3","30","If your opponent has any Benched Pokemon, you may choose 1 of them and switch it with the Defending Pokemon (before doing damage or other effects of this attack). Either way, the Defending Pokemon is now Asleep.","","","","","",,
"neo4-7","Dark Houndoom","Pokemon","60","Fire","","Houndour","7","Kagemaru Himeno","Rare Holo","The flame it breathes is actually a volatile poison it produces internally that ignites when exposed to air.","229",,"https://images.pokemontcg.io/neo4/7.png","https://images.pokemontcg.io/neo4/7_hires.png","Legal",,,"Colorless","1","","","","","","","Eerie Howl","Colorless","1","","If your opponent's Bench isn't full, look at his or her hand. If your opponent has any Baby Pokemon or Basic Pokemon there, choose 1 of them and put it on his or her Bench. Then, switch it with the Defending Pokemon.","Dark Fire","Fire, Colorless","2","30+","If there are any Darkness Energy cards attached to Dark Houndoom, discard 1 of them and this attack does 30 damage plus 20 more damage (plus 10 more damage for the Darkness Energy you discarded). If there aren't any, this attack does 30 damage.","Water","x2"
"neo4-8","Dark Porygon2","Pokemon","60","Colorless","Porygon-Z","Porygon","8","Shin-ichi Yoshikawa, CR CG gangs","Rare Holo","Advances in technology have allowed it to evolve. It occasionally displays behavior not found in its programming.","233",,"https://images.pokemontcg.io/neo4/8.png","https://images.pokemontcg.io/neo4/8_hires.png","Legal",,,"Colorless","1","Spatial Distortion","Once during your turn (before your attack), you may flip a coin. If heads, choose a Stadium card from your discard pile and put it into play. (If there's already a Stadium card in play, discard it.) This power can't be used if Dark Porygon2 is Asleep, Confused, or Paralyzed.","Pokemon Power","","","","Curve Attack","Colorless, Colorless, Colorless","3","20","Flip a coin. If heads, prevent all damage done by attacks to Dark Porygon2 during your opponent's next turn. (Any other effects of attacks still happen.)","","","","","","Fighting","x2"
"neo4-9","Dark Scizor","Pokemon","70","Metal","","Scyther","9","Mitsuhiro Arita","Rare Holo","Nothing can withstand the pressure of the vise-like grip of this Pokemon's steel claws.","212",,"https://images.pokemontcg.io/neo4/9.png","https://images.pokemontcg.io/neo4/9_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Threaten","Colorless, Colorless","2","","Flip a coin. If heads, look at your opponent's hand. If he or she has any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck.","Slash","Colorless, Colorless, Colorless","3","30","","Fire","x2"
"neo4-10","Dark Typhlosion","Pokemon","80","Fire","","Dark Quilava","10","Mitsuhiro Arita","Rare Holo","When it's in combat, the air around it shimmers and warps from the intense heat it produces.","157",,"https://images.pokemontcg.io/neo4/10.png","https://images.pokemontcg.io/neo4/10_hires.png","Legal",,,"Colorless","1","","","","","","","Claw Swipe","Colorless","1","20","","Rushing Flames","Fire","1","40x","You may discard any number of Fire Energy cards attached to your Pokemon. Flip a coin for each Fire Energy card discarded in this way. This attack does 40 damage times the number of heads.","Water","x2"
