"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"pgo-1","Bulbasaur","Pokémon","70","Grass","Ivysaur",,"1","sowsow","Common","There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.","1","F","https://images.pokemontcg.io/pgo/1.png","https://images.pokemontcg.io/pgo/1_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Vine Whip","Grass","1","10","","Razor Leaf","Grass, Colorless","2","20","","Fire","×2"
"pgo-2","Ivysaur","Pokémon","100","Grass","Venusaur","Bulbasaur","2","zig","Uncommon","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","2","F","https://images.pokemontcg.io/pgo/2.png","https://images.pokemontcg.io/pgo/2_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Summoning Aroma","Grass","1","","Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.","Razor Leaf","Grass, Colorless, Colorless","3","60","","Fire","×2"
"pgo-3","Venusaur","Pokémon","180","Grass","","Ivysaur","3","KEIICHIRO ITO","Rare Holo","Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.","3","F","https://images.pokemontcg.io/pgo/3.png","https://images.pokemontcg.io/pgo/3_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless, Colorless","4","Loopy Lasso","Once during your turn, you may flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with their Active Pokémon, and the new Active Pokémon is now Asleep and Poisoned.","Ability","","","","Solar Beam","Grass, Grass, Colorless, Colorless","4","130","","","","","","","Fire","×2"
"pgo-4","Radiant Venusaur","Pokémon","150","Grass","",,"4","Misa Tsutsui","Radiant Rare","Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.","3","F","https://images.pokemontcg.io/pgo/4.png","https://images.pokemontcg.io/pgo/4_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","Sunny Bloom","Once at the end of your turn (after your attack), you may use this Ability. Draw cards until you have 4 cards in your hand.","Ability","","","","Pollen Hazard","Grass, Grass, Colorless","3","90","Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.","","","","","","Fire","×2"
"pgo-5","Alolan Exeggutor V","Pokémon","240","Grass","",,"5","MUGENUP","Rare Holo V",,"103","F","https://images.pokemontcg.io/pgo/5.png","https://images.pokemontcg.io/pgo/5_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Growing Tall","Grass","1","","Flip a coin. If heads, search your deck for up to 5 Grass Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.","Head Swing","Colorless, Colorless, Colorless","3","","This attack does 30 damage to 1 of your opponent's Pokémon for each Grass Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Fire","×2"
"pgo-6","Spinarak","Pokémon","60","Grass","Ariados",,"6","Yuka Morii","Common","Although the poison from its fangs isn't that strong, it's potent enough to weaken prey that gets caught in its web.","167","F","https://images.pokemontcg.io/pgo/6.png","https://images.pokemontcg.io/pgo/6_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Poison Sting","Grass","1","10","Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.","","","","","","Fire","×2"
"pgo-7","Ariados","Pokémon","110","Grass","","Spinarak","7","Misa Tsutsui","Uncommon","It spews threads from its mouth to catch its prey. When night falls, it leaves its web to go hunt aggressively.","168","F","https://images.pokemontcg.io/pgo/7.png","https://images.pokemontcg.io/pgo/7_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Poison String-Up","Colorless","1","20","Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.","Absorb","Grass, Colorless","2","50","Heal 50 damage from this Pokémon.","Fire","×2"
"pgo-8","Charmander","Pokémon","60","Fire","Charmeleon",,"8","saino misaki","Common","It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.","4","F","https://images.pokemontcg.io/pgo/8.png","https://images.pokemontcg.io/pgo/8_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Tail on Fire","Fire","1","10","Search your deck for a Fire Energy card and attach it to this Pokémon. Then, shuffle your deck.","","","","","","Water","×2"
"pgo-9","Charmeleon","Pokémon","90","Fire","Charizard","Charmander","9","Shiburingaru","Uncommon","It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.","5","F","https://images.pokemontcg.io/pgo/9.png","https://images.pokemontcg.io/pgo/9_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Scratch","Fire, Colorless","2","30","","Flamethrower","Fire, Fire, Colorless, Colorless","4","100","Discard a Fire Energy from this Pokémon.","Water","×2"
"pgo-10","Charizard","Pokémon","170","Fire","","Charmeleon","10","N-DESIGN Inc.","Rare Holo","It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.","6","F","https://images.pokemontcg.io/pgo/10.png","https://images.pokemontcg.io/pgo/10_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","Burn Brightly","Each basic Fire Energy attached to your Pokémon provides FireFire Energy. You can't apply more than 1 Burn Brightly Ability at a time.","Ability","","","","Flare Blitz","Fire, Fire, Colorless, Colorless","4","170","Discard all Fire Energy from this Pokémon.","","","","","","Water","×2"
"pgo-11","Radiant Charizard","Pokémon","160","Fire","",,"11","Shigenori Negishi","Radiant Rare","It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.","6","F","https://images.pokemontcg.io/pgo/11.png","https://images.pokemontcg.io/pgo/11_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","Excited Heart","This Pokémon's attacks cost Colorless less for each Prize card your opponent has taken.","Ability","","","","Combustion Blast","Fire, Colorless, Colorless, Colorless, Colorless","5","250","During your next turn, this Pokémon can't use Combustion Blast.","","","","","","Water","×2"
"pgo-12","Moltres","Pokémon","120","Fire","",,"12","Pani Kobayashi","Rare Holo","It's one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.","146","F","https://images.pokemontcg.io/pgo/12.png","https://images.pokemontcg.io/pgo/12_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Flare Symbol","Your Basic Fire Pokémon's attacks, except any Moltres, do 10 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).","Ability","","","","Fire Wing","Fire, Fire, Colorless","3","110","","","","","","","Water","×2"
"pgo-13","Numel","Pokémon","80","Fire","Camerupt",,"13","Shibuzoh.","Common","The magma in its body reaches 2,200 degrees Fahrenheit. Its hump gets smaller when it uses Fire-type moves.","322","F","https://images.pokemontcg.io/pgo/13.png","https://images.pokemontcg.io/pgo/13_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Tackle","Fire, Colorless","2","20","","Stomp","Fire, Fire, Colorless","3","50+","Flip a coin. If heads, this attack does 50 more damage.","Water","×2"
"pgo-14","Camerupt","Pokémon","140","Fire","","Numel","14","yuu","Uncommon","If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes.","323","F","https://images.pokemontcg.io/pgo/14.png","https://images.pokemontcg.io/pgo/14_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Split Bomb","Fire, Colorless","2","","This attack does 50 damage to 2 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Heat Blast","Fire, Fire, Colorless","3","120","","Water","×2"
"pgo-15","Squirtle","Pokémon","70","Water","Wartortle",,"15","sowsow","Common","When it retracts its long neck into its shell, it squirts out water with vigorous force.","7","F","https://images.pokemontcg.io/pgo/15.png","https://images.pokemontcg.io/pgo/15_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Water Gun","Water","1","20","","","","","","","Lightning","×2"
