"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"pl4-1","Charizard","Pokémon","140","Fire","","Charmeleon","1","Kagemaru Himeno","Rare Holo",,"6",,"https://images.pokemontcg.io/pl4/1.png","https://images.pokemontcg.io/pl4/1_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Fire Formation","Each of Charizard's attacks does 10 more damage for each Fire Pokémon on your Bench to your opponent's Active Pokémon (before applying Weakness and Resistance).","Poké-Body","","","","Fire Wing","Fire","1","30","","Burning Tail","Fire, Fire, Colorless","3","80","Discard a Fire Energy attached to Charizard.","Water","+30"
"pl4-2","Froslass","Pokémon","80","Water","","Snorunt","2","TOKIYA","Rare Holo","It freezes prey by blowing its -58 degrees F breath. It is said to then secretly display its prey.","478",,"https://images.pokemontcg.io/pl4/2.png","https://images.pokemontcg.io/pl4/2_hires.png","Legal",,,"Colorless","1","Snow Gift","Once during your turn, when you play Froslass from your hand to evolve 1 of your Pokémon, you may search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.","Poké-Power","","","","Ground Frost","Water, Colorless","2","50","If there is any Stadium Card in play, this attack does nothing.","","","","","","Metal","+20"
"pl4-3","Heatran","Pokémon","100","Fire","",,"3","Keiko Moritsugu","Rare Holo","Its body is made of rugged steel. However, it is partially melted in spots because of its own heat.","485",,"https://images.pokemontcg.io/pl4/3.png","https://images.pokemontcg.io/pl4/3_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Fire Fang","Fire, Colorless","2","20","The Defending Pokémon is now Burned.","Magma Mantle","Fire, Fire, Colorless, Colorless","4","60+","Discard the top 3 cards of your deck. This attack does 60 damage plus 20 more damage for each Fire or Metal Energy card you discarded.","Water","×2"
"pl4-4","Kabutops","Pokémon","130","Fighting","","Kabuto","4","Hajime Kusajima","Rare Holo","It is thought that this Pokémon came onto land because its prey adapted to life on land.","141",,"https://images.pokemontcg.io/pl4/4.png","https://images.pokemontcg.io/pl4/4_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Primal Scythe","Fighting","1","20+","You may discard Helix Fossil, Dome Fossil, or Old Amber from your hand. If you do, this attack does 20 damage plus 50 more damage.","Rock Slide","Fighting, Colorless, Colorless","3","60","Does 10 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Grass","+30"
"pl4-5","Luxray","Pokémon","120","Lightning","","Luxio","5","kawayoo","Rare Holo","It can see clearly through walls to track down its prey and seek its lost young.","405",,"https://images.pokemontcg.io/pl4/5.png","https://images.pokemontcg.io/pl4/5_hires.png","Legal",,,"",,"","","","","","","Flash","Lightning","1","30","If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","Gadget Bolt","Lightning, Colorless, Colorless","3","60","If Luxray has a Pokémon Tool card attached to it, you may do 100 damage instead of 60 to the Defending Pokémon. If you do, discard that Pokémon Tool card.","Fighting","+30"
"pl4-6","Mothim","Pokémon","90","Grass","","Burmy","6","Kagemaru Himeno","Rare Holo","While it loves floral honey, it won't gather any itself. Instead, it plots to steal some from Combee.","414",,"https://images.pokemontcg.io/pl4/6.png","https://images.pokemontcg.io/pl4/6_hires.png","Legal",,,"",,"","","","","","","Cloak Party","","0","","Search your deck for up to 3 in any combination of Burmy and Wormadam, show them to your opponent, and put them into your hand. Shuffle your deck afterward.","Energy Assist","Colorless","1","30","Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokémon.","Fire","+20"
"pl4-7","Probopass","Pokémon","100","Metal","","Nosepass","7","Kouki Saitou","Rare Holo",,"476",,"https://images.pokemontcg.io/pl4/7.png","https://images.pokemontcg.io/pl4/7_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Competitiveness","If you don't have a Supporter card in play, each of Probopass's attacks does 30 more damage to the Active Pokémon (before applying Weakness and Resistance).","Poké-Body","","","","Top Chop","Metal, Colorless","2","30","Draw a card.","Tumbling Attack","Metal, Colorless, Colorless","3","50+","Flip a coin. If heads, this attack does 50 damage plus 30 more damage.","Fire","+20"
"pl4-8","Salamence","Pokémon","140","Colorless","","Shelgon","8","Shin Nagasawa","Rare Holo",,"373",,"https://images.pokemontcg.io/pl4/8.png","https://images.pokemontcg.io/pl4/8_hires.png","Legal",,,"Colorless, Colorless","2","Top Accelerator","Once during your turn (before your attack), you may reveal the top card of your deck. If that card is a basic Energy card, attach it to 1 of your Pokémon. If that card isn't a basic Energy card, discard it. This power can't be used if Salamence is affected by a Special Condition.","Poké-Power","","","","Shoot Through","Fire, Water, Colorless","3","50","Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Dragon Claw","Colorless, Colorless, Colorless, Colorless","4","70","","Colorless","+30"
"pl4-9","Swalot","Pokémon","100","Psychic","","Gulpin","9","Aya Kusube","Rare Holo","It swallows anything whole. It sweats toxic fluids from its follicles to douse foes.","317",,"https://images.pokemontcg.io/pl4/9.png","https://images.pokemontcg.io/pl4/9_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Damage Roller","Psychic","1","","Put damage counters on the Defending Pokémon until the Defending Pokémon has the same remaining HP as Swalot. (If the Defending Pokémon has the same or less remaining HP as Swalot, this attack does nothing.)","Entangle Tackle","Psychic, Psychic, Colorless","3","50+","You may do 50 damage plus 30 more damage. If you do, this attack does 30 damage to 1 of your Pokémon, and don't apply Weakness and Resistance to this damage.","Psychic","+20"
"pl4-10","Tangrowth","Pokémon","110","Grass","","Tangela","10","Masakazu Fukuda","Rare Holo","Its arms are made of plants that bind themselves to things. They grow back right away if cut.","465",,"https://images.pokemontcg.io/pl4/10.png","https://images.pokemontcg.io/pl4/10_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Leaf Guard","Grass, Colorless","2","30","During your opponent's next turn, any damage done to Tangrowth by attacks is reduced by 20 (after applying Weakness and Resistance).","Swallow Up","Grass, Grass, Colorless, Colorless","4","50","Before doing damage, count the remaining HP of the Defending Pokémon and Tangrowth. If the Defending Pokémon has fewer remaining HP than Tangrowth's, this attack does 120 damage instead.","Fire","+30"
