"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"pop3-1","Blastoise","Pokemon","120","Water","Rare","Colorless, Colorless","2","","","Smash Turn","Colorless, Colorless","2","30","After your attack, you may switch Blastoise with 1 of your Benched Pokemon.","Rocket Tackle","Water, Water, Colorless, Colorless","4","60","Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Blastoise by attacks during your opponent's next turn.","Lightning","x2"
"pop3-2","Flareon","Pokemon","70","Fire","Rare","Colorless","1","","","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage.","Fire Spin","Fire, Fire, Colorless","3","70","Discard 2 basic Energy cards attached to Flareon or this attack does nothing.","Water","x2"
"pop3-3","Jolteon","Pokemon","70","Lightning","Rare","","0","","","Thundershock","Lightning, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Paralyzed.","Pin Missile","Lightning, Colorless, Colorless","3","20x","Flip 4 coins. This attack does 20 damage times the number of heads.","Fighting","x2"
"pop3-4","Minun","Pokemon","50","Lightning","Rare","Colorless","1","","","Cheer Up","Colorless","1","","Draw a card. If you have Plusle in play, draw 2 cards instead.","Negative Ion","Lightning, Colorless","2","20","During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 10 (before applying Weakness and Resistance).","Fighting","x2"
"pop3-5","Plusle","Pokemon","50","Lightning","Rare","Colorless","1","","","Cheer Up","Colorless","1","","Draw a card. If you have Minun in play, draw 2 cards instead.","Positive Ion","Lightning, Colorless","2","20+","Flip a coin. If heads, this attack does 20 damage plus 10 more damage.","Fighting","x2"
"pop3-6","Vaporeon","Pokemon","70","Water","Rare","Colorless","1","","","Bite","Colorless","1","20","","Water Gun","Water, Colorless","2","30+","Does 30 damage plus 20 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.","Lightning","x2"
"pop3-7","Combusken","Pokemon","70","Fire","Uncommon","Colorless","1","","","Scratch","Colorless","1","10","","Flamethrower","Fire, Colorless, Colorless","3","50","Discard a Fire Energy attached to Combusken.","Water","x2"
"pop3-8","Donphan","Pokemon","80","Fighting","Uncommon","Colorless","1","","","Sniff Out","Colorless","1","","Put any 1 card from your discard pile into your hand.","Fury Attack","Fighting, Colorless, Colorless","3","30x","Flip 3 coins. This attack does 30 damage times the number of heads.","Grass","x2"
"pop3-9","Forretress","Pokemon","70","Grass","Uncommon","Colorless, Colorless","2","","","Tackle","Colorless, Colorless","2","20","","Toxic","Grass, Grass, Colorless","3","20","The Defending Pokemon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokemon between turns.","Fire","x2"
"pop3-12","Ditto","Pokemon","60","Psychic","Common","Colorless","1","Duplicate","Once during your turn (before your attack), you may search your deck for another Ditto and switch it with Ditto. (Any cards attached to Ditto, damage counters, Special Conditions, and effects on it are now on the new Pokemon.) If you do, put Ditto on top of your deck. Shuffle your deck afterward. You can't use more than 1 Duplicate Poke-Power each turn.","Psybeam","Psychic, Colorless","2","20","Flip a coin. If heads, the Defending Pokemon is now Confused.","","","","","","Psychic","x2"
"pop3-13","Eevee","Pokemon","50","Colorless","Common","Colorless","1","","","Tackle","Colorless","1","10","","Take Down","Colorless, Colorless","2","30","Eevee does 10 damage to itself.","Fighting","x2"
"pop3-14","Ivysaur","Pokemon","70","Grass","Common","Colorless","1","","","Gouge","Colorless","1","10+","Flip a coin. If heads, this attack does 10 damage plus 10 more damage.","Poisonpowder","Grass, Colorless, Colorless","3","40","The Defending Pokemon is now Poisoned.","Psychic","x2"
"pop3-15","Marshtomp","Pokemon","70","Fighting","Common","Colorless","1","","","Mud Slap","Fighting","1","20","","Double-edge","Colorless, Colorless, Colorless","3","40","Marshtomp does 10 damage to itself.","Grass","x2"
"pop3-16","Pichu Bros.","Pokemon","60","Lightning","Common","Colorless","1","","","Bustle","Lightning, Lightning","2","20x","Flip 2 coins. This attack does 20 damage times the number of heads. If either coin is heads, the Defending Pokemon is now Confused.","","","","","","Fighting","x2"
