"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"pop7-1","Ampharos","Pokemon","130","Lightning","","Flaaffy","1","Kouki Saitou","Rare","The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light.","181",,"https://images.pokemontcg.io/pop7/1.png","https://images.pokemontcg.io/pop7/1_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","Jamming","After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokemon. You can't use more than 1 Jamming Poke-Body each turn.","Poke-Body","","","","Cluster Bolt","Lightning, Colorless, Colorless","3","70","You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokemon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokemon.)","","","","","","Fighting","+30"
"pop7-2","Gallade","Pokemon","130","Fighting","","Kirlia","2","Daisuke Ito","Rare","A master of courtesy and swordsmanship, it fights using extending swords on it elbows.","475",,"https://images.pokemontcg.io/pop7/2.png","https://images.pokemontcg.io/pop7/2_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Sonic Blade","Fighting, Colorless","2","","Put damage counters on the Defending Pokemon until it is 50 HP away from being Knocked Out. If you do, your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.","Psychic Cut","Psychic, Colorless, Colorless","3","60+","You may choose as many of your face-down Prize cards as you like and put them face up. If you do, this attack does 60 damage plus 20 more damage for each Prize card you chose. (These cards remain face up for the rest of the game.)","Psychic","+30"
"pop7-3","Latias","Pokemon","80","Colorless","",,"3","Daisuke Ito","Rare","Its body is covered with a down that can refract light in such a way that it becomes invisible.","380",,"https://images.pokemontcg.io/pop7/3.png","https://images.pokemontcg.io/pop7/3_hires.png","Legal",,,"Colorless","1","","","","","","","Miraculous Light","Colorless","1","10","Remove 2 damage counters and all Special Conditions from Latias.","Mist Ball","Fire, Water, Colorless","3","80","Discard a Fire and a Water Energy attached to Latias.","Colorless","+20"
"pop7-4","Latios","Pokemon","90","Colorless","",,"4","Daisuke Ito","Rare","A highly intelligent Pokemon. By folding back its wings in flight, it can overtake jet planes.","381",,"https://images.pokemontcg.io/pop7/4.png","https://images.pokemontcg.io/pop7/4_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Energy Draw","Colorless","1","10","Flip a coin. If heads, search your deck for a basic Energy card and attach it to Latios. Shuffle your deck afterward.","Luster Purge","Grass, Lightning, Colorless, Colorless","4","120","Discard 3 Energy attached to Latios.","Colorless","+20"
"pop7-5","Mothim","Pokemon","80","Grass","","Burmy","5","Kazuyuki Kano","Rare","It loves the honey of flowers and steals honey collected by COMBEE.","414",,"https://images.pokemontcg.io/pop7/5.png","https://images.pokemontcg.io/pop7/5_hires.png","Legal",,,"",,"","","","","","","Silver Wind","","0","","During your next turn, if an attack does damage to the Defending Pokemon (after applying Weakness and Resistance), that attack does 40 more damage.","Raging Scales","Grass, Colorless","2","30+","If Mothim has any damage counters on it, this attack does 30 damage plus 40 more damage.","Fire","+20"
"pop7-6","Delibird","Pokemon","70","Water","",,"6","Masakazu Fukuda","Uncommon","It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.","225",,"https://images.pokemontcg.io/pop7/6.png","https://images.pokemontcg.io/pop7/6_hires.png","Legal",,,"Colorless","1","","","","","","","Present","","0","","Flip a coin. If heads, search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.","Ice Ball","Water","1","20","","Metal","+20"
"pop7-7","Flaaffy","Pokemon","80","Lightning","Ampharos","Mareep","7","Kagemaru Himeno","Uncommon","If its coat becomes fully charged with electricity, its tail lights up. It fire hair that zaps on impact.","180",,"https://images.pokemontcg.io/pop7/7.png","https://images.pokemontcg.io/pop7/7_hires.png","Legal",,,"Colorless","1","","","","","","","Attract Current","Colorless","1","10","Search your deck for a Lightning Energy card and attach it to 1 of your Pokemon. Shuffle your deck afterward.","Electromagnetic Kick","Lightning, Lightning, Colorless","3","60","Flip a coin. If tails, Flaaffy does 10 damage to itself.","Fighting","+20"
"pop7-8","Kirlia","Pokemon","80","Psychic","Gardevoir, Gallade","Ralts","8","Masakazu Fukuda","Uncommon","It is highly perceptive of its Trainer's feelings. It dances when it is feeling happy.","281",,"https://images.pokemontcg.io/pop7/8.png","https://images.pokemontcg.io/pop7/8_hires.png","Legal",,,"Colorless","1","","","","","","","Psychic Research","Psychic","1","","Search your discard pile for a Supporter card and use the effect of that card as the effect of this attack. (The Supporter card remains in your discard pile.)","Telekinesis","Psychic, Colorless, Colorless","3","","Choose 1 of your opponent's Pokemon. This attack does 40 damage to that Pokemon. This attack's damage isn't affected by Weakness or Resistance.","Psychic","+20"
"pop7-9","Stantler","Pokemon","70","Colorless","",,"9","Kouki Saitou","Uncommon","Staring at its antlers creates an odd sensation as if one were being drawn into their centers.","234",,"https://images.pokemontcg.io/pop7/9.png","https://images.pokemontcg.io/pop7/9_hires.png","Legal",,,"Colorless","1","","","","","","","Lead","","0","","Search your deck for a Supporter card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","Frighten Horn","Colorless, Colorless","2","20","If the Defending Pokemon isn't an Evolved Pokemon, that Pokemon is now Confused.","Fighting","+20"
"pop7-10","Wormadam Sandy Cloak","Pokemon","80","Fighting","","Burmy Sandy Cloak","10","Kagemaru Himeno","Uncommon","When BURMY evolved, it cloak became a part of this Pokemon's body. The cloak is never shed.","413",,"https://images.pokemontcg.io/pop7/10.png","https://images.pokemontcg.io/pop7/10_hires.png","Legal",,,"Colorless","1","Sandy Cloak","Prevent all effects, excluding damage, done to Wormadam Sandy Cloak.","Poke-Body","","","","Push Over","Fighting, Colorless, Colorless","3","40+","Does 40 damage plus 10 more damage for each Fighting Energy attached to Wormadam Sandy Cloak.","","","","","","Fire","+20"
