"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ru1-1","Venusaur","Pokemon","140","Grass","","Ivysaur","1","Pokemon Rumble",,,"3",,"https://images.pokemontcg.io/ru1/1.png","https://images.pokemontcg.io/ru1/1_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Giga Drain","Grass, Grass, Colorless, Colorless","4","50","Remove from Venusaur the number of damage counters equal to the damage you did to the Defending Pokemon.","","","","","","Fire","x2"
"ru1-2","Cherrim","Pokemon","80","Grass","","Cherubi","2","Pokemon Rumble",,,"421",,"https://images.pokemontcg.io/ru1/2.png","https://images.pokemontcg.io/ru1/2_hires.png","Legal",,,"Colorless","1","","","","","","","Solarbeam","Grass, Colorless, Colorless","3","60","","","","","","","Fire","x2"
"ru1-3","Ninetales","Pokemon","90","Fire","","Vulpix","3","Pokemon Rumble",,,"38",,"https://images.pokemontcg.io/ru1/3.png","https://images.pokemontcg.io/ru1/3_hires.png","Legal",,,"Colorless","1","","","","","","","Flame Tail","Fire, Colorless, Colorless","3","60","","","","","","","Water","x2"
"ru1-4","Heatran","Pokemon","110","Fire","",,"4","Pokemon Rumble",,,"485",,"https://images.pokemontcg.io/ru1/4.png","https://images.pokemontcg.io/ru1/4_hires.png","Legal",,,"Colorless, Colorless, Colorless, Colorless","4","","","","","","","Heat Boiler","Fire, Colorless, Colorless, Colorless","4","60+","If the Defending Pokemon is a Water Pokemon, this attack does 60 damage plus 40 more damage.","","","","","","Water","x2"
"ru1-5","Starmie","Pokemon","80","Water","","Staryu","5","Pokemon Rumble",,,"121",,"https://images.pokemontcg.io/ru1/5.png","https://images.pokemontcg.io/ru1/5_hires.png","Legal",,,"Colorless","1","","","","","","","Spiral Drain","Water, Colorless, Colorless","3","50","Remove 1 damage counter from Starmie.","","","","","","Lightning","x2"
"ru1-6","Gyarados","Pokemon","130","Water","","Magikarp","6","Pokemon Rumble",,,"130",,"https://images.pokemontcg.io/ru1/6.png","https://images.pokemontcg.io/ru1/6_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Thrash Tackle","Water, Colorless, Colorless, Colorless","4","80","Gyarados does 20 damage to itself.","","","","","","Lightning","x2"
"ru1-7","Pikachu","Pokemon","60","Lightning","Raichu",,"7","Pokemon Rumble",,,"25",,"https://images.pokemontcg.io/ru1/7.png","https://images.pokemontcg.io/ru1/7_hires.png","Legal",,,"Colorless","1","","","","","","","Volt Tackle","Lightning, Colorless, Colorless","3","60","Pikachu does 10 damage to itself.","","","","","","Fighting","x2"
"ru1-8","Zapdos","Pokemon","100","Lightning","",,"8","Pokemon Rumble",,,"145",,"https://images.pokemontcg.io/ru1/8.png","https://images.pokemontcg.io/ru1/8_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Drill Peck","Lightning, Colorless, Colorless, Colorless","4","70","","","","","","","Lightning","x2"
"ru1-9","Mewtwo","Pokemon","100","Psychic","",,"9","Pokemon Rumble",,,"150",,"https://images.pokemontcg.io/ru1/9.png","https://images.pokemontcg.io/ru1/9_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Super Psy Bolt","Psychic, Psychic, Colorless","3","70","","","","","","","Psychic","x2"
"ru1-10","Mew","Pokemon","60","Psychic","",,"10","Pokemon Rumble",,,"151",,"https://images.pokemontcg.io/ru1/10.png","https://images.pokemontcg.io/ru1/10_hires.png","Legal",,,"",,"","","","","","","Cut","Colorless, Colorless","2","30","","Will-o'-the-wisp","Psychic, Colorless, Colorless","3","60","","Psychic","x2"
