"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sm5-1","Exeggcute","Pokémon","50","Grass","Exeggutor",,"1","kawayoo","Common","Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.","102",,"https://images.pokemontcg.io/sm5/1.png","https://images.pokemontcg.io/sm5/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Continuous Eggsplosion","Grass","1","20×","Flip a coin until you get tails. This attack does 20 damage for each heads.","","","","","","Fire","×2"
"sm5-2","Yanma","Pokémon","70","Grass","Yanmega",,"2","Akira Komayama","Common","If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.","193",,"https://images.pokemontcg.io/sm5/2.png","https://images.pokemontcg.io/sm5/2_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Super Speed","Colorless, Colorless","2","20","Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.","","","","","","Lightning","×2"
"sm5-3","Yanmega","Pokémon","120","Grass","","Yanma","3","SATOSHI NAKAI","Uncommon","This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.","469",,"https://images.pokemontcg.io/sm5/3.png","https://images.pokemontcg.io/sm5/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Supersonic","Grass","1","30","Your opponent's Active Pokémon is now Confused.","Cutting Wind","Colorless, Colorless, Colorless, Colorless","4","120","","Lightning","×2"
"sm5-4","Roselia","Pokémon","70","Grass","Roserade",,"4","Kyoko Umemoto","Common","Roselia that drink nutritionally rich springwater are said to reveal rare coloration when they bloom.","315",,"https://images.pokemontcg.io/sm5/4.png","https://images.pokemontcg.io/sm5/4_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Petal Dance","Grass, Colorless","2","30×","Flip 3 coins. This attack does 30 damage for each heads. This Pokémon is now Confused.","","","","","","Fire","×2"
"sm5-5","Roserade","Pokémon","100","Grass","","Roselia","5","Mitsuhiro Arita","Rare","With the movements of a dancer, it strikes with whips that are densely lined with poison thorns.","407",,"https://images.pokemontcg.io/sm5/5.png","https://images.pokemontcg.io/sm5/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Inviting Poison","Grass","1","","Switch 1 of your opponent's Benched Pokémon with their Active Pokémon. The new Active Pokémon is now Poisoned.","Flower Tornado","Grass, Grass, Colorless","3","100","Move any number of Grass Energy from your Pokémon to your other Pokémon in any way you like.","Fire","×2"
"sm5-6","Turtwig","Pokémon","70","Grass","Grotle",,"6","Ken Sugimori","Common","It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.","387",,"https://images.pokemontcg.io/sm5/6.png","https://images.pokemontcg.io/sm5/6_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Synthesis","Grass","1","","Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.","Headbutt Bounce","Grass, Colorless","2","30","","Fire","×2"
"sm5-7","Turtwig","Pokémon","80","Grass","Grotle",,"7","OOYAMA","Common","It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.","387",,"https://images.pokemontcg.io/sm5/7.png","https://images.pokemontcg.io/sm5/7_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Tackle","Colorless, Colorless","2","20","","Razor Leaf","Grass, Grass, Colorless","3","50","","Fire","×2"
"sm5-8","Grotle","Pokémon","110","Grass","Torterra","Turtwig","8","Shigenori Negishi","Uncommon","It knows where pure water wells up. It carries fellow Pokémon there on its back.","388",,"https://images.pokemontcg.io/sm5/8.png","https://images.pokemontcg.io/sm5/8_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Mega Drain","Grass, Colorless","2","30","Heal 30 damage from this Pokémon.","Razor Leaf","Grass, Grass, Grass, Colorless","4","80","","Fire","×2"
"sm5-9","Torterra","Pokémon","180","Grass","","Grotle","9","kawayoo","Rare Holo","Small Pokémon occasionally gather on its unmoving back to begin building their nests.","389",,"https://images.pokemontcg.io/sm5/9.png","https://images.pokemontcg.io/sm5/9_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Giga Drain","Grass, Grass, Colorless","3","50","Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.","Earthquake","Grass, Grass, Grass, Colorless","4","180","This attack does 20 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","Fire","×2"
"sm5-10","Cherubi","Pokémon","50","Grass","Cherrim",,"10","Asako Ito","Common","It evolves by sucking the energy out of the small ball where it had been storing nutrients.","420",,"https://images.pokemontcg.io/sm5/10.png","https://images.pokemontcg.io/sm5/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Surprise Attack","Grass","1","30","Flip a coin. If tails, this attack does nothing.","","","","","","Fire","×2"
"sm5-11","Cherrim","Pokémon","80","Grass","","Cherubi","11","MAHOU","Uncommon","If it senses strong sunlight, it opens its folded petals to absorb the sun's rays with its whole body.","421",,"https://images.pokemontcg.io/sm5/11.png","https://images.pokemontcg.io/sm5/11_hires.png","Legal",,"Legal","Colorless","1","Weather Guard","Your Grass Pokémon have no Weakness.","Ability","","","","Seed Bomb","Grass","1","30","","","","","","","Fire","×2"
