"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"smp-SM01","Rowlet","Pokemon","50","Grass","Dartrix",,"SM01","Mitsuhiro Arita","Promo","This wary Pokemon uses photosynthesis to store up energy during the day, while becoming active at night.","722",,"https://images.pokemontcg.io/smp/SM01.png","https://images.pokemontcg.io/smp/SM01_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fury Attack","Grass","1","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"smp-SM02","Litten","Pokemon","60","Fire","Torracat",,"SM02","Megumi Mizutani","Promo","While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.","725",,"https://images.pokemontcg.io/smp/SM02.png","https://images.pokemontcg.io/smp/SM02_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Combustion","Fire, Colorless","2","30","","","","","","","Water","x2"
"smp-SM03","Popplio","Pokemon","60","Water","Brionne",,"SM03","match","Promo","This Pokemon snorts body fluids from its nose, blowing balloons to smash into its foes. It's famous for being a hard worker.","728",,"https://images.pokemontcg.io/smp/SM03.png","https://images.pokemontcg.io/smp/SM03_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Sing","Water","1","","Your opponent's Active Pokemon is now Asleep.","","","","","","Grass","x2"
"smp-SM04","Pikachu","Pokemon","70","Lightning","Raichu",,"SM04","kirisAki","Promo","A plan was recently announced to gather many Pikachu and make an electric power plant.","25",,"https://images.pokemontcg.io/smp/SM04.png","https://images.pokemontcg.io/smp/SM04_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Thunder Wave","Lightning","1","","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Electro Ball","Lightning, Colorless, Colorless","3","50","","Fighting","x2"
"smp-SM05","Snorlax-GX","Pokemon","190","Colorless","",,"SM05","5ban Graphics","Promo",,"143",,"https://images.pokemontcg.io/smp/SM05.png","https://images.pokemontcg.io/smp/SM05_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Collapse","Colorless, Colorless, Colorless","3","80","This Pokemon is now Asleep.","Thunderous Snore","Colorless, Colorless, Colorless, Colorless, Colorless","5","180","This attack can be used if this Pokemon is Asleep. If it is not Asleep, this attack does nothing.","Fighting","x2"
"smp-SM06","Rockruff","Pokemon","60","Fighting","Lycanroc",,"SM06","match","Promo","It's considered to be a good Pokemon for beginners because of its friendliness, but its disposition grows rougher as it grows up.","744",,"https://images.pokemontcg.io/smp/SM06.png","https://images.pokemontcg.io/smp/SM06_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Colorless","1","10","","Rock Throw","Fighting, Colorless","2","20","","Grass","x2"
"smp-SM07","Pikipek","Pokemon","60","Colorless","Trumbeak",,"SM07","match","Promo","It can peck at a rate of 16 times a second to drill holes in trees. It uses holes for food storage and for nesting.","731",,"https://images.pokemontcg.io/smp/SM07.png","https://images.pokemontcg.io/smp/SM07_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Nosedive","Colorless, Colorless","2","40","This Pokemon does 20 damage to itself.","","","","","","Lightning","x2"
"smp-SM08","Litten","Pokemon","60","Fire","Torracat",,"SM08","Kouki Saitou","Promo","While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.","725",,"https://images.pokemontcg.io/smp/SM08.png","https://images.pokemontcg.io/smp/SM08_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Collect","Colorless","1","","Draw a card.","Scratch","Fire, Colorless","2","20","","Water","x2"
"smp-SM09","Togedemaru","Pokemon","70","Lightning","",,"SM09","match","Promo","The long hairs on its back act as lightning rods. The bolts of lightning it attracts are stored as energy in its electric sac.","777",,"https://images.pokemontcg.io/smp/SM09.png","https://images.pokemontcg.io/smp/SM09_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Defense Curl","Colorless","1","","Flip a coin. If heads, prevent all damage done to this Pokemon by attacks during your opponent's next turn.","Discharge","Lightning","1","30x","Discard all Lightning Energy from this Pokemon. This attack does 30 damage for each card you discarded in this way.","Fighting","x2"
"smp-SM10","Shiinotic","Pokemon","100","Grass","","Morelull","SM10","Mizue","Promo","It emits flickering spores that cause drowsiness. When its prey succumb to sleep, this Pokemon feeds on them by sucking in their energy.","756",,"https://images.pokemontcg.io/smp/SM10.png","https://images.pokemontcg.io/smp/SM10_hires.png","Legal",,"Legal","Colorless, Colorless","2","Illuminate","Once during your turn (before your attack), you may search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.","Ability","","","","Flickering Spores","Grass, Colorless","2","30","Your opponent's Active Pokemon is now Asleep.","","","","","","Fire","x2"
"smp-SM11","Bruxish","Pokemon","110","Water","",,"SM11","Mizue","Promo","It stuns its prey with psychokinesis and then grinds them to mush with its strong teeth. Even Shellder's shell is no match for it.","779",,"https://images.pokemontcg.io/smp/SM11.png","https://images.pokemontcg.io/smp/SM11_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Vivid Charge","Colorless","1","","Search your deck for up to 3 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","Psychic Fang","Water, Water, Colorless","3","90","This attack's damage isn't affected by any effects on your opponent's Active Pokemon.","Grass","x2"
"smp-SM12","Passimian","Pokemon","110","Fighting","",,"SM12","Naoki Saito","Promo","They form groups of roughly 20 individuals. Their mutual bond is remarkable—they will never let down a comrade.","766",,"https://images.pokemontcg.io/smp/SM12.png","https://images.pokemontcg.io/smp/SM12_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fling","Fighting","1","","This attack does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Team Play","Colorless, Colorless","2","10+","This attack does 30 more damage for each of your Benched Passimian.","Psychic","x2"
"smp-SM13","Oranguru","Pokemon","120","Colorless","",,"SM13","Mitsuhiro Arita","Promo","Deep in the jungle, high in the lofty canopy, this Pokemon abides. On rare occasions, it shows up at the beach to match wits with Slowking.","765",,"https://images.pokemontcg.io/smp/SM13.png","https://images.pokemontcg.io/smp/SM13_hires.png","Legal",,"Legal","Colorless, Colorless","2","Instruct","Once during your turn (before your attack), you may draw cards until you have 3 cards in your hand.","Ability","","","","Psychic","Colorless, Colorless, Colorless","3","60+","This attack does 20 more damage times the amount of Energy attached to your opponent's Active Pokemon.","","","","","","Fighting","x2"
"smp-SM14","Lycanroc-GX","Pokemon","200","Fighting","","Rockruff","SM14","5ban Graphics","Promo",,"745",,"https://images.pokemontcg.io/smp/SM14.png","https://images.pokemontcg.io/smp/SM14_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Crunch","Fighting, Colorless","2","30","Discard an Energy from your opponent's Active Pokemon.","Accelerock","Fighting, Fighting, Colorless","3","120","","Grass","x2"
