"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv7-2","Ledyba","Pokemon","60","Grass","Common","Colorless","1","","","Headbutt Bounce","Colorless, Colorless","2","30","","","","","","","Fire","x2"
"sv7-3","Ledian","Pokemon","90","Grass","Rare","","0","Glittering Star Pattern","When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may switch in 1 of your opponent's Benched Pokemon that has 90 HP or less remaining to the Active Spot.","Swift","Colorless, Colorless","2","70","This attack's damage isn't affected by Weakness or Resistance, or by any effects on your opponent's Active Pokemon.","","","","","","Fire","x2"
"sv7-4","Celebi","Pokemon","80","Grass","Uncommon","Colorless","1","","","Collect","Colorless","1","","Draw a card.","Leaf Step","Grass","1","30","","Fire","x2"
"sv7-5","Lileep","Pokemon","100","Grass","Common","Colorless, Colorless","2","","","Bind Down","Grass","1","50","During your opponent's next turn, the Defending Pokemon can't retreat.","","","","","","Fire","x2"
"sv7-6","Cradily","Pokemon","150","Grass","Rare","Colorless, Colorless, Colorless","3","Selective Slime","Once during your turn, you may flip a coin. If heads, choose Burned, Confused, or Poisoned. Your opponent's Active Pokemon is now affected by that Special Condition.","Miasma Wind","Grass","1","100x","This attack does 100 damage for each Special Condition affecting your opponent's Active Pokemon.","","","","","","Fire","x2"
"sv7-7","Carnivine","Pokemon","110","Grass","Common","Colorless, Colorless","2","","","Nosh","Colorless","1","","Heal 40 damage from this Pokemon.","Loom Over","Grass, Colorless, Colorless","3","130-","This attack does 10 less damage for each damage counter on this Pokemon.","Fire","x2"
"sv7-8","Mow Rotom","Pokemon","90","Grass","Common","Colorless","1","","","Reaping Dash","Colorless","1","30","Before doing damage, discard all Pokemon Tools and Special Energy from your opponent's Active Pokemon.","","","","","","Fire","x2"
"sv7-9","Grubbin","Pokemon","70","Grass","Common","Colorless, Colorless","2","","","Ambush","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 30 more damage.","","","","","","Fire","x2"
"sv7-10","Gossifleur","Pokemon","60","Grass","Common","Colorless","1","","","Double Spin","Colorless","1","10x","Flip 2 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"sv7-11","Eldegoss","Pokemon","90","Grass","Uncommon","Colorless","1","","","Breezy Gift","Colorless","1","","Put this Pokemon and all attached cards into your deck. If you do, search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.","Leafage","Grass","1","50","","Fire","x2"
