"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv8-1","Exeggcute","Pokemon","30","Grass","Exeggutor",,"1",,"Common",,"102","H","https://images.pokemontcg.io/sv8/1.png","https://images.pokemontcg.io/sv8/1_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Precocious Evolution","Colorless","1","","If you go first, you can use this attack during your first turn. Search your deck for a card that evolves from this Pokemon and put it onto this Pokemon to evolve it. Then, shuffle your deck.","","","","","","Fire","x2"
"sv8-2","Exeggcute","Pokemon","50","Grass","Exeggutor",,"2",,"Common",,"102","H","https://images.pokemontcg.io/sv8/2.png","https://images.pokemontcg.io/sv8/2_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Absorb","Colorless","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"sv8-3","Exeggutor","Pokemon","130","Grass","","Exeggcute","3",,"Uncommon",,"103","H","https://images.pokemontcg.io/sv8/3.png","https://images.pokemontcg.io/sv8/3_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Barrage O'Clock","Grass","1","60x","Flip a coin for each Energy attached to both Active Pokemon. This attack does 60 damage for each heads.","","","","","","Fire","x2"
"sv8-4","Durant ex","Pokemon","190","Grass","",,"4",,"Double Rare",,"632","H","https://images.pokemontcg.io/sv8/4.png","https://images.pokemontcg.io/sv8/4_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Sudden Shearing","When you play this Pokemon from your hand onto your Bench during your turn, you may discard the top card of your opponent's deck.","Ability","","","","Vengeful Crush","Grass, Colorless, Colorless","3","120+","This attack does 30 more damage for each Prize card your opponent has taken.","","","","","","Fire","x2"
"sv8-5","Scatterbug","Pokemon","40","Grass","Spewpa",,"5",,"Common",,"664","H","https://images.pokemontcg.io/sv8/5.png","https://images.pokemontcg.io/sv8/5_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Call for Family","Colorless","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck.","","","","","","Fire","x2"
"sv8-6","Spewpa","Pokemon","80","Grass","Vivillon","Scatterbug","6",,"Common",,"665","H","https://images.pokemontcg.io/sv8/6.png","https://images.pokemontcg.io/sv8/6_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Wander About","Colorless","1","","Switch this Pokemon with 1 of your Benched Pokemon.","Tackle","Grass","1","30","","Fire","x2"
"sv8-7","Vivillon","Pokemon","120","Grass","","Spewpa","7",,"Uncommon",,"666","H","https://images.pokemontcg.io/sv8/7.png","https://images.pokemontcg.io/sv8/7_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Evo-Powder","Colorless","1","","For each of your Benched Pokemon, search your deck for a card that evolves from that Pokemon and put it onto that Pokemon to evolve it. Then, shuffle your deck.","Cutting Wind","Grass","1","90","","Fire","x2"
"sv8-8","Morelull","Pokemon","60","Grass","Shiinotic",,"8",,"Common",,"755","H","https://images.pokemontcg.io/sv8/8.png","https://images.pokemontcg.io/sv8/8_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Attach","Colorless","1","10","","","","","","","Fire","x2"
"sv8-9","Shiinotic","Pokemon","110","Grass","","Morelull","9",,"Uncommon",,"756","H","https://images.pokemontcg.io/sv8/9.png","https://images.pokemontcg.io/sv8/9_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Calming Light","Once during your turn, if this Pokemon is in the Active Spot, you may make your opponent's Active Pokemon Asleep.","Ability","","","","Spiral Rush","Grass, Colorless","2","60+","Flip a coin until you get tails. This attack does 30 more damage for each heads.","","","","","","Fire","x2"
"sv8-10","Dhelmise","Pokemon","130","Grass","",,"10",,"Common",,"781","H","https://images.pokemontcg.io/sv8/10.png","https://images.pokemontcg.io/sv8/10_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Rescue Kedge","Colorless","1","","Put up to 2 Pokemon from your discard pile into your hand.","Annihilating Anchor","Grass, Colorless, Colorless","3","80","Before doing damage, discard all Pokemon Tools from your opponent's Active Pokemon.","Fire","x2"
