"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"sv8pt5-1","Exeggcute","Pokemon","60","Grass","Exeggutor",,"1",,"Common",,"102","H","https://images.pokemontcg.io/sv8pt5/1.png","https://images.pokemontcg.io/sv8pt5/1_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Ram","Grass, Colorless","2","30","","","","","","","Fire","x2"
"sv8pt5-2","Exeggutor","Pokemon","140","Grass","","Exeggcute","2",,"Uncommon",,"103","H","https://images.pokemontcg.io/sv8pt5/2.png","https://images.pokemontcg.io/sv8pt5/2_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Mega Drain","Grass, Colorless","2","50","Heal 30 damage from this Pokemon.","Solar Beam","Grass, Grass, Colorless","3","130","","Fire","x2"
"sv8pt5-3","Pinsir","Pokemon","120","Grass","",,"3",,"Common",,"127","H","https://images.pokemontcg.io/sv8pt5/3.png","https://images.pokemontcg.io/sv8pt5/3_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Slash","Grass, Colorless","2","60","","","","","","","Fire","x2"
"sv8pt5-4","Budew","Pokemon","30","Grass","Roselia",,"4",,"Common",,"406","H","https://images.pokemontcg.io/sv8pt5/4.png","https://images.pokemontcg.io/sv8pt5/4_hires.png","Legal","Legal","Legal","",,"","","","","","","Itchy Pollen","Free","1","10","During your opponent's next turn, they can't play any Item cards from their hand.","","","","","","Fire","x2"
"sv8pt5-5","Leafeon","Pokemon","120","Grass","","Eevee","5",,"Rare",,"470","H","https://images.pokemontcg.io/sv8pt5/5.png","https://images.pokemontcg.io/sv8pt5/5_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Leaflet Blessings","Colorless","1","","Attach a Basic Grass Energy card from your hand to 1 of your Benched Pokemon. If you do, heal all damage from that Pokemon.","Solar Beam","Grass, Colorless","2","70","","Fire","x2"
"sv8pt5-6","Leafeon ex","Pokemon","270","Grass","","Eevee","6",,"Double Rare",,"470","H","https://images.pokemontcg.io/sv8pt5/6.png","https://images.pokemontcg.io/sv8pt5/6_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Verdant Storm","Grass, Colorless","2","60x","This attack does 60 damage for each Energy attached to all of your opponent's Pokemon.","Moss Agate","Grass, Fire, Water","3","230","Heal 100 damage from each of your Benched Pokemon.","Fire","x2"
"sv8pt5-7","Cottonee","Pokemon","60","Grass","Whimsicott",,"7",,"Common",,"546","H","https://images.pokemontcg.io/sv8pt5/7.png","https://images.pokemontcg.io/sv8pt5/7_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Triple Spin","Grass","1","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"sv8pt5-8","Whimsicott","Pokemon","100","Grass","","Cottonee","8",,"Rare",,"547","H","https://images.pokemontcg.io/sv8pt5/8.png","https://images.pokemontcg.io/sv8pt5/8_hires.png","Legal","Legal","Legal","Colorless","1","Wafting Heal","When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may heal all damage from your Active Grass Pokemon. If you healed any damage in this way, discard all Energy from that Pokemon.","Ability","","","","Seed Bomb","Grass","1","40","","","","","","","Fire","x2"
"sv8pt5-9","Applin","Pokemon","40","Grass","Flapple",,"9",,"Common",,"840","H","https://images.pokemontcg.io/sv8pt5/9.png","https://images.pokemontcg.io/sv8pt5/9_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Spray Fluid","Grass","1","20","","","","","","","Fire","x2"
"sv8pt5-10","Dipplin","Pokemon","80","Grass","","Applin","10",,"Uncommon",,"1011","H","https://images.pokemontcg.io/sv8pt5/10.png","https://images.pokemontcg.io/sv8pt5/10_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Festival Lead","If Festival Grounds is in play, this Pokemon may use an attack it has twice. If the first attack Knocks Out your opponent's Active Pokemon, you may attack again after your opponent chooses a new Active Pokemon.","Ability","","","","Do the Wave","Grass","1","20x","This attack does 20 damage for each of your Benched Pokemon.","","","","","","Fire","x2"
