"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"svp-1","Sprigatito","Pokemon","70","Grass","",,"1","Yuu Nishida","Promo","Its fluffy fur is similar in composition to plants. This Pokemon frequently washes its face to keep it from drying out.","906","G","https://images.pokemontcg.io/svp/1.png","https://images.pokemontcg.io/svp/1_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Mini Drain","Grass","1","10","Heal 10 damage from this Pokemon.","","","","","","Fire","x2"
"svp-2","Fuecoco","Pokemon","80","Fire","",,"2","Ryuta Fuse","Promo","It lies on warm rocks and uses the heat absorbed by its square-shaped scales to create fire energy.","909","G","https://images.pokemontcg.io/svp/2.png","https://images.pokemontcg.io/svp/2_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Super Singe","Fire, Fire, Colorless","3","30","Your opponent's Active Pokemon is now Burned.","","","","","","Water","x2"
"svp-3","Quaxly","Pokemon","70","Water","",,"3","Narumi Sato","Promo","This Pokemon migrated to Paldea from distant lands long ago. The gel secreted by its feathers repels water and grime.","912","G","https://images.pokemontcg.io/svp/3.png","https://images.pokemontcg.io/svp/3_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Water Splash","Water, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Lightning","x2"
"svp-4","Mimikyu ex","Pokemon","190","Psychic","",,"4","PLANETA Yamashita","Promo",,"778","G","https://images.pokemontcg.io/svp/4.png","https://images.pokemontcg.io/svp/4_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Void Return","Psychic","1","30","You may switch this Pokemon with 1 of your Benched Pokemon.","Energy Burst","Psychic, Colorless, Colorless","3","30x","This attack does 30 damage for each Energy attached to both Active Pokemon.","Metal","x2"
"svp-5","Quaquaval","Pokemon","170","Water","","Quaxwell","5","kodama","Promo","A single kick from a Quaquaval can send a truck rolling. This Pokemon uses its powerful legs to perform striking dances from far-off lands.","914","G","https://images.pokemontcg.io/svp/5.png","https://images.pokemontcg.io/svp/5_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Energy Carnival","Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokemon.","Ability","","","","Hydro Kick","Water, Colorless, Colorless","3","140","","","","","","","Lightning","x2"
"svp-6","Pawmot","Pokemon","130","Lightning","","Pawmo","6","GIDORA","Promo","Pawmot's fluffy fur acts as a battery. It can store the same amount of electricity as an electric car.","922","G","https://images.pokemontcg.io/svp/6.png","https://images.pokemontcg.io/svp/6_hires.png","Legal","Legal","Legal","",,"Electrogenesis","Once during your turn, you may search your deck for a Basic Lightning Energy card and attach it to this Pokemon. Then, shuffle your deck.","Ability","","","","Electro Paws","Lightning, Lightning, Colorless","3","230","Discard all Energy from this Pokemon.","","","","","","Fighting","x2"
"svp-7","Hawlucha","Pokemon","70","Fighting","",,"7","Yuya Oka","Promo","Its elegant finishing moves—performed by nimbly leaping around using its wings—are polished in the forest where it was born and raised.","701","G","https://images.pokemontcg.io/svp/7.png","https://images.pokemontcg.io/svp/7_hires.png","Legal","Legal","Legal","Colorless","1","Flying Entry","When you play this Pokemon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokemon and put 1 damage counter on each of them.","Ability","","","","Wing Attack","Fighting, Colorless, Colorless","3","70","","","","","","","Psychic","x2"
"svp-8","Revavroom","Pokemon","140","Metal","","Varoom","8","DOM","Promo","It creates a gas out of poison and minerals from rocks. It then detonates the gas in its cylinders— now numbering eight—to generate energy.","966","G","https://images.pokemontcg.io/svp/8.png","https://images.pokemontcg.io/svp/8_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","Rumbling Engine","You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.","Ability","","","","Knock Away","Metal, Colorless, Colorless, Colorless","4","90+","Flip a coin. If heads, this attack does 90 more damage.","","","","","","Fire","x2"
"svp-9","Spidops","Pokemon","120","Grass","","Tarountula","9","Anesaki Dynamic","Promo","It clings to branches and ceilings using its threads and moves without a sound. It takes out its prey before the prey even notices it.","918","G","https://images.pokemontcg.io/svp/9.png","https://images.pokemontcg.io/svp/9_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","String Truss","Grass","1","30","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Jet Headbutt","Grass, Colorless, Colorless","3","100","","Fire","x2"
"svp-10","Espathra","Pokemon","110","Psychic","","Flittle","10","Sanosuke Sakuma","Promo","It immobilizes opponents by bathing them in psychic power from its large eyes. Despite its appearance, it has a vicious temperament.","956","G","https://images.pokemontcg.io/svp/10.png","https://images.pokemontcg.io/svp/10_hires.png","Legal","Legal","Legal","",,"","","","","","","Aurora Gain","Colorless","1","30","Heal 30 damage from this Pokemon.","Super Psy Bolt","Psychic, Colorless","2","60","","Darkness","x2"
"svp-11","Arcanine","Pokemon","130","Fire","","Growlithe","11","Ryuta Fuse","Promo","An ancient picture scroll shows that people were captivated by its movement as it ran through prairies.","59","G","https://images.pokemontcg.io/svp/11.png","https://images.pokemontcg.io/svp/11_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Crunch","Fire, Colorless","2","30","Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.","Fire Mane","Fire, Fire, Colorless","3","120","","Water","x2"
"svp-12","Dondozo","Pokemon","150","Water","",,"12","Shin Nagasawa","Promo","This Pokemon is a glutton, but it's bad at getting food. It teams up with a Tatsugiri to catch prey.","977","G","https://images.pokemontcg.io/svp/12.png","https://images.pokemontcg.io/svp/12_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless, Colorless","4","","","","","","","Hammer In","Water, Colorless, Colorless","3","60","","Dangerous Wave","Water, Colorless, Colorless, Colorless","4","100+","Flip 2 coins. If both of them are heads, this attack does 100 more damage.","Lightning","x2"
"svp-13","Miraidon","Pokemon","120","Lightning","",,"13","Akira Komayama","Promo","Much remains unknown about this creature. It resembles Cyclizar, but it is far more ruthless and powerful.","1008","G","https://images.pokemontcg.io/svp/13.png","https://images.pokemontcg.io/svp/13_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Sharp Fang","Colorless, Colorless","2","30","","Lightning Laser","Lightning, Lightning, Colorless","3","90","This attack also does 30 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"svp-14","Koraidon","Pokemon","130","Fighting","",,"14","Mina Nakai","Promo","This seems to be the Winged King mentioned in an old expedition journal. It was said to have split the land with its bare fists.","1007","G","https://images.pokemontcg.io/svp/14.png","https://images.pokemontcg.io/svp/14_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Claw Slash","Colorless, Colorless, Colorless","3","70","","Rampaging Fang","Fighting, Fighting, Fighting, Colorless","4","190","Discard 3 Energy from this Pokemon.","Psychic","x2"
"svp-15","Flaaffy","Pokemon","90","Lightning","","Mareep","15","0313","Promo","As a result of storing too much electricity, it developed patches where even downy wool won't grow.","180","G","https://images.pokemontcg.io/svp/15.png","https://images.pokemontcg.io/svp/15_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Static Shock","Lightning","1","30","","Extreme Current","Lightning, Colorless, Colorless","3","80","Discard an Energy from this Pokemon.","Fighting","x2"
"svp-16","Ampharos ex","Pokemon","330","Lightning","","Flaaffy","16","PLANETA Tsuji","Promo",,"181","G","https://images.pokemontcg.io/svp/16.png","https://images.pokemontcg.io/svp/16_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Electro Ball","Lightning","1","60","","Thunderstrike Tail","Lightning, Colorless, Colorless","3","140+","You may discard 2 Energy from this Pokemon to have this attack do 100 more damage.","Fighting","x2"
"svp-17","Lucario ex","Pokemon","260","Fighting","","Riolu","17","5ban Graphics","Promo",,"448","G","https://images.pokemontcg.io/svp/17.png","https://images.pokemontcg.io/svp/17_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Low Sweep","Fighting, Colorless","2","60","","Aura Sphere","Fighting, Fighting, Colorless","3","160","This attack also does 50 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Psychic","x2"
