"id","name","supertype","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh12pt5-1","Oddish","Pokemon","50","Grass","Common","Colorless","1","","","Leaf Boomerang","Colorless","1","10x","Flip 2 coins. This attack does 10 damage for each heads.","","","","","","Fire","x2"
"swsh12pt5-2","Gloom","Pokemon","70","Grass","Uncommon","Colorless","1","","","Offensive Scent","Grass, Colorless","2","20","Your opponent's Active Pokemon is now Confused and Poisoned.","","","","","","Fire","x2"
"swsh12pt5-3","Bellossom","Pokemon","120","Grass","Rare","Colorless","1","","","Flower Spin","Grass, Colorless","2","80x","Flip 3 coins. This attack does 80 damage for each heads. Switch this Pokemon with 1 of your Benched Pokemon.","","","","","","Fire","x2"
"swsh12pt5-4","Tangela","Pokemon","80","Grass","Common","Colorless, Colorless","2","","","Beat","Colorless","1","10","","Vine Whip","Grass, Grass, Colorless","3","60","","Fire","x2"
"swsh12pt5-5","Tangrowth","Pokemon","150","Grass","Rare","Colorless, Colorless, Colorless, Colorless","4","","","Suctioning Vines","Grass, Colorless","2","50","Heal 30 damage from this Pokemon.","Hammer In","Grass, Grass, Colorless","3","130","","Fire","x2"
"swsh12pt5-6","Scyther","Pokemon","80","Grass","Common","Colorless","1","","","Mach Cut","Colorless","1","10","Discard a Special Energy from your opponent's Active Pokemon.","","","","","","Fire","x2"
"swsh12pt5-7","Sunkern","Pokemon","40","Grass","Common","Colorless","1","","","Seed Bomb","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"swsh12pt5-8","Yanma","Pokemon","70","Grass","Common","Colorless","1","","","Swoop Across","Colorless","1","","This attack does 10 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Cutting Wind","Colorless, Colorless, Colorless","3","70","","Fire","x2"
"swsh12pt5-9","Yanmega","Pokemon","130","Grass","Rare","","0","","","Shoot Through","Colorless","1","20","This attack also does 20 damage to 1 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Jet Wing","Grass, Grass, Colorless","3","160","During your next turn, this Pokemon can't attack.","Fire","x2"
"swsh12pt5-10","Kricketot","Pokemon","60","Grass","Common","Colorless","1","","","Trip Over","Grass","1","10+","Flip a coin. If heads, this attack does 20 more damage.","","","","","","Fire","x2"
"swsh12pt5-11","Cherubi","Pokemon","50","Grass","Common","Colorless","1","","","Leafage","Grass","1","10","","","","","","","Fire","x2"
"swsh12pt5-12","Carnivine","Pokemon","90","Grass","Uncommon","Colorless","1","","","Festering Saliva","Grass","1","","Your opponent's Active Pokemon is now Burned and Poisoned.","Bind Down","Colorless, Colorless","2","40","During your opponent's next turn, the Defending Pokemon can't retreat.","Fire","x2"
"swsh12pt5-15","Grubbin","Pokemon","70","Grass","Common","Colorless, Colorless","2","","","Energize","Colorless","1","","Attach a Lightning Energy card from your discard pile to this Pokemon.","Surprise Attack","Colorless, Colorless, Colorless","3","50","Flip a coin. If tails, this attack does nothing.","Fire","x2"
"swsh12pt5-16","Zarude","Pokemon","120","Grass","Rare Holo","Colorless","1","","","Drag Off","Grass","1","","Switch 1 of your opponent's Benched Pokemon with their Active Pokemon. This attack does 20 damage to the new Active Pokemon.","Triple Whip","Grass, Grass","2","70x","Flip 3 coins. This attack does 70 damage for each heads.","Fire","x2"
"swsh12pt5-17","Calyrex","Pokemon","110","Grass","Rare Holo","Colorless, Colorless","2","","","King's Instructions","Colorless, Colorless","2","30","You may search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.","Bloomshine","Grass, Colorless, Colorless","3","90","Heal 20 damage from each of your Pokemon.","Fire","x2"
"swsh12pt5-21","Entei","Pokemon","120","Fire","Rare Holo","Colorless, Colorless","2","Explosive Heat Dash","If this Pokemon has any Fire Energy attached, it has no Retreat Cost.","Claw Slash","Colorless, Colorless, Colorless","3","90","","","","","","","Water","x2"
"swsh12pt5-24","Larvesta","Pokemon","80","Fire","Common","Colorless, Colorless, Colorless","3","","","Live Coal","Fire","1","20","","","","","","","Water","x2"
"swsh12pt5-25","Volcarona","Pokemon","130","Fire","Rare","Colorless, Colorless","2","","","Will-O-Wisp","Fire","1","40","","Volcanic Heat","Fire, Colorless","2","120","During your next turn, this Pokemon can't attack.","Water","x2"
"swsh12pt5-26","Volcanion","Pokemon","130","Fire","Rare Holo","Colorless, Colorless, Colorless","3","","","Hammer In","Colorless, Colorless","2","30","","Hydro Burn","Fire, Fire, Colorless","3","80+","If this Pokemon has any Water Energy attached, this attack does 80 more damage.","Water","x2"
"swsh12pt5-27","Salandit","Pokemon","70","Fire","Common","Colorless","1","","","Call for Family","Colorless","1","","Search your deck for a Basic Pokemon and put it onto your Bench. Then, shuffle your deck.","Scratch","Fire","1","10","","Water","x2"
"swsh12pt5-28","Salazzle","Pokemon","120","Fire","Uncommon","Colorless","1","","","Tail Trickery","Colorless","1","20","Your opponent's Active Pokemon is now Confused.","Super Singe","Fire, Colorless","2","60","Your opponent's Active Pokemon is now Burned.","Water","x2"
"swsh12pt5-29","Seel","Pokemon","70","Water","Common","Colorless","1","","","Headbutt","Water","1","10","","Rain Splash","Water, Colorless","2","20","","Lightning","x2"
