"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"swsh12pt5gg-GG01","Hisuian Voltorb","Pokemon","50","Grass","Electrode",,"GG01","HYOGONOSUKE","Trainer Gallery Rare Holo","An enigmatic Pokemon that happens to bear a resemblance to a Poke Ball. When excited, it discharges the electric current it has stored in its belly, then lets out a great, uproarious laugh.","100","F","https://images.pokemontcg.io/swsh12pt5gg/GG01.png","https://images.pokemontcg.io/swsh12pt5gg/GG01_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Cheerful Charge","","0","","You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokemon. For each of those Pokemon, search your deck for a basic Energy card and attach it to that Pokemon. Then, shuffle your deck.","Ram","Grass","1","10","","Fire","x2"
"swsh12pt5gg-GG02","Kricketune","Pokemon","90","Grass","","Kricketot","GG02","Nurikabe","Trainer Gallery Rare Holo","It signals its emotions with its melodies. Scientists are studying these melodic patterns.","402","F","https://images.pokemontcg.io/swsh12pt5gg/GG02.png","https://images.pokemontcg.io/swsh12pt5gg/GG02_hires.png","Legal","Legal","Legal","Colorless","1","Swelling Tune","Your Grass Pokemon in play, except any Kricketune, get +40 HP. You can't apply more than 1 Swelling Tune Ability at a time.","Ability","","","","Slash","Grass, Colorless","2","50","","","","","","","Fire","x2"
"swsh12pt5gg-GG03","Magmortar","Pokemon","140","Fire","","Magmar","GG03","Saya Tsuruta","Trainer Gallery Rare Holo","When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit.","467","F","https://images.pokemontcg.io/swsh12pt5gg/GG03.png","https://images.pokemontcg.io/swsh12pt5gg/GG03_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Mega Punch","Colorless, Colorless","2","50","","Boltsplosion","Fire, Fire, Colorless","3","120+","If Electivire is on your Bench, this attack does 120 more damage.","Water","x2"
"swsh12pt5gg-GG04","Oricorio","Pokemon","90","Fire","",,"GG04","Tomokazu Komiya","Trainer Gallery Rare Holo","This Oricorio has drunk red nectar. If its Trainer gives the wrong order, this passionate Pokemon becomes fiercely angry.","741","E","https://images.pokemontcg.io/swsh12pt5gg/GG04.png","https://images.pokemontcg.io/swsh12pt5gg/GG04_hires.png","Legal",,"Legal","Colorless","1","Lesson in Zeal","All of your Fusion Strike Pokemon take 20 less damage from attacks from your opponent's Pokemon (after applying Weakness and Resistance). You can't apply more than 1 Lesson in Zeal Ability at a time.","Ability","","","","Glistening Droplets","Fire, Colorless","2","","Put 5 damage counters on your opponent's Pokemon in any way you like.","","","","","","Water","x2"
"swsh12pt5gg-GG05","Lapras","Pokemon","130","Water","",,"GG05","zig","Trainer Gallery Rare Holo","A smart and kindhearted Pokemon, it glides across the surface of the sea while its beautiful song echoes around it.","131","F","https://images.pokemontcg.io/swsh12pt5gg/GG05.png","https://images.pokemontcg.io/swsh12pt5gg/GG05_hires.png","Legal","Legal","Legal","Colorless, Colorless","2","","","","","","","Raging Freeze","Water, Water, Colorless","3","110","If any of your Pokemon were Knocked Out by damage from an attack from your opponent's Pokemon during their last turn, your opponent's Active Pokemon is now Paralyzed.","","","","","","Lightning","x2"
"swsh12pt5gg-GG06","Manaphy","Pokemon","70","Water","",,"GG06","Taira Akitsu","Trainer Gallery Rare Holo","It starts its life with a wondrous power that permits it to bond with any kind of Pokemon.","490","F","https://images.pokemontcg.io/swsh12pt5gg/GG06.png","https://images.pokemontcg.io/swsh12pt5gg/GG06_hires.png","Legal","Legal","Legal","Colorless","1","Wave Veil","Prevent all damage done to your Benched Pokemon by attacks from your opponent's Pokemon.","Ability","","","","Rain Splash","Water","1","20","","","","","","","Lightning","x2"
"swsh12pt5gg-GG07","Keldeo","Pokemon","110","Water","",,"GG07","KEIICHIRO ITO","Trainer Gallery Rare Holo","When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow.","647","F","https://images.pokemontcg.io/swsh12pt5gg/GG07.png","https://images.pokemontcg.io/swsh12pt5gg/GG07_hires.png","Legal","Legal","Legal","Colorless","1","","","","","","","Smash Kick","Colorless","1","20","","Line Force","Water, Colorless","2","10+","This attack does 20 more damage for each of your Benched Pokemon.","Lightning","x2"
"swsh12pt5gg-GG08","Electivire","Pokemon","140","Lightning","","Electabuzz","GG08","Mina Nakai","Trainer Gallery Rare Holo","The amount of electrical energy this Pokemon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.","466","F","https://images.pokemontcg.io/swsh12pt5gg/GG08.png","https://images.pokemontcg.io/swsh12pt5gg/GG08_hires.png","Legal","Legal","Legal","Colorless, Colorless, Colorless","3","","","","","","","Explosive Bolt","Lightning","1","30+","If any of your Benched Magmortar have any damage counters on them, this attack does 90 more damage.","High-Voltage Current","Lightning, Lightning, Colorless","3","","This attack does 50 damage to each of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"swsh12pt5gg-GG09","Toxtricity","Pokemon","120","Lightning","","Toxel","GG09","Nelnal","Trainer Gallery Rare Holo","It has an electrical organ on its chest. While generating electricity, it fills its surroundings with what sounds like the strumming of a bass guitar.","849","E","https://images.pokemontcg.io/swsh12pt5gg/GG09.png","https://images.pokemontcg.io/swsh12pt5gg/GG09_hires.png","Legal",,"Legal","Colorless, Colorless","2","Maximum Downer","If all your Pokemon in play are Fusion Strike Pokemon, your opponent's Pokemon VMAX in play get -30 HP.","Ability","","","","Head Bolt","Lightning, Lightning, Colorless","3","90","","","","","","","Fighting","x2"
"swsh12pt5gg-GG10","Mew","Pokemon","60","Psychic","",,"GG10","Ryota Murayama","Trainer Gallery Rare Holo","Its DNA is said to contain the genetic codes of all Pokemon, so it can use all kinds of techniques.","151","E","https://images.pokemontcg.io/swsh12pt5gg/GG10.png","https://images.pokemontcg.io/swsh12pt5gg/GG10_hires.png","Legal",,"Legal","Colorless","1","Mysterious Tail","Once during your turn, if this Pokemon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Item card you find there, and put it into your hand. Shuffle the other cards back into your deck.","Ability","","","","Psyshot","Psychic, Colorless","2","30","","","","","","","Darkness","x2"
